Membrane-FOV	Total
H2-C%20B-1.1.tif	166
H2-C%20B-1.2.tif	118
H2-C%20B-1.3.tif	172
H2-C%20B-1.4.tif	128
H2-C%20B-1.5.tif	74
H2-C%20B-2.1.tif	131
H2-C%20B-2.2.tif	137
H2-C%20B-2.3.tif	165
H2-C%20B-2.4.tif	177
H2-C%20B-2.5.tif	134
H2-C%20B-3.1.tif	139
H2-C%20B-3.2.tif	160
H2-C%20B-3.3.tif	458
H2-C%20B-3.4.tif	100
H2-C%20B-3.5.tif	144
H2-C%20M-1.1.tif	482
H2-C%20M-1.2.tif	471
H2-C%20M-1.3.tif	260
H2-C%20M-1.4.tif	278
H2-C%20M-1.5.tif	430
H2-C%20M-2.1.tif	90
H2-C%20M-2.2.tif	95
H2-C%20M-2.3.tif	71
H2-C%20M-2.4.tif	81
H2-C%20M-2.5.tif	128
H2-C%20M-3.1.tif	44
H2-C%20M-3.2.tif	84
H2-C%20M-3.3.tif	104
H2-C%20M-3.4.tif	151
H2-C%20M-3.5.tif	101
H2-C%20T-1.1.tif	788
H2-C%20T-1.2.tif	734
H2-C%20T-1.3.tif	644
H2-C%20T-1.4.tif	647
H2-C%20T-1.5.tif	593
H2-C%20T-2.1.tif	407
H2-C%20T-2.2.tif	350
H2-C%20T-2.3.tif	233
H2-C%20T-2.4.tif	572
H2-C%20T-2.5.tif	388
H2-C%20T-3.1.tif	462
H2-C%20T-3.2.tif	367
H2-C%20T-3.3.tif	333
H2-C%20T-3.4.tif	486
H2-C%20T-3.5.tif	487
H3-B%20B-1.1.tif	352
H3-B%20B-1.2.tif	273
H3-B%20B-1.3.tif	330
H3-B%20B-1.4.tif	212
H3-B%20B-1.5.tif	257
H3-B%20B-2.1.tif	291
H3-B%20B-2.2.tif	227
H3-B%20B-2.3.tif	602
H3-B%20B-2.4.tif	680
H3-B%20B-2.5.tif	263
H3-B%20B-3.1.tif	345
H3-B%20B-3.2.tif	188
H3-B%20B-3.3.tif	434
H3-B%20B-3.4.tif	453
H3-B%20B-3.5.tif	245
H3-B%20M-1.1.tif	346
H3-B%20M-1.2.tif	565
H3-B%20M-1.3.tif	376
H3-B%20M-1.4.tif	340
H3-B%20M-1.5.tif	459
H3-B%20M-2.1.tif	368
H3-B%20M-2.2.tif	380
H3-B%20M-2.3.tif	400
H3-B%20M-2.4.tif	515
H3-B%20M-2.5.tif	255
H3-B%20M-3.1.tif	334
H3-B%20M-3.2.tif	158
H3-B%20M-3.3.tif	313
H3-B%20M-3.4.tif	253
H3-B%20M-3.5.tif	263
H3-B%20T-1.1.tif	376
H3-B%20T-1.2.tif	169
H3-B%20T-1.3.tif	321
H3-B%20T-1.4.tif	366
H3-B%20T-1.5.tif	267
H3-B%20T-2.1.tif	206
H3-B%20T-2.2.tif	193
