	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD	H5-A-M_ASD	H5-B-B_ASD	H5-B-M_ASD	H5-B-T_ASD	H5-C-B_ASD	H5-C-T_ASD	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-M_ASD	H7-C-T_ASD
H2-A-B_ASD	0.0	0.5717307692307693	0.6537692307692308	0.42888461538461536	0.5672692307692307	0.5805	0.4753846153846154	0.5271153846153847	0.5884615384615385	0.5932692307692308	0.7118076923076923	0.6967307692307693	0.5882307692307692	0.6356538461538461	0.6291538461538462	0.625	0.7156923076923077	0.7480384615384615	0.7658846153846154	0.6831538461538461	0.6972692307692308	0.7112692307692308	0.7093461538461538	0.6338076923076923	0.8012692307692307	0.6841923076923077	0.6697692307692308	0.7195384615384616	0.745423076923077	0.7058076923076924	0.6561153846153847	0.7761153846153847	0.624423076923077	0.6726923076923077	0.6722692307692307	0.5927692307692307	0.6058846153846154	0.6418461538461538	0.5812307692307692	0.6613076923076923	0.5595	0.6599615384615385	0.677	0.7103076923076923	0.6076153846153847	0.7121538461538461
H2-A-M_ASD	0.5717307692307693	0.0	0.5901538461538461	0.5959615384615384	0.5753076923076923	0.5955	0.6785769230769231	0.4381923076923077	0.5623076923076923	0.7423461538461539	0.7088461538461538	0.6581153846153847	0.6828461538461539	0.6700769230769231	0.6299615384615385	0.708	0.6801923076923077	0.6976153846153846	0.7538846153846154	0.6855	0.6540769230769231	0.7598076923076923	0.6256153846153846	0.5831923076923077	0.7917307692307692	0.6883846153846154	0.6010769230769231	0.662	0.7822307692307693	0.6429615384615385	0.5962692307692308	0.8210384615384615	0.6422307692307693	0.7056923076923077	0.6293076923076923	0.5955384615384616	0.7290769230769231	0.6172307692307692	0.7309615384615384	0.5967692307692307	0.557923076923077	0.6121153846153846	0.5869615384615384	0.6768076923076923	0.5198076923076923	0.6726153846153846
H2-A-T_ASD	0.6537692307692308	0.5901538461538461	0.0	0.637	0.5705769230769231	0.6981923076923077	0.6410384615384616	0.6037692307692307	0.6585384615384615	0.7713846153846153	0.8023846153846154	0.8042307692307692	0.7452307692307693	0.7641538461538462	0.7395384615384616	0.7343846153846154	0.819	0.8331538461538461	0.792923076923077	0.7875769230769231	0.8241538461538461	0.8368461538461538	0.7448461538461538	0.8013846153846154	0.8183461538461538	0.7482307692307693	0.7769615384615385	0.8227692307692308	0.8615384615384616	0.7145	0.7840769230769231	0.8501538461538461	0.7298461538461538	0.7371538461538462	0.737423076923077	0.7495384615384615	0.7307692307692307	0.7248846153846153	0.7055384615384616	0.6454230769230769	0.6498076923076923	0.7211923076923077	0.7547692307692307	0.8703076923076923	0.6742307692307692	0.7770384615384616
H2-B-B_ASD	0.42888461538461536	0.5959615384615384	0.637	0.0	0.5432307692307692	0.6402307692307693	0.5786153846153846	0.5414230769230769	0.6722692307692307	0.5886153846153847	0.7203076923076923	0.7210769230769231	0.5915384615384616	0.6827307692307693	0.6570384615384616	0.6203846153846154	0.7475	0.7213076923076923	0.7443076923076923	0.6994230769230769	0.7277307692307692	0.7498461538461538	0.6933846153846154	0.6907692307692308	0.7965769230769231	0.7147692307692308	0.7004615384615385	0.723423076923077	0.7594615384615384	0.6671153846153847	0.6597692307692308	0.7528076923076923	0.6561923076923077	0.6526923076923077	0.6686923076923077	0.6328846153846154	0.621	0.6595	0.5793846153846154	0.6126538461538461	0.5698461538461539	0.6796923076923077	0.7226538461538462	0.7521538461538462	0.6283076923076923	0.7622692307692308
H2-B-M_ASD	0.5672692307692307	0.5753076923076923	0.5705769230769231	0.5432307692307692	0.0	0.6256538461538461	0.6421538461538462	0.5396923076923077	0.6398461538461538	0.687076923076923	0.7301538461538462	0.7398076923076923	0.7119230769230769	0.6487307692307692	0.7197307692307693	0.6839615384615385	0.7588076923076923	0.7783846153846153	0.7600384615384616	0.6988076923076924	0.7536153846153846	0.8025769230769231	0.703076923076923	0.7015769230769231	0.8265769230769231	0.6675	0.726	0.7506923076923077	0.8167307692307693	0.6056538461538462	0.6708076923076923	0.7820384615384616	0.6368846153846154	0.673923076923077	0.603423076923077	0.6475384615384615	0.6612692307692307	0.6474230769230769	0.6695	0.5718846153846154	0.613	0.6363846153846154	0.6988461538461539	0.7686538461538461	0.5930769230769231	0.7159615384615384
H2-B-T_ASD	0.5805	0.5955	0.6981923076923077	0.6402307692307693	0.6256538461538461	0.0	0.6351538461538462	0.6049230769230769	0.5269615384615385	0.5698461538461539	0.5798461538461539	0.6342307692307693	0.5767307692307693	0.6386923076923077	0.5808461538461539	0.5104230769230769	0.7111153846153846	0.5937692307692307	0.7111923076923077	0.6233846153846154	0.5848846153846153	0.6427307692307692	0.6486923076923077	0.6051153846153846	0.7841153846153847	0.6848846153846154	0.5817692307692308	0.7110384615384615	0.7543076923076923	0.7283076923076923	0.6407692307692308	0.7656538461538461	0.6419615384615385	0.7026538461538462	0.6617692307692308	0.6309615384615385	0.701076923076923	0.7132307692307692	0.5913461538461539	0.7405384615384616	0.5543461538461538	0.6557307692307692	0.6397307692307692	0.6926538461538462	0.6193846153846154	0.6743461538461538
H2-C-B_ASD	0.4753846153846154	0.6785769230769231	0.6410384615384616	0.5786153846153846	0.6421538461538462	0.6351538461538462	0.0	0.5791923076923077	0.6178461538461538	0.6216923076923077	0.7270384615384615	0.7038076923076924	0.6558076923076923	0.6505384615384615	0.6468846153846154	0.6581153846153847	0.7749230769230769	0.7401153846153846	0.7733076923076924	0.7015384615384616	0.7673846153846153	0.774576923076923	0.7794615384615384	0.7241923076923077	0.7925384615384615	0.721423076923077	0.6647692307692308	0.7390384615384615	0.7904615384615384	0.7139615384615384	0.7347307692307692	0.764	0.7214615384615385	0.7303461538461539	0.7005384615384616	0.703076923076923	0.6484615384615384	0.7119615384615384	0.6186923076923077	0.7496538461538461	0.6164615384615385	0.679923076923077	0.6583461538461538	0.7596538461538461	0.7101153846153846	0.7035384615384616
H2-C-M_ASD	0.5271153846153847	0.4381923076923077	0.6037692307692307	0.5414230769230769	0.5396923076923077	0.6049230769230769	0.5791923076923077	0.0	0.5252692307692308	0.6982307692307692	0.7078461538461538	0.691	0.6866923076923077	0.5885769230769231	0.6172307692307692	0.7291153846153846	0.738	0.7067692307692308	0.7671153846153846	0.6562307692307693	0.7066153846153846	0.8246923076923077	0.6901538461538461	0.6627307692307692	0.83	0.6485384615384615	0.6031538461538462	0.7084230769230769	0.8314230769230769	0.6489615384615385	0.6893076923076923	0.808076923076923	0.6113461538461539	0.6959615384615384	0.6083461538461539	0.598	0.6560769230769231	0.5966538461538462	0.6725384615384615	0.6315	0.5762692307692308	0.6368461538461538	0.6125	0.7292692307692308	0.5387307692307692	0.6866538461538462
H2-C-T_ASD	0.5884615384615385	0.5623076923076923	0.6585384615384615	0.6722692307692307	0.6398461538461538	0.5269615384615385	0.6178461538461538	0.5252692307692308	0.0	0.6576153846153846	0.7076538461538462	0.6388846153846154	0.6895384615384615	0.5654615384615385	0.5819615384615384	0.7241153846153846	0.7503076923076923	0.7232692307692308	0.7064615384615385	0.6055384615384616	0.7171153846153846	0.7846153846153846	0.6593461538461538	0.7065	0.8202692307692308	0.5795384615384616	0.6086923076923076	0.7378846153846154	0.8176153846153846	0.7115769230769231	0.6676538461538462	0.7806923076923077	0.6123076923076923	0.6946538461538462	0.6434230769230769	0.5816923076923077	0.683923076923077	0.6640384615384616	0.6203461538461539	0.667923076923077	0.5213846153846153	0.6853461538461538	0.6390384615384616	0.7270384615384615	0.5888846153846153	0.6463846153846153
H3-A-B_ASD	0.5932692307692308	0.7423461538461539	0.7713846153846153	0.5886153846153847	0.687076923076923	0.5698461538461539	0.6216923076923077	0.6982307692307692	0.6576153846153846	0.0	0.5731153846153846	0.6366923076923077	0.47392307692307695	0.600423076923077	0.5703461538461538	0.4978461538461538	0.6580769230769231	0.5902692307692308	0.6807307692307693	0.6312307692307693	0.6463461538461538	0.6797692307692308	0.7005384615384616	0.6603846153846153	0.7266923076923076	0.6933846153846154	0.6482692307692308	0.6763846153846154	0.6326538461538461	0.6548461538461539	0.6551538461538462	0.6461923076923077	0.6748846153846154	0.7119615384615384	0.692076923076923	0.6766923076923077	0.6843461538461538	0.7218461538461538	0.6136923076923076	0.751423076923077	0.6031538461538462	0.7309230769230769	0.6735	0.6503846153846153	0.7200384615384615	0.7041153846153846
