	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-8-2	SG1-BOT-2016-02-8-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-02-9-3	SG1-BOT-2016-02mt-1	SG1-TOP-2016-02mt-1-2	SG1-TOP-2016-02mt-10-1	SG1-TOP-2016-02mt-13a	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02mt-17a	SG1-TOP-2016-02mt-17b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02mt-2-2	SG1-TOP-2016-02mt-3-1	SG1-TOP-2016-02mt-9b
SG1-BOT-2016-02-8-1	0.0	0.125270521623	0.13313488685699998	0.12078637629499998	0.13380883036899996	0.20233862395349997	0.10950452651849997	0.205004288546	0.149874829151	0.1723907033985	0.15124316223400003	0.17671212473950001	0.153158793989	0.171165671972	0.11814553285150001	0.19915712588900003	0.203477554954	0.17995240453650002
SG1-BOT-2016-02-8-2	0.125270521623	0.0	0.12437425088599997	0.136629506379	0.114685349957	0.18656191406449996	0.10313317390049997	0.245448783582	0.19447826085700004	0.22510902355149995	0.227478755725	0.2227787626885	0.18689747000599996	0.23518660042299994	0.16049376252050002	0.271351226752	0.24917465708699998	0.22395706286449996
SG1-BOT-2016-02-8-3	0.13313488685699998	0.12437425088599997	0.0	0.15897267975799995	0.13567214545099998	0.1100347352585	0.1166775125175	0.21898643247699998	0.15483214521299998	0.18929164296649992	0.18323123593499996	0.1861636953665	0.154792618019	0.19679815873699996	0.12840087822949994	0.23145070046199995	0.20796429882599995	0.18962019148049997
SG1-BOT-2016-02-9-1	0.12078637629499998	0.136629506379	0.15897267975799995	0.0	0.086918715739	0.23236232447449995	0.06841681338249997	0.278188336663	0.200095516129	0.23676655221849996	0.235137116975	0.23515027020250004	0.22241987306499997	0.24611040797899997	0.1907653050765	0.28420105457699996	0.262665402012	0.23567099230749994
SG1-BOT-2016-02-9-2	0.13380883036899996	0.114685349957	0.13567214545099998	0.086918715739	0.0	0.17720921482249996	0.11458594364149997	0.286843348143	0.217999043546	0.25068289637249996	0.24587896712199997	0.2471942828905	0.22990212641399996	0.252772272717	0.1958743039495	0.290076324713	0.26845869554400004	0.24958252479850002
SG1-BOT-2016-02-9-3	0.20233862395349997	0.18656191406449996	0.1100347352585	0.23236232447449995	0.17720921482249996	0.0	0.18913049276	0.2389798619445	0.1657667048865	0.19987750039399996	0.20010005883449997	0.20157102746799999	0.18172651658249997	0.19671474373949996	0.16723669160399995	0.23421052636449996	0.2123883415965	0.19782652772299997
SG1-BOT-2016-02mt-1	0.10950452651849997	0.10313317390049997	0.1166775125175	0.06841681338249997	0.11458594364149997	0.18913049276	0.0	0.2637379593635	0.1873224026605	0.22567602521399996	0.22003478657949999	0.222075041136	0.18895475003549994	0.23378015273549999	0.17093927325399996	0.26854073660949995	0.24392458793249996	0.22335421594299998
SG1-TOP-2016-02mt-1-2	0.205004288546	0.245448783582	0.21898643247699998	0.278188336663	0.286843348143	0.2389798619445	0.2637379593635	0.0	0.10423280280999997	0.08770841387549999	0.083554083759	0.09712141590949999	0.11274297981699999	0.08972680109700001	0.1153289557035	0.09494128250299999	0.096556588272	0.08857674830949998
SG1-TOP-2016-02mt-10-1	0.149874829151	0.19447826085700004	0.15483214521299998	0.200095516129	0.217999043546	0.1657667048865	0.1873224026605	0.10423280280999997	0.0	0.06763694748349997	0.06479125505000001	0.07323453855449999	0.088294367372	0.07832452128399998	0.0812733768445	0.10935521492299999	0.091224165998	0.0634336564855
SG1-TOP-2016-02mt-13a	0.1723907033985	0.22510902355149995	0.18929164296649992	0.23676655221849996	0.25068289637249996	0.19987750039399996	0.22567602521399996	0.08770841387549999	0.06763694748349997	0.0	0.07788958282849998	0.06773432976999998	0.08027700448349998	0.06855982225050002	0.09951682722299998	0.09168978964950003	0.08795375653150002	0.042941733344999976
SG1-TOP-2016-02mt-13b	0.15124316223400003	0.227478755725	0.18323123593499996	0.235137116975	0.24587896712199997	0.20010005883449997	0.22003478657949999	0.083554083759	0.06479125505000001	0.07788958282849998	0.0	0.06754153561250001	0.09343660187799999	0.071572277565	0.08596149452250001	0.109614211607	0.10152277074899999	0.0755766313985
SG1-TOP-2016-02mt-17a	0.17671212473950001	0.2227787626885	0.1861636953665	0.23515027020250004	0.2471942828905	0.20157102746799999	0.222075041136	0.09712141590949999	0.07323453855449999	0.06773432976999998	0.06754153561250001	0.0	0.1065818268025	0.08984596410149999	0.11231797501100002	0.1145336944265	0.09234690482149999	0.064403879488
SG1-TOP-2016-02mt-17b	0.153158793989	0.18689747000599996	0.154792618019	0.22241987306499997	0.22990212641399996	0.18172651658249997	0.18895475003549994	0.11274297981699999	0.088294367372	0.08027700448349998	0.09343660187799999	0.1065818268025	0.0	0.09069147898899999	0.06595351562650001	0.12441591230999999	0.11372196877399998	0.09125406025249999
SG1-TOP-2016-02mt-1a	0.171165671972	0.23518660042299994	0.19679815873699996	0.24611040797899997	0.252772272717	0.19671474373949996	0.23378015273549999	0.08972680109700001	0.07832452128399998	0.06855982225050002	0.071572277565	0.08984596410149999	0.09069147898899999	0.0	0.10556217383649999	0.08592181312200001	0.08617920600900002	0.06981166579249999
