	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD	H5-A-M_ASD	H5-B-B_ASD	H5-B-M_ASD	H5-B-T_ASD	H5-C-B_ASD	H5-C-T_ASD	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-M_ASD	H7-C-T_ASD
H2-A-B_ASD	0.0	0.11323369742669231	0.0700883434853077	0.06787141634853847	0.09984544042834613	0.05567105725742308	0.1523195660028846	0.14989597363442309	0.1650835824765	0.08723965851650002	0.09335279730215384	0.11041532958596154	0.12186806702976923	0.2064329514198077	0.16012620522642312	0.10815384723911536	0.14711425363	0.12038309655396152	0.18191527847234618	0.17897982117646155	0.13004721293680768	0.15109102646503844	0.11491223163796153	0.115634663749	0.08987591480257691	0.17594686662530767	0.18878434971996155	0.11588377202692307	0.18071320556896153	0.14289206552946154	0.11073516281696154	0.1492784399325	0.12420767290373078	0.1396698008288846	0.09929406182288464	0.11804650993430771	0.09281227219369231	0.1328941482908077	0.05152795313146153	0.09408057593180767	0.09038706333384618	0.1358364862325	0.1096891649446154	0.10775549889703848	0.10285587622703847	0.13446926863984615
H2-A-M_ASD	0.11323369742669231	0.0	0.11331260925215385	0.1394939062626154	0.11426333963003844	0.10520447413903847	0.1472329715195	0.08439827317765383	0.12019546099419232	0.09059048526088462	0.10519034258076924	0.09198288341734617	0.09798293784653844	0.15862690613319233	0.12309326932603847	0.1513152268017308	0.16079000050523076	0.13968294403034615	0.17126233804965388	0.12103713789130768	0.1518239807741923	0.1940371037028846	0.11460143629896154	0.1242969774136923	0.13224129407503848	0.13091740583623077	0.16257293807334616	0.1257992556236154	0.21140974502288462	0.1620997438336154	0.12911486486926924	0.18437920447703846	0.07748221416180769	0.18673285001380768	0.0929130110085	0.08217295382999999	0.10048140140315384	0.07014947216811537	0.14751302618476922	0.10919409846426922	0.08641186858715383	0.1408519105671923	0.10026074355523076	0.1054245583471923	0.07485725064380769	0.08164332163646154
H2-A-T_ASD	0.0700883434853077	0.11331260925215385	0.0	0.08103305245069231	0.07321590193234616	0.07791918871626922	0.19053499889219233	0.1606113017105	0.1675135984211154	0.12192503605111538	0.09889058413992308	0.12354144189326922	0.15825870032238462	0.22002961200957694	0.18123866012288462	0.1049783802061923	0.12373477691523077	0.11580571881934615	0.1956988686321154	0.1993382845750769	0.12269321667580768	0.1450740524685	0.12445423370242306	0.10801781464146154	0.11266239630242307	0.18695032564107691	0.21268450265288458	0.12444886859292308	0.16845431160096155	0.12855450969861537	0.09839087951757693	0.1472570355838077	0.1237204402608077	0.12775599609534616	0.1148207984991923	0.1348747533932308	0.1004936747183077	0.1404159040331923	0.0799083421733846	0.07382726104073076	0.09947755144846157	0.08914438360619231	0.10751091865469231	0.12002098443096153	0.09341016365573078	0.1525440279079231
H2-B-B_ASD	0.06787141634853847	0.1394939062626154	0.08103305245069231	0.0	0.0605405440548077	0.10299301532488461	0.20163207610019235	0.18921123373334614	0.2045630245365	0.12471514407511539	0.11353822885376923	0.1347741507051154	0.16136220347323077	0.25762742531750005	0.21407951764050004	0.08275959512880769	0.12125708967123078	0.09794036358296153	0.21310301650273078	0.2078920919539231	0.10788683747996153	0.12398641844626923	0.1419181490655	0.11158538926238462	0.12604557414011536	0.2222475534756154	0.24003601525357693	0.14264050919292307	0.14263872116334617	0.11307459500653846	0.07785393026803847	0.12610090428380769	0.15914788815365385	0.11221861249296153	0.1360886369481154	0.15558606081153847	0.12254332674661539	0.16661912339442309	0.08275301617900001	0.07919230264873078	0.13612089619207693	0.09980312747557693	0.1345119579349231	0.1398294118071154	0.12720982706696154	0.1605568739133077
H2-B-M_ASD	0.09984544042834613	0.11426333963003844	0.07321590193234616	0.0605405440548077	0.0	0.09941093175530769	0.22153015440692309	0.17752728555630767	0.19552356982784616	0.13102804460892306	0.10696896773242306	0.12961576578230768	0.18333359026173074	0.25313969949346155	0.2181136979382308	0.0921476819843077	0.12115376429519231	0.09881150416776924	0.20993634365115385	0.19796332893934615	0.10895418143961538	0.13687085403976923	0.1289852382610769	0.09796886505165384	0.13750357428030768	0.21312571764088462	0.24269862327707692	0.13239034331819227	0.15545066782307693	0.10281706657765384	0.07540149354446155	0.13969766451561538	0.15543753174815383	0.11912709947553846	0.1310197045616923	0.14358667570234615	0.12232201184342308	0.15777135759092306	0.11192763631296153	0.061844549374153845	0.13047895831157694	0.07780912240430769	0.11655083290242309	0.13168001474553848	0.10996405430146154	0.14573483268396153
H2-B-T_ASD	0.05567105725742308	0.10520447413903847	0.07791918871626922	0.10299301532488461	0.09941093175530769	0.0	0.15825489326907693	0.14929037476892307	0.14815452000723078	0.08569301057561539	0.0924378182031923	0.09577448389984614	0.12528989053888462	0.19905134360307694	0.14455910171846154	0.10206761532038461	0.1454629210828846	0.10627286232961539	0.16685978156515385	0.1645691471091923	0.10763753574961538	0.141247358164	0.10473871589653846	0.09718308794796154	0.09149400525599999	0.16344756179234615	0.1652141943220769	0.10957389480903845	0.17994872379376925	0.14508978117903848	0.10050666775815385	0.14890249637253844	0.11973664241069233	0.15263744967253845	0.0945058908646154	0.10467365256719233	0.09158232333050001	0.13156847257653848	0.07948318218403846	0.09982120011838459	0.07071038737588463	0.12789730856346151	0.10053637059849999	0.09355702402199999	0.09114903760169232	0.12260129770842308
H2-C-B_ASD	0.1523195660028846	0.1472329715195	0.19053499889219233	0.20163207610019235	0.22153015440692309	0.15825489326907693	0.0	0.10247313936799998	0.07165170743715385	0.14550980984569228	0.20684825007480773	0.1974846720646923	0.11345375313342307	0.10048870967200002	0.07239609834253843	0.22387690067676924	0.25041233555957687	0.23723971707546154	0.26838779623161535	0.1429574711788077	0.23823828577246153	0.2744147815576154	0.2134036676503846	0.22350690759050001	0.19931192189615385	0.07623773783726925	0.0835445624856154	0.2166498579282692	0.307918301746077	0.27015129107873076	0.2303952015793077	0.2563584693851539	0.13868130809123075	0.2555722771573077	0.1852072524243077	0.15691649919965384	0.16961729625173075	0.13644203005246153	0.1773891796821923	0.21407693276184617	0.13108180037711537	0.25000748640561543	0.2059015349092692	0.19960191130361538	0.18173537142646157	0.17604341761680767
H2-C-M_ASD	0.14989597363442309	0.08439827317765383	0.1606113017105	0.18921123373334614	0.17752728555630767	0.14929037476892307	0.10247313936799998	0.0	0.07590114197569231	0.13161444083846152	0.1647397720828077	0.15421471803753847	0.1089062878595	0.11692852731376924	0.08715973406146153	0.21058062721015383	0.21745755578896156	0.20541793490384613	0.22989948601530769	0.10869693089965388	0.21321543644715382	0.25296325601553843	0.17779390840792306	0.18881387779880768	0.17700291287776926	0.08767830827503845	0.12397482550515382	0.18781186421973076	0.2754176672090769	0.22742078781734618	0.19658827564276923	0.23388646871653848	0.09175779290315385	0.2405448837559231	0.1510383452426154	0.12947482054219228	0.13434335729957694	0.08821409355546153	0.18279369836096154	0.1654802788213077	0.12825369911611537	0.20423376269899995	0.15831734164880773	0.16572125098192309	0.12815868701023075	0.1371487594551923
H2-C-T_ASD	0.1650835824765	0.12019546099419232	0.1675135984211154	0.2045630245365	0.19552356982784616	0.14815452000723078	0.07165170743715385	0.07590114197569231	0.0	0.14483122764469228	0.18207201529303846	0.16891585439153847	0.12490490725150001	0.08438651578853847	0.056558907392307685	0.20844065323284616	0.21011326964488464	0.21985879099923075	0.2527674765560769	0.12679341949626927	0.21748988712923076	0.2568604979421538	0.19467271431215386	0.2033652268374231	0.18157701943800003	0.06574281360119232	0.080431316876	0.2036145386857308	0.28337053429092307	0.2515957708227308	0.2101373320826154	0.23105613223315385	0.093217926467	0.23152389864484615	0.1699454531506923	0.14201057484003843	0.1453817663358077	0.10948522420707693	0.18590215349003844	0.18820350324776924	0.10273267141042305	0.2138829571612308	0.17824313638319228	0.18210719262776925	0.1497166453843077	0.16093399022434618
H3-A-B_ASD	0.08723965851650002	0.09059048526088462	0.12192503605111538	0.12471514407511539	0.13102804460892306	0.08569301057561539	0.14550980984569228	0.13161444083846152	0.14483122764469228	0.0	0.1072957551271154	0.0880843661873077	0.08283875346757692	0.18539496837784614	0.13446449025807694	0.12935671088353845	0.17957338246080773	0.14095614059146155	0.17562032643123077	0.12390689772003845	0.15153834292784618	0.17608899951015386	0.13762346065761538	0.13734223654911537	0.11345641404407694	0.16464018495934613	0.16492051470915384	0.15003527793826923	0.20861450892838462	0.17880684319396156	0.13957120335115386	0.17678990622115387	0.10872277197776922	0.19654345396192308	0.11454752492415385	0.07204646145380769	0.11102455015757694	0.11751610623576923	0.11694178476865386	0.1430075504356154	0.0813390990998846	0.18332593484084614	0.1373519814715	0.12177488664646155	0.10751923732253846	0.08500667152211538
