	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12
Feb9-4-8	0.0	0.321754816943	0.296438273138	0.375738980058	0.425432629265	0.332545740773	0.319482159806	0.325893819084	0.309234891256	0.332160440915	0.325259979566	0.335392054155	0.36499246892	0.445474373395	0.332725187149	0.436830795282	0.384116544566	0.350502281744	0.374092358023	0.330490434556	0.436916166391	0.326089186411	0.37547694442	0.398382449113	0.426793681781	0.285710549844	0.411642129974	0.320970351808	0.439011010125	0.421793852897	0.366393263287	0.269060972013	0.327442511797	0.349613873426	0.376053221281	0.371180124932	0.402813574756	0.326008323517	0.323915533462	0.325138238119	0.338947375881	0.384203668112	0.322899327805	0.330017782064	0.320926030956	0.337878870408	0.300098325666	0.373726535358	0.327851654118	0.357806665429	0.269756199396	0.386674213024	0.40041740857	0.34323420402	0.453396732722	0.323487655165	0.419739448794	0.357346064395	0.369916019223	0.404837185045	0.256584202151	0.363855278143	0.353268933272	0.348362370395	0.379402383006	0.38511798344	0.356155476117	0.390592410342
Feb10-r3-a	0.321754816943	0.0	0.38371207296	0.294089565849	0.486083391501	0.382593242391	0.233013083553	0.378189676205	0.382228815485	0.258719836475	0.402300385055	0.40705232503	0.301066144601	0.529749323445	0.428209729548	0.325284670586	0.469751711385	0.306294075471	0.304899260345	0.249870062799	0.527059375324	0.21333909792	0.286479990182	0.336370964821	0.465213040881	0.312270090312	0.32679350815	0.438690903762	0.466231513224	0.508593757809	0.486619525755	0.28826524028	0.352380303744	0.334846485294	0.32971075534	0.249609833144	0.398341622647	0.412511133011	0.276792928469	0.239906236808	0.45231371644	0.308623741104	0.283397414949	0.238387994357	0.281877528355	0.25878500869	0.40541517151	0.326776732151	0.258828644397	0.270976197363	0.341001364626	0.271407268195	0.31383177451	0.291223807561	0.370509697431	0.321346588228	0.541261732356	0.305220693612	0.308195787923	0.357528801755	0.297395737544	0.323585643263	0.23580412978	0.289345147263	0.310281541026	0.358801754548	0.543735956908	0.341988938126
Feb9-5-b	0.296438273138	0.38371207296	0.0	0.384232106037	0.337312453607	0.258294800706	0.324877908879	0.226161628848	0.22497176184	0.371584550852	0.297486051353	0.219527547825	0.371456072131	0.354195222608	0.2994180373	0.509027990828	0.346426095261	0.404332369795	0.371847070894	0.351145614288	0.345631369797	0.374832072886	0.42541720212	0.462264697798	0.378618391133	0.283652228216	0.419142540675	0.375362827891	0.340724404326	0.365690512192	0.323183312501	0.262292430971	0.30398151355	0.328712586667	0.368283168823	0.423073652542	0.33656186473	0.287597793164	0.372438939665	0.335497736849	0.275161777056	0.410055908176	0.358731935836	0.395846473443	0.379976614369	0.371620443016	0.321981528081	0.383382163222	0.373781640945	0.349288533998	0.306740255602	0.375437328814	0.464879341626	0.429879694233	0.429820771831	0.303956080667	0.339656819649	0.380718161084	0.400957470854	0.382451226275	0.331919710662	0.391208324025	0.400654099189	0.400137667016	0.390059347885	0.420227551859	0.402309445279	0.454352367239
Feb7-15	0.375738980058	0.294089565849	0.384232106037	0.0	0.449677828292	0.386004796092	0.298221458534	0.378270479213	0.398269036764	0.328463061302	0.407521218551	0.406794851004	0.302694842601	0.475583213619	0.410559148997	0.413956181285	0.410430442792	0.30218389907	0.306487295259	0.310388000589	0.524274306061	0.284470859807	0.323170226235	0.35446821105	0.454226163396	0.332687598574	0.360237267591	0.494796839425	0.526022609057	0.475123004989	0.474551575522	0.309834075729	0.346618704099	0.315263015557	0.288050231328	0.293479377544	0.404497726664	0.435173803099	0.28914469989	0.305444015879	0.455702604596	0.324630661106	0.261694718428	0.287346918536	0.314102326982	0.291497268752	0.407516862317	0.285545756476	0.306034600869	0.310096855257	0.367659432372	0.29732669098	0.399283491801	0.34798860652	0.352087825586	0.299998106462	0.513595622846	0.280525838031	0.323979730091	0.30603126938	0.349569533744	0.303509083396	0.349780809122	0.279160840551	0.307319915065	0.323284960305	0.518967607762	0.345742543648
Feb9-3-a	0.425432629265	0.486083391501	0.337312453607	0.449677828292	0.0	0.334652579238	0.448105792914	0.395173140332	0.348050419119	0.472558739024	0.377367112785	0.323881010943	0.453442614506	0.344610787731	0.367639802204	0.541809047434	0.326738371529	0.488086095584	0.476040931513	0.464051334278	0.296050229185	0.468009980629	0.491714552184	0.542933133693	0.422890401864	0.443372477291	0.517675402602	0.408752937249	0.344317476536	0.431032785817	0.317206875072	0.409372138473	0.398188583042	0.428784715466	0.425649999003	0.527654867169	0.411893167083	0.400349558976	0.481192716555	0.433757130655	0.339063399205	0.485607548735	0.46389425873	0.493148275649	0.446320352334	0.486011990704	0.411953990378	0.456373147618	0.458858079204	0.4386358798	0.43767549016	0.500141553633	0.533220100815	0.501268713613	0.494115591706	0.397052892962	0.394550048997	0.460465856948	0.467505779123	0.465306686471	0.437160409548	0.469907146753	0.506665199184	0.491830275598	0.475734254499	0.45291186177	0.412099323177	0.510034453498
Feb9-5-a	0.332545740773	0.382593242391	0.258294800706	0.386004796092	0.334652579238	0.0	0.35286932902	0.275042321099	0.308911111288	0.352907137743	0.302263810844	0.301994569463	0.354112752905	0.357739389117	0.328412777761	0.452029573346	0.373341926288	0.386273142609	0.377661318779	0.326049319364	0.359160949414	0.340677943056	0.423243270346	0.477577952115	0.431120946832	0.355915459336	0.436198283782	0.397992358416	0.330181455932	0.433201425118	0.366491377976	0.292493560823	0.30872221461	0.326631927541	0.347450332346	0.431797229156	0.358224903405	0.339488130128	0.385031509487	0.330783213828	0.351654916402	0.392789690385	0.318597981574	0.369578342743	0.382007965033	0.362992984013	0.390065710631	0.376342926225	0.343800857593	0.341312270206	0.372250054153	0.397966316749	0.459593418901	0.406153164807	0.406713012786	0.333105178357	0.446209689215	0.368727353445	0.375080592617	0.382082629801	0.364039457869	0.384433170336	0.407542585573	0.380130366336	0.370614021948	0.38232654979	0.447269150572	0.462344156174
Feb10-r4-a	0.319482159806	0.233013083553	0.324877908879	0.298221458534	0.448105792914	0.35286932902	0.0	0.340078165406	0.358813785946	0.303985635734	0.372639874947	0.366800657665	0.293170989255	0.507138065172	0.376399660622	0.402472548771	0.428791199512	0.272511897499	0.296971784227	0.236041474473	0.501579474593	0.233615004096	0.290393903353	0.363539823482	0.456836881799	0.282191957251	0.345905688692	0.418726127012	0.480708003923	0.469509475686	0.447894149196	0.255126834747	0.311825081182	0.287908083912	0.31300235213	0.309887406479	0.387196465489	0.376241495122	0.261128181238	0.241640014353	0.402035738915	0.318945846892	0.256108939896	0.250057518384	0.313478961484	0.254868544931	0.356473651435	0.29615353523	0.264288802232	0.289155673438	0.308629833574	0.261514672115	0.367379315677	0.343247428163	0.350112095029	0.318073860209	0.49342108242	0.294447757856	0.311103741661	0.331846759608	0.304450998677	0.333668405186	0.285358514959	0.296371860134	0.318053257355	0.353380107626	0.50532647966	0.357268710007
Feb9-3-b	0.325893819084	0.378189676205	0.226161628848	0.378270479213	0.395173140332	0.275042321099	0.340078165406	0.0	0.265332652333	0.331631708567	0.290507957031	0.285925937395	0.359868929845	0.374410322956	0.340011831878	0.514706312384	0.39999533171	0.38056004895	0.399660480754	0.330227110454	0.361039836732	0.362386804039	0.430579779363	0.468533833771	0.411259200362	0.296693931774	0.427803533474	0.392230069968	0.351542629099	0.390784848409	0.375250940373	0.286216513466	0.294630299014	0.355930639476	0.377769974999	0.419020872516	0.346662886537	0.332832656109	0.348703090506	0.327113391845	0.309936699404	0.386671145904	0.334599688259	0.353443793465	0.383771449147	0.353335848072	0.360039304135	0.34257204096	0.357108925667	0.362304547469	0.3059813205	0.390942777412	0.466732286963	0.397175585367	0.4185809922	0.324575360816	0.386103518623	0.345651756595	0.371714374674	0.369150321313	0.332944049127	0.387850727967	0.425830264765	0.374901770952	0.401585661947	0.422640243871	0.459895761106	0.480153976921
Feb9-4-20	0.309234891256	0.382228815485	0.22497176184	0.398269036764	0.348050419119	0.308911111288	0.358813785946	0.265332652333	0.0	0.40148603131	0.302484945008	0.267269793575	0.394168409923	0.376578021977	0.343838468058	0.463964994833	0.373617635927	0.391200771523	0.389814921317	0.355109627031	0.38088347317	0.382595443447	0.440117864629	0.472037617147	0.398895733912	0.301402482543	0.423891326834	0.378478249199	0.365510301352	0.361903127216	0.356145107945	0.277280911123	0.329505942183	0.377680713172	0.355323254227	0.453211445601	0.342573074749	0.330929040637	0.378947125291	0.342424896568	0.327851253027	0.393412005445	0.363562011543	0.395416941483	0.373110465408	0.372839888289	0.334221189227	0.387418615693	0.382045340527	0.368294657709	0.347474827795	0.380859994303	0.450427830939	0.429936799666	0.428666086368	0.339535323861	0.374263002592	0.396156999538	0.41491217487	0.39954619327	0.342065430683	0.394296080698	0.41662329526	0.390345112506	0.410308307734	0.4123579456	0.44099916235	0.456292382414
Feb8-55	0.332160440915	0.258719836475	0.371584550852	0.328463061302	0.472558739024	0.352907137743	0.303985635734	0.331631708567	0.40148603131	0.0	0.399429694006	0.390597018836	0.292742137281	0.537377813522	0.388132578397	0.350566365375	0.4165056218	0.35292441122	0.360814139487	0.295639954741	0.503240755738	0.254784790617	0.30620574404	0.349350655521	0.483617621341	0.348159336738	0.393880835752	0.407560795996	0.449214674367	0.525145548745	0.477681425168	0.342504815335	0.334890489868	0.305499173483	0.369041092884	0.297348991959	0.386721147315	0.423046845219	0.284289926254	0.236378229962	0.450519782667	0.249298905139	0.253012063622	0.242310593084	0.293808709589	0.282727461534	0.415863694183	0.314202151813	0.259694973057	0.232218009538	0.327956725628	0.351060005202	0.351630447683	0.227679207404	0.410345868488	0.335554269592	0.54294333434	0.29400913808	0.246078407981	0.304055596362	0.290731678096	0.296985634588	0.311214362362	0.272401978306	0.350124909817	0.31791600106	0.486207480935	0.341880783958
