	SG1-TOP-2016-02mt-13a	SG1-TOP-2016-02mt-9b	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02mt-17b	SG1-TOP-2016-02mt-2-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02mt-10-1	SG1-TOP-2016-02mt-17a	SG1-BOT-2016-02-9-3	SG1-TOP-2016-02mt-1-2	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-8-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-02mt-1	SG1-TOP-2016-02mt-3-1	SG1-BOT-2016-02-8-2
SG1-TOP-2016-02mt-13a	0.0	0.242014068259	0.19600135217	0.214457174625	0.255529716249	0.212179186653	0.198429324469	0.2187006229	0.222069777983	0.432330195396	0.238345843727	0.332491853159	0.36269307332	0.395843499944	0.37366136883	0.326827993317	0.259511170862	0.38262455695
SG1-TOP-2016-02mt-9b	0.242014068259	0.0	0.23027218598	0.285059126847	0.263551465706	0.256782478132	0.204836404682	0.246363106157	0.251764125186	0.516580280087	0.274097863724	0.433430909975	0.469728316225	0.462471820867	0.452121321184	0.36980802159	0.291756332028	0.483860834637
SG1-TOP-2016-02mt-13b	0.19600135217	0.23027218598	0.0	0.211359866608	0.226604740056	0.1993258762	0.180305771431	0.186425721583	0.201816805714	0.447995397928	0.208169356308	0.340126238299	0.391713045787	0.395367667635	0.385266380106	0.292374861403	0.251554541307	0.40894907007
SG1-TOP-2016-02mt-17b	0.214457174625	0.285059126847	0.211359866608	0.0	0.275300951473	0.230521695144	0.233023009078	0.248189596993	0.261778132831	0.438585388118	0.248134600636	0.343155247573	0.387493721338	0.39728891812	0.360885680075	0.309301947596	0.286632717736	0.382948203513
SG1-TOP-2016-02mt-2-2	0.255529716249	0.263551465706	0.226604740056	0.275300951473	0.0	0.239008728224	0.22453473474	0.246063542121	0.250095240116	0.419405307395	0.236575957831	0.341519775601	0.379117552019	0.412469925828	0.374276698004	0.313128400777	0.222501262706	0.409079922085
SG1-TOP-2016-02mt-1b	0.212179186653	0.256782478132	0.1993258762	0.230521695144	0.239008728224	0.0	0.211151803752	0.212229024501	0.251951033297	0.39970538243	0.240006140472	0.324184837735	0.338647897625	0.352254550395	0.348175995931	0.289346865546	0.247299980395	0.37527464891
SG1-TOP-2016-02mt-1a	0.198429324469	0.204836404682	0.180305771431	0.233023009078	0.22453473474	0.211151803752	0.0	0.19301727939	0.216966104109	0.437702882376	0.230353138324	0.359563477618	0.406755018778	0.409691078856	0.385928519197	0.308774374683	0.248672386497	0.426644163247
SG1-TOP-2016-02mt-10-1	0.2187006229	0.246363106157	0.186425721583	0.248189596993	0.246063542121	0.212229024501	0.19301727939	0.0	0.225869667856	0.412530547846	0.219501743816	0.331436910397	0.355163291922	0.359093555165	0.356567175867	0.291009683161	0.21954114909	0.375521853527
SG1-TOP-2016-02mt-17a	0.222069777983	0.251764125186	0.201816805714	0.261778132831	0.250095240116	0.251951033297	0.216966104109	0.225869667856	0.0	0.458113619912	0.23440156044	0.36771151549	0.406702652627	0.399674548369	0.387347972803	0.312867633114	0.250700687204	0.440423473158
SG1-BOT-2016-02-9-3	0.432330195396	0.516580280087	0.447995397928	0.438585388118	0.419405307395	0.39970538243	0.437702882376	0.412530547846	0.458113619912	0.0	0.450096744711	0.337217997665	0.267218380119	0.322498480759	0.207465559788	0.315022035328	0.389379404437	0.315888009493
