	Feb10-r1-a_SPA	Feb10-r2-a_SPA	Feb10-r3-a_SPA	Feb10-r4-a_SPA	Feb10-r5-a_SPA	Feb10-r6-a_SPA	Feb10-r7-a_SPA	Feb7-1_SPA	Feb7-12_SPA	Feb7-15_SPA	Feb7-20_SPA	Feb7-3_SPA	Feb7-6_SPA	Feb7-9_SPA	Feb8-12_SPA	Feb8-15_SPA	Feb8-19_SPA	Feb8-2_SPA	Feb8-23_SPA	Feb8-27_SPA	Feb8-32_SPA	Feb8-33_SPA	Feb8-35_SPA	Feb8-37_SPA	Feb8-39_SPA	Feb8-41_SPA	Feb8-43_SPA	Feb8-45_SPA	Feb8-47_SPA	Feb8-49_SPA	Feb8-5_SPA	Feb8-51_SPA	Feb8-53_SPA	Feb8-55_SPA	Feb8-61_SPA	Feb8-65_SPA	Feb8-7_SPA	Feb8-9_SPA	Feb9-1-a_SPA	Feb9-1-b_SPA	Feb9-2-a_SPA	Feb9-2-b_SPA	Feb9-3-a_SPA	Feb9-3-b_SPA	Feb9-4-11_SPA	Feb9-4-14_SPA	Feb9-4-17_SPA	Feb9-4-2_SPA	Feb9-4-20_SPA	Feb9-4-22_SPA	Feb9-4-24_SPA	Feb9-4-26_SPA	Feb9-4-28_SPA	Feb9-4-30-a_SPA	Feb9-4-4_SPA	Feb9-4-6_SPA	Feb9-4-8_SPA	Feb9-4-a_SPA	Feb9-4-b_SPA	Feb9-5-a_SPA	Feb9-5-b_SPA	Feb9-6-a_SPA	Feb9-6-b_SPA	Feb9-7-a_SPA	Feb9-7-b_SPA	Feb9-8-a_SPA	Feb9-8-b_SPA	SG1-E-mid_SPA
Feb10-r1-a_SPA	0.0	0.8369230769230769	0.9476923076923077	1.0	0.8592307692307692	0.8346153846153846	0.8530769230769231	0.8661538461538462	0.9415384615384615	0.9438461538461539	0.8869230769230769	0.8323076923076923	0.9484615384615385	0.9076923076923077	0.9438461538461539	0.9484615384615385	0.9438461538461539	0.9438461538461539	0.8923076923076924	0.8607692307692307	1.0	0.9453846153846154	0.9438461538461539	0.9484615384615385	0.786923076923077	0.916923076923077	0.8992307692307693	0.8353846153846154	0.9146153846153846	0.8853846153846154	0.79	0.8369230769230769	0.7607692307692308	0.9615384615384616	0.8353846153846154	1.0	0.97	1.0	0.946923076923077	0.936923076923077	1.0	0.9192307692307692	1.0	0.9161538461538462	1.0	0.9338461538461539	1.0	0.9484615384615385	0.9438461538461539	0.9546153846153846	1.0	0.9946153846153846	1.0	1.0	0.8923076923076924	1.0	0.9484615384615385	0.9438461538461539	0.8676923076923077	1.0	0.8407692307692308	0.9484615384615385	0.8807692307692307	1.0	1.0	0.8461538461538461	0.8076923076923077	0.9438461538461539
Feb10-r2-a_SPA	0.8369230769230769	0.0	0.7346153846153847	0.8838461538461538	0.9253846153846154	0.8353846153846154	0.8546153846153847	0.8507692307692307	0.9215384615384615	0.9515384615384616	0.8546153846153847	0.8784615384615385	0.9123076923076923	1.0	0.85	0.8723076923076923	0.7430769230769231	0.7938461538461539	0.8361538461538461	0.8238461538461539	1.0	0.7838461538461539	0.8907692307692308	0.8569230769230769	0.8015384615384615	0.7984615384615384	0.946923076923077	0.936923076923077	0.8376923076923077	0.8907692307692308	0.8769230769230769	0.8461538461538461	0.7723076923076924	0.8976923076923077	0.9392307692307692	0.8430769230769231	1.0	0.9515384615384616	0.8984615384615384	0.9076923076923077	0.9915384615384616	1.0	0.946923076923077	0.9669230769230769	1.0	0.87	1.0	0.9253846153846154	0.9515384615384616	0.9015384615384615	0.953076923076923	0.9946153846153846	0.9123076923076923	0.9461538461538461	0.8623076923076923	0.9676923076923077	0.8638461538461538	0.8738461538461538	0.9423076923076923	1.0	0.8869230769230769	0.9253846153846154	0.8592307692307692	0.9253846153846154	1.0	0.7961538461538461	0.8984615384615384	0.9515384615384616
Feb10-r3-a_SPA	0.9476923076923077	0.7346153846153847	0.0	0.78	0.9061538461538462	0.8646153846153846	0.8515384615384616	0.6476923076923077	0.8738461538461538	1.0	0.8061538461538461	0.9961538461538462	0.8	0.9407692307692308	0.8684615384615385	0.9484615384615385	0.8223076923076923	0.8392307692307692	0.9661538461538461	0.8569230769230769	1.0	0.8061538461538461	0.823076923076923	0.9038461538461539	0.9553846153846154	0.8361538461538461	0.9484615384615385	0.8792307692307693	0.7761538461538462	0.8707692307692307	0.8861538461538462	0.9692307692307692	0.8	0.7776923076923077	0.9038461538461539	0.8038461538461539	1.0	0.7930769230769231	0.9484615384615385	1.0	0.9915384615384616	1.0	0.9484615384615385	0.9146153846153846	1.0	0.9484615384615385	1.0	0.8961538461538462	0.9976923076923077	0.9484615384615385	0.953076923076923	1.0	0.9376923076923077	0.9415384615384615	0.9853846153846154	0.9892307692307692	0.8730769230769231	0.9307692307692308	1.0	1.0	0.9569230769230769	1.0	0.9592307692307692	0.946923076923077	0.9961538461538462	0.8361538461538461	0.8707692307692307	0.9038461538461539
Feb10-r4-a_SPA	1.0	0.8838461538461538	0.78	0.0	0.8507692307692307	0.9492307692307692	0.8830769230769231	0.7453846153846154	1.0	1.0	0.8907692307692308	1.0	0.9276923076923077	0.953076923076923	0.9323076923076923	0.8246153846153846	0.7738461538461539	1.0	0.9961538461538462	0.8384615384615385	1.0	0.7376923076923076	0.7115384615384616	0.916923076923077	0.8607692307692307	0.8092307692307692	0.9323076923076923	0.9353846153846154	0.703076923076923	0.9023076923076923	1.0	0.9561538461538461	0.8338461538461538	0.8746153846153846	0.7615384615384615	0.7353846153846154	1.0	0.9784615384615385	0.8476923076923077	1.0	0.9138461538461539	1.0	0.8546153846153847	0.9161538461538462	1.0	0.8723076923076923	0.9607692307692308	0.9084615384615384	0.9130769230769231	0.933076923076923	0.9669230769230769	1.0	0.8538461538461538	1.0	1.0	0.9769230769230769	0.8523076923076923	0.9523076923076923	0.9861538461538462	0.86	0.8830769230769231	0.9484615384615385	1.0	1.0	0.8776923076923077	0.8623076923076923	0.9446153846153846	0.9515384615384616
Feb10-r5-a_SPA	0.8592307692307692	0.9253846153846154	0.9061538461538462	0.8507692307692307	0.0	0.813076923076923	0.94	0.8892307692307693	0.8476923076923077	1.0	0.9061538461538462	0.7807692307692308	0.8192307692307692	0.9707692307692307	1.0	0.8407692307692308	1.0	1.0	0.9130769230769231	0.9030769230769231	1.0	0.963076923076923	1.0	0.7846153846153846	0.8461538461538461	0.8869230769230769	1.0	0.9738461538461538	0.98	0.9161538461538462	0.9130769230769231	0.8646153846153846	0.9346153846153846	0.8530769230769231	1.0	1.0	1.0	0.9061538461538462	1.0	1.0	1.0	1.0	1.0	0.9507692307692308	0.9992307692307693	0.8284615384615385	1.0	0.8938461538461538	1.0	1.0	0.9938461538461538	0.9238461538461539	1.0	1.0	0.9130769230769231	1.0	0.9015384615384615	1.0	0.9423076923076923	0.7953846153846154	1.0	0.8615384615384616	1.0	1.0	1.0	0.8707692307692307	0.7007692307692308	0.9061538461538462
Feb10-r6-a_SPA	0.8346153846153846	0.8353846153846154	0.8646153846153846	0.9492307692307692	0.813076923076923	0.0	0.9323076923076923	0.8769230769230769	0.8807692307692307	0.9338461538461539	0.8007692307692308	0.8269230769230769	0.8323076923076923	1.0	0.8946153846153846	0.8384615384615385	0.8869230769230769	0.953076923076923	0.87	0.7361538461538462	0.9730769230769231	0.9007692307692308	0.9607692307692308	0.75	0.8038461538461539	0.7046153846153846	0.8946153846153846	0.9615384615384616	0.8692307692307693	0.9184615384615384	0.87	0.8407692307692308	0.7007692307692308	0.7884615384615384	0.9746153846153847	0.9446153846153846	1.0	0.92	0.813076923076923	1.0	0.936923076923077	1.0	0.9492307692307692	0.9453846153846154	1.0	0.85	1.0	0.9092307692307692	0.9584615384615385	0.8830769230769231	1.0	0.9946153846153846	0.92	1.0	0.87	0.9523076923076923	0.8830769230769231	0.9607692307692308	0.8453846153846154	0.9807692307692307	0.92	0.9092307692307692	0.9415384615384615	1.0	0.9307692307692308	0.9092307692307692	0.8815384615384615	0.8653846153846154
Feb10-r7-a_SPA	0.8530769230769231	0.8546153846153847	0.8515384615384616	0.8830769230769231	0.94	0.9323076923076923	0.0	0.8415384615384616	1.0	1.0	0.9861538461538462	1.0	1.0	0.8269230769230769	0.9869230769230769	1.0	0.9038461538461539	1.0	0.9861538461538462	0.9869230769230769	1.0	0.8746153846153846	0.8846153846153846	1.0	0.916923076923077	0.8930769230769231	0.9253846153846154	0.8923076923076924	0.8792307692307693	0.8923076923076924	1.0	0.9084615384615384	0.8207692307692308	1.0	0.8253846153846154	1.0	0.9407692307692308	1.0	1.0	0.87	0.9253846153846154	1.0	1.0	0.7161538461538461	0.953076923076923	0.9984615384615385	0.9892307692307692	0.9907692307692307	1.0	1.0	1.0	1.0	0.9515384615384616	0.9284615384615384	0.8476923076923077	0.953076923076923	1.0	0.8792307692307693	0.953076923076923	0.9284615384615384	1.0	0.953076923076923	0.87	0.9876923076923076	0.9407692307692308	0.9046153846153846	1.0	0.9869230769230769
Feb7-1_SPA	0.8661538461538462	0.8507692307692307	0.6476923076923077	0.7453846153846154	0.8892307692307693	0.8769230769230769	0.8415384615384616	0.0	0.87	1.0	0.7084615384615385	0.9392307692307692	0.7646153846153846	0.89	1.0	0.9707692307692307	0.7684615384615384	0.9115384615384615	1.0	0.9084615384615384	1.0	0.8469230769230769	0.7638461538461538	0.8892307692307693	0.9653846153846154	0.8807692307692307	0.9853846153846154	0.8930769230769231	0.7892307692307692	0.9192307692307692	1.0	0.9930769230769231	0.8061538461538461	0.8961538461538462	0.8361538461538461	0.7246153846153847	1.0	0.9184615384615384	0.9153846153846154	1.0	0.9223076923076923	1.0	0.9153846153846154	0.8823076923076923	1.0	0.9669230769230769	1.0	0.8569230769230769	0.9153846153846154	1.0	0.9961538461538462	1.0	0.9346153846153846	0.9907692307692307	1.0	1.0	0.9146153846153846	1.0	1.0	0.8861538461538462	0.9153846153846154	0.9707692307692307	0.9907692307692307	0.9892307692307692	0.9153846153846154	0.8561538461538462	0.9	0.91
Feb7-12_SPA	0.9415384615384615	0.9215384615384615	0.8738461538461538	1.0	0.8476923076923077	0.8807692307692307	1.0	0.87	0.0	0.94	0.7907692307692308	0.8946153846153846	0.8407692307692308	1.0	0.8807692307692307	1.0	0.9061538461538462	0.8923076923076924	0.8984615384615384	0.9161538461538462	1.0	0.8484615384615385	0.9007692307692308	0.8992307692307693	0.9753846153846154	0.8669230769230769	1.0	0.9753846153846154	0.9223076923076923	0.8853846153846154	0.9023076923076923	0.9230769230769231	0.8984615384615384	0.8953846153846153	1.0	1.0	0.87	0.7953846153846154	0.946923076923077	1.0	1.0	1.0	1.0	0.9592307692307692	1.0	1.0	1.0	1.0	0.8984615384615384	0.9546153846153846	0.97	0.9361538461538461	1.0	0.97	0.8984615384615384	1.0	1.0	0.87	1.0	0.9415384615384615	0.8869230769230769	1.0	0.8984615384615384	0.97	1.0	0.9723076923076923	0.8992307692307693	0.7
Feb7-15_SPA	0.9438461538461539	0.9515384615384616	1.0	1.0	1.0	0.9338461538461539	1.0	1.0	0.94	0.0	0.94	0.7723076923076924	1.0	1.0	0.8630769230769231	0.8438461538461538	0.94	0.803076923076923	0.936923076923077	0.9207692307692308	0.9076923076923077	0.9353846153846154	0.94	1.0	1.0	0.9684615384615385	1.0	1.0	0.94	0.95	0.94	0.9407692307692308	0.94	1.0	0.9807692307692307	0.9830769230769231	1.0	1.0	0.946923076923077	0.9069230769230769	1.0	1.0	1.0	1.0	0.9907692307692307	1.0	0.9846153846153847	1.0	0.94	0.9546153846153846	0.9069230769230769	0.9015384615384615	1.0	1.0	0.9223076923076923	1.0	1.0	0.94	1.0	0.9684615384615385	0.94	1.0	0.94	1.0	0.9423076923076923	1.0	1.0	0.94
