	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-8-2	SG1-BOT-2016-02-8-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-02-9-3	SG1-BOT-2016-02mt-1	SG1-TOP-2016-02mt-1-2	SG1-TOP-2016-02mt-10-1	SG1-TOP-2016-02mt-13a	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02mt-17a	SG1-TOP-2016-02mt-17b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02mt-2-2	SG1-TOP-2016-02mt-3-1	SG1-TOP-2016-02mt-9b
SG1-BOT-2016-02-8-1	0.0	1.0	0.8065	0.9365	0.883	0.851	1.0	0.965	0.968	0.9165	0.9665	0.8455	0.8095	0.8665	1.0	0.73	0.8705	0.922
SG1-BOT-2016-02-8-2	1.0	0.0	0.8725	0.7225	0.736	0.912	0.8185	0.925	0.8085	0.8845	0.8535	0.9145	1.0	0.9655	0.83	0.9635	0.974	1.0
SG1-BOT-2016-02-8-3	0.8065	0.8725	0.0	1.0	0.863	0.855	0.9085	0.962	0.929	0.882	0.929	0.8875	0.9315	0.8555	1.0	0.785	0.94	0.94
SG1-BOT-2016-02-9-1	0.9365	0.7225	1.0	0.0	0.6625	0.874	0.7355	0.925	0.8295	0.9635	0.913	0.978	0.9575	0.9145	0.7195	0.9525	0.9015	1.0
SG1-BOT-2016-02-9-2	0.883	0.736	0.863	0.6625	0.0	0.8325	0.773	0.8975	0.856	0.954	0.907	0.9115	0.9975	0.938	0.766	0.836	0.905	1.0
SG1-BOT-2016-02-9-3	0.851	0.912	0.855	0.874	0.8325	0.0	0.912	0.985	0.8855	0.956	0.9605	0.9225	0.8435	0.8835	0.9005	0.8605	0.909	0.94
SG1-BOT-2016-02mt-1	1.0	0.8185	0.9085	0.7355	0.773	0.912	0.0	0.732	0.7355	0.9185	0.701	0.921	0.9205	0.899	0.7295	0.8415	0.9175	0.838
SG1-TOP-2016-02mt-1-2	0.965	0.925	0.962	0.925	0.8975	0.985	0.732	0.0	0.706	0.985	0.7455	0.897	0.8775	0.9045	0.819	0.906	0.8665	0.728
SG1-TOP-2016-02mt-10-1	0.968	0.8085	0.929	0.8295	0.856	0.8855	0.7355	0.706	0.0	0.9045	0.7035	0.843	0.866	0.814	0.7205	0.8275	0.826	0.765
SG1-TOP-2016-02mt-13a	0.9165	0.8845	0.882	0.9635	0.954	0.956	0.9185	0.985	0.9045	0.0	0.812	0.94	0.989	0.9175	0.9585	0.865	1.0	0.9905
SG1-TOP-2016-02mt-13b	0.9665	0.8535	0.929	0.913	0.907	0.9605	0.701	0.7455	0.7035	0.812	0.0	0.872	0.873	0.916	0.807	0.8355	0.8765	0.813
SG1-TOP-2016-02mt-17a	0.8455	0.9145	0.8875	0.978	0.9115	0.9225	0.921	0.897	0.843	0.94	0.872	0.0	0.8505	0.8355	0.978	0.706	0.6895	0.83
SG1-TOP-2016-02mt-17b	0.8095	1.0	0.9315	0.9575	0.9975	0.8435	0.9205	0.8775	0.866	0.989	0.873	0.8505	0.0	0.881	0.9095	0.767	0.8315	0.817
SG1-TOP-2016-02mt-1a	0.8665	0.9655	0.8555	0.9145	0.938	0.8835	0.899	0.9045	0.814	0.9175	0.916	0.8355	0.881	0.0	0.872	0.7875	0.8495	0.7875
SG1-TOP-2016-02mt-1b	1.0	0.83	1.0	0.7195	0.766	0.9005	0.7295	0.819	0.7205	0.9585	0.807	0.978	0.9095	0.872	0.0	0.945	0.921	0.8975
SG1-TOP-2016-02mt-2-2	0.73	0.9635	0.785	0.9525	0.836	0.8605	0.8415	0.906	0.8275	0.865	0.8355	0.706	0.767	0.7875	0.945	0.0	0.7375	0.8685
SG1-TOP-2016-02mt-3-1	0.8705	0.974	0.94	0.9015	0.905	0.909	0.9175	0.8665	0.826	1.0	0.8765	0.6895	0.8315	0.8495	0.921	0.7375	0.0	0.829
SG1-TOP-2016-02mt-9b	0.922	1.0	0.94	1.0	1.0	0.94	0.838	0.728	0.765	0.9905	0.813	0.83	0.817	0.7875	0.8975	0.8685	0.829	0.0
