	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H5-B-T	0.0	0.256840274658	0.186281396267	0.231381542558	0.209664302277	0.240229726654	0.252637826079	0.252699060084	0.24932928935	0.295043012967	0.319400146961	0.239254633403	0.235343165614	0.239445819757	0.217520560034	0.211942732646	0.184309798565	0.265901391674	0.263900769866	0.26740203078	0.246983141341	0.254268643964	0.284884859856	0.255750168107	0.20943319901	0.196577797484	0.251612804943	0.238987496209	0.288819894907	0.26027534923	0.276275324859	0.32249748268	0.18397235084	0.273937637431	0.277868079324	0.253040262772	0.28674077424	0.194591554937	0.245136111996	0.240653635002	0.278578550079	0.264034838087	0.25634024495	0.247283359532	0.287427560439	0.267857754697
H4-A-B	0.256840274658	0.0	0.274794507314	0.24997130256	0.327147096257	0.29929664239	0.29150795787	0.250703178655	0.350479125469	0.391014582502	0.357739466308	0.199051703546	0.323045972845	0.321400854567	0.302788647369	0.218697104274	0.281214223101	0.214339318703	0.366650686592	0.335496896033	0.274161967718	0.334311136514	0.368697024737	0.312521163893	0.25530848282	0.290029975842	0.226092889539	0.274919586711	0.285747386101	0.293994202095	0.347566483418	0.25625878434	0.288071155914	0.273343145072	0.300695808924	0.340453103831	0.352997702119	0.280322127472	0.297767107776	0.347928524005	0.329348460166	0.305777170243	0.28454957184	0.361296173811	0.291685577223	0.3533019093
H6-A-M	0.186281396267	0.274794507314	0.0	0.249830027696	0.21192397593	0.21799516642	0.276596729718	0.268376875359	0.233134605359	0.262998398652	0.300793367315	0.240795190824	0.179934506842	0.234155161476	0.170961437826	0.220289688522	0.20069986416	0.282382734669	0.240307854559	0.232059919106	0.255463702645	0.197707265828	0.258637772583	0.262841083222	0.221114933309	0.170249328768	0.247321380264	0.230250162041	0.286007640575	0.235537479776	0.26212722035	0.325103087802	0.141691503962	0.267095592704	0.272908085393	0.247373182209	0.263091988139	0.228377000246	0.229648679864	0.185169946046	0.238219160307	0.243670000744	0.239004436531	0.227304194573	0.272757069367	0.264118148069
H5-B-B	0.231381542558	0.24997130256	0.249830027696	0.0	0.264846905018	0.328695847091	0.320569871445	0.187894199501	0.364765956906	0.397140627627	0.388944298079	0.286510594633	0.290582940601	0.332492487253	0.292477967215	0.263255299465	0.285720662371	0.213542565341	0.367452380015	0.331027394807	0.313821775286	0.289760517048	0.340782385722	0.345420667835	0.28548228922	0.292331677607	0.259832733476	0.291387492232	0.294248861475	0.296366551742	0.374398224912	0.284581388444	0.282884761067	0.308626442911	0.316484548037	0.370482223925	0.346514730618	0.257842756486	0.337677396594	0.332121759493	0.352326185004	0.27584636732	0.313043237868	0.355639355328	0.302157935014	0.377671657908
H5-B-M	0.209664302277	0.327147096257	0.21192397593	0.264846905018	0.0	0.288589093572	0.280719033258	0.319851970589	0.246631115293	0.306853501085	0.387654281418	0.287221529861	0.284994972469	0.303061238522	0.276030001011	0.250460524014	0.261267588559	0.330413754347	0.274269390555	0.336776071804	0.317684791417	0.292599525521	0.319489007419	0.292380074273	0.275074586225	0.264335875415	0.285690591656	0.306169313391	0.36717390648	0.296486169695	0.335673171297	0.395820122561	0.229347541043	0.328768641569	0.304721910662	0.3147860205	0.331099204008	0.206423501856	0.331761181608	0.253409740084	0.31982092318	0.291173605086	0.319617603729	0.23600112194	0.339031001248	0.269978568578
H4-C-M	0.240229726654	0.29929664239	0.21799516642	0.328695847091	0.288589093572	0.0	0.308337669371	0.311825633913	0.260119799937	0.282741104496	0.262041761185	0.25443615053	0.245050716466	0.260941337294	0.201960721544	0.209895418325	0.202133081537	0.322011985682	0.268540661641	0.233332364837	0.222085601788	0.26570404017	0.285078900344	0.266829660659	0.218626376722	0.221252796653	0.295813010306	0.238508875241	0.283781857738	0.265379033235	0.220610005112	0.347414243726	0.219653702535	0.260792738342	0.317337700597	0.217065689787	0.265806800988	0.276668491408	0.209221000842	0.242916385134	0.20910439753	0.297949655965	0.218939827926	0.271000861418	0.29136858545	0.280133980617
H7-B-T	0.252637826079	0.29150795787	0.276596729718	0.320569871445	0.280719033258	0.308337669371	0.0	0.339740136556	0.252672738328	0.343880207606	0.381535024195	0.250803287774	0.348236125155	0.29527667845	0.31153862847	0.251269429415	0.310806489816	0.306350495004	0.33185463175	0.3589019302	0.275807506063	0.358824324897	0.376316932952	0.175270552446	0.255718854907	0.276182270345	0.240630005235	0.26018936575	0.353433563544	0.291453198035	0.340002080658	0.359365081794	0.252647147458	0.266220032523	0.261784738039	0.308595991137	0.368640196231	0.271615075188	0.299720609396	0.304068264472	0.335404049371	0.313595892995	0.300611261154	0.285110751363	0.307131201835	0.222698138055
H5-C-B	0.252699060084	0.250703178655	0.268376875359	0.187894199501	0.319851970589	0.311825633913	0.339740136556	0.0	0.396556915557	0.412757774165	0.359018103758	0.292527234143	0.300867352055	0.339962030886	0.287562887626	0.266075796987	0.268934776261	0.218207660932	0.395557571224	0.322812282746	0.29514447304	0.299214369017	0.363498104067	0.3481292223	0.276869863859	0.301683685769	0.257997130396	0.275641490209	0.264755485051	0.287561755486	0.367756641397	0.228180279884	0.30385140033	0.291205970874	0.318303395646	0.368848923351	0.353369032992	0.29279368751	0.316073160379	0.365604043646	0.341852684322	0.29054008738	0.288305594135	0.394402266011	0.306190387549	0.410693758678
H7-C-M	0.24932928935	0.350479125469	0.233134605359	0.364765956906	0.246631115293	0.260119799937	0.252672738328	0.396556915557	0.0	0.247577496245	0.355439550808	0.282483985757	0.286969253578	0.266361050934	0.250560680094	0.264502055609	0.272087792817	0.37276950696	0.225756496218	0.304439370313	0.30850559565	0.311640627854	0.298117430874	0.226801188117	0.283734359874	0.2256779872	0.311467482467	0.29876414499	0.373900015871	0.310941041275	0.272129107172	0.430298714262	0.218153746045	0.31790060661	0.319796586542	0.228945374864	0.297718332705	0.278643929968	0.266760779249	0.217237444124	0.289598881862	0.317180507686	0.298437296302	0.153160768618	0.338924429412	0.153861144584
H2-A-T	0.295043012967	0.391014582502	0.262998398652	0.397140627627	0.306853501085	0.282741104496	0.343880207606	0.412757774165	0.247577496245	0.0	0.294566225428	0.334115677879	0.26167425422	0.241166671243	0.264746298685	0.324233160549	0.273158798053	0.393413742194	0.166948938368	0.284137051603	0.33521174421	0.269059895661	0.222127597433	0.317851429857	0.343441058574	0.222822584288	0.364067857502	0.313654343231	0.367929921275	0.332292536337	0.247023777472	0.447803657376	0.253491820709	0.34351282065	0.332340649362	0.230745186857	0.230119353257	0.35299033672	0.254630024592	0.198261187006	0.2863390157	0.292159089852	0.318040743997	0.210235382762	0.319786486162	0.293023972742
