Data from ha05_c16L_FLMS070571_001.txt Node
Date: Tue Apr 10 13:17:57 EDT 2018
User: peter
Spectrometer: FLMS07057
Trigger mode: 0
Integration Time (sec): 1.000000E1
Scans to average: 2
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
 339.015 -1.940e-03
 339.393 -1.940e-03
 339.770  5.354e-04
 340.148  8.570e-04
 340.526  1.473e-03
 340.904  8.228e-05
 341.281  6.615e-05
 341.659 -2.292e-03
 342.036 -2.916e-03
 342.414 -3.662e-03
 342.791 -1.682e-03
 343.169 -1.340e-03
 343.546 -5.164e-04
 343.923 -3.997e-04
 344.301 -1.364e-03
 344.678 -1.210e-03
 345.055 -8.079e-04
 345.432  2.406e-04
 345.810  4.933e-04
 346.187  8.479e-04
 346.564  4.774e-04
 346.941 -3.789e-05
 347.318 -4.820e-04
 347.695 -3.289e-04
 348.071  9.030e-05
 348.448  6.315e-05
 348.825  6.741e-05
 349.202  3.664e-05
 349.578  3.585e-05
 349.955  2.207e-05
 350.332  1.323e-05
 350.708  3.227e-05
 351.085  2.852e-05
 351.461  4.549e-05
 351.838  5.179e-05
 352.214  5.611e-05
 352.591  4.525e-05
 352.967  5.112e-05
 353.343  3.780e-05
 353.719  2.101e-05
 354.096  1.606e-05
 354.472  1.760e-05
 354.848  3.987e-05
 355.224  3.089e-05
 355.600  3.084e-05
 355.976  2.514e-05
 356.352  3.949e-06
 356.728  1.348e-05
 357.104  2.692e-05
 357.479  6.027e-05
 357.855  5.187e-05
 358.231  3.220e-05
 358.607  1.982e-05
 358.982  3.241e-05
 359.358  3.496e-05
 359.734  3.024e-05
 360.109  1.701e-05
 360.484  1.754e-05
 360.860  1.874e-05
 361.235  2.745e-05
 361.611  2.860e-05
 361.986  3.724e-05
 362.361  3.292e-05
 362.736  3.411e-05
 363.112  2.532e-05
 363.487  2.897e-05
 363.862  1.609e-05
 364.237  2.268e-05
 364.612  2.033e-05
 364.987  2.477e-05
 365.362  1.472e-05
 365.737  8.383e-06
 366.112  1.361e-05
 366.486  2.095e-05
 366.861  2.075e-05
 367.236  2.374e-05
 367.610  2.198e-05
 367.985  2.528e-05
 368.360  1.709e-05
 368.734  1.771e-05
 369.109  1.422e-05
 369.483  1.508e-05
 369.858  1.607e-05
 370.232  1.535e-05
 370.606  1.718e-05
 370.981  1.681e-05
 371.355  2.787e-05
 371.729  2.603e-05
 372.103  2.082e-05
 372.477  1.189e-05
 372.851  8.359e-06
 373.225  7.297e-06
 373.599  7.107e-06
 373.973  8.352e-06
