Data from ha06_a68L_FLMS070571_001.txt Node
Date: Tue Apr 10 17:18:17 EDT 2018
User: peter
Spectrometer: FLMS07057
Trigger mode: 0
Integration Time (sec): 4.000000E-1
Scans to average: 8
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
 339.015  2.352e-02
 339.393  2.352e-02
 339.770  1.849e-02
 340.148  9.991e-03
 340.526 -8.560e-05
 340.904  3.811e-03
 341.281  4.701e-03
 341.659  5.830e-03
 342.036  1.381e-03
 342.414  1.951e-04
 342.791 -1.206e-02
 343.169 -5.801e-02
 343.546 -6.176e-02
 343.923 -6.524e-02
 344.301 -2.428e-02
 344.678 -2.157e-02
 345.055 -7.910e-03
 345.432 -9.395e-03
 345.810 -1.466e-02
 346.187 -1.070e-02
 346.564 -6.725e-03
 346.941  8.821e-04
 347.318  1.999e-03
 347.695  3.164e-03
 348.071  3.764e-03
 348.448  2.341e-03
 348.825  1.969e-03
 349.202  1.602e-03
 349.578  1.986e-03
 349.955  1.933e-03
 350.332  2.017e-03
 350.708  1.468e-03
 351.085  1.407e-03
 351.461  1.252e-03
 351.838  1.736e-03
 352.214  1.757e-03
 352.591  1.688e-03
 352.967  1.413e-03
 353.343  1.391e-03
 353.719  1.474e-03
 354.096  1.626e-03
 354.472  1.758e-03
 354.848  1.789e-03
 355.224  1.566e-03
 355.600  1.597e-03
 355.976  1.684e-03
 356.352  1.758e-03
 356.728  1.733e-03
 357.104  1.656e-03
 357.479  1.649e-03
 357.855  1.468e-03
 358.231  1.326e-03
 358.607  1.253e-03
 358.982  1.251e-03
 359.358  1.259e-03
 359.734  1.242e-03
 360.109  1.231e-03
 360.484  1.203e-03
 360.860  1.143e-03
 361.235  1.146e-03
 361.611  1.140e-03
 361.986  1.122e-03
 362.361  9.824e-04
 362.736  9.191e-04
 363.112  8.551e-04
 363.487  7.890e-04
 363.862  7.487e-04
 364.237  9.236e-04
 364.612  1.066e-03
 364.987  1.110e-03
 365.362  9.788e-04
 365.737  9.358e-04
 366.112  9.067e-04
 366.486  9.260e-04
 366.861  9.462e-04
 367.236  9.007e-04
 367.610  8.793e-04
 367.985  9.076e-04
 368.360  9.257e-04
 368.734  8.353e-04
 369.109  7.682e-04
 369.483  6.779e-04
 369.858  6.491e-04
 370.232  6.549e-04
 370.606  6.899e-04
 370.981  6.987e-04
 371.355  7.430e-04
 371.729  7.328e-04
 372.103  7.470e-04
 372.477  7.125e-04
 372.851  7.376e-04
 373.225  6.727e-04
 373.599  6.087e-04
 373.973  6.181e-04
 374.347  6.420e-04
