Data from ha06_a35L_FLMS070571_001.txt Node
Date: Tue Apr 10 16:39:33 EDT 2018
User: peter
Spectrometer: FLMS07057
Trigger mode: 0
Integration Time (sec): 8.000000E0
Scans to average: 2
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
 339.015 -3.739e-03
 339.393 -3.739e-03
 339.770 -2.217e-03
 340.148  1.603e-02
 340.526  1.681e-02
 340.904  1.623e-02
 341.281 -3.681e-03
 341.659 -3.047e-03
 342.036 -2.497e-03
 342.414  3.171e-04
 342.791  2.365e-03
 343.169  2.556e-03
 343.546  2.414e-03
 343.923  3.405e-04
 344.301 -5.472e-05
 344.678  3.353e-04
 345.055  3.120e-03
 345.432  3.511e-03
 345.810  3.487e-03
 346.187 -2.158e-04
 346.564 -6.956e-04
 346.941 -7.283e-04
 347.318  1.178e-04
 347.695  2.245e-04
 348.071  1.710e-04
 348.448  1.377e-04
 348.825  1.253e-04
 349.202  1.205e-04
 349.578  1.673e-04
 349.955  1.839e-04
 350.332  1.984e-04
 350.708  1.702e-04
 351.085  1.316e-04
 351.461  1.223e-04
 351.838  1.170e-04
 352.214  1.128e-04
 352.591  1.260e-04
 352.967  1.204e-04
 353.343  1.613e-04
 353.719  1.406e-04
 354.096  1.156e-04
 354.472  1.046e-04
 354.848  1.188e-04
 355.224  1.166e-04
 355.600  1.302e-04
 355.976  1.137e-04
 356.352  1.198e-04
 356.728  7.885e-05
 357.104  7.763e-05
 357.479  8.699e-05
 357.855  9.619e-05
 358.231  1.083e-04
 358.607  9.747e-05
 358.982  9.160e-05
 359.358  7.826e-05
 359.734  6.837e-05
 360.109  9.032e-05
 360.484  9.373e-05
 360.860  1.103e-04
 361.235  8.423e-05
 361.611  7.727e-05
 361.986  7.505e-05
 362.361  8.150e-05
 362.736  9.385e-05
 363.112  8.887e-05
 363.487  7.459e-05
 363.862  5.937e-05
 364.237  5.266e-05
 364.612  4.312e-05
 364.987  4.753e-05
 365.362  5.378e-05
 365.737  7.109e-05
 366.112  7.544e-05
 366.486  6.414e-05
 366.861  6.511e-05
 367.236  5.288e-05
 367.610  6.414e-05
 367.985  7.236e-05
 368.360  5.675e-05
 368.734  4.760e-05
 369.109  3.463e-05
 369.483  3.243e-05
 369.858  2.913e-05
 370.232  3.433e-05
 370.606  4.739e-05
 370.981  5.375e-05
 371.355  5.105e-05
 371.729  4.856e-05
 372.103  4.518e-05
 372.477  3.953e-05
 372.851  3.649e-05
 373.225  4.721e-05
 373.599  4.197e-05
 373.973  5.223e-05
 374.347  4.743e-05
