Sites	1	2	3	4
S-T1-NS	44.1	42.2	6.7	7.0
S-T2-NS	41.6	2.5	56.8	0.0
S-T3-NS	14.7	39.3	32.0	9.9
S-T4-EW	50.6	29.7	2.1	8.3
S-T5-EW	10.4	46.3	32.4	4.9
S-T6-EW	12.0	22.3	60.4	4.8
S-T7-SW-NE	18.5	23.2	36.6	21.9
S-T8-SW-NE	18.6	34.2	33.4	12.7
S-T9-SW-NE	14.0	35.6	42.5	5.8
NTop-T1-EW	6.5	12.9	30.2	43.8
NTop-T2-EW	22.1	23.9	34.7	16.5
NTop-T3-EW	28.9	17.3	12.4	37.2
NTop-T4-NS	7.8	24.3	45.3	20.3
NTop-T5-NS	9.2	26.7	39.7	21.0
NTop-T6-EW	0.0	49.6	33.7	14.8
NBot-T1_NS	56.6	16.9	15.8	2.3
NBot-T2_NS	35.8	26.7	16.9	17.9
NBot-T3_NS	36.9	23.3	30.9	5.5
NBot-T4_EW	21.6	19.8	20.6	30.5
NBot-T5_EW	51.5	26.6	18.5	0.0
NBot-T6_EW	43.7	17.7	19.7	16.4
