"Plot Title: sensor1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20298843, SEN S/N: 20298843, LBL: Temp)","RH, % (LGR S/N: 20298843, SEN S/N: 20298843, LBL: RH)"
1,02/22/18 05:13:18 PM,33.678,27.700
2,02/22/18 05:18:18 PM,32.381,25.795
3,02/22/18 05:23:18 PM,30.369,28.793
4,02/22/18 05:28:18 PM,29.389,28.750
5,02/22/18 05:33:18 PM,28.667,31.286
6,02/22/18 05:38:18 PM,28.320,32.951
7,02/22/18 05:43:18 PM,27.899,33.690
8,02/22/18 05:48:18 PM,32.639,29.110
9,02/22/18 05:53:18 PM,32.794,26.660
10,02/22/18 05:58:18 PM,32.124,26.819
11,02/22/18 06:03:18 PM,31.510,26.774
12,02/22/18 06:08:18 PM,30.950,27.009
13,02/22/18 06:13:18 PM,30.520,27.323
14,02/22/18 06:18:18 PM,30.091,27.635
15,02/22/18 06:23:18 PM,29.715,28.054
16,02/22/18 06:28:18 PM,29.340,28.746
17,02/22/18 06:33:18 PM,28.941,29.330
18,02/22/18 06:38:18 PM,28.518,29.706
19,02/22/18 06:43:18 PM,28.097,30.694
20,02/22/18 06:48:18 PM,27.653,31.064
21,02/22/18 06:53:18 PM,27.210,31.399
22,02/22/18 06:58:18 PM,26.818,31.737
23,02/22/18 07:03:18 PM,26.451,32.515
24,02/22/18 07:08:18 PM,26.109,33.023
25,02/22/18 07:13:18 PM,25.793,33.263
26,02/22/18 07:18:18 PM,25.501,34.108
27,02/22/18 07:23:18 PM,25.210,35.882
28,02/22/18 07:28:18 PM,24.919,36.186
29,02/22/18 07:33:18 PM,24.653,36.624
30,02/22/18 07:38:18 PM,24.388,37.193
31,02/22/18 07:43:18 PM,24.050,37.753
32,02/22/18 07:48:18 PM,23.641,38.173
33,02/22/18 07:53:18 PM,23.256,38.330
34,02/22/18 07:58:18 PM,22.920,39.115
35,02/22/18 08:03:18 PM,22.585,39.472
36,02/22/18 08:08:18 PM,22.274,40.515
37,02/22/18 08:13:18 PM,21.987,42.171
38,02/22/18 08:18:18 PM,21.676,43.040
39,02/22/18 08:23:18 PM,21.366,44.354
40,02/22/18 08:28:18 PM,21.056,44.381
41,02/22/18 08:33:18 PM,20.793,44.286
42,02/22/18 08:38:18 PM,20.555,45.089
43,02/22/18 08:43:18 PM,20.341,45.892
44,02/22/18 08:48:18 PM,20.103,46.594
45,02/22/18 08:53:18 PM,19.888,48.623
46,02/22/18 08:58:18 PM,19.651,48.434
47,02/22/18 09:03:18 PM,19.436,49.319
48,02/22/18 09:08:18 PM,19.222,49.542
49,02/22/18 09:13:18 PM,19.080,49.648
50,02/22/18 09:18:18 PM,18.937,49.159
51,02/22/18 09:23:18 PM,18.842,48.801
52,02/22/18 09:28:18 PM,18.747,48.820
53,02/22/18 09:33:18 PM,18.652,48.651
54,02/22/18 09:38:18 PM,18.557,48.889
55,02/22/18 09:43:18 PM,18.485,49.131
56,02/22/18 09:48:18 PM,18.414,49.122
57,02/22/18 09:53:18 PM,18.319,48.921
58,02/22/18 09:58:18 PM,18.247,48.943
59,02/22/18 10:03:18 PM,18.176,49.278
60,02/22/18 10:08:18 PM,18.152,49.588
61,02/22/18 10:13:18 PM,18.152,49.838
62,02/22/18 10:18:18 PM,18.152,50.212
63,02/22/18 10:23:18 PM,18.176,50.590
64,02/22/18 10:28:18 PM,18.176,50.963
65,02/22/18 10:33:18 PM,18.200,51.215
66,02/22/18 10:38:18 PM,18.176,51.430
67,02/22/18 10:43:18 PM,18.152,51.768
68,02/22/18 10:48:18 PM,18.129,51.920
69,02/22/18 10:53:18 PM,18.081,52.192
70,02/22/18 10:58:18 PM,18.033,52.371
71,02/22/18 11:03:18 PM,17.962,52.547
72,02/22/18 11:08:18 PM,17.891,52.723
73,02/22/18 11:13:18 PM,17.819,52.805
74,02/22/18 11:18:18 PM,17.748,53.011
75,02/22/18 11:23:18 PM,17.677,53.155
76,02/22/18 11:28:18 PM,17.605,53.423
77,02/22/18 11:33:18 PM,17.534,53.659
78,02/22/18 11:38:18 PM,17.463,53.833
79,02/22/18 11:43:18 PM,17.391,54.100
80,02/22/18 11:48:18 PM,17.320,54.366
81,02/22/18 11:53:18 PM,17.249,54.815
82,02/22/18 11:58:18 PM,17.201,55.328
83,02/23/18 12:03:18 AM,17.153,55.474
84,02/23/18 12:08:18 AM,17.106,55.864
85,02/23/18 12:13:18 AM,17.082,56.165
86,02/23/18 12:18:18 AM,17.058,56.466
87,02/23/18 12:23:18 AM,17.034,56.645
88,02/23/18 12:28:18 AM,16.987,56.699
89,02/23/18 12:33:18 AM,16.939,56.783
90,02/23/18 12:38:18 AM,16.892,56.867
91,02/23/18 12:43:18 AM,16.844,56.890
92,02/23/18 12:48:18 AM,16.773,57.243
93,02/23/18 12:53:18 AM,16.749,57.573
94,02/23/18 12:58:18 AM,16.725,57.751
95,02/23/18 01:03:18 AM,16.725,57.812
96,02/23/18 01:08:18 AM,16.677,57.956
97,02/23/18 01:13:18 AM,16.654,58.284
98,02/23/18 01:18:18 AM,16.606,58.368
99,02/23/18 01:23:18 AM,16.558,58.058
100,02/23/18 01:28:18 AM,16.487,57.775
101,02/23/18 01:33:18 AM,16.415,57.945
102,02/23/18 01:38:18 AM,16.344,58.146
103,02/23/18 01:43:18 AM,16.296,58.470
104,02/23/18 01:48:18 AM,16.272,58.587
105,02/23/18 01:53:18 AM,16.225,58.338
106,02/23/18 01:58:18 AM,16.177,58.723
107,02/23/18 02:03:18 AM,16.153,59.140
108,02/23/18 02:08:18 AM,16.082,59.219
109,02/23/18 02:13:18 AM,16.010,59.388
110,02/23/18 02:18:18 AM,15.939,59.557
111,02/23/18 02:23:18 AM,15.843,59.721
112,02/23/18 02:28:18 AM,15.748,59.886
113,02/23/18 02:33:18 AM,15.676,60.084
114,02/23/18 02:38:18 AM,15.605,60.282
115,02/23/18 02:43:18 AM,15.533,60.479
116,02/23/18 02:48:18 AM,15.461,60.736
117,02/23/18 02:53:18 AM,15.414,60.878
118,02/23/18 02:58:18 AM,15.342,61.075
119,02/23/18 03:03:18 AM,15.270,61.242
120,02/23/18 03:08:18 AM,15.223,61.412
121,02/23/18 03:13:18 AM,15.199,61.587
122,02/23/18 03:18:18 AM,15.175,61.672
123,02/23/18 03:23:18 AM,15.127,61.753
124,02/23/18 03:28:18 AM,15.103,61.808
125,02/23/18 03:33:18 AM,15.103,61.868
126,02/23/18 03:38:18 AM,15.127,61.753
127,02/23/18 03:43:18 AM,15.127,62.109
128,02/23/18 03:48:18 AM,15.127,62.376
129,02/23/18 03:53:18 AM,15.079,62.546
130,02/23/18 03:58:18 AM,15.031,62.715
131,02/23/18 04:03:18 AM,14.984,62.884
132,02/23/18 04:08:18 AM,14.888,63.016
133,02/23/18 04:13:18 AM,14.840,63.156
134,02/23/18 04:18:18 AM,14.745,63.346
135,02/23/18 04:23:18 AM,14.697,63.544
136,02/23/18 04:28:18 AM,14.673,63.805
137,02/23/18 04:33:18 AM,14.649,64.036
138,02/23/18 04:38:18 AM,14.649,64.271
139,02/23/18 04:43:18 AM,14.649,64.477
140,02/23/18 04:48:18 AM,14.673,64.774
141,02/23/18 04:53:18 AM,14.697,65.013
142,02/23/18 04:58:18 AM,14.721,65.222
143,02/23/18 05:03:18 AM,14.745,65.402
144,02/23/18 05:08:18 AM,14.768,65.611
145,02/23/18 05:13:18 AM,14.792,65.790
146,02/23/18 05:18:18 AM,14.816,65.999
147,02/23/18 05:23:18 AM,14.888,66.275
148,02/23/18 05:28:18 AM,14.936,66.342
149,02/23/18 05:33:18 AM,14.936,66.429
150,02/23/18 05:38:18 AM,14.912,66.512
151,02/23/18 05:43:18 AM,14.888,66.683
152,02/23/18 05:48:18 AM,14.840,66.762
153,02/23/18 05:53:18 AM,14.816,66.903
154,02/23/18 05:58:18 AM,14.768,66.953
155,02/23/18 06:03:18 AM,14.745,67.065
156,02/23/18 06:08:18 AM,14.697,67.172
157,02/23/18 06:13:18 AM,14.673,67.255
158,02/23/18 06:18:18 AM,14.625,67.304
159,02/23/18 06:23:18 AM,14.553,67.379
160,02/23/18 06:28:18 AM,14.505,67.515
161,02/23/18 06:33:18 AM,14.433,67.618
162,02/23/18 06:38:18 AM,14.385,67.725
163,02/23/18 06:43:18 AM,14.361,67.837
164,02/23/18 06:48:18 AM,14.314,68.001
165,02/23/18 06:53:18 AM,14.266,68.137
166,02/23/18 06:58:18 AM,14.242,68.335
167,02/23/18 07:03:18 AM,14.218,68.446
168,02/23/18 07:08:18 AM,14.218,68.562
169,02/23/18 07:13:18 AM,14.170,68.668
170,02/23/18 07:18:18 AM,14.146,68.721
171,02/23/18 07:23:18 AM,14.098,68.886
172,02/23/18 07:28:18 AM,14.074,68.996
173,02/23/18 07:33:18 AM,14.074,69.140
174,02/23/18 07:38:18 AM,14.050,69.251
175,02/23/18 07:43:18 AM,14.050,69.366
176,02/23/18 07:48:18 AM,14.050,69.510
177,02/23/18 07:53:18 AM,14.074,69.715
178,02/23/18 07:58:18 AM,14.170,69.906
179,02/23/18 08:03:18 AM,14.290,70.129
180,02/23/18 08:08:18 AM,14.457,70.362
181,02/23/18 08:13:18 AM,14.697,70.608
182,02/23/18 08:18:18 AM,14.984,70.864
183,02/23/18 08:23:18 AM,15.342,71.018
184,02/23/18 08:28:18 AM,15.724,71.120
185,02/23/18 08:33:18 AM,16.129,71.025
186,02/23/18 08:38:18 AM,16.511,71.069
187,02/23/18 08:43:18 AM,16.915,71.290
188,02/23/18 08:48:18 AM,17.320,71.425
189,02/23/18 08:53:18 AM,17.772,71.656
190,02/23/18 08:58:18 AM,18.224,71.829
191,02/23/18 09:03:18 AM,18.699,72.123
192,02/23/18 09:08:18 AM,19.199,72.277
193,02/23/18 09:13:18 AM,19.722,72.610
194,02/23/18 09:18:18 AM,20.269,72.831
195,02/23/18 09:23:18 AM,20.793,72.904
196,02/23/18 09:28:18 AM,21.366,72.752
197,02/23/18 09:33:18 AM,21.939,72.396
198,02/23/18 09:38:18 AM,22.513,71.920
199,02/23/18 09:43:18 AM,23.040,71.402
200,02/23/18 09:48:18 AM,23.593,71.093
201,02/23/18 09:53:18 AM,24.146,70.634
202,02/23/18 09:58:18 AM,24.653,70.283
203,02/23/18 10:03:18 AM,25.162,69.811
204,02/23/18 10:08:18 AM,25.598,69.592
205,02/23/18 10:13:18 AM,26.012,69.218
206,02/23/18 10:18:18 AM,26.402,68.838
207,02/23/18 10:23:18 AM,26.793,68.216
208,02/23/18 10:28:18 AM,27.284,68.152
209,02/23/18 10:33:18 AM,27.751,68.053
210,02/23/18 10:38:18 AM,28.245,67.686
211,02/23/18 10:43:18 AM,28.717,67.404
212,02/23/18 10:48:18 AM,29.190,67.212
213,02/23/18 10:53:18 AM,29.665,66.867
214,02/23/18 10:58:18 AM,30.142,66.521
215,02/23/18 11:03:18 AM,30.545,66.621
216,02/23/18 11:08:18 AM,30.976,66.664
217,02/23/18 11:13:18 AM,31.357,66.083
218,02/23/18 11:18:18 AM,31.740,65.530
219,02/23/18 11:23:18 AM,32.150,65.506
220,02/23/18 11:28:18 AM,32.536,65.292
221,02/23/18 11:33:18 AM,32.975,64.806
222,02/23/18 11:38:18 AM,33.417,65.222
223,02/23/18 11:43:18 AM,33.783,64.660
224,02/23/18 11:48:18 AM,34.176,64.787
225,02/23/18 11:53:18 AM,34.545,65.629
226,02/23/18 11:58:18 AM,34.889,64.279
227,02/23/18 12:03:18 PM,35.262,65.186
228,02/23/18 12:08:18 PM,35.636,64.747
229,02/23/18 12:13:18 PM,35.931,64.638
230,02/23/18 12:18:18 PM,36.200,63.896
231,02/23/18 12:23:18 PM,36.389,63.010
232,02/23/18 12:28:18 PM,36.417,60.187
233,02/23/18 12:33:18 PM,36.362,58.580
234,02/23/18 12:38:18 PM,36.200,57.689
235,02/23/18 12:43:18 PM,36.039,56.120
236,02/23/18 12:48:18 PM,35.877,56.064
237,02/23/18 12:53:18 PM,35.770,56.661
238,02/23/18 12:58:18 PM,35.716,55.298
239,02/23/18 01:03:18 PM,35.662,54.190
240,02/23/18 01:08:18 PM,35.555,53.980
241,02/23/18 01:13:18 PM,35.529,54.495
242,02/23/18 01:18:18 PM,35.475,55.878
243,02/23/18 01:23:18 PM,35.422,54.740
244,02/23/18 01:28:18 PM,35.395,55.253
245,02/23/18 01:33:18 PM,35.368,55.734
246,02/23/18 01:38:18 PM,35.395,55.447
247,02/23/18 01:43:18 PM,35.395,56.221
248,02/23/18 01:48:18 PM,35.448,55.809
249,02/23/18 01:53:18 PM,35.422,54.934
250,02/23/18 01:58:18 PM,35.368,53.890
251,02/23/18 02:03:18 PM,35.315,54.401
252,02/23/18 02:08:18 PM,35.315,54.271
253,02/23/18 02:13:18 PM,35.288,54.203
254,02/23/18 02:18:18 PM,35.208,54.192
255,02/23/18 02:23:18 PM,35.075,53.655
256,02/23/18 02:28:18 PM,34.942,53.993
257,02/23/18 02:33:18 PM,34.810,53.327
258,02/23/18 02:38:18 PM,34.704,53.474
259,02/23/18 02:43:18 PM,34.572,53.229
260,02/23/18 02:48:18 PM,34.413,53.952
261,02/23/18 02:53:18 PM,34.281,53.417
262,02/23/18 02:58:18 PM,34.150,53.884
263,02/23/18 03:03:18 PM,34.071,53.905
264,02/23/18 03:08:18 PM,33.940,53.402
265,02/23/18 03:13:18 PM,33.835,52.999
266,02/23/18 03:18:18 PM,33.730,53.697
267,02/23/18 03:23:18 PM,33.652,53.783
268,02/23/18 03:28:18 PM,33.548,53.542
269,02/23/18 03:33:18 PM,33.417,53.395
270,02/23/18 03:38:18 PM,33.313,53.897
271,02/23/18 03:43:18 PM,33.131,49.721
272,02/23/18 03:48:18 PM,32.407,52.837
273,02/23/18 03:53:18 PM,31.586,54.364
274,02/23/18 03:58:18 PM,31.230,55.049
275,02/23/18 04:03:18 PM,31.204,55.173
276,02/23/18 04:08:18 PM,31.281,55.503
277,02/23/18 04:13:18 PM,31.357,55.705
278,02/23/18 04:18:18 PM,31.357,55.769
279,02/23/18 04:23:18 PM,31.382,55.262
280,02/23/18 04:28:18 PM,31.331,55.064
