"Plot Title: SG1_IN_Feb22"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9733611, SEN S/N: 9733611, LBL: Temp)","RH, % (LGR S/N: 9733611, SEN S/N: 9733611, LBL: RH)"
1,02/22/18 04:20:04 PM,35.529,26.756
2,02/22/18 04:25:04 PM,36.119,25.570
3,02/22/18 04:30:04 PM,36.579,24.474
4,02/22/18 04:35:04 PM,37.563,22.696
5,02/22/18 04:40:04 PM,38.449,19.676
6,02/22/18 04:45:04 PM,38.700,21.054
7,02/22/18 04:50:04 PM,37.590,22.057
8,02/22/18 04:55:04 PM,36.960,23.225
9,02/22/18 05:00:04 PM,35.716,25.823
10,02/22/18 05:05:04 PM,33.887,28.723
11,02/22/18 05:10:04 PM,33.365,29.410
12,02/22/18 05:15:04 PM,33.131,29.460
13,02/22/18 05:20:04 PM,33.209,29.674
14,02/22/18 05:25:04 PM,32.691,30.735
15,02/22/18 05:30:04 PM,32.587,30.520
16,02/22/18 05:35:04 PM,32.613,30.969
17,02/22/18 05:40:04 PM,32.510,30.995
18,02/22/18 05:45:04 PM,32.355,31.497
19,02/22/18 05:50:04 PM,32.201,31.861
20,02/22/18 05:55:04 PM,32.073,30.683
21,02/22/18 06:00:04 PM,32.021,30.748
22,02/22/18 06:05:04 PM,32.073,30.718
23,02/22/18 06:10:04 PM,31.868,32.037
24,02/22/18 06:15:04 PM,31.612,32.357
25,02/22/18 06:20:04 PM,31.459,32.446
26,02/22/18 06:25:04 PM,31.535,32.555
27,02/22/18 06:30:04 PM,31.153,33.849
28,02/22/18 06:35:04 PM,30.900,34.471
29,02/22/18 06:40:04 PM,30.369,35.942
30,02/22/18 06:45:04 PM,29.615,37.214
31,02/22/18 06:50:04 PM,28.941,38.183
32,02/22/18 06:55:04 PM,28.048,38.725
33,02/22/18 07:00:04 PM,26.965,40.498
34,02/22/18 07:05:04 PM,26.231,39.694
35,02/22/18 07:10:04 PM,25.939,40.848
