"Plot Title: SG1_station_out_Feb22"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10379490, SEN S/N: 10384022, LBL: Temp)","RH, % (LGR S/N: 10379490, SEN S/N: 10384022, LBL: RH)","PAR, uE (LGR S/N: 10379490, SEN S/N: 10391655, LBL: PAR)"
1,02/22/18 04:35:04 PM,36.417,30.500,6.2
2,02/22/18 04:40:04 PM,40.085,25.800,26.2
3,02/22/18 04:45:04 PM,40.660,22.500,23.7
4,02/22/18 04:50:04 PM,38.282,26.700,26.2
5,02/22/18 04:55:04 PM,38.784,26.400,13.7
6,02/22/18 05:00:04 PM,27.456,32.900,638.7
7,02/22/18 05:05:04 PM,26.916,40.400,1746.2
8,02/22/18 05:10:04 PM,27.751,40.300,1818.7
9,02/22/18 05:15:04 PM,27.456,40.800,1783.7
10,02/22/18 05:20:04 PM,27.161,40.100,1748.7
11,02/22/18 05:25:04 PM,26.671,41.700,1703.7
12,02/22/18 05:30:04 PM,26.940,41.700,1656.2
13,02/22/18 05:35:04 PM,27.161,42.200,1616.2
14,02/22/18 05:40:04 PM,26.207,42.900,1566.2
15,02/22/18 05:45:04 PM,25.623,43.400,1513.7
16,02/22/18 05:50:04 PM,26.158,44.000,1466.2
17,02/22/18 05:55:04 PM,26.329,43.400,1423.7
18,02/22/18 06:00:04 PM,26.280,43.700,1381.2
19,02/22/18 06:05:04 PM,26.402,42.600,1336.2
20,02/22/18 06:10:04 PM,25.453,43.200,1291.2
21,02/22/18 06:15:04 PM,25.380,44.700,1243.7
22,02/22/18 06:20:04 PM,25.841,44.100,1186.2
23,02/22/18 06:25:04 PM,25.671,44.900,1133.7
24,02/22/18 06:30:04 PM,24.557,45.900,1086.2
25,02/22/18 06:35:04 PM,24.581,47.200,1031.2
26,02/22/18 06:40:04 PM,24.484,47.300,976.2
27,02/22/18 06:45:04 PM,23.954,49.500,926.2
28,02/22/18 06:50:04 PM,23.689,50.100,868.7
29,02/22/18 06:55:04 PM,23.761,50.700,816.2
30,02/22/18 07:00:04 PM,23.352,51.300,761.2
31,02/22/18 07:05:04 PM,23.352,50.700,701.2
32,02/22/18 07:10:04 PM,23.064,51.600,643.7
33,02/22/18 07:15:04 PM,22.776,52.000,586.2
34,02/22/18 07:20:04 PM,22.848,51.700,526.2
35,02/22/18 07:25:04 PM,22.465,53.200,131.2
36,02/22/18 07:30:04 PM,22.321,53.600,136.2
37,02/22/18 07:35:04 PM,21.939,55.600,123.7
38,02/22/18 07:40:04 PM,21.151,57.500,106.2
39,02/22/18 07:45:04 PM,21.151,58.500,91.2
40,02/22/18 07:50:04 PM,20.770,59.300,78.7
41,02/22/18 07:55:04 PM,20.793,59.200,63.7
42,02/22/18 08:00:04 PM,20.650,60.400,51.2
43,02/22/18 08:05:04 PM,20.627,59.900,36.2
44,02/22/18 08:10:04 PM,20.460,60.900,23.7
45,02/22/18 08:15:04 PM,19.841,62.800,11.2
46,02/22/18 08:20:04 PM,20.055,63.700,6.2
47,02/22/18 08:25:04 PM,19.318,65.100,1.2
48,02/22/18 08:30:04 PM,19.484,65.300,1.2
49,02/22/18 08:35:04 PM,20.031,65.000,1.2
50,02/22/18 08:40:04 PM,19.199,66.700,1.2
51,02/22/18 08:45:04 PM,18.866,69.400,1.2
52,02/22/18 08:50:04 PM,18.652,69.300,1.2
53,02/22/18 08:55:04 PM,18.557,72.300,1.2
54,02/22/18 09:00:04 PM,18.319,72.500,1.2
55,02/22/18 09:05:04 PM,18.580,73.100,1.2
56,02/22/18 09:10:04 PM,18.509,71.700,1.2
57,02/22/18 09:15:04 PM,18.771,71.400,1.2
58,02/22/18 09:20:04 PM,18.842,69.600,1.2
59,02/22/18 09:25:04 PM,18.747,70.400,1.2
60,02/22/18 09:30:04 PM,18.652,69.900,1.2
61,02/22/18 09:35:04 PM,18.628,70.400,1.2
62,02/22/18 09:40:04 PM,18.628,70.000,1.2
63,02/22/18 09:45:04 PM,18.866,68.500,1.2
64,02/22/18 09:50:04 PM,19.056,64.500,1.2
65,02/22/18 09:55:04 PM,18.913,63.700,1.2
66,02/22/18 10:00:04 PM,19.199,63.500,1.2
67,02/22/18 10:05:04 PM,19.270,62.800,1.2
68,02/22/18 10:10:04 PM,19.270,62.500,1.2
69,02/22/18 10:15:04 PM,19.246,62.500,1.2
70,02/22/18 10:20:04 PM,19.151,63.300,1.2
71,02/22/18 10:25:04 PM,19.080,64.200,1.2
72,02/22/18 10:30:04 PM,18.985,65.100,1.2
73,02/22/18 10:35:04 PM,18.913,65.700,1.2
74,02/22/18 10:40:04 PM,18.842,66.100,1.2
75,02/22/18 10:45:04 PM,18.699,66.500,1.2
76,02/22/18 10:50:04 PM,18.485,67.100,1.2
77,02/22/18 10:55:04 PM,18.438,67.800,1.2
78,02/22/18 11:00:04 PM,18.438,68.200,1.2
79,02/22/18 11:05:04 PM,18.271,68.200,1.2
80,02/22/18 11:10:04 PM,18.200,68.600,1.2
81,02/22/18 11:15:04 PM,18.200,68.700,1.2
82,02/22/18 11:20:04 PM,18.271,68.600,1.2
83,02/22/18 11:25:04 PM,18.414,68.700,1.2
84,02/22/18 11:30:04 PM,18.200,68.800,1.2
85,02/22/18 11:35:04 PM,18.129,69.300,1.2
86,02/22/18 11:40:04 PM,18.033,69.600,1.2
87,02/22/18 11:45:04 PM,17.915,69.800,1.2
88,02/22/18 11:50:04 PM,17.938,70.000,1.2
89,02/22/18 11:55:04 PM,17.986,70.200,1.2
90,02/23/18 12:00:04 AM,17.701,70.400,1.2
91,02/23/18 12:05:04 AM,18.033,71.000,1.2
92,02/23/18 12:10:04 AM,18.105,70.800,1.2
93,02/23/18 12:15:04 AM,18.081,70.900,1.2
94,02/23/18 12:20:04 AM,18.105,70.900,1.2
95,02/23/18 12:25:04 AM,17.891,70.600,1.2
96,02/23/18 12:30:04 AM,17.867,70.700,1.2
97,02/23/18 12:35:04 AM,17.867,70.700,1.2
98,02/23/18 12:40:04 AM,17.605,70.800,1.2
99,02/23/18 12:45:04 AM,17.843,71.200,1.2
100,02/23/18 12:50:04 AM,18.105,70.700,1.2
101,02/23/18 12:55:04 AM,18.152,70.300,1.2
102,02/23/18 01:00:04 AM,18.057,69.900,1.2
103,02/23/18 01:05:04 AM,17.772,70.300,1.2
104,02/23/18 01:10:04 AM,17.843,70.100,1.2
105,02/23/18 01:15:04 AM,17.677,69.500,1.2
106,02/23/18 01:20:04 AM,17.153,69.900,1.2
107,02/23/18 01:25:04 AM,16.820,71.300,1.2
108,02/23/18 01:30:04 AM,16.725,71.500,1.2
109,02/23/18 01:35:04 AM,17.153,72.200,1.2
110,02/23/18 01:40:04 AM,17.439,70.900,1.2
111,02/23/18 01:45:04 AM,17.629,70.100,1.2
112,02/23/18 01:50:04 AM,17.153,70.300,1.2
113,02/23/18 01:55:04 AM,17.439,70.800,1.2
114,02/23/18 02:00:04 AM,17.677,70.200,1.2
115,02/23/18 02:05:04 AM,17.034,69.900,1.2
116,02/23/18 02:10:04 AM,16.558,72.100,1.2
117,02/23/18 02:15:04 AM,16.868,71.600,1.2
118,02/23/18 02:20:04 AM,16.630,71.500,1.2
119,02/23/18 02:25:04 AM,16.749,71.500,1.2
120,02/23/18 02:30:04 AM,16.701,71.200,1.2
121,02/23/18 02:35:04 AM,16.606,71.700,1.2
122,02/23/18 02:40:04 AM,16.963,72.100,1.2
123,02/23/18 02:45:04 AM,16.749,71.200,1.2
124,02/23/18 02:50:04 AM,16.320,71.900,1.2
125,02/23/18 02:55:04 AM,16.106,72.300,1.2
126,02/23/18 03:00:04 AM,16.677,72.800,1.2
127,02/23/18 03:05:04 AM,16.415,72.200,1.2
128,02/23/18 03:10:04 AM,16.463,72.300,1.2
129,02/23/18 03:15:04 AM,16.249,72.100,1.2
130,02/23/18 03:20:04 AM,16.344,72.500,1.2
131,02/23/18 03:25:04 AM,16.487,72.600,1.2
132,02/23/18 03:30:04 AM,16.654,72.400,1.2
133,02/23/18 03:35:04 AM,16.534,72.200,1.2
134,02/23/18 03:40:04 AM,16.320,72.900,1.2
135,02/23/18 03:45:04 AM,16.201,73.200,1.2
136,02/23/18 03:50:04 AM,16.249,73.300,1.2
137,02/23/18 03:55:04 AM,16.129,73.200,1.2
138,02/23/18 04:00:04 AM,15.891,73.000,1.2
139,02/23/18 04:05:04 AM,15.843,73.400,1.2
140,02/23/18 04:10:04 AM,15.485,73.000,1.2
141,02/23/18 04:15:04 AM,15.629,73.700,1.2
142,02/23/18 04:20:04 AM,15.939,73.400,1.2
143,02/23/18 04:25:04 AM,16.153,73.500,1.2
144,02/23/18 04:30:04 AM,15.939,73.200,1.2
145,02/23/18 04:35:04 AM,16.106,73.700,1.2
146,02/23/18 04:40:04 AM,16.082,73.600,1.2
147,02/23/18 04:45:04 AM,16.034,74.100,1.2
148,02/23/18 04:50:04 AM,16.034,74.200,1.2
149,02/23/18 04:55:04 AM,16.153,74.300,1.2
150,02/23/18 05:00:04 AM,16.153,73.900,1.2
151,02/23/18 05:05:04 AM,16.129,74.100,1.2
152,02/23/18 05:10:04 AM,16.129,74.300,1.2
153,02/23/18 05:15:04 AM,16.129,74.400,1.2
154,02/23/18 05:20:04 AM,16.606,74.600,1.2
155,02/23/18 05:25:04 AM,16.034,74.000,1.2
156,02/23/18 05:30:04 AM,15.748,74.500,1.2
157,02/23/18 05:35:04 AM,15.676,74.900,1.2
158,02/23/18 05:40:04 AM,15.605,74.900,1.2
159,02/23/18 05:45:04 AM,15.652,74.900,1.2
160,02/23/18 05:50:04 AM,15.796,75.100,1.2
161,02/23/18 05:55:04 AM,15.533,75.100,1.2
162,02/23/18 06:00:04 AM,15.509,75.300,1.2
163,02/23/18 06:05:04 AM,15.676,75.500,1.2
164,02/23/18 06:10:04 AM,15.748,75.700,1.2
165,02/23/18 06:15:04 AM,15.294,75.900,1.2
166,02/23/18 06:20:04 AM,15.199,76.600,1.2
167,02/23/18 06:25:04 AM,15.366,76.900,1.2
168,02/23/18 06:30:04 AM,15.127,76.700,1.2
169,02/23/18 06:35:04 AM,15.199,77.100,1.2
170,02/23/18 06:40:04 AM,15.175,77.000,1.2
171,02/23/18 06:45:04 AM,15.055,77.000,1.2
172,02/23/18 06:50:04 AM,14.936,77.000,1.2
173,02/23/18 06:55:04 AM,15.151,77.000,1.2
174,02/23/18 07:00:04 AM,15.175,76.900,1.2
175,02/23/18 07:05:04 AM,14.816,76.800,1.2
176,02/23/18 07:10:04 AM,15.055,77.300,1.2
177,02/23/18 07:15:04 AM,14.816,77.000,1.2
178,02/23/18 07:20:04 AM,15.151,77.800,1.2
179,02/23/18 07:25:04 AM,15.079,77.700,1.2
180,02/23/18 07:30:04 AM,15.103,77.700,1.2
181,02/23/18 07:35:04 AM,15.055,77.700,6.2
182,02/23/18 07:40:04 AM,14.912,77.300,13.7
183,02/23/18 07:45:04 AM,14.912,77.700,23.7
184,02/23/18 07:50:04 AM,15.294,77.900,36.2
