"Plot Title: SG1_out_Feb22"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20057777, SEN S/N: 20057777, LBL: Temp)","RH, % (LGR S/N: 20057777, SEN S/N: 20057777, LBL: RH)"
1,02/22/18 04:22:00 PM,101.660,21.197
2,02/22/18 05:22:00 PM,84.137,33.888
3,02/22/18 06:22:00 PM,81.775,35.448
4,02/22/18 07:22:00 PM,75.853,45.516
5,02/22/18 08:22:00 PM,68.999,59.442
6,02/22/18 09:22:00 PM,67.028,65.400
7,02/22/18 10:22:00 PM,67.714,58.049
8,02/22/18 11:22:00 PM,66.344,62.798
9,02/23/18 12:22:00 AM,65.102,66.457
10,02/23/18 01:22:00 AM,64.674,64.995
11,02/23/18 02:22:00 AM,63.518,67.944
12,02/23/18 03:22:00 AM,61.934,67.288
13,02/23/18 04:22:00 AM,62.661,69.518
14,02/23/18 05:22:00 AM,62.362,71.050
15,02/23/18 06:22:00 AM,61.677,73.216
16,02/23/18 07:22:00 AM,60.346,76.385
17,02/23/18 08:22:00 AM,66.600,62.042
18,02/23/18 09:22:00 AM,74.338,48.616
19,02/23/18 10:22:00 AM,82.753,41.522
20,02/23/18 11:22:00 AM,85.622,34.707
21,02/23/18 12:22:00 PM,88.810,33.410
22,02/23/18 01:22:00 PM,85.127,35.490
23,02/23/18 02:22:00 PM,86.346,34.203
24,02/23/18 03:22:00 PM,84.272,36.990
25,02/23/18 04:22:00 PM,83.242,38.934
26,02/23/18 05:22:00 PM,81.154,39.940
27,02/23/18 06:22:00 PM,78.251,45.871
28,02/23/18 07:22:00 PM,74.381,51.758
29,02/23/18 08:22:00 PM,67.798,64.789
30,02/23/18 09:22:00 PM,66.900,66.515
31,02/23/18 10:22:00 PM,66.130,66.824
32,02/23/18 11:22:00 PM,64.931,69.695
33,02/24/18 12:22:00 AM,64.204,71.679
34,02/24/18 01:22:00 AM,63.005,70.569
35,02/24/18 02:22:00 AM,62.919,72.606
36,02/24/18 03:22:00 AM,62.319,73.057
37,02/24/18 04:22:00 AM,62.577,72.426
38,02/24/18 05:22:00 AM,60.775,75.503
39,02/24/18 06:22:00 AM,61.290,75.165
40,02/24/18 07:22:00 AM,60.647,75.630
41,02/24/18 08:22:00 AM,66.772,64.929
42,02/24/18 09:22:00 AM,75.898,49.907
43,02/24/18 10:22:00 AM,84.632,40.809
44,02/24/18 11:22:00 AM,88.443,35.327
45,02/24/18 12:22:00 PM,89.915,32.338
46,02/24/18 01:22:00 PM,85.442,35.945
47,02/24/18 02:22:00 PM,87.118,33.258
48,02/24/18 03:22:00 PM,84.722,35.402
49,02/24/18 04:22:00 PM,84.272,36.554
50,02/24/18 05:22:00 PM,81.333,40.677
51,02/24/18 06:22:00 PM,77.990,45.530
52,02/24/18 07:22:00 PM,73.342,52.591
53,02/24/18 08:22:00 PM,67.372,62.623
54,02/24/18 09:22:00 PM,65.701,65.983
55,02/24/18 10:22:00 PM,64.888,68.346
56,02/24/18 11:22:00 PM,64.332,68.231
57,02/25/18 12:22:00 AM,63.689,69.654
58,02/25/18 01:22:00 AM,61.506,70.844
59,02/25/18 02:22:00 AM,61.891,69.873
60,02/25/18 03:22:00 AM,61.119,70.890
61,02/25/18 04:22:00 AM,59.830,74.038
62,02/25/18 05:22:00 AM,59.315,73.868
63,02/25/18 06:22:00 AM,59.358,75.878
64,02/25/18 07:22:00 AM,57.765,76.789
65,02/25/18 08:22:00 AM,66.985,65.426
66,02/25/18 09:22:00 AM,72.783,51.479
67,02/25/18 10:22:00 AM,78.733,44.704
68,02/25/18 11:22:00 AM,86.437,36.133
69,02/25/18 12:22:00 PM,87.573,33.314
70,02/25/18 01:22:00 PM,84.812,35.474
71,02/25/18 02:22:00 PM,85.487,35.037
72,02/25/18 03:22:00 PM,84.857,36.619
73,02/25/18 04:22:00 PM,82.130,39.136
74,02/25/18 05:22:00 PM,80.096,43.457
75,02/25/18 06:22:00 PM,78.251,45.353
76,02/25/18 07:22:00 PM,74.120,53.843
77,02/25/18 08:22:00 PM,68.270,63.398
78,02/25/18 09:22:00 PM,65.359,72.120
79,02/25/18 10:22:00 PM,64.117,73.052
80,02/25/18 11:22:00 PM,63.561,73.422
81,02/26/18 12:22:00 AM,62.233,73.449
82,02/26/18 01:22:00 AM,63.433,73.379
83,02/26/18 02:22:00 AM,62.661,76.141
84,02/26/18 03:22:00 AM,60.861,77.764
85,02/26/18 04:22:00 AM,59.916,78.966
86,02/26/18 05:22:00 AM,59.358,80.258
87,02/26/18 06:22:00 AM,59.056,79.972
88,02/26/18 07:22:00 AM,57.893,81.016
89,02/26/18 08:22:00 AM,64.204,70.085
90,02/26/18 09:22:00 AM,73.688,54.435
91,02/26/18 10:22:00 AM,79.788,45.358
92,02/26/18 11:22:00 AM,86.119,37.829
93,02/26/18 12:22:00 PM,87.802,34.887
94,02/26/18 01:22:00 PM,85.262,36.775
95,02/26/18 02:22:00 PM,86.936,34.368
96,02/26/18 03:22:00 PM,85.307,36.643
97,02/26/18 04:22:00 PM,83.109,38.760
98,02/26/18 05:22:00 PM,80.184,41.924
99,02/26/18 06:22:00 PM,77.684,44.959
100,02/26/18 07:22:00 PM,73.558,51.569
101,02/26/18 08:22:00 PM,67.627,60.657
102,02/26/18 09:22:00 PM,66.258,65.326
103,02/26/18 10:22:00 PM,65.658,66.009
104,02/26/18 11:22:00 PM,64.760,67.806
105,02/27/18 12:22:00 AM,63.176,70.616
106,02/27/18 01:22:00 AM,62.062,69.572
107,02/27/18 02:22:00 AM,61.506,71.765
108,02/27/18 03:22:00 AM,61.119,72.125
109,02/27/18 04:22:00 AM,61.376,71.608
110,02/27/18 05:22:00 AM,58.885,73.735
111,02/27/18 06:22:00 AM,58.368,74.498
112,02/27/18 07:22:00 AM,57.420,76.414
113,02/27/18 08:22:00 AM,63.775,66.532
114,02/27/18 09:22:00 AM,69.300,54.829
115,02/27/18 10:22:00 AM,75.985,45.428
116,02/27/18 11:22:00 AM,83.064,39.257
117,02/27/18 12:22:00 PM,93.612,28.785
118,02/27/18 01:22:00 PM,92.104,28.303
119,02/27/18 02:22:00 PM,88.214,31.880
120,02/27/18 03:22:00 PM,88.488,31.311
121,02/27/18 04:22:00 PM,83.242,36.465
122,02/27/18 05:22:00 PM,80.184,42.350
123,02/27/18 06:22:00 PM,76.246,48.593
