"Plot Title: sensor1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20298843, SEN S/N: 20298843, LBL: Temp)","RH, % (LGR S/N: 20298843, SEN S/N: 20298843, LBL: RH)"
1,02/22/18 05:13:18 PM,92.620,27.700
2,02/22/18 05:18:18 PM,90.286,25.795
3,02/22/18 05:23:18 PM,86.664,28.793
4,02/22/18 05:28:18 PM,84.900,28.750
5,02/22/18 05:33:18 PM,83.601,31.286
6,02/22/18 05:38:18 PM,82.976,32.951
7,02/22/18 05:43:18 PM,82.218,33.690
8,02/22/18 05:48:18 PM,90.750,29.110
9,02/22/18 05:53:18 PM,91.029,26.660
10,02/22/18 05:58:18 PM,89.823,26.819
11,02/22/18 06:03:18 PM,88.718,26.774
12,02/22/18 06:08:18 PM,87.710,27.009
13,02/22/18 06:13:18 PM,86.936,27.323
14,02/22/18 06:18:18 PM,86.164,27.635
15,02/22/18 06:23:18 PM,85.487,28.054
16,02/22/18 06:28:18 PM,84.812,28.746
17,02/22/18 06:33:18 PM,84.094,29.330
18,02/22/18 06:38:18 PM,83.332,29.706
19,02/22/18 06:43:18 PM,82.575,30.694
20,02/22/18 06:48:18 PM,81.775,31.064
21,02/22/18 06:53:18 PM,80.978,31.399
22,02/22/18 06:58:18 PM,80.272,31.737
23,02/22/18 07:03:18 PM,79.612,32.515
24,02/22/18 07:08:18 PM,78.996,33.023
25,02/22/18 07:13:18 PM,78.427,33.263
26,02/22/18 07:18:18 PM,77.902,34.108
27,02/22/18 07:23:18 PM,77.378,35.882
28,02/22/18 07:28:18 PM,76.854,36.186
29,02/22/18 07:33:18 PM,76.375,36.624
30,02/22/18 07:38:18 PM,75.898,37.193
31,02/22/18 07:43:18 PM,75.290,37.753
32,02/22/18 07:48:18 PM,74.554,38.173
33,02/22/18 07:53:18 PM,73.861,38.330
34,02/22/18 07:58:18 PM,73.256,39.115
35,02/22/18 08:03:18 PM,72.653,39.472
36,02/22/18 08:08:18 PM,72.093,40.515
37,02/22/18 08:13:18 PM,71.577,42.171
38,02/22/18 08:18:18 PM,71.017,43.040
39,02/22/18 08:23:18 PM,70.459,44.354
40,02/22/18 08:28:18 PM,69.901,44.381
41,02/22/18 08:33:18 PM,69.427,44.286
42,02/22/18 08:38:18 PM,68.999,45.089
43,02/22/18 08:43:18 PM,68.614,45.892
44,02/22/18 08:48:18 PM,68.185,46.594
45,02/22/18 08:53:18 PM,67.798,48.623
46,02/22/18 08:58:18 PM,67.372,48.434
47,02/22/18 09:03:18 PM,66.985,49.319
48,02/22/18 09:08:18 PM,66.600,49.542
49,02/22/18 09:13:18 PM,66.344,49.648
50,02/22/18 09:18:18 PM,66.087,49.159
51,02/22/18 09:23:18 PM,65.916,48.801
52,02/22/18 09:28:18 PM,65.745,48.820
53,02/22/18 09:33:18 PM,65.574,48.651
54,02/22/18 09:38:18 PM,65.403,48.889
55,02/22/18 09:43:18 PM,65.273,49.131
56,02/22/18 09:48:18 PM,65.145,49.122
57,02/22/18 09:53:18 PM,64.974,48.921
58,02/22/18 09:58:18 PM,64.845,48.943
59,02/22/18 10:03:18 PM,64.717,49.278
60,02/22/18 10:08:18 PM,64.674,49.588
61,02/22/18 10:13:18 PM,64.674,49.838
62,02/22/18 10:18:18 PM,64.674,50.212
63,02/22/18 10:23:18 PM,64.717,50.590
64,02/22/18 10:28:18 PM,64.717,50.963
65,02/22/18 10:33:18 PM,64.760,51.215
66,02/22/18 10:38:18 PM,64.717,51.430
67,02/22/18 10:43:18 PM,64.674,51.768
68,02/22/18 10:48:18 PM,64.632,51.920
69,02/22/18 10:53:18 PM,64.546,52.192
70,02/22/18 10:58:18 PM,64.459,52.371
71,02/22/18 11:03:18 PM,64.332,52.547
72,02/22/18 11:08:18 PM,64.204,52.723
73,02/22/18 11:13:18 PM,64.074,52.805
74,02/22/18 11:18:18 PM,63.946,53.011
75,02/22/18 11:23:18 PM,63.819,53.155
76,02/22/18 11:28:18 PM,63.689,53.423
77,02/22/18 11:33:18 PM,63.561,53.659
78,02/22/18 11:38:18 PM,63.433,53.833
79,02/22/18 11:43:18 PM,63.304,54.100
80,02/22/18 11:48:18 PM,63.176,54.366
81,02/22/18 11:53:18 PM,63.048,54.815
82,02/22/18 11:58:18 PM,62.962,55.328
83,02/23/18 12:03:18 AM,62.875,55.474
84,02/23/18 12:08:18 AM,62.791,55.864
85,02/23/18 12:13:18 AM,62.748,56.165
86,02/23/18 12:18:18 AM,62.704,56.466
87,02/23/18 12:23:18 AM,62.661,56.645
88,02/23/18 12:28:18 AM,62.577,56.699
89,02/23/18 12:33:18 AM,62.490,56.783
90,02/23/18 12:38:18 AM,62.406,56.867
91,02/23/18 12:43:18 AM,62.319,56.890
92,02/23/18 12:48:18 AM,62.191,57.243
93,02/23/18 12:53:18 AM,62.148,57.573
94,02/23/18 12:58:18 AM,62.105,57.751
95,02/23/18 01:03:18 AM,62.105,57.812
96,02/23/18 01:08:18 AM,62.019,57.956
97,02/23/18 01:13:18 AM,61.977,58.284
98,02/23/18 01:18:18 AM,61.891,58.368
99,02/23/18 01:23:18 AM,61.804,58.058
100,02/23/18 01:28:18 AM,61.677,57.775
101,02/23/18 01:33:18 AM,61.547,57.945
102,02/23/18 01:38:18 AM,61.419,58.146
103,02/23/18 01:43:18 AM,61.333,58.470
104,02/23/18 01:48:18 AM,61.290,58.587
105,02/23/18 01:53:18 AM,61.205,58.338
106,02/23/18 01:58:18 AM,61.119,58.723
107,02/23/18 02:03:18 AM,61.075,59.140
108,02/23/18 02:08:18 AM,60.948,59.219
109,02/23/18 02:13:18 AM,60.818,59.388
110,02/23/18 02:18:18 AM,60.690,59.557
111,02/23/18 02:23:18 AM,60.517,59.721
112,02/23/18 02:28:18 AM,60.346,59.886
113,02/23/18 02:33:18 AM,60.217,60.084
114,02/23/18 02:38:18 AM,60.089,60.282
115,02/23/18 02:43:18 AM,59.959,60.479
116,02/23/18 02:48:18 AM,59.830,60.736
117,02/23/18 02:53:18 AM,59.745,60.878
118,02/23/18 02:58:18 AM,59.616,61.075
119,02/23/18 03:03:18 AM,59.486,61.242
120,02/23/18 03:08:18 AM,59.401,61.412
121,02/23/18 03:13:18 AM,59.358,61.587
122,02/23/18 03:18:18 AM,59.315,61.672
123,02/23/18 03:23:18 AM,59.229,61.753
124,02/23/18 03:28:18 AM,59.185,61.808
125,02/23/18 03:33:18 AM,59.185,61.868
126,02/23/18 03:38:18 AM,59.229,61.753
127,02/23/18 03:43:18 AM,59.229,62.109
128,02/23/18 03:48:18 AM,59.229,62.376
129,02/23/18 03:53:18 AM,59.142,62.546
130,02/23/18 03:58:18 AM,59.056,62.715
131,02/23/18 04:03:18 AM,58.971,62.884
132,02/23/18 04:08:18 AM,58.798,63.016
133,02/23/18 04:13:18 AM,58.712,63.156
134,02/23/18 04:18:18 AM,58.541,63.346
135,02/23/18 04:23:18 AM,58.455,63.544
136,02/23/18 04:28:18 AM,58.411,63.805
137,02/23/18 04:33:18 AM,58.368,64.036
138,02/23/18 04:38:18 AM,58.368,64.271
139,02/23/18 04:43:18 AM,58.368,64.477
140,02/23/18 04:48:18 AM,58.411,64.774
141,02/23/18 04:53:18 AM,58.455,65.013
142,02/23/18 04:58:18 AM,58.498,65.222
143,02/23/18 05:03:18 AM,58.541,65.402
144,02/23/18 05:08:18 AM,58.582,65.611
145,02/23/18 05:13:18 AM,58.626,65.790
146,02/23/18 05:18:18 AM,58.669,65.999
147,02/23/18 05:23:18 AM,58.798,66.275
148,02/23/18 05:28:18 AM,58.885,66.342
149,02/23/18 05:33:18 AM,58.885,66.429
150,02/23/18 05:38:18 AM,58.842,66.512
151,02/23/18 05:43:18 AM,58.798,66.683
152,02/23/18 05:48:18 AM,58.712,66.762
153,02/23/18 05:53:18 AM,58.669,66.903
154,02/23/18 05:58:18 AM,58.582,66.953
155,02/23/18 06:03:18 AM,58.541,67.065
156,02/23/18 06:08:18 AM,58.455,67.172
157,02/23/18 06:13:18 AM,58.411,67.255
158,02/23/18 06:18:18 AM,58.325,67.304
159,02/23/18 06:23:18 AM,58.195,67.379
160,02/23/18 06:28:18 AM,58.109,67.515
161,02/23/18 06:33:18 AM,57.979,67.618
162,02/23/18 06:38:18 AM,57.893,67.725
163,02/23/18 06:43:18 AM,57.850,67.837
164,02/23/18 06:48:18 AM,57.765,68.001
165,02/23/18 06:53:18 AM,57.679,68.137
166,02/23/18 06:58:18 AM,57.636,68.335
167,02/23/18 07:03:18 AM,57.592,68.446
168,02/23/18 07:08:18 AM,57.592,68.562
169,02/23/18 07:13:18 AM,57.506,68.668
170,02/23/18 07:18:18 AM,57.463,68.721
171,02/23/18 07:23:18 AM,57.376,68.886
172,02/23/18 07:28:18 AM,57.333,68.996
173,02/23/18 07:33:18 AM,57.333,69.140
174,02/23/18 07:38:18 AM,57.290,69.251
175,02/23/18 07:43:18 AM,57.290,69.366
176,02/23/18 07:48:18 AM,57.290,69.510
177,02/23/18 07:53:18 AM,57.333,69.715
178,02/23/18 07:58:18 AM,57.506,69.906
179,02/23/18 08:03:18 AM,57.722,70.129
180,02/23/18 08:08:18 AM,58.023,70.362
181,02/23/18 08:13:18 AM,58.455,70.608
182,02/23/18 08:18:18 AM,58.971,70.864
183,02/23/18 08:23:18 AM,59.616,71.018
184,02/23/18 08:28:18 AM,60.303,71.120
185,02/23/18 08:33:18 AM,61.032,71.025
186,02/23/18 08:38:18 AM,61.720,71.069
187,02/23/18 08:43:18 AM,62.447,71.290
188,02/23/18 08:48:18 AM,63.176,71.425
189,02/23/18 08:53:18 AM,63.990,71.656
190,02/23/18 08:58:18 AM,64.803,71.829
191,02/23/18 09:03:18 AM,65.658,72.123
192,02/23/18 09:08:18 AM,66.558,72.277
193,02/23/18 09:13:18 AM,67.500,72.610
194,02/23/18 09:18:18 AM,68.484,72.831
195,02/23/18 09:23:18 AM,69.427,72.904
196,02/23/18 09:28:18 AM,70.459,72.752
197,02/23/18 09:33:18 AM,71.490,72.396
198,02/23/18 09:38:18 AM,72.523,71.920
199,02/23/18 09:43:18 AM,73.472,71.402
200,02/23/18 09:48:18 AM,74.467,71.093
201,02/23/18 09:53:18 AM,75.463,70.634
202,02/23/18 09:58:18 AM,76.375,70.283
203,02/23/18 10:03:18 AM,77.292,69.811
204,02/23/18 10:08:18 AM,78.076,69.592
205,02/23/18 10:13:18 AM,78.822,69.218
206,02/23/18 10:18:18 AM,79.524,68.838
207,02/23/18 10:23:18 AM,80.227,68.216
208,02/23/18 10:28:18 AM,81.111,68.152
209,02/23/18 10:33:18 AM,81.952,68.053
210,02/23/18 10:38:18 AM,82.841,67.686
211,02/23/18 10:43:18 AM,83.691,67.404
212,02/23/18 10:48:18 AM,84.542,67.212
213,02/23/18 10:53:18 AM,85.397,66.867
214,02/23/18 10:58:18 AM,86.256,66.521
215,02/23/18 11:03:18 AM,86.981,66.621
216,02/23/18 11:08:18 AM,87.757,66.664
217,02/23/18 11:13:18 AM,88.443,66.083
218,02/23/18 11:18:18 AM,89.132,65.530
219,02/23/18 11:23:18 AM,89.870,65.506
220,02/23/18 11:28:18 AM,90.565,65.292
221,02/23/18 11:33:18 AM,91.355,64.806
222,02/23/18 11:38:18 AM,92.151,65.222
223,02/23/18 11:43:18 AM,92.809,64.660
224,02/23/18 11:48:18 AM,93.517,64.787
225,02/23/18 11:53:18 AM,94.181,65.629
226,02/23/18 11:58:18 AM,94.800,64.279
227,02/23/18 12:03:18 PM,95.472,65.186
228,02/23/18 12:08:18 PM,96.145,64.747
229,02/23/18 12:13:18 PM,96.676,64.638
230,02/23/18 12:18:18 PM,97.160,63.896
231,02/23/18 12:23:18 PM,97.500,63.010
232,02/23/18 12:28:18 PM,97.551,60.187
233,02/23/18 12:33:18 PM,97.452,58.580
234,02/23/18 12:38:18 PM,97.160,57.689
235,02/23/18 12:43:18 PM,96.870,56.120
236,02/23/18 12:48:18 PM,96.579,56.064
237,02/23/18 12:53:18 PM,96.386,56.661
238,02/23/18 12:58:18 PM,96.289,55.298
239,02/23/18 01:03:18 PM,96.192,54.190
240,02/23/18 01:08:18 PM,95.999,53.980
241,02/23/18 01:13:18 PM,95.952,54.495
242,02/23/18 01:18:18 PM,95.855,55.878
243,02/23/18 01:23:18 PM,95.760,54.740
244,02/23/18 01:28:18 PM,95.711,55.253
245,02/23/18 01:33:18 PM,95.662,55.734
246,02/23/18 01:38:18 PM,95.711,55.447
