"Plot Title: SG2_Bottom"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580749, SEN S/N: 20580749)","RH, % (LGR S/N: 20580749, SEN S/N: 20580749)"
1,03/25/19 05:53:53 PM,84.362,82.616
2,03/25/19 06:23:53 PM,79.128,83.670
3,03/25/19 06:53:53 PM,77.029,83.357
4,03/25/19 07:23:53 PM,70.543,84.740
5,03/25/19 07:53:53 PM,67.028,84.243
6,03/25/19 08:23:53 PM,65.403,84.011
7,03/25/19 08:53:53 PM,63.604,83.950
8,03/25/19 09:23:53 PM,62.233,83.805
9,03/25/19 09:53:53 PM,61.977,83.443
10,03/25/19 10:23:53 PM,62.233,83.393
11,03/25/19 10:53:53 PM,61.248,83.434
12,03/25/19 11:23:53 PM,60.174,83.600
13,03/25/19 11:53:53 PM,60.991,83.155
14,03/26/19 12:23:53 AM,60.433,83.250
15,03/26/19 12:53:53 AM,59.315,83.601
16,03/26/19 01:23:53 AM,58.152,83.753
17,03/26/19 01:53:53 AM,56.685,83.865
18,03/26/19 02:23:53 AM,56.772,83.659
19,03/26/19 02:53:53 AM,56.251,83.837
20,03/26/19 03:23:53 AM,55.038,83.871
21,03/26/19 03:53:53 AM,54.820,83.978
22,03/26/19 04:23:53 AM,54.300,84.046
23,03/26/19 04:53:53 AM,53.166,84.143
24,03/26/19 05:23:53 AM,54.300,83.615
25,03/26/19 05:53:53 AM,53.166,83.955
26,03/26/19 06:23:53 AM,53.341,83.816
27,03/26/19 06:53:53 AM,52.291,83.977
28,03/26/19 07:23:53 AM,51.940,84.012
29,03/26/19 07:53:53 AM,51.678,83.978
30,03/26/19 08:23:53 AM,52.992,83.287
31,03/26/19 08:53:53 AM,55.776,82.285
32,03/26/19 09:23:53 AM,57.117,82.289
33,03/26/19 09:53:53 AM,59.486,81.679
34,03/26/19 10:23:53 AM,65.273,79.937
35,03/26/19 10:53:53 AM,65.745,80.218
36,03/26/19 11:23:53 AM,74.597,78.849
37,03/26/19 11:53:53 AM,82.396,76.040
38,03/26/19 12:23:53 PM,87.073,79.297
39,03/26/19 12:53:53 PM,91.589,80.610
40,03/26/19 01:23:53 PM,89.085,82.658
41,03/26/19 01:53:53 PM,87.802,82.564
42,03/26/19 02:23:53 PM,90.612,81.319
43,03/26/19 02:53:53 PM,96.145,80.214
44,03/26/19 03:23:53 PM,96.240,80.612
45,03/26/19 03:53:53 PM,87.528,83.024
46,03/26/19 04:23:53 PM,85.262,82.117
47,03/26/19 04:53:53 PM,81.730,81.956
48,03/26/19 05:23:53 PM,82.130,80.879
49,03/26/19 05:53:53 PM,80.890,80.849
50,03/26/19 06:23:53 PM,77.945,81.305
51,03/26/19 06:53:53 PM,74.295,81.382
52,03/26/19 07:23:53 PM,72.178,81.015
53,03/26/19 07:53:53 PM,69.600,80.622
54,03/26/19 08:23:53 PM,66.943,80.670
55,03/26/19 08:53:53 PM,64.674,80.732
56,03/26/19 09:23:53 PM,63.819,80.406
57,03/26/19 09:53:53 PM,63.133,80.240
58,03/26/19 10:23:53 PM,62.319,80.337
59,03/26/19 10:53:53 PM,62.148,80.483
60,03/26/19 11:23:53 PM,61.804,80.664
61,03/26/19 11:53:53 PM,61.333,80.662
62,03/27/19 12:23:53 AM,60.818,80.572
63,03/27/19 12:53:53 AM,60.003,80.722
64,03/27/19 01:23:53 AM,59.358,80.672
65,03/27/19 01:53:53 AM,59.401,80.594
66,03/27/19 02:23:53 AM,58.712,80.566
67,03/27/19 02:53:53 AM,58.325,80.629
68,03/27/19 03:23:53 AM,58.066,80.598
69,03/27/19 03:53:53 AM,57.679,80.550
70,03/27/19 04:23:53 AM,57.204,80.548
71,03/27/19 04:53:53 AM,56.815,80.555
72,03/27/19 05:23:53 AM,56.642,80.507
73,03/27/19 05:53:53 AM,56.685,80.375
74,03/27/19 06:23:53 AM,56.469,80.431
75,03/27/19 06:53:53 AM,55.776,80.429
76,03/27/19 07:23:53 AM,55.081,80.372
77,03/27/19 07:53:53 AM,54.516,80.330
78,03/27/19 08:23:53 AM,54.430,80.292
79,03/27/19 08:53:53 AM,57.074,80.284
80,03/27/19 09:23:53 AM,61.333,80.912
81,03/27/19 09:53:53 AM,64.974,81.493
82,03/27/19 10:23:53 AM,69.985,81.345
83,03/27/19 10:53:53 AM,74.943,81.573
84,03/27/19 11:23:53 AM,81.333,81.160
85,03/27/19 11:53:53 AM,84.587,81.458
86,03/27/19 12:23:53 PM,89.499,81.716
87,03/27/19 12:53:53 PM,89.638,82.520
88,03/27/19 01:23:53 PM,88.902,82.287
89,03/27/19 01:53:53 PM,88.259,82.357
90,03/27/19 02:23:53 PM,85.622,81.725
91,03/27/19 02:53:53 PM,86.074,81.720
92,03/27/19 03:23:53 PM,85.532,80.843
93,03/27/19 03:53:53 PM,84.452,81.036
94,03/27/19 04:23:53 PM,83.511,80.810
95,03/27/19 04:53:53 PM,81.154,80.707
96,03/27/19 05:23:53 PM,78.033,80.828
97,03/27/19 05:53:53 PM,76.332,80.370
98,03/27/19 06:23:53 PM,73.990,80.407
99,03/27/19 06:53:53 PM,70.803,80.653
100,03/27/19 07:23:53 PM,67.885,80.305
101,03/27/19 07:53:53 PM,65.444,80.042
102,03/27/19 08:23:53 PM,63.648,79.800
103,03/27/19 08:53:53 PM,63.005,79.695
104,03/27/19 09:23:53 PM,62.834,79.563
105,03/27/19 09:53:53 PM,62.406,79.568
106,03/27/19 10:23:53 PM,62.447,79.461
107,03/27/19 10:53:53 PM,62.362,79.646
108,03/27/19 11:23:53 PM,61.977,79.712
109,03/27/19 11:53:53 PM,61.290,79.658
110,03/28/19 12:23:53 AM,60.818,79.685
111,03/28/19 12:53:53 AM,60.690,79.697
112,03/28/19 01:23:53 AM,60.089,79.792
113,03/28/19 01:53:53 AM,59.486,79.803
114,03/28/19 02:23:53 AM,58.928,79.597
115,03/28/19 02:53:53 AM,58.928,79.403
116,03/28/19 03:23:53 AM,58.541,79.495
117,03/28/19 03:53:53 AM,58.023,79.544
118,03/28/19 04:23:53 AM,57.592,79.492
119,03/28/19 04:53:53 AM,56.901,79.520
120,03/28/19 05:23:53 AM,56.815,79.427
121,03/28/19 05:53:53 AM,56.772,79.421
122,03/28/19 06:23:53 AM,56.901,79.409
123,03/28/19 06:53:53 AM,56.512,79.363
124,03/28/19 07:23:53 AM,56.165,79.349
125,03/28/19 07:53:53 AM,55.429,79.481
126,03/28/19 08:23:53 AM,55.863,79.588
127,03/28/19 08:53:53 AM,58.152,80.167
128,03/28/19 09:23:53 AM,63.475,80.114
129,03/28/19 09:53:53 AM,66.643,80.381
130,03/28/19 10:23:53 AM,70.115,80.938
131,03/28/19 10:53:53 AM,73.818,81.041
132,03/28/19 11:23:53 AM,77.509,81.481
133,03/28/19 11:53:53 AM,83.601,80.501
134,03/28/19 12:23:53 PM,86.799,80.729
135,03/28/19 12:53:53 PM,85.035,82.206
136,03/28/19 01:23:53 PM,88.122,81.467
137,03/28/19 01:53:53 PM,90.379,80.235
138,03/28/19 02:23:53 PM,91.683,79.942
139,03/28/19 02:53:53 PM,91.170,79.942
140,03/28/19 03:23:53 PM,91.449,79.502
141,03/28/19 03:53:53 PM,92.057,79.600
142,03/28/19 04:23:53 PM,90.286,79.959
143,03/28/19 04:53:53 PM,86.029,80.026
144,03/28/19 05:23:53 PM,81.421,80.276
145,03/28/19 05:53:53 PM,82.042,79.333
146,03/28/19 06:23:53 PM,77.727,80.305
147,03/28/19 06:53:53 PM,72.523,80.376
148,03/28/19 07:23:53 PM,67.456,80.479
149,03/28/19 07:53:53 PM,64.033,80.069
150,03/28/19 08:23:53 PM,62.319,79.474
151,03/28/19 08:53:53 PM,61.633,79.253
152,03/28/19 09:23:53 PM,61.462,79.149
153,03/28/19 09:53:53 PM,61.162,79.197
154,03/28/19 10:23:53 PM,60.948,79.199
155,03/28/19 10:53:53 PM,60.861,79.105
156,03/28/19 11:23:53 PM,60.647,79.191
157,03/28/19 11:53:53 PM,60.217,79.140
158,03/29/19 12:23:53 AM,59.401,79.154
159,03/29/19 12:53:53 AM,59.142,79.013
160,03/29/19 01:23:53 AM,58.669,79.012
161,03/29/19 01:53:53 AM,58.755,78.883
162,03/29/19 02:23:53 AM,58.798,78.972
163,03/29/19 02:53:53 AM,58.023,79.157
164,03/29/19 03:23:53 AM,57.117,79.159
165,03/29/19 03:53:53 AM,57.333,78.991
166,03/29/19 04:23:53 AM,57.592,78.995
167,03/29/19 04:53:53 AM,57.506,79.067
168,03/29/19 05:23:53 AM,57.722,79.065
169,03/29/19 05:53:53 AM,57.893,79.086
170,03/29/19 06:23:53 AM,57.807,79.131
171,03/29/19 06:53:53 AM,57.850,79.081
172,03/29/19 07:23:53 AM,57.936,79.063
173,03/29/19 07:53:53 AM,57.679,79.116
174,03/29/19 08:23:53 AM,57.807,79.131
175,03/29/19 08:53:53 AM,59.185,79.073
176,03/29/19 09:23:53 AM,60.517,79.260
177,03/29/19 09:53:53 AM,64.974,79.481
178,03/29/19 10:23:53 AM,66.772,79.694
179,03/29/19 10:53:53 AM,70.201,79.818
180,03/29/19 11:23:53 AM,76.507,80.276
181,03/29/19 11:53:53 AM,82.931,80.104
182,03/29/19 12:23:53 PM,87.528,80.170
183,03/29/19 12:53:53 PM,90.239,80.248
184,03/29/19 01:23:53 PM,90.379,81.497
185,03/29/19 01:53:53 PM,88.167,82.346
186,03/29/19 02:23:53 PM,85.577,82.154
187,03/29/19 02:53:53 PM,85.622,81.232
188,03/29/19 03:23:53 PM,85.127,81.144
189,03/29/19 03:53:53 PM,83.021,81.273
190,03/29/19 04:23:53 PM,84.857,79.803
191,03/29/19 04:53:53 PM,82.486,80.284
192,03/29/19 05:23:53 PM,78.645,80.700
193,03/29/19 05:53:53 PM,75.420,80.576
194,03/29/19 06:23:53 PM,72.610,80.272
195,03/29/19 06:53:53 PM,72.136,79.534
196,03/29/19 07:23:53 PM,71.404,79.050
197,03/29/19 07:53:53 PM,69.858,78.728
198,03/29/19 08:23:53 PM,68.484,78.426
199,03/29/19 08:53:53 PM,67.114,78.267
200,03/29/19 09:23:53 PM,65.916,78.325
201,03/29/19 09:53:53 PM,64.503,78.667
202,03/29/19 10:23:53 PM,63.133,78.871
203,03/29/19 10:53:53 PM,61.761,79.129
204,03/29/19 11:23:53 PM,61.462,79.121
205,03/29/19 11:53:53 PM,61.290,79.045
206,03/30/19 12:23:53 AM,60.948,78.948
207,03/30/19 12:53:53 AM,60.303,78.984
208,03/30/19 01:23:53 AM,59.830,79.094
209,03/30/19 01:53:53 AM,59.099,79.202
210,03/30/19 02:23:53 AM,58.626,79.201
211,03/30/19 02:53:53 AM,58.066,79.328
212,03/30/19 03:23:53 AM,57.893,79.335
