"Plot Title: SG3_Middle"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580753, SEN S/N: 20580753)","RH, % (LGR S/N: 20580753, SEN S/N: 20580753)"
1,03/25/19 05:51:30 PM,86.437,85.712
2,03/25/19 06:21:30 PM,85.082,85.772
3,03/25/19 06:51:30 PM,83.154,85.986
4,03/25/19 07:21:30 PM,78.690,86.355
5,03/25/19 07:51:30 PM,72.351,87.021
6,03/25/19 08:21:30 PM,68.527,87.349
7,03/25/19 08:51:30 PM,65.916,87.499
8,03/25/19 09:21:30 PM,64.074,87.609
9,03/25/19 09:51:30 PM,63.005,87.603
10,03/25/19 10:21:30 PM,62.362,87.545
11,03/25/19 10:51:30 PM,61.934,87.462
12,03/25/19 11:21:30 PM,61.205,87.473
13,03/25/19 11:51:30 PM,61.248,87.291
14,03/26/19 12:21:30 AM,60.991,87.257
15,03/26/19 12:51:30 AM,60.303,87.300
16,03/26/19 01:21:30 AM,59.272,87.352
17,03/26/19 01:51:30 AM,58.325,87.414
18,03/26/19 02:21:30 AM,57.765,87.393
19,03/26/19 02:51:30 AM,57.074,87.461
20,03/26/19 03:21:30 AM,56.512,87.413
21,03/26/19 03:51:30 AM,55.863,87.460
22,03/26/19 04:21:30 AM,55.472,87.408
23,03/26/19 04:51:30 AM,55.038,87.403
24,03/26/19 05:21:30 AM,54.691,87.356
25,03/26/19 05:51:30 AM,54.648,87.271
26,03/26/19 06:21:30 AM,54.126,87.281
27,03/26/19 06:51:30 AM,53.559,87.338
28,03/26/19 07:21:30 AM,53.253,87.270
29,03/26/19 07:51:30 AM,52.466,87.324
30,03/26/19 08:21:30 AM,52.817,87.159
31,03/26/19 08:51:30 AM,54.387,86.758
32,03/26/19 09:21:30 AM,56.035,86.470
33,03/26/19 09:51:30 AM,57.850,86.199
34,03/26/19 10:21:30 AM,61.590,85.279
35,03/26/19 10:51:30 AM,62.919,85.449
36,03/26/19 11:21:30 AM,72.093,82.641
37,03/26/19 11:51:30 AM,81.642,81.456
38,03/26/19 12:21:30 PM,88.810,84.884
39,03/26/19 12:51:30 PM,96.724,84.331
40,03/26/19 01:21:30 PM,99.070,83.403
41,03/26/19 01:51:30 PM,98.136,83.086
42,03/26/19 02:21:30 PM,98.184,82.855
43,03/26/19 02:51:30 PM,101.408,82.370
44,03/26/19 03:21:30 PM,102.823,81.817
45,03/26/19 03:51:30 PM,98.627,81.838
46,03/26/19 04:21:30 PM,93.897,82.085
47,03/26/19 04:51:30 PM,89.962,82.033
48,03/26/19 05:21:30 PM,88.488,81.831
49,03/26/19 05:51:30 PM,88.763,81.308
50,03/26/19 06:21:30 PM,85.894,81.176
51,03/26/19 06:51:30 PM,83.109,81.052
52,03/26/19 07:21:30 PM,77.727,81.421
53,03/26/19 07:51:30 PM,73.645,81.616
54,03/26/19 08:21:30 PM,69.685,82.038
55,03/26/19 08:51:30 PM,66.301,82.406
56,03/26/19 09:21:30 PM,64.288,82.574
57,03/26/19 09:51:30 PM,62.919,82.764
58,03/26/19 10:21:30 PM,61.934,82.889
59,03/26/19 10:51:30 PM,61.804,83.175
60,03/26/19 11:21:30 PM,61.633,83.236
61,03/26/19 11:51:30 PM,61.248,83.133
62,03/27/19 12:21:30 AM,60.690,83.118
63,03/27/19 12:51:30 AM,60.089,83.179
64,03/27/19 01:21:30 AM,59.272,83.186
65,03/27/19 01:51:30 AM,59.229,83.208
66,03/27/19 02:21:30 AM,58.626,83.132
67,03/27/19 02:51:30 AM,57.893,83.258
68,03/27/19 03:21:30 AM,57.893,83.312
69,03/27/19 03:51:30 AM,57.333,83.242
70,03/27/19 04:21:30 AM,56.858,83.290
71,03/27/19 04:51:30 AM,56.469,83.323
72,03/27/19 05:21:30 AM,56.165,83.366
73,03/27/19 05:51:30 AM,56.035,83.322
74,03/27/19 06:21:30 AM,56.079,83.301
75,03/27/19 06:51:30 AM,55.299,83.229
76,03/27/19 07:21:30 AM,54.516,83.265
77,03/27/19 07:51:30 AM,53.865,83.344
78,03/27/19 08:21:30 AM,53.515,83.462
79,03/27/19 08:51:30 AM,56.512,84.302
80,03/27/19 09:21:30 AM,62.791,84.341
81,03/27/19 09:51:30 AM,68.443,84.254
82,03/27/19 10:21:30 AM,73.947,83.852
83,03/27/19 10:51:30 AM,79.743,83.774
84,03/27/19 11:21:30 AM,86.074,83.283
85,03/27/19 11:51:30 AM,92.104,83.076
86,03/27/19 12:21:30 PM,97.599,82.579
87,03/27/19 12:51:30 PM,101.458,82.167
88,03/27/19 01:21:30 PM,101.610,81.976
89,03/27/19 01:51:30 PM,100.557,81.794
90,03/27/19 02:21:30 PM,97.306,81.834
91,03/27/19 02:51:30 PM,94.467,81.946
92,03/27/19 03:21:30 PM,92.197,81.945
93,03/27/19 03:51:30 PM,91.589,81.815
94,03/27/19 04:21:30 PM,89.546,81.605
95,03/27/19 04:51:30 PM,86.664,81.528
96,03/27/19 05:21:30 PM,83.511,81.360
97,03/27/19 05:51:30 PM,81.023,81.124
98,03/27/19 06:21:30 PM,78.471,80.937
99,03/27/19 06:51:30 PM,76.289,80.765
100,03/27/19 07:21:30 PM,72.093,81.005
101,03/27/19 07:51:30 PM,67.671,81.206
102,03/27/19 08:21:30 PM,64.717,81.462
103,03/27/19 08:51:30 PM,63.390,81.633
104,03/27/19 09:21:30 PM,62.791,81.698
105,03/27/19 09:51:30 PM,62.233,81.713
106,03/27/19 10:21:30 PM,62.019,81.880
107,03/27/19 10:51:30 PM,62.406,81.900
108,03/27/19 11:21:30 PM,62.233,81.824
109,03/27/19 11:51:30 PM,61.419,81.779
110,03/28/19 12:21:30 AM,60.861,81.876
111,03/28/19 12:51:30 AM,60.604,81.954
112,03/28/19 01:21:30 AM,60.303,81.972
113,03/28/19 01:51:30 AM,59.702,81.953
114,03/28/19 02:21:30 AM,58.928,81.830
115,03/28/19 02:51:30 AM,58.498,82.023
116,03/28/19 03:21:30 AM,58.368,81.925
117,03/28/19 03:51:30 AM,57.807,81.993
118,03/28/19 04:21:30 AM,57.160,81.940
119,03/28/19 04:51:30 AM,56.556,82.001
120,03/28/19 05:21:30 AM,56.251,82.100
121,03/28/19 05:51:30 AM,56.208,82.122
122,03/28/19 06:21:30 AM,56.469,82.045
123,03/28/19 06:51:30 AM,56.035,82.046
124,03/28/19 07:21:30 AM,55.386,82.019
125,03/28/19 07:51:30 AM,54.777,82.079
126,03/28/19 08:21:30 AM,55.472,82.628
127,03/28/19 08:51:30 AM,59.486,83.077
128,03/28/19 09:21:30 AM,65.230,83.051
129,03/28/19 09:51:30 AM,69.557,82.862
