"Plot Title: SG3_Top"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580750, SEN S/N: 20580750)","RH, % (LGR S/N: 20580750, SEN S/N: 20580750)"
1,03/25/19 05:48:09 PM,88.671,79.009
2,03/25/19 06:18:09 PM,87.346,79.358
3,03/25/19 06:48:09 PM,86.029,79.266
4,03/25/19 07:18:09 PM,81.642,79.229
5,03/25/19 07:48:09 PM,73.990,80.208
6,03/25/19 08:18:09 PM,69.600,80.763
7,03/25/19 08:48:09 PM,66.686,81.031
8,03/25/19 09:18:09 PM,64.632,81.257
9,03/25/19 09:48:09 PM,63.390,81.384
10,03/25/19 10:18:09 PM,62.661,81.461
11,03/25/19 10:48:09 PM,62.233,81.464
12,03/25/19 11:18:09 PM,61.547,81.546
13,03/25/19 11:48:09 PM,61.462,81.536
14,03/26/19 12:18:09 AM,61.162,81.554
15,03/26/19 12:48:09 AM,60.647,81.574
16,03/26/19 01:18:09 AM,59.659,81.618
17,03/26/19 01:48:09 AM,58.755,81.671
18,03/26/19 02:18:09 AM,57.936,81.790
19,03/26/19 02:48:09 AM,57.463,81.813
20,03/26/19 03:18:09 AM,56.815,81.897
21,03/26/19 03:48:09 AM,56.251,81.909
22,03/26/19 04:18:09 AM,55.906,81.948
23,03/26/19 04:48:09 AM,55.429,81.997
24,03/26/19 05:18:09 AM,54.865,82.036
25,03/26/19 05:48:09 AM,54.865,82.090
26,03/26/19 06:18:09 AM,54.387,82.112
27,03/26/19 06:48:09 AM,53.908,82.106
28,03/26/19 07:18:09 AM,53.559,82.171
29,03/26/19 07:48:09 AM,52.772,82.208
30,03/26/19 08:18:09 AM,52.903,82.251
31,03/26/19 08:48:09 AM,53.951,82.220
32,03/26/19 09:18:09 AM,55.690,82.030
33,03/26/19 09:48:09 AM,57.420,81.917
34,03/26/19 10:18:09 AM,60.260,81.609
35,03/26/19 10:48:09 AM,62.319,81.502
36,03/26/19 11:18:09 AM,68.400,80.507
37,03/26/19 11:48:09 AM,77.990,79.300
38,03/26/19 12:18:09 PM,90.009,80.838
39,03/26/19 12:48:09 PM,98.872,78.877
40,03/26/19 01:18:09 PM,102.265,77.438
41,03/26/19 01:48:09 PM,101.307,77.090
42,03/26/19 02:18:09 PM,99.860,77.327
43,03/26/19 02:48:09 PM,102.367,77.114
44,03/26/19 03:18:09 PM,103.334,76.914
45,03/26/19 03:48:09 PM,101.107,76.582
46,03/26/19 04:18:09 PM,95.374,77.408
47,03/26/19 04:48:09 PM,91.216,77.517
48,03/26/19 05:18:09 PM,88.579,77.995
49,03/26/19 05:48:09 PM,88.259,77.988
50,03/26/19 06:18:09 PM,86.256,77.558
51,03/26/19 06:48:09 PM,82.798,77.962
52,03/26/19 07:18:09 PM,78.165,78.019
53,03/26/19 07:48:09 PM,73.688,78.544
54,03/26/19 08:18:09 PM,69.728,78.968
55,03/26/19 08:48:09 PM,66.258,79.408
56,03/26/19 09:18:09 PM,63.990,79.812
57,03/26/19 09:48:09 PM,62.533,80.085
58,03/26/19 10:18:09 PM,61.547,80.217
59,03/26/19 10:48:09 PM,61.419,80.590
60,03/26/19 11:18:09 PM,61.290,80.546
61,03/26/19 11:48:09 PM,60.948,80.505
62,03/27/19 12:18:09 AM,60.390,80.493
63,03/27/19 12:48:09 AM,59.745,80.525
64,03/27/19 01:18:09 AM,58.928,80.537
65,03/27/19 01:48:09 AM,58.842,80.692
66,03/27/19 02:18:09 AM,58.282,80.541
67,03/27/19 02:48:09 AM,57.506,80.749
68,03/27/19 03:18:09 AM,57.506,80.804
69,03/27/19 03:48:09 AM,56.944,80.681
70,03/27/19 04:18:09 AM,56.426,80.755
71,03/27/19 04:48:09 AM,55.992,80.866
72,03/27/19 05:18:09 AM,55.690,80.884
73,03/27/19 05:48:09 AM,55.558,80.950
74,03/27/19 06:18:09 AM,55.602,80.955
75,03/27/19 06:48:09 AM,54.909,80.761
76,03/27/19 07:18:09 AM,54.126,80.856
77,03/27/19 07:48:09 AM,53.427,80.988
78,03/27/19 08:18:09 AM,53.166,81.091
79,03/27/19 08:48:09 AM,57.031,82.278
80,03/27/19 09:18:09 AM,64.459,81.792
81,03/27/19 09:48:09 AM,70.803,81.189
82,03/27/19 10:18:09 AM,76.636,80.377
83,03/27/19 10:48:09 AM,82.665,80.073
84,03/27/19 11:18:09 AM,88.902,79.388
85,03/27/19 11:48:09 AM,94.896,78.851
86,03/27/19 12:18:09 PM,100.508,77.700
87,03/27/19 12:48:09 PM,104.772,76.947
88,03/27/19 01:18:09 PM,105.031,76.515
89,03/27/19 01:48:09 PM,103.948,76.338
90,03/27/19 02:18:09 PM,100.207,76.546
91,03/27/19 02:48:09 PM,97.160,76.881
92,03/27/19 03:18:09 PM,94.181,77.187
93,03/27/19 03:48:09 PM,92.856,77.340
94,03/27/19 04:18:09 PM,90.844,77.357
95,03/27/19 04:48:09 PM,87.894,77.534
96,03/27/19 05:18:09 PM,84.362,77.757
97,03/27/19 05:48:09 PM,81.421,77.953
98,03/27/19 06:18:09 PM,78.514,78.117
99,03/27/19 06:48:09 PM,76.071,78.127
100,03/27/19 07:18:09 PM,72.610,78.075
101,03/27/19 07:48:09 PM,68.056,78.404
102,03/27/19 08:18:09 PM,64.717,78.946
103,03/27/19 08:48:09 PM,63.176,79.324
104,03/27/19 09:18:09 PM,62.447,79.461
105,03/27/19 09:48:09 PM,61.891,79.479
106,03/27/19 10:18:09 PM,61.633,79.782
107,03/27/19 10:48:09 PM,62.105,79.727
108,03/27/19 11:18:09 PM,61.934,79.651
109,03/27/19 11:48:09 PM,61.119,79.526
110,03/28/19 12:18:09 AM,60.561,79.737
111,03/28/19 12:48:09 AM,60.217,79.863
112,03/28/19 01:18:09 AM,60.046,79.814
113,03/28/19 01:48:09 AM,59.401,79.820
114,03/28/19 02:18:09 AM,58.582,79.667
115,03/28/19 02:48:09 AM,58.195,80.062
116,03/28/19 03:18:09 AM,58.109,79.775
117,03/28/19 03:48:09 AM,57.376,79.963
118,03/28/19 04:18:09 AM,56.772,79.890
119,03/28/19 04:48:09 AM,56.165,79.982
120,03/28/19 05:18:09 AM,55.733,80.149
121,03/28/19 05:48:09 AM,55.690,80.144
122,03/28/19 06:18:09 AM,55.992,80.181
123,03/28/19 06:48:09 AM,55.558,80.073
124,03/28/19 07:18:09 AM,54.995,80.032
125,03/28/19 07:48:09 AM,54.516,80.111
126,03/28/19 08:18:09 AM,55.602,80.846
127,03/28/19 08:48:09 AM,60.647,81.160
128,03/28/19 09:18:09 AM,67.071,80.769
129,03/28/19 09:48:09 AM,71.748,80.171
130,03/28/19 10:18:09 AM,77.292,79.737
131,03/28/19 10:48:09 AM,82.353,79.427
132,03/28/19 11:18:09 AM,87.255,78.907
133,03/28/19 11:48:09 AM,91.683,78.580
134,03/28/19 12:18:09 PM,95.999,78.287
135,03/28/19 12:48:09 PM,99.712,77.523
136,03/28/19 01:18:09 PM,101.057,77.063
137,03/28/19 01:48:09 PM,100.657,76.716
138,03/28/19 02:18:09 PM,99.712,76.947
139,03/28/19 02:48:09 PM,98.773,76.966
140,03/28/19 03:18:09 PM,97.745,77.036
141,03/28/19 03:48:09 PM,97.306,77.109
142,03/28/19 04:18:09 PM,96.822,76.995
143,03/28/19 04:48:09 PM,94.705,77.005
144,03/28/19 05:18:09 PM,89.870,77.071
145,03/28/19 05:48:09 PM,86.346,77.273
146,03/28/19 06:18:09 PM,84.990,77.122
147,03/28/19 06:48:09 PM,79.612,77.165
148,03/28/19 07:18:09 PM,74.034,77.174
149,03/28/19 07:48:09 PM,68.056,77.609
150,03/28/19 08:18:09 PM,63.862,78.255
151,03/28/19 08:48:09 PM,61.677,78.867
152,03/28/19 09:18:09 PM,60.904,79.111
153,03/28/19 09:48:09 PM,60.647,79.191
154,03/28/19 10:18:09 PM,60.260,79.173
155,03/28/19 10:48:09 PM,60.003,79.254
156,03/28/19 11:18:09 PM,60.003,79.337
157,03/28/19 11:48:09 PM,59.529,79.198
158,03/29/19 12:18:09 AM,58.842,79.254
159,03/29/19 12:48:09 AM,58.325,79.303
160,03/29/19 01:18:09 AM,57.850,79.247
161,03/29/19 01:48:09 AM,57.549,79.625
162,03/29/19 02:18:09 AM,58.066,79.549
163,03/29/19 02:48:09 AM,57.722,79.314
164,03/29/19 03:18:09 AM,56.728,79.361
165,03/29/19 03:48:09 AM,56.469,79.688
166,03/29/19 04:18:09 AM,56.815,79.813
167,03/29/19 04:48:09 AM,56.685,79.632
168,03/29/19 05:18:09 AM,56.728,79.747
169,03/29/19 05:48:09 AM,56.901,79.823
170,03/29/19 06:18:09 AM,57.204,79.777
171,03/29/19 06:48:09 AM,56.858,79.597
172,03/29/19 07:18:09 AM,57.031,79.728
173,03/29/19 07:48:09 AM,56.901,79.603
174,03/29/19 08:18:09 AM,57.333,79.903
175,03/29/19 08:48:09 AM,58.455,80.204
176,03/29/19 09:18:09 AM,60.433,80.277
177,03/29/19 09:48:09 AM,67.071,81.832
178,03/29/19 10:18:09 AM,69.514,79.963
179,03/29/19 10:48:09 AM,73.688,80.713
180,03/29/19 11:18:09 AM,82.175,80.364
181,03/29/19 11:48:09 AM,89.776,79.429
182,03/29/19 12:18:09 PM,95.040,78.748
183,03/29/19 12:48:09 PM,98.971,78.256
184,03/29/19 01:18:09 PM,103.231,77.665
185,03/29/19 01:48:09 PM,104.617,76.961
186,03/29/19 02:18:09 PM,102.418,76.571
187,03/29/19 02:48:09 PM,99.019,76.781
188,03/29/19 03:18:09 PM,97.111,76.906
189,03/29/19 03:48:09 PM,94.800,76.895
190,03/29/19 04:18:09 PM,93.186,77.257
191,03/29/19 04:48:09 PM,92.527,77.185
192,03/29/19 05:18:09 PM,89.085,76.984
193,03/29/19 05:48:09 PM,84.094,76.610
194,03/29/19 06:18:09 PM,80.361,77.279
195,03/29/19 06:48:09 PM,77.509,77.452
196,03/29/19 07:18:09 PM,75.508,77.110
197,03/29/19 07:48:09 PM,72.136,77.247
198,03/29/19 08:18:09 PM,69.427,77.567
199,03/29/19 08:48:09 PM,67.372,77.814
200,03/29/19 09:18:09 PM,65.872,78.038
201,03/29/19 09:48:09 PM,64.632,78.316
202,03/29/19 10:18:09 PM,63.390,78.453
203,03/29/19 10:48:09 PM,62.062,78.689
204,03/29/19 11:18:09 PM,61.333,78.938
205,03/29/19 11:48:09 PM,60.861,78.827
206,03/30/19 12:18:09 AM,60.346,78.849
207,03/30/19 12:48:09 AM,59.830,78.955
208,03/30/19 01:18:09 AM,59.445,79.021
209,03/30/19 01:48:09 AM,58.928,78.987
210,03/30/19 02:18:09 AM,58.195,79.122
211,03/30/19 02:48:09 AM,58.023,79.129
212,03/30/19 03:18:09 AM,57.592,79.216
213,03/30/19 03:48:09 AM,57.290,79.207
214,03/30/19 04:18:09 AM,57.376,79.328
215,03/30/19 04:48:09 AM,56.815,79.206
216,03/30/19 05:18:09 AM,56.165,79.321
217,03/30/19 05:48:09 AM,56.079,79.421
218,03/30/19 06:18:09 AM,56.251,79.414
219,03/30/19 06:48:09 AM,56.251,79.469
220,03/30/19 07:18:09 AM,56.165,79.349
221,03/30/19 07:48:09 AM,56.079,79.311
222,03/30/19 08:18:09 AM,56.901,79.878
223,03/30/19 08:48:09 AM,61.462,80.179
224,03/30/19 09:18:09 AM,66.857,80.070
225,03/30/19 09:48:09 AM,72.351,79.901
226,03/30/19 10:18:09 AM,77.596,79.484
227,03/30/19 10:48:09 AM,82.486,79.588
228,03/30/19 11:18:09 AM,88.993,79.134
229,03/30/19 11:48:09 AM,93.470,78.721
230,03/30/19 12:18:09 PM,95.999,78.706
231,03/30/19 12:48:09 PM,99.761,78.464
232,03/30/19 01:18:09 PM,101.912,77.490
233,03/30/19 01:48:09 PM,100.159,77.178
234,03/30/19 02:18:09 PM,97.452,77.215
235,03/30/19 02:48:09 PM,94.134,77.362
236,03/30/19 03:18:09 PM,90.612,77.569
237,03/30/19 03:48:09 PM,88.993,77.745
238,03/30/19 04:18:09 PM,87.073,77.767
239,03/30/19 04:48:09 PM,85.082,77.750
240,03/30/19 05:18:09 PM,82.798,77.757
241,03/30/19 05:48:09 PM,81.066,77.737
242,03/30/19 06:18:09 PM,79.216,77.587
243,03/30/19 06:48:09 PM,77.553,77.370
244,03/30/19 07:18:09 PM,74.163,76.900
245,03/30/19 07:48:09 PM,69.256,77.205
246,03/30/19 08:18:09 PM,65.615,77.668
247,03/30/19 08:48:09 PM,63.219,78.039
248,03/30/19 09:18:09 PM,61.934,78.422
249,03/30/19 09:48:09 PM,61.290,78.710
250,03/30/19 10:18:09 PM,61.633,78.806
251,03/30/19 10:48:09 PM,61.506,78.735
252,03/30/19 11:18:09 PM,60.775,78.649
253,03/30/19 11:48:09 PM,60.003,78.697
254,03/31/19 12:18:09 AM,59.401,78.738
255,03/31/19 12:48:09 AM,59.014,78.803
256,03/31/19 01:18:09 AM,58.798,78.972
257,03/31/19 01:48:09 AM,58.842,78.921
258,03/31/19 02:18:09 AM,58.498,78.964
259,03/31/19 02:48:09 AM,58.368,79.059
260,03/31/19 03:18:09 AM,58.455,79.125
261,03/31/19 03:48:09 AM,58.582,79.168
262,03/31/19 04:18:09 AM,58.971,79.186
263,03/31/19 04:48:09 AM,59.099,79.091
264,03/31/19 05:18:09 AM,59.142,79.179
265,03/31/19 05:48:09 AM,58.798,78.888
266,03/31/19 06:18:09 AM,57.936,78.952
267,03/31/19 06:48:09 AM,57.333,78.936
268,03/31/19 07:18:09 AM,56.901,79.023
269,03/31/19 07:48:09 AM,56.512,79.087
270,03/31/19 08:18:09 AM,57.722,79.674
271,03/31/19 08:48:09 AM,62.490,79.940
272,03/31/19 09:18:09 AM,67.671,79.885
273,03/31/19 09:48:09 AM,73.299,79.271
274,03/31/19 10:18:09 AM,78.777,79.449
275,03/31/19 10:48:09 AM,84.452,79.290
276,03/31/19 11:18:09 AM,90.009,78.954
277,03/31/19 11:48:09 AM,95.423,78.313
278,03/31/19 12:18:09 PM,97.599,77.803
279,03/31/19 12:48:09 PM,97.939,77.690
280,03/31/19 01:18:09 PM,97.599,77.623
281,03/31/19 01:48:09 PM,96.676,77.642
282,03/31/19 02:18:09 PM,94.991,77.816
283,03/31/19 02:48:09 PM,93.612,77.753
284,03/31/19 03:18:09 PM,91.729,77.812
285,03/31/19 03:48:09 PM,89.823,77.778
286,03/31/19 04:18:09 PM,88.259,77.722
287,03/31/19 04:48:09 PM,86.437,77.696
288,03/31/19 05:18:09 PM,84.094,77.551
289,03/31/19 05:48:09 PM,80.845,77.596
290,03/31/19 06:18:09 PM,77.945,77.559
291,03/31/19 06:48:09 PM,75.074,77.408
292,03/31/19 07:18:09 PM,71.964,76.969
293,03/31/19 07:48:09 PM,67.885,77.362
294,03/31/19 08:18:09 PM,65.102,77.666
295,03/31/19 08:48:09 PM,62.661,77.974
296,03/31/19 09:18:09 PM,61.075,78.265
297,03/31/19 09:48:09 PM,60.217,78.416
298,03/31/19 10:18:09 PM,59.916,78.826
299,03/31/19 10:48:09 PM,59.873,78.793
300,03/31/19 11:18:09 PM,59.572,78.814
301,03/31/19 11:48:09 PM,58.798,78.583
302,04/01/19 12:18:09 AM,58.023,78.824
303,04/01/19 12:48:09 AM,57.679,78.783
304,04/01/19 01:18:09 AM,57.160,78.805
305,04/01/19 01:48:09 AM,56.815,78.930
306,04/01/19 02:18:09 AM,56.383,78.989
307,04/01/19 02:48:09 AM,56.642,79.075
308,04/01/19 03:18:09 AM,57.031,79.094
309,04/01/19 03:48:09 AM,57.376,79.052
310,04/01/19 04:18:09 AM,57.074,78.822
311,04/01/19 04:48:09 AM,56.556,79.037
312,04/01/19 05:18:09 AM,57.074,79.347
313,04/01/19 05:48:09 AM,58.282,79.104
314,04/01/19 06:18:09 AM,58.195,78.956
315,04/01/19 06:48:09 AM,57.506,78.846
316,04/01/19 07:18:09 AM,56.944,78.917
317,04/01/19 07:48:09 AM,56.815,79.261
318,04/01/19 08:18:09 AM,57.979,79.484
319,04/01/19 08:48:09 AM,59.616,79.458
320,04/01/19 09:18:09 AM,64.717,80.235
321,04/01/19 09:48:09 AM,70.803,79.832
322,04/01/19 10:18:09 AM,75.117,79.741
323,04/01/19 10:48:09 AM,81.288,79.537
324,04/01/19 11:18:09 AM,86.074,79.242
325,04/01/19 11:48:09 AM,90.565,78.839
326,04/01/19 12:18:09 PM,94.039,78.397
327,04/01/19 12:48:09 PM,97.111,78.321
328,04/01/19 01:18:09 PM,99.316,77.963
329,04/01/19 01:48:09 PM,98.332,77.673
330,04/01/19 02:18:09 PM,96.435,77.645
331,04/01/19 02:48:09 PM,94.276,77.796
332,04/01/19 03:18:09 PM,92.763,77.867
333,04/01/19 03:48:09 PM,91.636,78.010
334,04/01/19 04:18:09 PM,91.216,77.993
335,04/01/19 04:48:09 PM,89.823,77.511
336,04/01/19 05:18:09 PM,86.164,77.223
337,04/01/19 05:48:09 PM,81.687,77.252
338,04/01/19 06:18:09 PM,78.514,77.537
339,04/01/19 06:48:09 PM,75.117,77.124
340,04/01/19 07:18:09 PM,71.791,77.121
341,04/01/19 07:48:09 PM,66.943,77.254
342,04/01/19 08:18:09 PM,63.518,77.849
343,04/01/19 08:48:09 PM,61.547,78.153
344,04/01/19 09:18:09 PM,60.346,78.431
345,04/01/19 09:48:09 PM,59.486,78.581
346,04/01/19 10:18:09 PM,59.056,78.725
347,04/01/19 10:48:09 PM,59.056,78.891
348,04/01/19 11:18:09 PM,59.529,78.975
349,04/01/19 11:48:09 PM,59.702,78.912
350,04/02/19 12:18:09 AM,59.959,78.971
351,04/02/19 12:48:09 AM,60.217,78.973
352,04/02/19 01:18:09 AM,60.260,78.867
353,04/02/19 01:48:09 AM,60.132,78.908
354,04/02/19 02:18:09 AM,59.659,78.712
355,04/02/19 02:48:09 AM,59.572,78.953
356,04/02/19 03:18:09 AM,59.529,78.836
357,04/02/19 03:48:09 AM,59.401,78.849
358,04/02/19 04:18:09 AM,59.315,78.978
359,04/02/19 04:48:09 AM,59.185,78.962
360,04/02/19 05:18:09 AM,58.626,78.785
361,04/02/19 05:48:09 AM,57.765,78.683
362,04/02/19 06:18:09 AM,57.204,78.893
363,04/02/19 06:48:09 AM,56.685,78.831
364,04/02/19 07:18:09 AM,56.469,78.971
365,04/02/19 07:48:09 AM,56.251,79.111
366,04/02/19 08:18:09 AM,57.420,79.610
367,04/02/19 08:48:09 AM,58.712,79.627
368,04/02/19 09:18:09 AM,63.005,79.890
369,04/02/19 09:48:09 AM,64.288,79.372
370,04/02/19 10:18:09 AM,65.359,79.443
371,04/02/19 10:48:09 AM,67.714,79.411
372,04/02/19 11:18:09 AM,73.645,81.870
373,04/02/19 11:48:09 AM,83.242,80.373
374,04/02/19 12:18:09 PM,87.757,79.346
375,04/02/19 12:48:09 PM,90.286,78.956
376,04/02/19 01:18:09 PM,91.589,78.718
377,04/02/19 01:48:09 PM,92.151,78.514
378,04/02/19 02:18:09 PM,92.104,78.360
379,04/02/19 02:48:09 PM,92.010,78.082
380,04/02/19 03:18:09 PM,89.870,77.694
381,04/02/19 03:48:09 PM,88.810,77.665
382,04/02/19 04:18:09 PM,86.301,78.034
383,04/02/19 04:48:09 PM,85.802,77.978
384,04/02/19 05:18:09 PM,84.497,77.655
385,04/02/19 05:48:09 PM,82.308,77.234
386,04/02/19 06:18:09 PM,78.777,77.013
387,04/02/19 06:48:09 PM,76.028,76.995
388,04/02/19 07:18:09 PM,71.920,76.762
389,04/02/19 07:48:09 PM,67.798,77.324
390,04/02/19 08:18:09 PM,65.615,77.725
391,04/02/19 08:48:09 PM,64.288,77.967
392,04/02/19 09:18:09 PM,63.262,78.072
393,04/02/19 09:48:09 PM,62.062,78.157
394,04/02/19 10:18:09 PM,61.333,78.463
395,04/02/19 10:48:09 PM,61.119,78.578
396,04/02/19 11:18:09 PM,60.818,78.543
397,04/02/19 11:48:09 PM,60.474,78.614
398,04/03/19 12:18:09 AM,60.346,78.682
399,04/03/19 12:48:09 AM,60.174,78.718
400,04/03/19 01:18:09 AM,60.003,78.697
401,04/03/19 01:48:09 AM,59.788,78.700
402,04/03/19 02:18:09 AM,59.616,78.763
403,04/03/19 02:48:09 AM,59.272,78.611
404,04/03/19 03:18:09 AM,58.498,78.603
405,04/03/19 03:48:09 AM,58.066,78.802
406,04/03/19 04:18:09 AM,58.325,78.804
407,04/03/19 04:48:09 AM,57.936,78.675
408,04/03/19 05:18:09 AM,57.074,78.656
409,04/03/19 05:48:09 AM,56.512,78.811
410,04/03/19 06:18:09 AM,56.165,78.935
411,04/03/19 06:48:09 AM,56.251,79.001
412,04/03/19 07:18:09 AM,56.295,78.923
413,04/03/19 07:48:09 AM,56.685,79.218
414,04/03/19 08:18:09 AM,57.592,79.548
415,04/03/19 08:48:09 AM,59.916,79.716
416,04/03/19 09:18:09 AM,63.518,80.036
417,04/03/19 09:48:09 AM,66.472,80.024
418,04/03/19 10:18:09 AM,73.861,80.278
419,04/03/19 10:48:09 AM,81.952,80.656
420,04/03/19 11:18:09 AM,88.259,79.345
421,04/03/19 11:48:09 AM,91.870,78.660
422,04/03/19 12:18:09 PM,93.470,77.886
423,04/03/19 12:48:09 PM,92.856,78.355
424,04/03/19 01:18:09 PM,92.903,77.883
425,04/03/19 01:48:09 PM,92.197,78.400
426,04/03/19 02:18:09 PM,92.714,78.577
427,04/03/19 02:48:09 PM,93.139,78.088
428,04/03/19 03:18:09 PM,90.379,76.232
429,04/03/19 03:48:09 PM,90.333,78.517
430,04/03/19 04:18:09 PM,90.750,77.763
431,04/03/19 04:48:09 PM,90.055,77.596
432,04/03/19 05:18:09 PM,87.210,77.664
433,04/03/19 05:48:09 PM,87.255,77.374
434,04/03/19 06:18:09 PM,85.894,76.809
435,04/03/19 06:48:09 PM,84.049,76.634
436,04/03/19 07:18:09 PM,80.184,76.382
437,04/03/19 07:48:09 PM,76.158,76.546
438,04/03/19 08:18:09 PM,72.523,76.859
439,04/03/19 08:48:09 PM,69.858,77.245
440,04/03/19 09:18:09 PM,68.056,77.495
441,04/03/19 09:48:09 PM,66.643,77.532
442,04/03/19 10:18:09 PM,65.487,77.767
443,04/03/19 10:48:09 PM,64.717,77.791
444,04/03/19 11:18:09 PM,63.990,78.016
445,04/03/19 11:48:09 PM,63.304,78.077
446,04/04/19 12:18:09 AM,62.748,78.097
447,04/04/19 12:48:09 AM,62.620,78.531
448,04/04/19 01:18:09 AM,63.262,78.662
449,04/04/19 01:48:09 AM,63.775,78.610
450,04/04/19 02:18:09 AM,64.247,78.609
451,04/04/19 02:48:09 AM,64.717,78.552
452,04/04/19 03:18:09 AM,64.888,78.487
453,04/04/19 03:48:09 AM,64.632,78.401
454,04/04/19 04:18:09 AM,64.288,78.389
455,04/04/19 04:48:09 AM,64.332,78.450
456,04/04/19 05:18:09 AM,63.475,78.069
457,04/04/19 05:48:09 AM,62.704,78.484
458,04/04/19 06:18:09 AM,62.748,78.377
459,04/04/19 06:48:09 AM,62.062,78.437
460,04/04/19 07:18:09 AM,61.506,78.484
461,04/04/19 07:48:09 AM,61.506,78.623
462,04/04/19 08:18:09 AM,62.233,79.101
463,04/04/19 08:48:09 AM,67.456,79.522
464,04/04/19 09:18:09 AM,73.904,79.456
465,04/04/19 09:48:09 AM,77.990,78.636
466,04/04/19 10:18:09 AM,79.524,78.551
467,04/04/19 10:48:09 AM,83.779,80.203
468,04/04/19 11:18:09 AM,92.197,80.001
469,04/04/19 11:48:09 AM,94.039,77.740
470,04/04/19 12:18:09 PM,97.794,78.997
471,04/04/19 12:48:09 PM,101.257,77.206
472,04/04/19 01:18:09 PM,100.857,77.375
473,04/04/19 01:48:09 PM,100.908,77.684
474,04/04/19 02:18:09 PM,101.962,77.435
475,04/04/19 02:48:09 PM,102.063,77.111
476,04/04/19 03:18:09 PM,101.458,76.894
477,04/04/19 03:48:09 PM,100.108,76.869
478,04/04/19 04:18:09 PM,97.891,76.659
479,04/04/19 04:48:09 PM,93.186,76.748
480,04/04/19 05:18:09 PM,90.055,76.883
481,04/04/19 05:48:09 PM,87.528,76.871
482,04/04/19 06:18:09 PM,84.990,76.739
483,04/04/19 06:48:09 PM,82.353,76.535
484,04/04/19 07:18:09 PM,77.815,76.207
485,04/04/19 07:48:09 PM,73.342,76.606
486,04/04/19 08:18:09 PM,70.372,77.104
487,04/04/19 08:48:09 PM,68.828,77.470
488,04/04/19 09:18:09 PM,68.142,77.619
489,04/04/19 09:48:09 PM,67.798,77.779
490,04/04/19 10:18:09 PM,67.456,77.711
491,04/04/19 10:48:09 PM,66.643,77.759
492,04/04/19 11:18:09 PM,66.344,78.007
493,04/04/19 11:48:09 PM,66.214,77.964
494,04/05/19 12:18:09 AM,65.916,77.845
495,04/05/19 12:48:09 AM,65.916,78.127
496,04/05/19 01:18:09 AM,66.087,78.289
497,04/05/19 01:48:09 AM,65.658,77.900
498,04/05/19 02:18:09 AM,64.375,78.089
499,04/05/19 02:48:09 AM,63.903,78.316
500,04/05/19 03:18:09 AM,63.903,78.400
501,04/05/19 03:48:09 AM,63.862,78.536
502,04/05/19 04:18:09 AM,64.204,78.351
503,04/05/19 04:48:09 AM,63.518,78.102
504,04/05/19 05:18:09 AM,62.661,78.199
505,04/05/19 05:48:09 AM,61.804,78.127
506,04/05/19 06:18:09 AM,61.032,78.232
507,04/05/19 06:48:09 AM,60.818,78.347
508,04/05/19 07:18:09 AM,60.346,78.264
509,04/05/19 07:48:09 AM,59.745,78.277
510,04/05/19 08:18:09 AM,60.948,79.116
511,04/05/19 08:48:09 AM,66.043,79.299
512,04/05/19 09:18:09 AM,71.060,79.095
513,04/05/19 09:48:09 AM,76.811,79.048
514,04/05/19 10:18:09 AM,82.218,78.888
515,04/05/19 10:48:09 AM,87.300,78.618
516,04/05/19 11:18:09 AM,91.917,78.131
517,04/05/19 11:48:09 AM,95.088,78.186
518,04/05/19 12:18:09 PM,98.283,77.999
519,04/05/19 12:48:09 PM,101.257,78.207
