"Plot Title: HOBO_SG4_Benito"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 9733611, SEN S/N: 9733611, LBL: Temp)","RH, % (LGR S/N: 9733611, SEN S/N: 9733611, LBL: RH)"
1,02/08/17 04:18:56 PM,35.475,28.255
2,02/08/17 04:48:56 PM,33.365,28.752
3,02/08/17 05:18:56 PM,33.001,30.485
4,02/08/17 05:48:56 PM,31.944,32.557
5,02/08/17 06:18:56 PM,30.343,35.164
6,02/08/17 06:48:56 PM,28.990,37.319
7,02/08/17 07:18:56 PM,27.284,41.849
8,02/08/17 07:48:56 PM,25.671,46.320
9,02/08/17 08:18:56 PM,23.905,49.589
10,02/08/17 08:48:56 PM,23.569,50.813
11,02/08/17 09:18:56 PM,22.800,54.289
12,02/08/17 09:48:56 PM,22.345,56.213
13,02/08/17 10:18:56 PM,22.130,56.057
14,02/08/17 10:48:56 PM,21.939,55.874
15,02/08/17 11:18:56 PM,21.342,57.267
16,02/08/17 11:48:56 PM,21.056,59.337
17,02/09/17 12:18:56 AM,20.579,60.601
18,02/09/17 12:48:56 AM,20.722,60.715
19,02/09/17 01:18:56 AM,20.627,61.487
20,02/09/17 01:48:56 AM,20.555,60.870
21,02/09/17 02:18:56 AM,20.365,61.112
22,02/09/17 02:48:56 AM,20.079,61.761
23,02/09/17 03:18:56 AM,19.532,65.710
24,02/09/17 03:48:56 AM,19.032,67.161
25,02/09/17 04:18:56 AM,19.222,64.228
26,02/09/17 04:48:56 AM,19.103,62.802
27,02/09/17 05:18:56 AM,19.056,63.154
28,02/09/17 05:48:56 AM,18.842,63.835
29,02/09/17 06:18:56 AM,18.699,64.377
30,02/09/17 06:48:56 AM,18.509,64.493
31,02/09/17 07:18:56 AM,18.343,65.325
32,02/09/17 07:48:56 AM,18.794,63.439
33,02/09/17 08:18:56 AM,19.103,61.511
34,02/09/17 08:48:56 AM,19.888,59.032
35,02/09/17 09:18:56 AM,20.841,56.422
36,02/09/17 09:48:56 AM,22.944,51.235
37,02/09/17 10:18:56 AM,26.622,44.847
38,02/09/17 10:48:56 AM,30.874,35.214
39,02/09/17 11:18:56 AM,33.235,32.224
40,02/09/17 11:48:56 AM,36.335,27.411
41,02/09/17 12:18:56 PM,35.689,27.992
42,02/09/17 12:48:56 PM,34.995,28.984
43,02/09/17 01:18:56 PM,34.519,29.293
44,02/09/17 01:48:56 PM,33.887,30.178
45,02/09/17 02:18:56 PM,34.281,29.621
46,02/09/17 02:48:56 PM,34.019,29.877
47,02/09/17 03:18:56 PM,34.150,29.403
48,02/09/17 03:48:56 PM,33.940,29.629
49,02/09/17 04:18:56 PM,32.924,31.236
50,02/09/17 04:48:56 PM,31.001,34.005
51,02/09/17 05:18:56 PM,30.571,34.678
52,02/09/17 05:48:56 PM,29.740,36.555
53,02/09/17 06:18:56 PM,28.270,39.445
54,02/09/17 06:48:56 PM,27.161,42.427
55,02/09/17 07:18:56 PM,25.866,45.859
56,02/09/17 07:48:56 PM,24.339,49.455
57,02/09/17 08:18:56 PM,22.848,54.608
58,02/09/17 08:48:56 PM,22.417,55.728
59,02/09/17 09:18:56 PM,22.321,56.705
60,02/09/17 09:48:56 PM,22.321,56.674
61,02/09/17 10:18:56 PM,22.513,56.888
62,02/09/17 10:48:56 PM,21.819,57.216
63,02/09/17 11:18:56 PM,21.199,60.396
64,02/09/17 11:48:56 PM,20.960,59.475
65,02/10/17 12:18:56 AM,20.865,62.131
66,02/10/17 12:48:56 AM,20.388,63.708
67,02/10/17 01:18:56 AM,20.388,63.558
68,02/10/17 01:48:56 AM,20.198,66.391
69,02/10/17 02:18:56 AM,19.865,65.619
70,02/10/17 02:48:56 AM,19.722,64.552
71,02/10/17 03:18:56 AM,19.651,65.612
72,02/10/17 03:48:56 AM,19.199,66.274
73,02/10/17 04:18:56 AM,18.818,68.240
74,02/10/17 04:48:56 AM,18.699,69.215
75,02/10/17 05:18:56 AM,18.818,68.680
76,02/10/17 05:48:56 AM,18.818,67.123
77,02/10/17 06:18:56 AM,18.414,66.608
78,02/10/17 06:48:56 AM,18.699,66.807
79,02/10/17 07:18:56 AM,18.652,65.853
80,02/10/17 07:48:56 AM,18.580,65.633
81,02/10/17 08:18:56 AM,18.866,66.186
82,02/10/17 08:48:56 AM,19.460,65.103
83,02/10/17 09:18:56 AM,20.341,61.683
84,02/10/17 09:48:56 AM,22.561,55.811
85,02/10/17 10:18:56 AM,26.598,46.466
86,02/10/17 10:48:56 AM,30.545,38.413
87,02/10/17 11:18:56 AM,33.079,33.443
88,02/10/17 11:48:56 AM,35.102,30.034
89,02/10/17 12:18:56 PM,36.200,28.031
90,02/10/17 12:48:56 PM,34.360,30.112
91,02/10/17 01:18:56 PM,35.743,27.996
92,02/10/17 01:48:56 PM,35.128,28.507
93,02/10/17 02:18:56 PM,35.555,27.737
94,02/10/17 02:48:56 PM,34.572,29.228
95,02/10/17 03:18:56 PM,33.261,31.057
96,02/10/17 03:48:56 PM,32.820,31.330
97,02/10/17 04:18:56 PM,31.765,33.769
98,02/10/17 04:48:56 PM,31.052,35.163
99,02/10/17 05:18:56 PM,30.293,36.238
100,02/10/17 05:48:56 PM,29.464,37.500
101,02/10/17 06:18:56 PM,28.543,39.241
102,02/10/17 06:48:56 PM,27.677,40.575
103,02/10/17 07:18:56 PM,26.231,43.401
104,02/10/17 07:48:56 PM,24.750,47.718
105,02/10/17 08:18:56 PM,22.992,52.469
106,02/10/17 08:48:56 PM,21.939,55.595
107,02/10/17 09:18:56 PM,21.628,56.879
108,02/10/17 09:48:56 PM,21.509,57.907
109,02/10/17 10:18:56 PM,21.867,56.544
110,02/10/17 10:48:56 PM,21.652,56.419
111,02/10/17 11:18:56 PM,21.079,61.743
112,02/10/17 11:48:56 PM,20.793,62.331
113,02/11/17 12:18:56 AM,20.746,59.837
114,02/11/17 12:48:56 AM,20.722,60.320
115,02/11/17 01:18:56 AM,20.650,61.310
116,02/11/17 01:48:56 AM,20.246,62.180
117,02/11/17 02:18:56 AM,19.984,63.549
118,02/11/17 02:48:56 AM,19.984,64.716
119,02/11/17 03:18:56 AM,20.150,63.428
120,02/11/17 03:48:56 AM,19.532,64.370
121,02/11/17 04:18:56 AM,19.389,66.189
122,02/11/17 04:48:56 AM,19.436,66.612
123,02/11/17 05:18:56 AM,19.365,64.521
124,02/11/17 05:48:56 AM,19.222,65.151
