"Plot Title: SG1_North_Hillbottom_1meter"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20057777, SEN S/N: 20057777, LBL: Temp)","RH, % (LGR S/N: 20057777, SEN S/N: 20057777, LBL: RH)"
1,03/25/19 10:55:47 AM,83.287,42.313
2,03/25/19 11:25:47 AM,91.776,32.290
3,03/25/19 11:55:47 AM,95.328,28.998
4,03/25/19 12:25:47 PM,96.822,27.562
5,03/25/19 12:55:47 PM,95.855,28.150
6,03/25/19 01:25:47 PM,94.991,28.079
7,03/25/19 01:55:47 PM,94.514,28.058
8,03/25/19 02:25:47 PM,82.620,38.100
9,03/25/19 02:55:47 PM,81.597,39.834
10,03/25/19 03:25:47 PM,83.556,37.886
11,03/25/19 03:55:47 PM,85.802,36.401
12,03/25/19 04:25:47 PM,85.622,35.247
13,03/25/19 04:55:47 PM,80.449,42.596
14,03/25/19 05:25:47 PM,80.227,44.020
15,03/25/19 05:55:47 PM,78.645,46.544
16,03/25/19 06:25:47 PM,77.990,48.236
17,03/25/19 06:55:47 PM,75.942,52.697
18,03/25/19 07:25:47 PM,68.999,62.864
19,03/25/19 07:55:47 PM,66.814,67.275
20,03/25/19 08:25:47 PM,65.359,70.990
21,03/25/19 08:55:47 PM,64.375,72.216
22,03/25/19 09:25:47 PM,63.732,73.641
23,03/25/19 09:55:47 PM,64.161,73.258
24,03/25/19 10:25:47 PM,63.819,74.366
25,03/25/19 10:55:47 PM,63.048,74.423
26,03/25/19 11:25:47 PM,62.406,76.112
27,03/25/19 11:55:47 PM,62.919,76.142
28,03/26/19 12:25:47 AM,62.233,76.460
29,03/26/19 12:55:47 AM,61.075,78.014
30,03/26/19 01:25:47 AM,60.991,79.344
31,03/26/19 01:55:47 AM,60.174,80.799
32,03/26/19 02:25:47 AM,60.046,81.748
33,03/26/19 02:55:47 AM,59.142,82.131
34,03/26/19 03:25:47 AM,58.626,82.668
35,03/26/19 03:55:47 AM,57.850,82.572
36,03/26/19 04:25:47 AM,57.936,83.644
37,03/26/19 04:55:47 AM,57.247,84.450
38,03/26/19 05:25:47 AM,57.247,84.531
39,03/26/19 05:55:47 AM,56.251,84.539
40,03/26/19 06:25:47 AM,56.512,83.626
41,03/26/19 06:55:47 AM,55.819,84.375
42,03/26/19 07:25:47 AM,55.081,83.985
43,03/26/19 07:55:47 AM,55.256,83.629
44,03/26/19 08:25:47 AM,61.590,78.354
45,03/26/19 08:55:47 AM,66.558,66.274
46,03/26/19 09:25:47 AM,70.372,57.601
47,03/26/19 09:55:47 AM,75.160,44.664
48,03/26/19 10:25:47 AM,75.637,42.848
49,03/26/19 10:55:47 AM,77.553,39.662
50,03/26/19 11:25:47 AM,81.288,36.025
51,03/26/19 11:55:47 AM,82.708,33.849
52,03/26/19 12:25:47 PM,85.667,30.325
53,03/26/19 12:55:47 PM,88.122,29.785
54,03/26/19 01:25:47 PM,84.272,33.895
55,03/26/19 01:55:47 PM,84.137,34.225
56,03/26/19 02:25:47 PM,86.709,31.330
57,03/26/19 02:55:47 PM,90.657,24.763
58,03/26/19 03:25:47 PM,90.518,28.512
59,03/26/19 03:55:47 PM,82.486,38.758
60,03/26/19 04:25:47 PM,81.775,40.043
61,03/26/19 04:55:47 PM,81.597,40.495
62,03/26/19 05:25:47 PM,81.997,40.089
63,03/26/19 05:55:47 PM,80.625,42.640
64,03/26/19 06:25:47 PM,77.902,47.105
65,03/26/19 06:55:47 PM,74.424,52.486
66,03/26/19 07:25:47 PM,70.329,58.028
67,03/26/19 07:55:47 PM,68.400,62.809
68,03/26/19 08:25:47 PM,66.214,68.627
69,03/26/19 08:55:47 PM,64.375,72.793
70,03/26/19 09:25:47 PM,63.133,72.744
71,03/26/19 09:55:47 PM,64.204,72.400
72,03/26/19 10:25:47 PM,63.347,75.794
73,03/26/19 10:55:47 PM,62.834,76.387
74,03/26/19 11:25:47 PM,62.105,78.358
75,03/26/19 11:55:47 PM,61.547,79.298
76,03/27/19 12:25:47 AM,60.904,80.943
77,03/27/19 12:55:47 AM,59.659,82.961
78,03/27/19 01:25:47 AM,59.014,85.056
79,03/27/19 01:55:47 AM,59.486,83.322
80,03/27/19 02:25:47 AM,58.498,85.718
81,03/27/19 02:55:47 AM,58.798,85.865
82,03/27/19 03:25:47 AM,58.239,86.303
83,03/27/19 03:55:47 AM,57.160,86.805
84,03/27/19 04:25:47 AM,56.642,86.817
85,03/27/19 04:55:47 AM,56.599,87.291
86,03/27/19 05:25:47 AM,56.512,87.227
87,03/27/19 05:55:47 AM,56.469,88.496
88,03/27/19 06:25:47 AM,56.295,87.969
89,03/27/19 06:55:47 AM,55.558,87.100
90,03/27/19 07:25:47 AM,54.473,87.142
91,03/27/19 07:55:47 AM,54.473,87.221
92,03/27/19 08:25:47 AM,56.728,86.935
93,03/27/19 08:55:47 AM,62.834,78.247
94,03/27/19 09:25:47 AM,68.913,65.969
95,03/27/19 09:55:47 AM,74.295,48.932
96,03/27/19 10:25:47 AM,72.955,48.486
97,03/27/19 10:55:47 AM,77.902,38.859
98,03/27/19 11:25:47 AM,80.492,33.434
99,03/27/19 11:55:47 AM,83.021,31.836
100,03/27/19 12:25:47 PM,85.667,27.476
101,03/27/19 12:55:47 PM,85.532,30.011
102,03/27/19 01:25:47 PM,85.667,31.452
103,03/27/19 01:55:47 PM,84.767,34.190
104,03/27/19 02:25:47 PM,83.109,36.658
105,03/27/19 02:55:47 PM,82.841,37.613
106,03/27/19 03:25:47 PM,83.422,37.478
107,03/27/19 03:55:47 PM,82.486,39.455
108,03/27/19 04:25:47 PM,81.376,41.208
109,03/27/19 04:55:47 PM,78.514,45.759
110,03/27/19 05:25:47 PM,76.464,49.789
111,03/27/19 05:55:47 PM,75.117,52.161
112,03/27/19 06:25:47 PM,72.955,57.171
113,03/27/19 06:55:47 PM,70.459,62.788
114,03/27/19 07:25:47 PM,67.114,69.159
115,03/27/19 07:55:47 PM,64.888,74.083
116,03/27/19 08:25:47 PM,63.732,77.846
117,03/27/19 08:55:47 PM,62.919,79.852
118,03/27/19 09:25:47 PM,62.490,81.800
119,03/27/19 09:55:47 PM,61.977,82.619
120,03/27/19 10:25:47 PM,62.704,83.040
121,03/27/19 10:55:47 PM,62.062,84.002
122,03/27/19 11:25:47 PM,61.205,85.473
123,03/27/19 11:55:47 PM,60.861,86.997
124,03/28/19 12:25:47 AM,60.604,88.279
125,03/28/19 12:55:47 AM,60.174,87.981
126,03/28/19 01:25:47 AM,59.702,87.328
127,03/28/19 01:55:47 AM,58.798,88.278
128,03/28/19 02:25:47 AM,57.506,91.275
129,03/28/19 02:55:47 AM,58.842,89.189
130,03/28/19 03:25:47 AM,58.023,88.414
131,03/28/19 03:55:47 AM,57.333,88.055
132,03/28/19 04:25:47 AM,57.160,89.278
133,03/28/19 04:55:47 AM,56.426,88.861
134,03/28/19 05:25:47 AM,56.295,88.896
135,03/28/19 05:55:47 AM,56.728,90.300
136,03/28/19 06:25:47 AM,56.383,88.749
137,03/28/19 06:55:47 AM,56.165,89.011
138,03/28/19 07:25:47 AM,55.949,89.008
139,03/28/19 07:55:47 AM,55.342,88.873
140,03/28/19 08:25:47 AM,59.572,86.693
141,03/28/19 08:55:47 AM,67.071,78.432
142,03/28/19 09:25:47 AM,68.657,68.433
143,03/28/19 09:55:47 AM,70.630,58.728
144,03/28/19 10:25:47 AM,73.602,50.752
145,03/28/19 10:55:47 AM,75.853,45.806
146,03/28/19 11:25:47 AM,76.768,42.724
147,03/28/19 11:55:47 AM,79.041,40.211
148,03/28/19 12:25:47 PM,81.997,36.765
149,03/28/19 12:55:47 PM,80.316,39.561
150,03/28/19 01:25:47 PM,81.066,38.942
151,03/28/19 01:55:47 PM,84.137,35.237
152,03/28/19 02:25:47 PM,84.004,35.297
153,03/28/19 02:55:47 PM,84.407,35.554
154,03/28/19 03:25:47 PM,85.984,33.032
155,03/28/19 03:55:47 PM,85.984,32.182
156,03/28/19 04:25:47 PM,84.362,34.304
157,03/28/19 04:55:47 PM,83.511,37.750
158,03/28/19 05:25:47 PM,79.788,43.405
159,03/28/19 05:55:47 PM,80.757,41.499
160,03/28/19 06:25:47 PM,74.034,52.519
161,03/28/19 06:55:47 PM,70.416,59.810
162,03/28/19 07:25:47 PM,65.230,70.104
163,03/28/19 07:55:47 PM,63.262,72.988
164,03/28/19 08:25:47 PM,62.406,75.801
165,03/28/19 08:55:47 PM,61.804,77.734
166,03/28/19 09:25:47 PM,61.677,78.755
167,03/28/19 09:55:47 PM,60.948,81.252
168,03/28/19 10:25:47 PM,60.690,82.460
169,03/28/19 10:55:47 PM,60.948,82.437
170,03/28/19 11:25:47 PM,60.260,81.857
171,03/28/19 11:55:47 PM,59.401,83.284
172,03/29/19 12:25:47 AM,60.517,83.042
173,03/29/19 12:55:47 AM,59.185,82.930
174,03/29/19 01:25:47 AM,59.056,85.251
175,03/29/19 01:55:47 AM,59.358,84.883
176,03/29/19 02:25:47 AM,58.755,84.589
177,03/29/19 02:55:47 AM,57.979,84.896
178,03/29/19 03:25:47 AM,57.893,85.963
179,03/29/19 03:55:47 AM,58.109,85.533
180,03/29/19 04:25:47 AM,58.282,84.664
181,03/29/19 04:55:47 AM,57.936,85.079
182,03/29/19 05:25:47 AM,58.368,84.350
183,03/29/19 05:55:47 AM,58.541,84.318
184,03/29/19 06:25:47 AM,58.195,83.758
185,03/29/19 06:55:47 AM,58.152,85.269
186,03/29/19 07:25:47 AM,58.669,82.865
187,03/29/19 07:55:47 AM,57.936,82.500
188,03/29/19 08:25:47 AM,59.445,80.710
189,03/29/19 08:55:47 AM,61.205,78.364
190,03/29/19 09:25:47 AM,63.304,73.795
191,03/29/19 09:55:47 AM,68.871,57.873
192,03/29/19 10:25:47 AM,70.587,54.995
193,03/29/19 10:55:47 AM,74.727,47.079
194,03/29/19 11:25:47 AM,78.382,41.223
195,03/29/19 11:55:47 AM,80.890,38.733
196,03/29/19 12:25:47 PM,81.154,38.881
197,03/29/19 12:55:47 PM,83.287,35.662
198,03/29/19 01:25:47 PM,85.307,33.202
199,03/29/19 01:55:47 PM,84.272,34.502
200,03/29/19 02:25:47 PM,83.154,36.058
201,03/29/19 02:55:47 PM,83.556,36.146
202,03/29/19 03:25:47 PM,82.931,37.484
203,03/29/19 03:55:47 PM,82.976,38.187
204,03/29/19 04:25:47 PM,81.597,40.033
205,03/29/19 04:55:47 PM,80.139,42.446
206,03/29/19 05:25:47 PM,77.727,45.900
207,03/29/19 05:55:47 PM,75.160,50.393
208,03/29/19 06:25:47 PM,73.213,53.803
209,03/29/19 06:55:47 PM,73.818,52.659
210,03/29/19 07:25:47 PM,70.115,57.580
211,03/29/19 07:55:47 PM,68.657,60.506
212,03/29/19 08:25:47 PM,68.099,62.360
213,03/29/19 08:55:47 PM,68.056,62.957
214,03/29/19 09:25:47 PM,67.114,64.306
215,03/29/19 09:55:47 PM,64.931,68.994
216,03/29/19 10:25:47 PM,63.648,72.886
217,03/29/19 10:55:47 PM,62.577,75.565
218,03/29/19 11:25:47 PM,61.848,77.346
219,03/29/19 11:55:47 PM,61.205,78.336
220,03/30/19 12:25:47 AM,61.419,79.172
221,03/30/19 12:55:47 AM,60.390,80.410
222,03/30/19 01:25:47 AM,59.616,82.271
223,03/30/19 01:55:47 AM,58.842,83.405
224,03/30/19 02:25:47 AM,58.582,85.244
225,03/30/19 02:55:47 AM,58.582,85.487
226,03/30/19 03:25:47 AM,57.979,85.436
227,03/30/19 03:55:47 AM,57.979,86.082
228,03/30/19 04:25:47 AM,57.807,85.978
229,03/30/19 04:55:47 AM,57.376,87.341
230,03/30/19 05:25:47 AM,57.160,87.259
231,03/30/19 05:55:47 AM,57.592,87.637
232,03/30/19 06:25:47 AM,57.204,87.478
233,03/30/19 06:55:47 AM,57.506,87.358
234,03/30/19 07:25:47 AM,56.988,86.809
235,03/30/19 07:55:47 AM,56.208,87.798
236,03/30/19 08:25:47 AM,61.590,85.061
237,03/30/19 08:55:47 AM,64.717,77.225
238,03/30/19 09:25:47 AM,69.557,67.399
239,03/30/19 09:55:47 AM,71.317,58.388
240,03/30/19 10:25:47 AM,72.869,52.743
241,03/30/19 10:55:47 AM,74.250,50.610
242,03/30/19 11:25:47 AM,77.464,44.751
243,03/30/19 11:55:47 AM,77.247,43.958
244,03/30/19 12:25:47 PM,81.023,39.436
245,03/30/19 12:55:47 PM,81.244,38.488
246,03/30/19 01:25:47 PM,80.625,39.645
247,03/30/19 01:55:47 PM,79.831,41.114
248,03/30/19 02:25:47 PM,79.304,42.197
249,03/30/19 02:55:47 PM,77.945,44.685
250,03/30/19 03:25:47 PM,78.602,44.013
251,03/30/19 03:55:47 PM,78.471,44.460
252,03/30/19 04:25:47 PM,78.208,45.253
253,03/30/19 04:55:47 PM,77.029,48.200
254,03/30/19 05:25:47 PM,76.203,49.961
255,03/30/19 05:55:47 PM,74.338,53.735
256,03/30/19 06:25:47 PM,72.653,56.713
257,03/30/19 06:55:47 PM,71.317,58.971
