"Plot Title: SG north_Sensor_bottom"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20298842, SEN S/N: 20298842, LBL: Temp)","RH, % (LGR S/N: 20298842, SEN S/N: 20298842, LBL: RH)"
1,03/25/19 08:59:25 AM,62.661,79.235
2,03/25/19 09:29:25 AM,65.487,79.261
3,03/25/19 09:59:25 AM,67.928,79.380
4,03/25/19 10:29:25 AM,70.372,79.554
5,03/25/19 10:59:25 AM,73.731,79.607
6,03/25/19 11:29:25 AM,79.084,79.542
7,03/25/19 11:59:25 AM,83.154,79.607
8,03/25/19 12:29:25 PM,86.617,79.831
9,03/25/19 12:59:25 PM,88.626,79.827
10,03/25/19 01:29:25 PM,88.351,79.825
11,03/25/19 01:59:25 PM,87.573,79.971
12,03/25/19 02:29:25 PM,86.709,79.754
13,03/25/19 02:59:25 PM,87.255,79.435
14,03/25/19 03:29:25 PM,90.797,79.280
15,03/25/19 03:59:25 PM,92.433,79.614
16,03/25/19 04:29:25 PM,92.433,79.258
17,03/25/19 04:59:25 PM,88.167,79.804
18,03/25/19 05:29:25 PM,83.601,79.542
19,03/25/19 05:59:25 PM,80.935,79.409
20,03/25/19 06:29:25 PM,79.788,79.305
21,03/25/19 06:59:25 PM,77.770,79.015
22,03/25/19 07:29:25 PM,72.610,79.248
23,03/25/19 07:59:25 PM,69.170,79.016
24,03/25/19 08:29:25 PM,66.900,78.864
25,03/25/19 08:59:25 PM,65.017,78.896
26,03/25/19 09:29:25 PM,64.375,78.652
27,03/25/19 09:59:25 PM,63.648,78.651
28,03/25/19 10:29:25 PM,63.347,78.756
29,03/25/19 10:59:25 PM,62.962,78.823
30,03/25/19 11:29:25 PM,62.319,78.887
31,03/25/19 11:59:25 PM,62.191,78.984
32,03/26/19 12:29:25 AM,62.019,78.964
33,03/26/19 12:59:25 AM,61.290,78.877
34,03/26/19 01:29:25 AM,60.474,78.948
35,03/26/19 01:59:25 AM,59.702,78.940
36,03/26/19 02:29:25 AM,58.928,79.181
37,03/26/19 02:59:25 AM,58.455,79.125
38,03/26/19 03:29:25 AM,58.109,79.112
39,03/26/19 03:59:25 AM,57.722,79.176
40,03/26/19 04:29:25 AM,57.376,79.135
41,03/26/19 04:59:25 AM,56.901,79.106
42,03/26/19 05:29:25 AM,56.383,79.182
43,03/26/19 05:59:25 AM,56.295,79.199
44,03/26/19 06:29:25 AM,55.819,79.252
45,03/26/19 06:59:25 AM,55.256,79.185
46,03/26/19 07:29:25 AM,54.820,79.215
47,03/26/19 07:59:25 AM,54.430,79.223
48,03/26/19 08:29:25 AM,56.728,79.113
49,03/26/19 08:59:25 AM,60.690,79.029
50,03/26/19 09:29:25 AM,64.204,79.110
51,03/26/19 09:59:25 AM,68.142,79.179
52,03/26/19 10:29:25 AM,72.093,79.244
53,03/26/19 10:59:25 AM,75.985,79.556
