"Plot Title: SG2_Top"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580745, SEN S/N: 20580745)","RH, % (LGR S/N: 20580745, SEN S/N: 20580745)"
1,03/25/19 05:55:44 PM,90.797,75.620
2,03/25/19 06:25:44 PM,84.945,77.323
3,03/25/19 06:55:44 PM,81.509,77.612
4,03/25/19 07:25:44 PM,76.768,77.397
5,03/25/19 07:55:44 PM,71.017,78.064
6,03/25/19 08:25:44 PM,67.885,78.441
7,03/25/19 08:55:44 PM,65.574,78.596
8,03/25/19 09:25:44 PM,63.903,78.850
9,03/25/19 09:55:44 PM,63.090,78.894
10,03/25/19 10:25:44 PM,62.704,78.877
11,03/25/19 10:55:44 PM,62.233,78.821
12,03/25/19 11:25:44 PM,61.590,78.969
13,03/25/19 11:55:44 PM,61.590,78.829
14,03/26/19 12:25:44 AM,61.290,78.933
15,03/26/19 12:55:44 AM,60.647,79.024
16,03/26/19 01:25:44 AM,59.572,79.119
17,03/26/19 01:55:44 AM,58.626,79.284
18,03/26/19 02:25:44 AM,58.109,79.388
19,03/26/19 02:55:44 AM,57.506,79.427
20,03/26/19 03:25:44 AM,56.901,79.465
21,03/26/19 03:55:44 AM,56.340,79.563
22,03/26/19 04:25:44 AM,55.992,79.576
23,03/26/19 04:55:44 AM,55.515,79.629
24,03/26/19 05:25:44 AM,55.125,79.664
25,03/26/19 05:55:44 AM,55.038,79.626
26,03/26/19 06:25:44 AM,54.516,79.700
27,03/26/19 06:55:44 AM,53.951,79.714
28,03/26/19 07:25:44 AM,53.602,79.754
29,03/26/19 07:55:44 AM,52.817,79.877
30,03/26/19 08:25:44 AM,53.253,79.766
31,03/26/19 08:55:44 AM,54.648,79.606
32,03/26/19 09:25:44 AM,56.208,79.271
33,03/26/19 09:55:44 AM,57.549,79.100
34,03/26/19 10:25:44 AM,59.572,78.841
35,03/26/19 10:55:44 AM,63.262,78.185
36,03/26/19 11:25:44 AM,65.059,78.310
37,03/26/19 11:55:44 AM,76.768,79.446
38,03/26/19 12:25:44 PM,88.488,81.481
39,03/26/19 12:55:44 PM,96.289,80.022
40,03/26/19 01:25:44 PM,95.711,78.764
41,03/26/19 01:55:44 PM,93.423,78.358
42,03/26/19 02:25:44 PM,93.801,78.997
43,03/26/19 02:55:44 PM,98.380,78.131
44,03/26/19 03:25:44 PM,100.060,76.682
45,03/26/19 03:55:44 PM,94.086,75.915
46,03/26/19 04:25:44 PM,89.454,76.459
47,03/26/19 04:55:44 PM,84.632,76.640
48,03/26/19 05:25:44 PM,82.841,77.029
49,03/26/19 05:55:44 PM,82.130,76.598
50,03/26/19 06:25:44 PM,79.831,76.431
51,03/26/19 06:55:44 PM,76.203,76.492
52,03/26/19 07:25:44 PM,72.264,76.801
53,03/26/19 07:55:44 PM,69.685,76.882
54,03/26/19 08:25:44 PM,66.943,77.112
55,03/26/19 08:55:44 PM,64.288,77.459
56,03/26/19 09:25:44 PM,62.748,77.675
57,03/26/19 09:55:44 PM,61.677,77.944
58,03/26/19 10:25:44 PM,60.948,77.998
59,03/26/19 10:55:44 PM,61.290,78.263
60,03/26/19 11:25:44 PM,61.205,78.308
61,03/26/19 11:55:44 PM,60.604,78.070
62,03/27/19 12:25:44 AM,60.003,78.112
63,03/27/19 12:55:44 AM,59.315,78.143
64,03/27/19 01:25:44 AM,58.498,78.214
65,03/27/19 01:55:44 AM,58.411,78.176
66,03/27/19 02:25:44 AM,57.679,78.145
67,03/27/19 02:55:44 AM,57.074,78.379
68,03/27/19 03:25:44 AM,57.031,78.291
69,03/27/19 03:55:44 AM,56.469,78.363
70,03/27/19 04:25:44 AM,56.165,78.410
71,03/27/19 04:55:44 AM,55.733,78.442
72,03/27/19 05:25:44 AM,55.558,78.449
73,03/27/19 05:55:44 AM,55.429,78.433
74,03/27/19 06:25:44 AM,55.776,78.364
75,03/27/19 06:55:44 AM,54.648,78.368
76,03/27/19 07:25:44 AM,54.037,78.296
77,03/27/19 07:55:44 AM,53.253,78.478
78,03/27/19 08:25:44 AM,53.341,79.558
79,03/27/19 08:55:44 AM,58.152,81.734
80,03/27/19 09:25:44 AM,64.332,81.804
81,03/27/19 09:55:44 AM,70.115,82.623
82,03/27/19 10:25:44 AM,75.074,82.750
83,03/27/19 10:55:44 AM,80.935,82.921
84,03/27/19 11:25:44 AM,86.617,82.481
85,03/27/19 11:55:44 AM,92.433,82.178
86,03/27/19 12:25:44 PM,95.806,81.156
87,03/27/19 12:55:44 PM,98.773,79.617
88,03/27/19 01:25:44 PM,96.530,79.304
89,03/27/19 01:55:44 PM,94.800,78.900
90,03/27/19 02:25:44 PM,91.776,78.887
91,03/27/19 02:55:44 PM,90.657,78.761
92,03/27/19 03:25:44 PM,89.269,78.604
93,03/27/19 03:55:44 PM,88.214,78.131
94,03/27/19 04:25:44 PM,86.437,77.873
95,03/27/19 04:55:44 PM,84.004,77.541
96,03/27/19 05:25:44 PM,80.625,77.396
97,03/27/19 05:55:44 PM,77.684,77.443
