# Constructed from biom file
#OTU ID	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD	H5-A-M_ASD	H5-B-B_ASD	H5-B-M_ASD	H5-B-T_ASD	H5-C-B_ASD	H5-C-T_ASD	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-M_ASD	H7-C-T_ASD
af420d0b84764ceae00a3641538ece54	2915.0	2145.0	0.0	2264.0	1477.0	4072.0	966.0	1669.0	1647.0	2397.0	2831.0	2064.0	4043.0	1377.0	2041.0	4847.0	1942.0	3255.0	2437.0	2024.0	4918.0	3480.0	4255.0	2861.0	1005.0	960.0	1296.0	2457.0	3229.0	2631.0	3731.0	1032.0	1152.0	1062.0	1667.0	1546.0	1181.0	899.0	1936.0	877.0	2115.0	2025.0	2678.0	1891.0	2166.0	1930.0
ff6629ffc92697be4a7cae852cbd880d	2254.0	1517.0	674.0	1687.0	1141.0	3067.0	1092.0	1293.0	1322.0	1810.0	2200.0	1418.0	3067.0	1001.0	1690.0	3793.0	1336.0	2370.0	1881.0	1423.0	3721.0	2784.0	3216.0	2482.0	1066.0	751.0	980.0	1903.0	2606.0	2036.0	2607.0	794.0	1209.0	885.0	1219.0	1263.0	928.0	635.0	1463.0	656.0	1694.0	1645.0	1938.0	1506.0	1675.0	1292.0
1d2967ce0b109a8440ad3a47ff094bb3	1374.0	765.0	0.0	1577.0	1329.0	935.0	819.0	561.0	976.0	2726.0	1226.0	1222.0	2019.0	1154.0	684.0	1610.0	1332.0	1314.0	3248.0	2446.0	1506.0	1228.0	1048.0	971.0	0.0	530.0	871.0	2648.0	5839.0	4330.0	1671.0	1843.0	748.0	1053.0	1536.0	1373.0	541.0	876.0	672.0	765.0	760.0	1476.0	2067.0	2111.0	1271.0	1132.0
59ecffd3f7098382827153f41320bb85	2276.0	893.0	1169.0	2195.0	1540.0	1892.0	2300.0	1834.0	3366.0	2235.0	653.0	789.0	2032.0	3262.0	2555.0	889.0	348.0	454.0	931.0	1149.0	1208.0	286.0	265.0	479.0	811.0	2681.0	2712.0	0.0	0.0	0.0	702.0	0.0	2041.0	977.0	1142.0	2274.0	1617.0	1888.0	2753.0	1066.0	2600.0	940.0	0.0	562.0	1678.0	1032.0
0707e34f720de8df24d3e094abb938b1	1503.0	1950.0	2045.0	2788.0	6254.0	0.0	542.0	2387.0	959.0	0.0	0.0	450.0	0.0	965.0	534.0	0.0	0.0	194.0	650.0	575.0	0.0	0.0	2427.0	1035.0	0.0	1296.0	0.0	1280.0	0.0	5420.0	1616.0	0.0	1714.0	1626.0	2213.0	1674.0	1174.0	2885.0	812.0	3746.0	1501.0	0.0	919.0	0.0	3068.0	325.0
3ca6a15d3585e0bfa63dbd627902548c	537.0	1572.0	458.0	459.0	1152.0	938.0	0.0	1746.0	1504.0	705.0	1330.0	1434.0	1220.0	1722.0	1432.0	695.0	1321.0	1090.0	1476.0	2308.0	1982.0	659.0	2447.0	1735.0	556.0	993.0	1187.0	2465.0	1315.0	2416.0	1762.0	797.0	1322.0	493.0	2213.0	1886.0	0.0	971.0	632.0	784.0	820.0	0.0	1563.0	1434.0	1828.0	1113.0
682c680814253e6f601c60402603e6af	549.0	1556.0	521.0	492.0	1255.0	981.0	458.0	1753.0	1579.0	765.0	1374.0	1385.0	1268.0	1836.0	1424.0	696.0	1322.0	1134.0	1606.0	2206.0	2104.0	647.0	2488.0	1709.0	601.0	1039.0	1148.0	2435.0	1267.0	2668.0	1854.0	802.0	1268.0	510.0	2440.0	1942.0	494.0	1051.0	703.0	0.0	848.0	1381.0	1627.0	0.0	0.0	0.0
a2dee6da4e2f4915fc50fb719bb28169	2129.0	736.0	0.0	1975.0	1413.0	1804.0	0.0	1898.0	3197.0	2056.0	579.0	0.0	1904.0	3649.0	2150.0	791.0	349.0	613.0	833.0	1075.0	1069.0	432.0	449.0	684.0	0.0	2326.0	2727.0	0.0	162.0	0.0	634.0	465.0	2317.0	883.0	1134.0	2003.0	1298.0	1829.0	2028.0	893.0	2644.0	0.0	0.0	785.0	1658.0	0.0
dada8a89b49d8188747bbbad03a70917	1045.0	629.0	0.0	1214.0	1035.0	684.0	973.0	651.0	633.0	1848.0	757.0	819.0	1416.0	1255.0	787.0	1227.0	1017.0	1149.0	2255.0	1633.0	1203.0	939.0	884.0	856.0	381.0	0.0	650.0	2128.0	4364.0	3272.0	1368.0	1083.0	579.0	761.0	1085.0	1113.0	570.0	1341.0	795.0	538.0	596.0	1149.0	1712.0	1496.0	1024.0	854.0
6ee674a97d5d5788a10678a6999a9fc2	1313.0	1507.0	1349.0	1951.0	4693.0	459.0	470.0	1794.0	731.0	0.0	0.0	225.0	232.0	776.0	397.0	0.0	0.0	0.0	467.0	592.0	0.0	0.0	2046.0	783.0	0.0	1203.0	298.0	961.0	0.0	3961.0	1230.0	0.0	1290.0	1276.0	1505.0	1302.0	832.0	2108.0	627.0	2879.0	1150.0	2366.0	732.0	0.0	2325.0	381.0
