# Constructed from biom file
#OTU ID	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12	taxonomy
KF234378.1.1498	1.0	1.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfuromonadales; D_4__GR-WP33-58; D_5__uncultured bacterium; D_6__uncultured bacterium
HM127296.1.1462	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Ectothiorhodospiraceae; D_5__uncultured; D_6__uncultured bacterium
CU467404.1.1354	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
CU467410.1.1354	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
KC465608.1.1353	0.0	11.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae
JF224063.1.1380	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Betaproteobacteria; D_3__Neisseriales; D_4__Neisseriaceae; D_5__uncultured; D_6__uncultured bacterium
KM055652.1.1472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Haloarchaeobius; D_6__Haloarchaeobius iranensis
JN038033.1.1058	6.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	0.0	5.0	0.0	1.0	13.0	1.0	0.0	0.0	31.0	0.0	5.0	0.0	3.0	0.0	25.0	1.0	0.0	12.0	1.0	1.0	20.0	4.0	5.0	2.0	2.0	2.0	2.0	1.0	4.0	5.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomicrobium
AF142880.1.991	2.0	8.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	2.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halolamina
EF468473.1.1470	0.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0	0.0	4.0	1.0	0.0	2.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	0.0	5.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halorubrum; D_6__uncultured archaeon
