# Constructed from biom file
#OTU ID	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M	taxonomy
HM127296.1.1462	4.0	2.0	1.0	3.0	5.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Ectothiorhodospiraceae; D_5__uncultured; D_6__uncultured bacterium
HQ622728.1.1391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Armatimonadetes; D_2__Armatimonadia; D_3__Armatimonadales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB072814.1.1472	1.0	2.0	0.0	45.0	5.0	2.0	0.0	6.0	0.0	1.0	1.0	3.0	5.0	3.0	7.0	3.0	1.0	3.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halosimplex
JX881921.1.1482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
AJ344311.1.918	168.0	15.0	127.0	130.0	42.0	41.0	1.0	51.0	18.0	44.0	13.0	4.0	940.0	40.0	208.0	7.0	190.0	18.0	29.0	178.0	1.0	434.0	145.0	2.0	3.0	103.0	13.0	20.0	28.0	37.0	8.0	5.0	74.0	6.0	14.0	14.0	120.0	51.0	25.0	67.0	51.0	94.0	18.0	122.0	16.0	3.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__uncultured
JF224063.1.1380	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Betaproteobacteria; D_3__Neisseriales; D_4__Neisseriaceae; D_5__uncultured; D_6__uncultured bacterium
AB374385.1.1523	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Chloroplast
KF086559.1.1347	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Propionibacteriales; D_4__Propionibacteriaceae; D_5__Propionibacterium; D_6__uncultured bacterium
KF037500.1.1485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Nakamurellaceae; D_5__Nakamurella
AB663427.1.1471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomicroarcula
GQ008290.1.1364	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Rubrobacteria; D_3__Rubrobacterales; D_4__Rubrobacteriaceae; D_5__Rubrobacter; D_6__uncultured bacterium
