	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12
Feb9-4-8	0.0	0.32219847524	0.245007322875	0.328692272555	0.319387397761	0.311177992838	0.31440178486	0.270487510376	0.200411515345	0.317894566638	0.239048047419	0.29309752962	0.315983807301	0.321656360424	0.321712272783	0.455575096507	0.332262172023	0.343180570902	0.31606883748	0.332906778885	0.331421016006	0.332278842521	0.368711061067	0.360880554423	0.357907258767	0.303720637903	0.349121789883	0.337803727557	0.383457011091	0.348158860526	0.275880512804	0.239361121328	0.263081877824	0.325543545745	0.328291584778	0.344366479148	0.309585548838	0.254295019677	0.290444074497	0.335378515594	0.284519905689	0.366705046879	0.339780099153	0.327388590579	0.301072396461	0.331135229608	0.270568551315	0.331059127834	0.315603758541	0.351474686053	0.251107209831	0.328948972483	0.386919809931	0.322814487153	0.392442411471	0.263485370025	0.328331538408	0.339233077398	0.366037172947	0.383863291591	0.274636644385	0.327919339191	0.353816806738	0.343817232312	0.367966366847	0.41811522301	0.368967397267	0.377779079826
Feb10-r3-a	0.32219847524	0.0	0.349273344299	0.262232698564	0.406530706604	0.365757908818	0.222831432676	0.355396126545	0.32869030096	0.224492126157	0.366004905237	0.392498583452	0.279530795037	0.451577812201	0.4276013849	0.360272416958	0.446404669431	0.290424223219	0.294437569768	0.266426519147	0.435929208342	0.235388504703	0.24957540046	0.312440251739	0.471359162684	0.304380595433	0.299088610641	0.417660620126	0.450349011135	0.483510233983	0.38578005883	0.339111416626	0.333692585621	0.27029057359	0.297821228004	0.252063039979	0.379673141078	0.370659410173	0.300738570823	0.238709638275	0.396590081173	0.302076034926	0.236732024083	0.206037291877	0.299864585582	0.217795627065	0.355759421585	0.275535570722	0.236893880489	0.276719311995	0.31858418712	0.255608367443	0.313496309156	0.294136546681	0.389813197262	0.307972283315	0.432016928575	0.254506420693	0.287867234806	0.337888638675	0.265621500212	0.284292088327	0.232648107288	0.258241495427	0.297605866145	0.334565118274	0.480189752217	0.289016104438
Feb9-5-b	0.245007322875	0.349273344299	0.0	0.34410453493	0.285547686962	0.201073532786	0.294234024896	0.148204376718	0.136209442021	0.313162549633	0.191388002535	0.170429414819	0.3139407492	0.267669430558	0.25167825619	0.514311677754	0.34801053415	0.380270578075	0.331115155006	0.304491427205	0.297668923952	0.373147128565	0.385233052836	0.405232179399	0.341716509128	0.278631632417	0.368719242326	0.342064117359	0.310255870054	0.321891622457	0.282657544634	0.220747009046	0.236019987085	0.302064238135	0.333080683124	0.36421004556	0.281307652672	0.244715975418	0.302651280065	0.309458775923	0.229217410627	0.374607581922	0.349422388823	0.362758616855	0.325422545274	0.355694437535	0.28792671299	0.352801167743	0.341404329459	0.331497683585	0.254361852671	0.34015230957	0.426106146978	0.369218293206	0.372967054868	0.252180653264	0.272806138936	0.34939291256	0.381741506697	0.376509511542	0.333719350938	0.352927107969	0.366272517065	0.373715005876	0.391278269536	0.443685436819	0.398215208373	0.416961803416
Feb7-15	0.328692272555	0.262232698564	0.34410453493	0.0	0.391755588175	0.367016765701	0.234161020441	0.342134165888	0.346408875718	0.248510803256	0.341773039906	0.35604026415	0.274372993144	0.403776493025	0.39716698729	0.412735683868	0.384158031925	0.281413687064	0.28853264104	0.310980458049	0.462920275411	0.293294408235	0.240498208164	0.261587528299	0.444058481958	0.364628319136	0.318293317942	0.426521811246	0.484456825985	0.439861454177	0.386017864342	0.334477315841	0.311780763999	0.247446020034	0.278104553566	0.263985898156	0.399392258674	0.368433031428	0.271337255526	0.272456076871	0.388247928301	0.288600823441	0.218855300226	0.226005389074	0.303822712914	0.281087071796	0.322124618501	0.212189338232	0.267223679063	0.314698924446	0.299180386811	0.258728042355	0.295784032892	0.316769045732	0.346086996541	0.283304021272	0.416985446511	0.230034331477	0.264098061038	0.280814990217	0.304296194648	0.273224622048	0.265548991302	0.239796373872	0.306743951873	0.299400208808	0.427884231606	0.285842642997
Feb9-3-a	0.319387397761	0.406530706604	0.285547686962	0.391755588175	0.0	0.286882515196	0.385111887919	0.301528506683	0.27078989841	0.385869510197	0.290729001125	0.323516485931	0.375615179677	0.250634108063	0.275108529904	0.511050867764	0.263241330502	0.436749240379	0.413641811109	0.372906145427	0.216008001905	0.430206676824	0.439342444404	0.444231860736	0.372275494603	0.388579070916	0.426597331766	0.336561330194	0.289150460594	0.362972722363	0.218573267846	0.331831354739	0.304958003527	0.373505277871	0.368036421953	0.413910405736	0.344632022077	0.279682232983	0.368506548541	0.382222121492	0.250506174557	0.407586870013	0.389314631889	0.392084590232	0.373254741881	0.39777434428	0.332059120609	0.39543464638	0.386339565363	0.378013992097	0.310460812989	0.421060622372	0.433200625146	0.398431020692	0.394817935803	0.321983112076	0.266700933299	0.385372686142	0.418536667621	0.43121415852	0.398629436432	0.398679917633	0.424957627743	0.417038434255	0.428553343049	0.424368631198	0.309243195566	0.444401425387
Feb9-5-a	0.311177992838	0.365757908818	0.201073532786	0.367016765701	0.286882515196	0.0	0.350745000654	0.214460472127	0.238584037228	0.323463502085	0.244111562662	0.279010427348	0.32465184232	0.314865959717	0.291434125282	0.466533728876	0.354424893316	0.385851717806	0.363676643576	0.294963196425	0.294927646286	0.368232486207	0.414354398689	0.44193925971	0.378718639006	0.348367331746	0.391468184086	0.343321090276	0.273846998616	0.400306367023	0.284426838888	0.279211499276	0.273834820602	0.331300379873	0.319865057496	0.391738961688	0.300060390856	0.283379271448	0.328524111528	0.319553980512	0.308340506815	0.380350076023	0.337237992473	0.349957642797	0.355987548046	0.351919118122	0.330311290728	0.343808955024	0.339566798718	0.327769080817	0.334178552274	0.361762653285	0.445736557752	0.384946686353	0.372311388426	0.332365654532	0.318503654485	0.350572221495	0.390930690307	0.383812686254	0.399078426973	0.370652162269	0.39245991281	0.36634882959	0.383144367642	0.405856537162	0.395985974619	0.459155435222
Feb10-r4-a	0.31440178486	0.222831432676	0.294234024896	0.234161020441	0.385111887919	0.350745000654	0.0	0.313112832976	0.307056801861	0.25663707539	0.31883825659	0.340833019539	0.274193387324	0.418353569017	0.363461315709	0.447637191651	0.412721293162	0.268526856228	0.26770545938	0.235155109865	0.436443002708	0.281560724885	0.279934084875	0.344970586467	0.437292654991	0.324035193622	0.325948903464	0.401452096262	0.451117625553	0.430214312891	0.369431042635	0.297648031512	0.312795361747	0.244866888308	0.27749734949	0.268470455214	0.380162413932	0.324247088809	0.226688929793	0.200198977293	0.358629456097	0.303668368159	0.231016266928	0.251120042166	0.302684170604	0.240099956303	0.29945579066	0.245381059705	0.265021141109	0.290681798057	0.288298216334	0.238709086504	0.348465470075	0.349370362173	0.36633170366	0.31891517357	0.405170708086	0.264709154258	0.294005300261	0.300334963428	0.288086272081	0.305599516153	0.266906443565	0.269858457969	0.338984403616	0.353461665248	0.44034700869	0.340765278857
Feb9-3-b	0.270487510376	0.355396126545	0.148204376718	0.342134165888	0.301528506683	0.214460472127	0.313112832976	0.0	0.189915391432	0.299582749278	0.211284920012	0.208432817538	0.335798527316	0.272261286898	0.268217959103	0.524143284522	0.387226841858	0.379355609054	0.358694151372	0.294760858717	0.305334910709	0.385323492763	0.392758640523	0.423672726867	0.374705769913	0.292035610527	0.38977904678	0.344723026792	0.321450272893	0.336995549469	0.28789479222	0.248978718438	0.250711033548	0.320026452552	0.336933658673	0.3949829795	0.304057611833	0.272962807853	0.31058229669	0.321130906111	0.258857736298	0.378884507533	0.35030112132	0.364409843737	0.336114894503	0.356958868426	0.319177712403	0.345278624866	0.352947042209	0.359372718213	0.251342563588	0.362396411055	0.442172140304	0.372084720607	0.377646618307	0.263889383354	0.283503181039	0.336718734454	0.378619372689	0.352562629281	0.336245458412	0.351592883091	0.386525661248	0.352818768104	0.389798811687	0.443189763669	0.431573230017	0.435132906932
Feb9-4-20	0.200411515345	0.32869030096	0.136209442021	0.346408875718	0.27078989841	0.238584037228	0.307056801861	0.189915391432	0.0	0.315558088985	0.18764617339	0.209068517321	0.294257205996	0.24604279906	0.275843167153	0.470443900139	0.336694020411	0.329691529117	0.315967357803	0.283497566665	0.292264728283	0.358909126679	0.385169036	0.396301505397	0.332267002299	0.281707285012	0.355321108667	0.356622856774	0.299597857149	0.297155352762	0.239740257089	0.190150585069	0.228314082029	0.297650970416	0.28897983903	0.35770126497	0.25039344739	0.247687329826	0.283804274058	0.301503988057	0.217517801871	0.352270289162	0.31164722308	0.335360924743	0.293463041891	0.34256556944	0.259498490375	0.331110682384	0.317208491718	0.322976222318	0.254037855206	0.323952946432	0.40022424709	0.352258922646	0.357240243254	0.25300209525	0.277461344036	0.350112585395	0.372903191845	0.363660862413	0.309098708151	0.324476762707	0.372478196374	0.354676050824	0.370853317887	0.41246845633	0.383022619632	0.400872171098
Feb8-55	0.317894566638	0.224492126157	0.313162549633	0.248510803256	0.385869510197	0.323463502085	0.25663707539	0.299582749278	0.315558088985	0.0	0.329554753	0.343228520016	0.277774622882	0.431242162648	0.375901804176	0.388484320325	0.378423607462	0.303447080239	0.300285479979	0.276611283018	0.418619487775	0.262088094184	0.240096279894	0.314895742077	0.468313072017	0.331673480967	0.346039220274	0.385089828167	0.416079539514	0.47559049302	0.368701172162	0.328292661342	0.271309286779	0.225622928539	0.318279337789	0.276712960088	0.352352473468	0.367921884027	0.28006495826	0.22349921525	0.39063402497	0.244851840299	0.232950089762	0.224748619295	0.280025755416	0.230173227436	0.332339164929	0.264619300822	0.260541786353	0.258324404548	0.271837907869	0.294573317244	0.296877294051	0.227754842598	0.366994009017	0.303229236321	0.417928463342	0.258349926739	0.248040779077	0.286374248592	0.261206768295	0.260920161709	0.279635672885	0.227564695048	0.311789180847	0.339782168095	0.41671302975	0.309565240102
