	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12
Feb9-4-8	0.0	0.131022853263	0.0821290492267	0.0885185105959	0.0996797464801	0.102231010293	0.110801903515	0.0806824256799	0.0769847589015	0.120583946799	0.0705959700453	0.0777758797032	0.120668759177	0.137072430738	0.0602248441681	0.141284968998	0.0725487823017	0.118933891431	0.0890460875412	0.0971083748586	0.10212269455	0.112064112807	0.131732958208	0.128073028151	0.145742344952	0.0673016914652	0.16061336439	0.0605122453069	0.123396742937	0.0959799783961	0.116215596184	0.0649426681422	0.079804617591	0.0856422592995	0.109594216643	0.128290798452	0.177730546096	0.0753887655285	0.111193681717	0.1141120495	0.0855779570747	0.123254670999	0.0970425828366	0.135370045163	0.120676826426	0.0968759121382	0.0606399112508	0.143756629213	0.124012538198	0.109491385636	0.069205493996	0.149150103194	0.152734511718	0.13649834013	0.167628815606	0.0764289849578	0.0737773414591	0.126163455308	0.152946560383	0.130377980922	0.0504989364511	0.119969155798	0.135520973886	0.120546018768	0.0768439122652	0.120528597921	0.193148054596	0.0893698376107
Feb10-r3-a	0.131022853263	0.0	0.153183448588	0.103479184056	0.183510227028	0.160001471933	0.0512253516554	0.109502609447	0.103868381626	0.0407471016521	0.152510271888	0.135942504022	0.0541042647571	0.198926070069	0.150929335801	0.053940827381	0.17426553521	0.0602615812629	0.092169151471	0.0727885070185	0.134340876577	0.0510396010002	0.0521098317587	0.0682486432832	0.0843058362135	0.0979219398657	0.0675149663621	0.164248525904	0.106706968082	0.121267779472	0.226187488313	0.10208691487	0.113855483029	0.15675258319	0.0830002532522	0.0350489385099	0.0797766950357	0.150074733527	0.0563233095238	0.0509605155773	0.162749275794	0.0547921428571	0.0757454867682	0.0335245422824	0.0509519513905	0.0717886829461	0.110429910921	0.0454815105841	0.0364762708893	0.0520092724164	0.124636885048	0.0508102241117	0.0488622974451	0.0384400701239	0.0631287566348	0.107121224163	0.164258589929	0.0649441680509	0.0496192926311	0.0659482977515	0.109472970656	0.061716629441	0.0346822350896	0.0526589835651	0.109270541534	0.0639689364601	0.303261784148	0.0882515661197
Feb9-5-b	0.0821290492267	0.153183448588	0.0	0.083234091529	0.0580129518856	0.0559945801828	0.117557154427	0.0636754188515	0.070367601823	0.143158937777	0.0437867532219	0.0494473471846	0.132528739623	0.0788130019429	0.0550411607964	0.164730289662	0.0730053123997	0.123920952602	0.0844216412809	0.102012869333	0.0837822383382	0.127574905618	0.142634550731	0.142601634148	0.151646724673	0.0775614983384	0.161734378282	0.0749554787513	0.106413783357	0.120195181216	0.0963499631177	0.0696315807101	0.06930093258	0.0691096710836	0.100991009296	0.146334273778	0.178289645142	0.0371170588502	0.127118146554	0.120078019647	0.0319606354534	0.134359319569	0.104478581776	0.159343611519	0.135092131847	0.109742215598	0.0980620076716	0.146339848553	0.140860266119	0.121984257869	0.056091448367	0.144564968384	0.173504833569	0.157701928162	0.168010284119	0.0687840048545	0.0661854615994	0.12247051225	0.164043784923	0.129924606627	0.0894971165281	0.130350012841	0.151768712056	0.128618168222	0.0796233524443	0.145281874259	0.1870804172	0.123346096144
Feb7-15	0.0885185105959	0.103479184056	0.083234091529	0.0	0.110693057704	0.0953360583121	0.0727568133863	0.0614255569651	0.0660469685888	0.0993948197528	0.0896964877657	0.0741274538584	0.0880052124848	0.131234231734	0.0890611549968	0.116219622659	0.106139119427	0.0757929785051	0.0421725294477	0.060012149086	0.094901099427	0.0790419731329	0.0900560644293	0.0915040502653	0.12791274963	0.0554055886872	0.122914691664	0.111903940283	0.101845072724	0.105637884417	0.158502574594	0.0512722625357	0.0440226961892	0.0897449646338	0.0612274199779	0.0909011563082	0.145813997879	0.0887000493206	0.0849211014981	0.0781736464944	0.0930457208894	0.0889957374064	0.0526178625365	0.106291184757	0.0889079273334	0.0567343822481	0.0824054601484	0.0923569993497	0.0929772917446	0.0829795976913	0.0633377269771	0.094778757295	0.123952996607	0.111917646414	0.123927170317	0.040858156298	0.104032311806	0.0724305526522	0.115428992411	0.0814762341092	0.0708020828064	0.0876678978667	0.102271049616	0.0734017294422	0.0496433279234	0.0961260561347	0.238392969362	0.082822998713
Feb9-3-a	0.0996797464801	0.183510227028	0.0580129518856	0.110693057704	0.0	0.0535608205749	0.150042843882	0.101621272356	0.109117931244	0.167767909634	0.0657697434338	0.0779442667542	0.155444590234	0.0745273981583	0.0653609112126	0.184730377094	0.0679870103815	0.15077189236	0.112640297054	0.131597178554	0.0879884631133	0.15501434486	0.168592281702	0.169680634336	0.170509364991	0.111812467466	0.192266343189	0.0816267159857	0.120433458104	0.134984828498	0.0801112296778	0.101450976649	0.0936613665368	0.0653938087778	0.120414882233	0.176073089415	0.203762665773	0.0657243815979	0.155571146399	0.147110784174	0.0553995339309	0.157536076866	0.129548181105	0.187264469556	0.160599522434	0.139708733729	0.11016385727	0.173353984391	0.169981734311	0.149209420074	0.0887373613512	0.174760625686	0.199043619874	0.180562679235	0.184781348222	0.0978898624204	0.0807742259345	0.150183119585	0.179120773041	0.151712477198	0.105974386396	0.154110950468	0.181489496824	0.154250953707	0.101263615634	0.158476451636	0.180778619539	0.135944550584
Feb9-5-a	0.102231010293	0.160001471933	0.0559945801828	0.0953360583121	0.0535608205749	0.0	0.127774808247	0.0801361522251	0.0962713654914	0.139866461564	0.0677578682766	0.0679379323338	0.134195976539	0.0756628469376	0.0752179497953	0.158183025243	0.0869041282527	0.127274730562	0.092301273028	0.104609187457	0.0854286899578	0.128981899321	0.14512028096	0.14937962712	0.167712579654	0.0986901149167	0.1731224538	0.0845879064593	0.106306143686	0.147203483608	0.10168835821	0.0887177675448	0.0744927397229	0.0628877187802	0.103132483355	0.155232280701	0.191508118246	0.0555174525972	0.134531490511	0.126205796099	0.0650870385787	0.133154764905	0.103549394762	0.162206033248	0.144131981409	0.11414193545	0.118006036661	0.151905982069	0.146306946708	0.124570179109	0.0757205843171	0.155412939671	0.179729815461	0.156186117213	0.172233153773	0.0859716701234	0.0982464099428	0.125259424837	0.162074885278	0.133762956889	0.112205137472	0.142149712377	0.15966829544	0.131399422647	0.079727434658	0.146465102835	0.195384194135	0.139217836344
Feb10-r4-a	0.110801903515	0.0512253516554	0.117557154427	0.0727568133863	0.150042843882	0.127774808247	0.0	0.0861080300277	0.0749789778666	0.0505353519886	0.120521728627	0.103455636475	0.050751773259	0.166554075213	0.117599170622	0.0757629376334	0.143494565324	0.0483420843215	0.0675843852293	0.0460565427345	0.112056149615	0.0367439662104	0.0517524751065	0.0674539910177	0.0906610378493	0.0711296141261	0.0881362470694	0.138960540071	0.0913689079416	0.0920479765957	0.192691279595	0.0697990841619	0.0802546099096	0.124012178606	0.0560874408244	0.0475865581115	0.104980395928	0.117753551276	0.0456536328638	0.029722830755	0.128894365832	0.0516889600469	0.0478028898992	0.0573595476516	0.056278976516	0.0424509637012	0.0833995502145	0.0560894729323	0.0493050887856	0.0386839357032	0.0965991694217	0.0592101783954	0.0796093709686	0.0671429685116	0.0851772110515	0.0793654527163	0.13398753996	0.0502186850915	0.0742848404936	0.0504463333055	0.0881083146424	0.0599980873328	0.053916770494	0.038307913748	0.0832935137478	0.0670279081242	0.276010045633	0.0737964260007
Feb9-3-b	0.0806824256799	0.109502609447	0.0636754188515	0.0614255569651	0.101621272356	0.0801361522251	0.0861080300277	0.0	0.0569833906472	0.103643020263	0.0712199938025	0.0530158166231	0.101071052612	0.110860590716	0.0755572790454	0.131041978495	0.103570773951	0.0871172784011	0.0549234129227	0.0665957896004	0.0599989194467	0.0936856354642	0.103390819716	0.101171109381	0.135325198076	0.0648288585608	0.125152286697	0.100247822629	0.076796686267	0.110935286801	0.144397797879	0.0608113472017	0.0481556280356	0.0991397659995	0.0788354411133	0.108260475715	0.14173383054	0.072016696049	0.0899462397849	0.0888886589988	0.0800276542672	0.0960672516444	0.078182009528	0.117357586869	0.113372992728	0.0832880460552	0.0904660741507	0.103239797393	0.108328133607	0.0924875233683	0.0595454184386	0.107451903927	0.131885870317	0.118060667072	0.127427166461	0.0603805867558	0.0825754022571	0.0834165731611	0.124008338481	0.102986413363	0.0834571353646	0.114802550477	0.11195765783	0.0901901805595	0.0600846002389	0.129156753789	0.233144980395	0.112258146199
Feb9-4-20	0.0769847589015	0.103868381626	0.070367601823	0.0660469685888	0.109117931244	0.0962713654914	0.0749789778666	0.0569833906472	0.0	0.0971063091464	0.0773173579921	0.0621488170718	0.0878191839647	0.123617748061	0.0819436414711	0.112091235849	0.103680692268	0.0882594934372	0.0606050779513	0.0637308586783	0.0737207803849	0.0848668584331	0.107125116494	0.0998776208748	0.108094414395	0.0483597929097	0.119580087538	0.107262389852	0.075880619794	0.0790491454101	0.150591877219	0.0449417273136	0.0620763103683	0.112231195632	0.064166630308	0.0980473954417	0.126485607909	0.0838256868875	0.0787561031447	0.0723204146397	0.0867893108675	0.0931192801456	0.0678026382835	0.109882740264	0.084184224949	0.0657504535122	0.0610950362698	0.104705731309	0.0902884327472	0.0765933240141	0.0711561472932	0.102222370156	0.124810884869	0.109999300961	0.120673750551	0.0518477499926	0.0818977150263	0.0904430089952	0.11829915802	0.0891122535271	0.0662343218474	0.0857720666489	0.105885656797	0.0898842556075	0.0751391076869	0.103164140903	0.239520673027	0.0819835717321
Feb8-55	0.120583946799	0.0407471016521	0.143158937777	0.0993948197528	0.167767909634	0.139866461564	0.0505353519886	0.103643020263	0.0971063091464	0.0	0.139582922721	0.124051892595	0.0464976961947	0.189855093008	0.135594862879	0.0488689240038	0.154741631786	0.0653932702114	0.0914212544841	0.0641905209815	0.124650033323	0.043927842767	0.0524209571208	0.0720511985604	0.088966699754	0.0951020170388	0.0895753420997	0.146610903989	0.0985384346864	0.118229715794	0.210776148206	0.0999485937452	0.102600081408	0.141292828625	0.0771011041692	0.0425524967298	0.095961002422	0.13571354684	0.0555104201939	0.0471862122938	0.151855374381	0.0434195926628	0.0631626494346	0.0443491234074	0.0523929884519	0.0643464853923	0.10206110241	0.0585374918575	0.0440089434665	0.0425013191931	0.116644500621	0.0710358113684	0.0580201332205	0.0354480315965	0.0804042125938	0.0992937859463	0.157923756082	0.0651953343459	0.0506646219683	0.0539342011707	0.102822509257	0.0585299414568	0.042845185197	0.0456970305803	0.103825419781	0.0516150768827	0.281251511979	0.087931913879
