#SampleID	Location
Feb10-r1-a_SPA	SG1
Feb10-r2-a_SPA	SG1
Feb10-r3-a_SPA	SG1
Feb10-r4-a_SPA	SG1
Feb10-r5-a_SPA	SG1
Feb10-r6-a_SPA	SG1
Feb10-r7-a_SPA	SG1
Feb7-1_SPA	SG1
Feb7-12_SPA	SG1
Feb7-15_SPA	SG1
Feb7-20_SPA	SG1
Feb7-3_SPA	SG1
Feb7-6_SPA	SG1
Feb7-9_SPA	SG1
Feb8-12_SPA	SG1
Feb8-15_SPA	SG1
Feb8-19_SPA	SG1
Feb8-2_SPA	SG1
Feb8-23_SPA	SG1
Feb8-27_SPA	SG1
Feb8-32_SPA	SG1
Feb8-33_SPA	SG1
Feb8-35_SPA	SG1
Feb8-37_SPA	SG1
Feb8-39_SPA	SG1
Feb8-41_SPA	SG1
Feb8-43_SPA	SG1
Feb8-45_SPA	SG1
Feb8-47_SPA	SG1
Feb8-49_SPA	SG1
Feb8-5_SPA	SG1
Feb8-51_SPA	SG1
Feb8-53_SPA	SG1
Feb8-55_SPA	SG1
Feb8-61_SPA	SG1
Feb8-65_SPA	SG1
Feb8-7_SPA	SG1
Feb8-9_SPA	SG1
Feb9-1-a_SPA	SG2
Feb9-1-b_SPA	SG2
Feb9-2-a_SPA	SG2
Feb9-2-b_SPA	SG2
Feb9-3-a_SPA	SG2
Feb9-3-b_SPA	SG2
Feb9-4-1_SPA	SG2
Feb9-4-10_SPA	SG2
Feb9-4-11_SPA	SG2
Feb9-4-12_SPA	SG2
Feb9-4-13_SPA	SG2
Feb9-4-14_SPA	SG2
Feb9-4-15_SPA	SG2
Feb9-4-16_SPA	SG2
Feb9-4-17_SPA	SG2
Feb9-4-18_SPA	SG2
Feb9-4-19_SPA	SG2
Feb9-4-2_SPA	SG2
Feb9-4-20_SPA	SG2
Feb9-4-21_SPA	SG2
Feb9-4-22_SPA	SG2
Feb9-4-23_SPA	SG2
Feb9-4-24_SPA	SG2
Feb9-4-25_SPA	SG2
Feb9-4-26_SPA	SG2
Feb9-4-27_SPA	SG2
Feb9-4-28_SPA	SG2
Feb9-4-29_SPA	SG2
Feb9-4-3_SPA	SG2
Feb9-4-30-a_SPA	SG2
Feb9-4-4_SPA	SG2
Feb9-4-5_SPA	SG2
Feb9-4-6_SPA	SG2
Feb9-4-7_SPA	SG2
Feb9-4-8_SPA	SG2
Feb9-4-9_SPA	SG2
Feb9-4-a_SPA	SG2
Feb9-4-b_SPA	SG2
Feb9-5-a_SPA	SG2
Feb9-5-b_SPA	SG2
Feb9-6-a_SPA	SG2
Feb9-6-b_SPA	SG2
Feb9-7-a_SPA	SG2
Feb9-7-b_SPA	SG2
Feb9-8-a_SPA	SG2
Feb9-8-b_SPA	SG2
SG1-E-mid_SPA	SG1
