# Constructed from biom file
#OTU ID	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12	taxonomy
JN038033.1.1058___Halobacteria	6.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	0.0	5.0	0.0	1.0	13.0	1.0	0.0	0.0	31.0	0.0	5.0	0.0	3.0	0.0	25.0	1.0	0.0	12.0	1.0	1.0	20.0	4.0	5.0	2.0	2.0	2.0	2.0	1.0	4.0	5.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomicrobium
JN714448.1.1473___Halobacteria	55.0	2.0	10.0	0.0	13.0	13.0	2.0	16.0	13.0	4.0	18.0	2.0	0.0	15.0	486.0	0.0	79.0	0.0	1.0	2.0	53.0	1.0	1.0	0.0	32.0	6.0	0.0	109.0	28.0	23.0	42.0	16.0	43.0	1.0	1.0	0.0	7.0	103.0	0.0	4.0	45.0	1.0	1.0	1.0	1.0	2.0	13.0	0.0	2.0	1.0	7.0	0.0	1.0	0.0	0.0	133.0	162.0	1.0	4.0	0.0	23.0	3.0	2.0	3.0	0.0	1.0	40.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halobacterium
GU951430.1.1473___Halobacteria	3.0	3.0	0.0	1.0	0.0	2.0	6.0	5.0	0.0	4.0	2.0	0.0	31.0	0.0	0.0	0.0	0.0	3.0	1.0	11.0	0.0	6.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	31.0	6.0	15.0	38.0	3.0	4.0	11.0	0.0	8.0	9.0	1.0	3.0	50.0	7.0	0.0	6.0	8.0	16.0	2.0	29.0	2.0	5.0	1.0	2.0	0.0	15.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halorubellus
HG475319.1.907___Halobacteria	0.0	4.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	1.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	4.0	10.0	14.0	0.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	11.0	3.0	0.0	0.0	0.0	5.0	3.0	2.0	12.0	1.0	4.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halorussus
HQ425161.1.1358___Halobacteria	0.0	9.0	0.0	1.0	0.0	8.0	1.0	1.0	0.0	4.0	1.0	0.0	4.0	18.0	3.0	2.0	1.0	2.0	3.0	4.0	17.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	12.0	0.0	7.0	3.0	1.0	8.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	13.0	0.0	1.0	2.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halapricum; D_6__uncultured archaeon
AB533937.1.1485___Cytophagia	0.0	0.0	10.0	0.0	1.0	6.0	8.0	0.0	2.0	0.0	0.0	7.0	2.0	0.0	13.0	0.0	0.0	5.0	3.0	9.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	3.0	1.0	37.0	25.0	0.0	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	4.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	3.0	0.0	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
AB588757.1.1474___Halobacteria	136.0	299.0	34.0	9.0	33.0	75.0	265.0	107.0	33.0	341.0	19.0	37.0	17.0	39.0	175.0	43.0	60.0	141.0	40.0	158.0	72.0	178.0	34.0	71.0	119.0	78.0	65.0	434.0	32.0	91.0	166.0	247.0	46.0	87.0	8.0	68.0	16.0	227.0	208.0	151.0	102.0	119.0	86.0	175.0	77.0	268.0	122.0	60.0	139.0	188.0	151.0	58.0	78.0	115.0	25.0	11.0	58.0	42.0	90.0	12.0	140.0	52.0	175.0	124.0	31.0	76.0	41.0	78.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halococcus
JX883112.1.1463___Cytophagia	7.0	5.0	18.0	0.0	12.0	13.0	3.0	49.0	4.0	6.0	19.0	10.0	3.0	17.0	4.0	4.0	14.0	3.0	4.0	11.0	22.0	2.0	0.0	1.0	18.0	2.0	2.0	23.0	24.0	4.0	20.0	8.0	28.0	7.0	5.0	0.0	25.0	9.0	2.0	14.0	27.0	3.0	9.0	4.0	10.0	7.0	19.0	7.0	14.0	3.0	22.0	2.0	0.0	3.0	4.0	16.0	10.0	8.0	10.0	5.0	12.0	5.0	5.0	10.0	9.0	3.0	10.0	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
EF690638.1.1440___Halobacteria	1.0	39.0	1.0	4.0	2.0	3.0	6.0	1.0	3.0	2.0	1.0	0.0	9.0	0.0	0.0	10.0	0.0	9.0	10.0	5.0	0.0	2.0	4.0	0.0	0.0	12.0	7.0	1.0	0.0	0.0	0.0	35.0	6.0	8.0	59.0	1.0	0.0	0.0	1.0	5.0	1.0	4.0	5.0	2.0	1.0	9.0	0.0	2.0	4.0	8.0	0.0	16.0	0.0	1.0	20.0	5.0	0.0	0.0	5.0	2.0	2.0	2.0	2.0	0.0	29.0	1.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halovenus; D_6__uncultured haloarchaeon
JX882083.1.1474___Gammaproteobacteria	3.0	0.0	25.0	0.0	1.0	5.0	0.0	4.0	7.0	0.0	1.0	7.0	2.0	59.0	4.0	0.0	0.0	0.0	7.0	5.0	14.0	0.0	0.0	0.0	1.0	7.0	2.0	0.0	10.0	3.0	30.0	7.0	0.0	0.0	10.0	0.0	0.0	1.0	1.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Ectothiorhodospiraceae; D_5__Arhodomonas; D_6__uncultured bacterium
