	SG1-TOP-2016-02mt-13a	SG1-TOP-2016-02mt-9b	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02mt-17b	SG1-TOP-2016-02mt-2-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02mt-10-1	SG1-TOP-2016-02mt-17a	SG1-BOT-2016-02-9-3	SG1-TOP-2016-02mt-1-2	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-8-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-02mt-1	SG1-TOP-2016-02mt-3-1	SG1-BOT-2016-02-8-2
SG1-TOP-2016-02mt-13a	0.0	0.315298146915	0.222552577901	0.234077219859	0.301728698345	0.267952319541	0.23121102724	0.278480370452	0.234331109335	0.382512661953	0.291306315011	0.325013601486	0.352310240686	0.358111121859	0.345476215825	0.327456511235	0.274467527062	0.359943357335
SG1-TOP-2016-02mt-9b	0.315298146915	0.0	0.26778679817	0.365556005883	0.259916469152	0.24466711059	0.242155951642	0.290956105664	0.330651320562	0.478055595065	0.3134568335	0.415106967073	0.459594426634	0.480730474894	0.453837241953	0.391551362906	0.360346630583	0.477286814128
SG1-TOP-2016-02mt-13b	0.222552577901	0.26778679817	0.0	0.259846459885	0.286338422792	0.190662241084	0.227892762589	0.298331812545	0.229398750323	0.431217473167	0.256859496731	0.350715683457	0.407646731443	0.438165213938	0.386713116027	0.354300652156	0.31759138221	0.428115254213
SG1-TOP-2016-02mt-17b	0.234077219859	0.365556005883	0.259846459885	0.0	0.305923522243	0.28416115155	0.255070519833	0.320230748137	0.277703761708	0.404314400459	0.300754937418	0.355703466083	0.397952058099	0.391650298977	0.355940673534	0.298013644203	0.28485600831	0.371212823126
SG1-TOP-2016-02mt-2-2	0.301728698345	0.259916469152	0.286338422792	0.305923522243	0.0	0.289534784749	0.317342565633	0.295260364744	0.310259212903	0.402663691531	0.307046506855	0.357471702972	0.403956821458	0.446147575195	0.41082634541	0.344095349755	0.27904921129	0.432611193316
SG1-TOP-2016-02mt-1b	0.267952319541	0.24466711059	0.190662241084	0.28416115155	0.289534784749	0.0	0.237884261468	0.315237326682	0.281275448282	0.419776031895	0.29434710795	0.389790452182	0.395785558757	0.430307237704	0.421253804073	0.364009269783	0.310812951464	0.44419212606
SG1-TOP-2016-02mt-1a	0.23121102724	0.242155951642	0.227892762589	0.255070519833	0.317342565633	0.237884261468	0.0	0.276733226085	0.30307929126	0.449869931209	0.260900567221	0.395663359949	0.451830943072	0.453412328674	0.422923889443	0.309653887592	0.335900937853	0.457012435697
SG1-TOP-2016-02mt-10-1	0.278480370452	0.290956105664	0.298331812545	0.320230748137	0.295260364744	0.315237326682	0.276733226085	0.0	0.28108688499	0.388796232466	0.258440365906	0.301956464533	0.35565360769	0.37983148475	0.352620964477	0.291260368631	0.222644725387	0.393272892533
SG1-TOP-2016-02mt-17a	0.234331109335	0.330651320562	0.229398750323	0.277703761708	0.310259212903	0.281275448282	0.30307929126	0.28108688499	0.0	0.421605278388	0.305966730828	0.373770927128	0.397663187135	0.367406110634	0.372386856693	0.339064195255	0.296397412526	0.412250637722
SG1-BOT-2016-02-9-3	0.382512661953	0.478055595065	0.431217473167	0.404314400459	0.402663691531	0.419776031895	0.449869931209	0.388796232466	0.421605278388	0.0	0.424888673548	0.23528536475	0.228101133426	0.326423813064	0.22748448346	0.304362764366	0.301176374983	0.262744147924
