	SG1-TOP-2016-02mt-13a	SG1-TOP-2016-02mt-9b	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02mt-17b	SG1-TOP-2016-02mt-2-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02mt-10-1	SG1-TOP-2016-02mt-17a	SG1-BOT-2016-02-9-3	SG1-TOP-2016-02mt-1-2	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-8-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-02mt-1	SG1-TOP-2016-02mt-3-1	SG1-BOT-2016-02-8-2
SG1-TOP-2016-02mt-13a	0.0	0.0362017356187	0.0349466330679	0.0448522083381	0.0416290315406	0.0400501599118	0.0371060254612	0.0522780053998	0.0457742758933	0.125285248427	0.0345904316396	0.0603780798654	0.0745796448319	0.0579024127777	0.0969423081789	0.0606671374002	0.0503635995698	0.102754454289
SG1-TOP-2016-02mt-9b	0.0362017356187	0.0	0.0457008495475	0.0528561712265	0.0432669803664	0.0471809760194	0.0406347807721	0.0602852361472	0.0523551837044	0.140542674728	0.0373707509827	0.0746243900644	0.0895201579549	0.0656718284471	0.110967778008	0.0710150676782	0.0625748451092	0.116414123419
SG1-TOP-2016-02mt-13b	0.0349466330679	0.0457008495475	0.0	0.053330161119	0.0328092232197	0.02675442182	0.0302085471178	0.0372459384486	0.0288715912048	0.112848250046	0.0359821485376	0.0500376241342	0.0711201851081	0.0655084610337	0.0849466874629	0.045540166862	0.0354090992167	0.0901660907444
SG1-TOP-2016-02mt-17b	0.0448522083381	0.0528561712265	0.053330161119	0.0	0.0643423743717	0.0558280368564	0.0592520902641	0.0671888714081	0.0660229099989	0.138753171629	0.0439963920495	0.0719394291896	0.0869761508527	0.0760679199181	0.109600958128	0.0721012513857	0.0673030497813	0.114874627725
SG1-TOP-2016-02mt-2-2	0.0416290315406	0.0432669803664	0.0328092232197	0.0643423743717	0.0	0.03735221725	0.0318811684464	0.0475800672025	0.0366236547501	0.114230610858	0.0424230897996	0.0535057396152	0.0723667896364	0.0673836184739	0.0883249731761	0.0503770701611	0.0398788008431	0.0950852262082
SG1-TOP-2016-02mt-1b	0.0400501599118	0.0471809760194	0.02675442182	0.0558280368564	0.03735221725	0.0	0.0315736146945	0.0397104508278	0.0342090918553	0.11162568731	0.042454141013	0.0488181918248	0.0681954583077	0.065680968048	0.0846058453311	0.0467324524705	0.039070084418	0.0899332454212
SG1-TOP-2016-02mt-1a	0.0371060254612	0.0406347807721	0.0302085471178	0.0592520902641	0.0318811684464	0.0315736146945	0.0	0.041005836154	0.0366395062647	0.111586178476	0.042134705625	0.0529323633782	0.0752957413601	0.0655868807001	0.0846793757564	0.0484912837932	0.0426336763683	0.0941831343429
SG1-TOP-2016-02mt-10-1	0.0522780053998	0.0602852361472	0.0372459384486	0.0671888714081	0.0475800672025	0.0397104508278	0.041005836154	0.0	0.035216459604	0.0951322858327	0.0518381929192	0.0476939398704	0.0688447931082	0.0706249278174	0.0683166533783	0.040337500967	0.0300164076383	0.0769954326995
SG1-TOP-2016-02mt-17a	0.0457742758933	0.0523551837044	0.0288715912048	0.0660229099989	0.0366236547501	0.0342090918553	0.0366395062647	0.035216459604	0.0	0.107422838081	0.0490666449564	0.0532926508364	0.0777684743529	0.0735297003941	0.0780589755664	0.0458549857767	0.032993637253	0.0862773038971
SG1-BOT-2016-02-9-3	0.125285248427	0.140542674728	0.112848250046	0.138753171629	0.114230610858	0.11162568731	0.111586178476	0.0951322858327	0.107422838081	0.0	0.12837521307	0.0875059401561	0.0753421968116	0.103686149859	0.0422130576947	0.0874818206765	0.0967600141058	0.0528486934132
SG1-TOP-2016-02mt-1-2	0.0345904316396	0.0373707509827	0.0359821485376	0.0439963920495	0.0424230897996	0.042454141013	0.042134705625	0.0518381929192	0.0490666449564	0.12837521307	0.0	0.0593106565832	0.0758228309643	0.0627905976757	0.0988269848208	0.0612055621339	0.0502665998931	0.103501401613
SG1-BOT-2016-02-8-1	0.0603780798654	0.0746243900644	0.0500376241342	0.0719394291896	0.0535057396152	0.0488181918248	0.0529323633782	0.0476939398704	0.0532926508364	0.0875059401561	0.0593106565832	0.0	0.0426173691425	0.0578320063338	0.0622142564362	0.0379892320328	0.0421563874708	0.0750637362998
SG1-BOT-2016-02-8-3	0.0745796448319	0.0895201579549	0.0711201851081	0.0869761508527	0.0723667896364	0.0681954583077	0.0752957413601	0.0688447931082	0.0777684743529	0.0753421968116	0.0758228309643	0.0426173691425	0.0	0.050193365142	0.0515328594324	0.0520694941083	0.0672704098986	0.067277833151
SG1-BOT-2016-02-9-1	0.0579024127777	0.0656718284471	0.0655084610337	0.0760679199181	0.0673836184739	0.065680968048	0.0655868807001	0.0706249278174	0.0735297003941	0.103686149859	0.0627905976757	0.0578320063338	0.050193365142	0.0	0.0809185145931	0.0542095353697	0.0697574417251	0.0841839563648
SG1-BOT-2016-02-9-2	0.0969423081789	0.110967778008	0.0849466874629	0.109600958128	0.0883249731761	0.0846058453311	0.0846793757564	0.0683166533783	0.0780589755664	0.0422130576947	0.0988269848208	0.0622142564362	0.0515328594324	0.0809185145931	0.0	0.0601833073946	0.0699520781149	0.0405510041459
SG1-BOT-2016-02mt-1	0.0606671374002	0.0710150676782	0.045540166862	0.0721012513857	0.0503770701611	0.0467324524705	0.0484912837932	0.040337500967	0.0458549857767	0.0874818206765	0.0612055621339	0.0379892320328	0.0520694941083	0.0542095353697	0.0601833073946	0.0	0.0391448742408	0.0707095758122
SG1-TOP-2016-02mt-3-1	0.0503635995698	0.0625748451092	0.0354090992167	0.0673030497813	0.0398788008431	0.039070084418	0.0426336763683	0.0300164076383	0.032993637253	0.0967600141058	0.0502665998931	0.0421563874708	0.0672704098986	0.0697574417251	0.0699520781149	0.0391448742408	0.0	0.0826022481298
SG1-BOT-2016-02-8-2	0.102754454289	0.116414123419	0.0901660907444	0.114874627725	0.0950852262082	0.0899332454212	0.0941831343429	0.0769954326995	0.0862773038971	0.0528486934132	0.103501401613	0.0750637362998	0.067277833151	0.0841839563648	0.0405510041459	0.0707095758122	0.0826022481298	0.0
