	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H5-B-T	0.0	0.357885261329	0.222100033225	0.245075409309	0.253654291052	0.326657724431	0.329949725812	0.342438812483	0.317371799999	0.351043800628	0.37403032422	0.360591566357	0.239855958404	0.306528522089	0.240755565025	0.232196429942	0.20408751513	0.370652749214	0.387493725	0.333054567175	0.33757349378	0.250065532142	0.351152005322	0.351487949244	0.302227652773	0.310058896968	0.351055506558	0.321936669225	0.395997918287	0.350886108829	0.309892693476	0.363007282119	0.312459697331	0.34010801574	0.377571399208	0.326695594618	0.368587928401	0.309535448767	0.238160432033	0.307487088685	0.361513985788	0.320302790495	0.339907188363	0.356715119412	0.393768510956	0.326875251447
H4-A-B	0.357885261329	0.0	0.328513787431	0.357950353863	0.40086903057	0.363187365419	0.354652239745	0.329294913537	0.384782362184	0.422876751333	0.390613630984	0.300920801692	0.403304791409	0.380498833534	0.36101283112	0.308569752974	0.361623994693	0.307810683509	0.397390960637	0.355204101217	0.34783344175	0.400720384675	0.390722365269	0.374875698111	0.312647018101	0.352192063217	0.31075074982	0.365014148841	0.344630294111	0.334342047575	0.383438646146	0.359826578985	0.351429484495	0.357417193855	0.382526399455	0.387376991798	0.378755703373	0.324376640993	0.405470787138	0.379075385262	0.382351154271	0.39298855083	0.333554780165	0.39504055244	0.36098615614	0.392333841958
H6-A-M	0.222100033225	0.328513787431	0.0	0.294338441876	0.277305744799	0.288008753434	0.337020015973	0.343039735437	0.279961362251	0.305778017384	0.341146467286	0.331465763543	0.248995166224	0.282773113999	0.22619096491	0.258435407393	0.217620085528	0.33112129385	0.303662191196	0.297590300696	0.324786544829	0.195711064692	0.290723748874	0.338248140522	0.284946323176	0.243582226858	0.31536016479	0.280331413379	0.343748496174	0.297260537628	0.306741790762	0.361199076443	0.253968617145	0.30228345529	0.347398157401	0.319906057122	0.306239563948	0.311908621903	0.271836231574	0.25236303596	0.327185707642	0.298409810866	0.309007045233	0.302041223392	0.333075427634	0.291478209238
H5-B-B	0.245075409309	0.357950353863	0.294338441876	0.0	0.283994111274	0.382860848234	0.397704421345	0.331557541968	0.396863864606	0.402913344915	0.447889543552	0.390017632008	0.3144184714	0.389586556874	0.31840561893	0.273994139927	0.255280004009	0.34206330307	0.436239326804	0.39441630079	0.352810973118	0.299121718364	0.405109534324	0.405832101069	0.343872446939	0.371423413737	0.323752872704	0.353316578646	0.389733216025	0.376240329676	0.408973528746	0.345153779393	0.368852139471	0.360625814092	0.387709818375	0.414175168042	0.412017305403	0.345414769799	0.337364877226	0.368817277943	0.418344875935	0.34217654283	0.379822781584	0.424331903985	0.385347319046	0.415014713889
H5-B-M	0.253654291052	0.40086903057	0.277305744799	0.283994111274	0.0	0.379672514729	0.340266486754	0.378693571666	0.314762123788	0.353983198972	0.418637990016	0.384807614652	0.326752574576	0.328945636822	0.315794421917	0.291192976308	0.26393676469	0.372696009508	0.391603279408	0.401039546976	0.373768461934	0.303868624425	0.377609173409	0.383834238024	0.345442920437	0.352411553008	0.369453919683	0.372993794722	0.415612834137	0.380596199809	0.373737774804	0.395679001857	0.332520479738	0.39018582437	0.378654864563	0.390953086169	0.416995702823	0.326491795137	0.371455320557	0.313370615683	0.411729014325	0.329140072001	0.370787642787	0.329060201266	0.413667964843	0.328027445316
H4-C-M	0.326657724431	0.363187365419	0.288008753434	0.382860848234	0.379672514729	0.0	0.323301752696	0.347021497792	0.365884563353	0.382395320296	0.327323815569	0.369699437263	0.32725104229	0.32800936209	0.278347446428	0.297525789511	0.306049912989	0.374035156452	0.371877912611	0.266961614967	0.288879041897	0.317381122378	0.362644986951	0.336832136777	0.336215784498	0.304682346117	0.363096079344	0.31536990617	0.317532489403	0.313866670124	0.300694933389	0.385560009945	0.318825370598	0.306972507942	0.379603167336	0.332507079507	0.310970270156	0.346891264622	0.290550255035	0.32493150911	0.313408712828	0.373736235551	0.304079855781	0.369233648093	0.335571473183	0.361508694382
H7-B-T	0.329949725812	0.354652239745	0.337020015973	0.397704421345	0.340266486754	0.323301752696	0.0	0.400058831589	0.33943456678	0.395889312148	0.395583198272	0.341479998112	0.393617816217	0.366257066302	0.364817808138	0.329224527875	0.380074979996	0.360354604358	0.388786225674	0.368593821281	0.350916184389	0.367733797871	0.395062472195	0.301103617003	0.357088615191	0.368757340005	0.344347737146	0.367529429865	0.387345265704	0.367921372276	0.363086682419	0.414987226345	0.351108388521	0.378287261648	0.372018444277	0.375171930774	0.397518269511	0.34918823673	0.381246872425	0.356001211745	0.385403667172	0.37264226633	0.375238805981	0.354343707101	0.362405536533	0.322207754509
H5-C-B	0.342438812483	0.329294913537	0.343039735437	0.331557541968	0.378693571666	0.347021497792	0.400058831589	0.0	0.407615056166	0.429478707297	0.398752724188	0.371006495377	0.364024040068	0.380326811631	0.380504129809	0.347482479248	0.328400515557	0.332385268119	0.408662561325	0.36128872438	0.357581529304	0.358757319651	0.370892674019	0.393214520338	0.330365707901	0.344303981401	0.362842866909	0.369811636716	0.336854444863	0.358327116611	0.376753366445	0.318345394631	0.364930443562	0.400586582924	0.398052562157	0.405505757068	0.392871920388	0.353912944511	0.387874158858	0.378578208273	0.386457500925	0.409576698116	0.362792004816	0.401539319469	0.378038502077	0.401558853444
H7-C-M	0.317371799999	0.384782362184	0.279961362251	0.396863864606	0.314762123788	0.365884563353	0.33943456678	0.407615056166	0.0	0.325649197919	0.395856325561	0.342160054387	0.357409956984	0.331475547479	0.311631904375	0.316366611176	0.319699760156	0.375264874258	0.307659498583	0.364716573543	0.398038334509	0.331276569509	0.317859282865	0.343235471885	0.341164344717	0.308932837827	0.368953601104	0.346840113076	0.400939498292	0.362806727849	0.341187668679	0.416527167574	0.307386045507	0.376551095609	0.409564844726	0.33065139913	0.332887958583	0.343946538021	0.367701397009	0.316490670456	0.377723507674	0.364462789467	0.350119012746	0.288932694184	0.411598360156	0.258647042731
H2-A-T	0.351043800628	0.422876751333	0.305778017384	0.402913344915	0.353983198972	0.382395320296	0.395889312148	0.429478707297	0.325649197919	0.0	0.365609131793	0.390489474112	0.347056164087	0.341462961802	0.34439740043	0.343191299777	0.349063861666	0.415703072563	0.314476023708	0.363100623444	0.392777825614	0.311791638487	0.321510776806	0.384230463054	0.379001529118	0.320501692253	0.392708989414	0.367534552255	0.416376748041	0.39960125397	0.356304588811	0.465014781877	0.343925716231	0.39839935109	0.397505418399	0.371841110573	0.327670502731	0.404011313347	0.356315844736	0.329331187084	0.390076771875	0.388508044984	0.382013024381	0.316873622359	0.367948180243	0.363017475441
