	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H5-B-T	0.0	0.0918494267656	0.0322785448044	0.0520938227512	0.0465814053256	0.0714836602844	0.0798284606429	0.0518709422648	0.0690438229208	0.0597205842701	0.0869759780988	0.0939460214335	0.053463981887	0.0435627362335	0.0483238870529	0.0469993664798	0.0405528994935	0.0492251382766	0.0766197987475	0.0538497711475	0.0551943712317	0.0499696012121	0.0651241946232	0.0671349839546	0.0420608702359	0.0340308721528	0.0465796032216	0.0445024276225	0.0738218135137	0.0511126467181	0.0787649404898	0.0792591842985	0.0480054523961	0.0744508176896	0.0481357390972	0.0677794825659	0.0542649657791	0.0493757582343	0.0533868023681	0.0456383340819	0.0628953836187	0.0427676313728	0.054774349516	0.0649411874883	0.0697724236008	0.0801490006844
H4-A-B	0.0918494267656	0.0	0.0918153917618	0.103434471646	0.0900093704254	0.0857027912691	0.0536176961769	0.08145139	0.079985439896	0.102244918726	0.0867190786164	0.0378377082379	0.120347055729	0.0927784341048	0.0860870314748	0.0728114152029	0.0935504999658	0.0844081787266	0.0910668036194	0.0903285751967	0.0749595779471	0.119249171467	0.105791450498	0.067240664039	0.0843035298645	0.0932991161015	0.0770928422131	0.0780546593789	0.0659401411349	0.0838631975268	0.0791563582131	0.0641118019912	0.0809801672095	0.0552218829042	0.083919994075	0.0818016010672	0.105767782777	0.0856053958367	0.08468171803	0.0941500366949	0.086294069848	0.0954595002277	0.0745649441416	0.0895571124067	0.0687404895271	0.0702055725339
H6-A-M	0.0322785448044	0.0918153917618	0.0	0.0633620785847	0.0509717108282	0.0620152719626	0.0827337541482	0.0545423785426	0.0647457997987	0.0553283913093	0.0798824225556	0.0899564356736	0.0502021134841	0.0386343458638	0.0370851162471	0.045999953503	0.0420563414502	0.0580019176196	0.0698221391453	0.0456170377298	0.0520952968509	0.0465146666535	0.0594824975177	0.0669195629313	0.0443219772815	0.030110884986	0.0503540970638	0.0437229437479	0.0693272778162	0.0467296106513	0.0733363993588	0.0757160239018	0.0341060929912	0.0722031738554	0.0512037120751	0.0642535554132	0.0463139427964	0.0497663893621	0.0534884770987	0.0370744742275	0.0511271379477	0.0458036319154	0.0472233815436	0.063236441313	0.0622996865935	0.0798226662854
H5-B-B	0.0520938227512	0.103434471646	0.0633620785847	0.0	0.0775529457324	0.102265273687	0.0996529661368	0.0485410889707	0.104045021539	0.0950886863434	0.115087232557	0.112841145172	0.0601550416917	0.0772205405285	0.0786168645328	0.0649163482862	0.0731749765639	0.0437462130108	0.115177278642	0.0811063153448	0.0746325391506	0.0631676440881	0.0952513379452	0.0902084469372	0.0590950679806	0.0711434380016	0.0542973110913	0.0651302412548	0.0879423726577	0.0669770208916	0.111310698331	0.0874600897492	0.0807600909865	0.0909542220606	0.0615405043973	0.102734767746	0.0851214410991	0.0753426688087	0.0814287031438	0.0827010978531	0.0911730080271	0.0526401131559	0.076057796175	0.0973299583581	0.0847686075106	0.112656994736
H5-B-M	0.0465814053256	0.0900093704254	0.0509717108282	0.0775529457324	0.0	0.0622528456327	0.0706046698212	0.0666892959739	0.0508613830265	0.0501328029042	0.0812107752207	0.0880545189044	0.081095060403	0.0619679050706	0.0490737992333	0.0623350525821	0.0535817657324	0.0796899487872	0.0613277818743	0.0581706771429	0.0612607017411	0.0728630164935	0.0595953306226	0.0571298293317	0.0688108526561	0.054073046424	0.0706960611512	0.0615733037084	0.0714349327391	0.0621259655787	0.0734452718253	0.0771098021287	0.0444173808174	0.0734414000734	0.0705681733269	0.060631633223	0.0689969833848	0.0392201160528	0.0611629551561	0.0459281627371	0.0590738107469	0.0695661069403	0.0592206741921	0.0478637845383	0.0670998035806	0.0639189295523
H4-C-M	0.0714836602844	0.0857027912691	0.0620152719626	0.102265273687	0.0622528456327	0.0	0.076611456682	0.0787763341619	0.0523748069657	0.0596596493056	0.0535964299859	0.0683718240836	0.0921708559943	0.0645857874913	0.0472904979276	0.0595645780198	0.053504560311	0.0855468236917	0.059491832477	0.0546712056368	0.0504981918362	0.0882085946673	0.0650739226584	0.0587469284546	0.0684463870017	0.0623843664666	0.0785556162312	0.0604834746985	0.0621785323997	0.0663446184152	0.0475621557413	0.070623420309	0.0475963678487	0.0649511257898	0.0785127995923	0.0455703245373	0.0640986829434	0.0561144076441	0.0519573177184	0.0566265851748	0.0403914243601	0.0772653624933	0.0504123514447	0.0535245243571	0.056611598451	0.0675841692504
H7-B-T	0.0798284606429	0.0536176961769	0.0827337541482	0.0996529661368	0.0706046698212	0.076611456682	0.0	0.0817649867336	0.0582637284492	0.0844893232906	0.0827758017621	0.051246119592	0.111041000017	0.0846939494822	0.0757058382055	0.0655242758985	0.0814071621236	0.0829416983891	0.0819775910006	0.0796625792812	0.071001950135	0.107547780473	0.0971917370801	0.0348161353161	0.0745555968303	0.080227231255	0.0727551487714	0.0654441717357	0.0675286278546	0.0710774228978	0.0721342904395	0.066760651802	0.0673120536472	0.0459526307287	0.0705131108622	0.0675659798169	0.10227859751	0.0763210680622	0.0727640029881	0.0776004409596	0.077847652568	0.0847378234557	0.0692331794417	0.0660985601751	0.0644740235329	0.043283159385
H5-C-B	0.0518709422648	0.08145139	0.0545423785426	0.0485410889707	0.0666892959739	0.0787763341619	0.0817649867336	0.0	0.0837452524976	0.076877332762	0.0899347095283	0.0917114684021	0.0750116987656	0.0605844125912	0.0589527260312	0.0504195615661	0.0528248121766	0.0452611084399	0.0949220728468	0.0588746951202	0.0558754645998	0.0707103515849	0.0751664151742	0.0705227515766	0.0613915551131	0.058775323254	0.051066672079	0.0481932493328	0.0612717370792	0.0473868145547	0.0883988729238	0.0547535722566	0.062767696163	0.0720198477642	0.0565488253109	0.0827663473729	0.0726121487157	0.0618151043993	0.0607688244751	0.0656250581034	0.0691353556538	0.0526888806284	0.0496897050312	0.0775248541781	0.0630015386462	0.0917472998479
H7-C-M	0.0690438229208	0.079985439896	0.0647457997987	0.104045021539	0.0508613830265	0.0523748069657	0.0582637284492	0.0837452524976	0.0	0.0524570539871	0.0649944754712	0.0718073841285	0.0984564656113	0.0662967795943	0.0514923996297	0.0665875704591	0.0608733075122	0.0932841149535	0.045553013477	0.064800516354	0.0653688719877	0.0934415345936	0.065896163765	0.0440348309166	0.0757944203779	0.0632483435013	0.079805948107	0.0671063566299	0.0648760375987	0.0706449787814	0.0499997792297	0.0721019669829	0.0512180104852	0.0634069010457	0.0783773705322	0.0392890989264	0.0754958916074	0.0598650291785	0.0596171921199	0.0526937096666	0.0563655853623	0.0830810323559	0.060115875899	0.0286145023171	0.0640285045886	0.0337622972003
H2-A-T	0.0597205842701	0.102244918726	0.0553283913093	0.0950886863434	0.0501328029042	0.0596596493056	0.0844893232906	0.076877332762	0.0524570539871	0.0	0.067917304439	0.0961256766012	0.0762905870818	0.0517100317044	0.0428210201425	0.0711952120132	0.0451680066439	0.0845908256527	0.0434362486072	0.0470765878017	0.0648722741813	0.0686634949136	0.0396420053358	0.0661056690912	0.077996753953	0.0460305941569	0.0832601923559	0.0634447734148	0.0716709014669	0.065908913502	0.058828586176	0.0847875776613	0.0494068471335	0.0788098459968	0.0790519812904	0.048680713833	0.049193027389	0.0628856414695	0.0466598220279	0.036169100127	0.0502876745571	0.0686694801313	0.0570955226585	0.0419112970485	0.0655736927675	0.0682985021615
