# Constructed from biom file
#OTU ID	H2-A-B	H2-A-M	H2-A-T	H2-B-B	H2-B-M	H2-B-T	H2-C-B	H2-C-M	H2-C-T	H3-A-B	H3-A-M	H3-A-T	H3-B-B	H3-B-M	H3-B-T	H3-C-B	H3-C-M	H3-C-T	H4-A-B	H4-A-M	H4-A-T	H4-B-B	H4-B-M	H4-B-T	H4-C-B	H4-C-M	H4-C-T	H5-A-M	H5-B-B	H5-B-M	H5-B-T	H5-C-B	H5-C-T	H6-A-B	H6-A-M	H6-A-T	H6-B-B	H6-B-M	H6-C-B	H6-C-M	H6-C-T	H7-B-B	H7-B-M	H7-B-T	H7-C-M	H7-C-T
D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria	0.683329066681	0.606822465134	0.723779500724	0.726480645603	0.709786261594	0.702308326463	0.513416444049	0.519994798101	0.519531432305	0.657278092678	0.687176640831	0.674198820436	0.61445871452	0.51903906118	0.55894106997	0.784627317722	0.744104023137	0.767989726827	0.645856798069	0.579671000179	0.757118952346	0.823819665563	0.680180690297	0.725678586816	0.700378757354	0.49755277807	0.548833467418	0.695702498961	0.822380726738	0.776654570589	0.752851429418	0.733495293046	0.597564047208	0.779681843844	0.664280739766	0.634251682124	0.61102033406	0.587092471844	0.74169528567	0.716487141164	0.668631842435	0.715446037344	0.692473221117	0.703167736804	0.647124350194	0.641653339894
D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured archaeon	0.00021557822121	0.00171503957784	0.00105080798614	0.000533442757489	0.00159967737599	0.000144270403957	0.000504600771742	0.00271474088042	0.00211571070767	5.84351078128e-05	7.92911372331e-05	2.36860181435e-05	5.86441473141e-05	0.000307205505123	0.000287032743812	1.8467902785e-05	4.70267346987e-05	0.0	0.0	0.0	1.45507457257e-05	0.0	3.77486693594e-05	0.0	0.0	0.000189055771453	2.68168409761e-05	1.48394372885e-05	2.493952166e-05	0.000194401244168	0.0	6.07348921956e-05	0.000341824985607	3.32104546511e-05	0.000141865923805	3.03085409468e-05	0.000113471314452	5.92768227623e-05	3.12207305651e-05	0.000103076843787	6.5871813451e-05	0.000183208903953	0.00030285641418	1.9398265795e-05	0.000467585334324	4.92065444704e-05
D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured haloarchaeon	0.000565892830677	0.000320392009046	0.000397603021783	0.00123102174805	0.000954429358785	0.000515251442704	0.000593647966756	0.00045516613564	0.000373360713119	0.000194783692709	0.000336987333241	0.000331604254009	0.00029322073657	0.00167427000292	0.00134684595173	0.00022161483342	0.00260998377578	0.00112070978286	0.000346556098768	0.00040677524854	0.000465623863223	4.21736288299e-05	0.000239074905943	0.000172339508832	0.000322346683858	0.00128137800651	0.000643604183427	0.00132070991868	0.000536199715689	0.000658804216347	0.0011850096282	0.000394776799271	0.000935521013241	0.000581182956395	0.00078671103201	0.000409165302782	0.000862381989833	0.000459395376408	0.000640024976584	0.000446666323077	0.000214083393716	0.000198476312615	0.000175337923999	3.87965315901e-05	0.000192535137663	2.46032722352e-05
D_0__Archaea;D_1__Nanohaloarchaeota;Other	0.000619787385979	0.000131926121372	0.0003408025901	0.000711257009985	0.00047049334588	0.000164880461665	0.000682695161769	0.000390142401977	0.000342247320359	0.000253218800522	0.000198227843083	0.000165802127004	0.000410509031199	0.00156674807613	0.000331191627476	0.00022161483342	0.000681887653131	0.000210133084287	0.000792128225757	3.25420198832e-05	0.000363768643143	0.000653691246863	0.00138411787651	0.000344679017665	0.00120880006447	0.00132339040017	0.000938589434165	0.000979402861044	0.00018704641245	0.000356402280975	0.000622130054807	0.0013969025205	0.00230282095567	0.000348709773837	0.00139286543372	0.000348548220889	0.000521968046478	0.000859513930053	0.000842959725258	0.000515384218935	0.000197615440353	0.000916044519764	0.0025025503698	0.000756532366006	0.000935170668647	0.00155000615082
D_0__Archaea;D_1__Thaumarchaeota;D_2__Soil Crenarchaeotic Group(SCG)	0.0	1.88465887674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35133673493e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.1542438604e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32104546511e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteria	1.34736388256e-05	1.88465887674e-05	8.52006475249e-05	1.36780194228e-05	4.03280010754e-05	4.12201154163e-05	5.93647966756e-05	4.87678002471e-05	0.0	7.79134770837e-05	0.0	7.10580544305e-05	2.9322073657e-05	4.60808257684e-05	0.0	0.0	4.70267346987e-05	2.33481204763e-05	7.42620211647e-05	0.000113897069591	2.91014914514e-05	2.10868144149e-05	5.03315591459e-05	8.61697544162e-05	4.02933354823e-05	4.20123936561e-05	5.36336819523e-05	1.48394372885e-05	1.246976083e-05	4.32002764818e-05	1.48126203525e-05	6.07348921956e-05	5.39723661485e-05	1.66052273256e-05	6.44845108205e-05	4.54628114203e-05	0.000113471314452	4.44576170717e-05	3.12207305651e-05	1.71794739645e-05	4.94038600883e-05	4.58022259882e-05	4.78194338179e-05	1.9398265795e-05	2.75050196661e-05	2.46032722352e-05
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia	0.0	0.0	0.0	0.0	1.34426670251e-05	0.0	2.96823983378e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62710099416e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9398265795e-05	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	9.43154717795e-05	0.000150772710139	0.0003408025901	0.000738613048831	0.000551149348031	0.000329760923331	0.000415553576729	0.000178815267573	6.22267855198e-05	0.000136348584896	1.98227843083e-05	9.4744072574e-05	0.000219915552428	0.000107521926793	0.000242873860149	0.00011080741671	7.0540102048e-05	2.33481204763e-05	9.90160282196e-05	0.000130168079533	2.91014914514e-05	0.000105434072075	6.29144489323e-05	4.30848772081e-05	0.00225642678701	0.000273080558765	5.36336819523e-05	7.41971864427e-05	9.97580866399e-05	0.000550803525143	0.000148126203525	0.0014272699666	0.0012233736327	0.00014944704593	0.00021924733679	0.000181851245681	0.000317719680465	0.00111144042679	0.000390259132064	0.000171794739645	0.000148211580265	0.000595428937846	0.000207217546544	0.000271575721131	0.000536347883489	0.000270635994587
D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria	0.00398819709239	0.0364304560874	0.0161597228139	0.0099028860621	0.0198951471972	0.0030296784831	0.0126150192936	0.0518889394629	0.0231639209098	0.000389567385418	0.00202192399944	0.00362396077595	0.00212585034014	0.0217808703132	0.00869930008169	0.000849523528108	0.0103458816337	0.000980621060005	8.66390246921e-05	0.000797279487138	2.91014914514e-05	4.21736288299e-05	0.00173643879053	0.000969409737182	0.000443226690305	0.0258376220985	0.00286940198445	0.00418472131537	0.00019951617328	0.00381242439952	0.00940601392386	0.00109322805952	0.0549798503166	0.0176347514197	0.00729964662488	0.00810753470328	0.0452523602033	0.0370924718435	0.00747736497034	0.0343074095071	0.0206178776102	0.0293134246324	0.0108550114767	0.000387965315901	0.0195148114531	0.0022388977734
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria	0.0	5.65397663023e-05	0.0	2.73560388456e-05	0.0	2.06100577082e-05	5.93647966756e-05	3.25118668314e-05	1.555669638e-05	0.0	0.0	2.36860181435e-05	2.9322073657e-05	3.07205505123e-05	2.20794418317e-05	0.0	2.35133673493e-05	0.0	0.0	3.25420198832e-05	0.0	2.10868144149e-05	1.25828897865e-05	0.0	4.02933354823e-05	0.0	2.68168409761e-05	2.96788745771e-05	2.493952166e-05	1.08000691204e-05	1.48126203525e-05	3.03674460978e-05	3.59815774324e-05	0.0	0.0	0.0	0.0	0.0	1.56103652825e-05	0.0	0.0	1.52674086627e-05	0.0	0.0	0.0	4.92065444704e-05
