# Constructed from biom file
#OTU ID	H2-A-B	H2-A-M	H2-A-T	H2-B-B	H2-B-M	H2-B-T	H2-C-B	H2-C-M	H2-C-T	H3-A-B	H3-A-M	H3-A-T	H3-B-B	H3-B-M	H3-B-T	H3-C-B	H3-C-M	H3-C-T	H4-A-B	H4-A-M	H4-A-T	H4-B-B	H4-B-M	H4-B-T	H4-C-B	H4-C-M	H4-C-T	H5-A-M	H5-B-B	H5-B-M	H5-B-T	H5-C-B	H5-C-T	H6-A-B	H6-A-M	H6-A-T	H6-B-B	H6-B-M	H6-C-B	H6-C-M	H6-C-T	H7-B-B	H7-B-M	H7-B-T	H7-C-M	H7-C-T
D_0__Archaea;D_1__Euryarchaeota	0.683329066681	0.606822465134	0.723779500724	0.726480645603	0.709786261594	0.702308326463	0.513416444049	0.519994798101	0.519531432305	0.657278092678	0.687176640831	0.674198820436	0.61445871452	0.51903906118	0.55894106997	0.784627317722	0.744104023137	0.767989726827	0.645856798069	0.579671000179	0.757118952346	0.823819665563	0.680180690297	0.725678586816	0.700378757354	0.49755277807	0.548833467418	0.695702498961	0.822380726738	0.776654570589	0.752851429418	0.733495293046	0.597564047208	0.779681843844	0.664280739766	0.634251682124	0.61102033406	0.587092471844	0.74169528567	0.716487141164	0.668631842435	0.715446037344	0.692473221117	0.703167736804	0.647124350194	0.641653339894
D_0__Archaea;D_1__Nanohaloarchaeota	0.00140125843787	0.00216735770825	0.00178921359802	0.00247572151552	0.00302460008066	0.000824402308326	0.00178094390027	0.00356004941804	0.00283131874115	0.000506437601044	0.000614506313557	0.000521092399157	0.000762373915083	0.00354822358417	0.00196507032302	0.000461697569624	0.00333889816361	0.00133084286715	0.00113868432453	0.000439317268423	0.000843943252092	0.000695864875693	0.00166094145181	0.000517018526497	0.00153114674833	0.00279382417813	0.00160901045857	0.00231495221701	0.000748185649799	0.00120960774149	0.00180713968301	0.00185241421196	0.00358016695452	0.000963103184883	0.00232144238954	0.000788022064618	0.00149782135076	0.00137818612922	0.00151420543241	0.0010651273858	0.00047757064752	0.00129772973633	0.00298074470798	0.000814727163392	0.00159529114063	0.00162381596752
D_0__Archaea;D_1__Thaumarchaeota	0.0	1.88465887674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35133673493e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.1542438604e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32104546511e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria	1.34736388256e-05	1.88465887674e-05	8.52006475249e-05	1.36780194228e-05	4.03280010754e-05	4.12201154163e-05	5.93647966756e-05	4.87678002471e-05	0.0	7.79134770837e-05	0.0	7.10580544305e-05	2.9322073657e-05	4.60808257684e-05	0.0	0.0	4.70267346987e-05	2.33481204763e-05	7.42620211647e-05	0.000113897069591	2.91014914514e-05	2.10868144149e-05	5.03315591459e-05	8.61697544162e-05	4.02933354823e-05	4.20123936561e-05	5.36336819523e-05	1.48394372885e-05	1.246976083e-05	4.32002764818e-05	1.48126203525e-05	6.07348921956e-05	5.39723661485e-05	1.66052273256e-05	6.44845108205e-05	4.54628114203e-05	0.000113471314452	4.44576170717e-05	3.12207305651e-05	1.71794739645e-05	4.94038600883e-05	4.58022259882e-05	4.78194338179e-05	1.9398265795e-05	2.75050196661e-05	2.46032722352e-05
D_0__Bacteria;D_1__Actinobacteria	0.00409598620299	0.0366754617414	0.016500525404	0.0106688551498	0.0204731818793	0.00340065952185	0.013178984862	0.0521165225307	0.0232417043917	0.000545394339586	0.00206156956806	0.00376607688481	0.00240441003988	0.021949833341	0.00896425338367	0.000960330944818	0.0104399351031	0.00100396918048	0.000222786063494	0.000976260596495	5.82029829029e-05	0.000189781329735	0.00181193612925	0.00103403705299	0.0027399468128	0.0261317088541	0.00294985250737	0.00430343681368	0.00033668354241	0.0043848280629	0.00958376536809	0.00258123291831	0.0562392055268	0.0177841984657	0.00751889396167	0.00830454021943	0.0455927741467	0.0382335506817	0.00788323446769	0.0345135631947	0.0207660891904	0.0299546557963	0.0110781688345	0.000698337568621	0.0200511593366	0.00255874031246
D_0__Bacteria;D_1__Armatimonadetes	1.34736388256e-05	0.0	2.84002158416e-05	0.0	0.0	0.0	5.93647966756e-05	0.0	0.0	0.0	1.98227843083e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10061968281e-05	2.68168409761e-05	0.0	0.0	1.08000691204e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes	0.0862986566782	0.139728609122	0.091278293715	0.0788401039529	0.0928753864767	0.0966405605936	0.126031463342	0.144547759932	0.154866912462	0.123531817916	0.182349792852	0.175371278334	0.143135702557	0.146752069797	0.155240555519	0.109920957376	0.150438524301	0.122741069344	0.204517606288	0.202216111554	0.132891960713	0.0876578875229	0.181206195815	0.162063765618	0.121202353131	0.130742569058	0.138964869938	0.149804119428	0.120096266554	0.12623120788	0.127566286476	0.169237777103	0.147578439839	0.0725980538674	0.149255848745	0.138313026611	0.115581880901	0.144813278008	0.0549640961599	0.0875637787971	0.101014425927	0.124154567245	0.156528946697	0.161160792225	0.126578100503	0.147595030139
D_0__Bacteria;D_1__Chloroflexi	0.0	0.0	2.84002158416e-05	1.36780194228e-05	0.0	4.12201154163e-05	0.000237459186702	1.62559334157e-05	0.0	1.94783692709e-05	0.0	0.0	2.9322073657e-05	3.07205505123e-05	8.83177673268e-05	0.0	7.0540102048e-05	4.66962409526e-05	3.71310105823e-05	1.62710099416e-05	1.45507457257e-05	4.21736288299e-05	1.25828897865e-05	2.1542438604e-05	4.02933354823e-05	4.20123936561e-05	2.68168409761e-05	2.96788745771e-05	1.246976083e-05	7.56004838431e-05	2.96252407051e-05	9.11023382933e-05	0.0	1.66052273256e-05	1.28969021641e-05	1.51542704734e-05	4.53885257807e-05	1.48192056906e-05	1.56103652825e-05	1.71794739645e-05	1.64679533628e-05	3.05348173255e-05	0.0	5.81947973851e-05	0.0	9.84130889408e-05
D_0__Bacteria;D_1__Cyanobacteria	0.203195947129	0.173972860912	0.13126579762	0.156079879633	0.144790966528	0.175906842539	0.307628376373	0.216724104298	0.248004853689	0.189076530513	0.111047237695	0.129894123499	0.177750410509	0.262030935594	0.245125963216	0.0861158306863	0.0643325730678	0.0928087788933	0.134859830435	0.198083275029	0.103179337941	0.0785905573245	0.124570608886	0.102671262387	0.162180675316	0.315576094948	0.283561276482	0.138511307651	0.0476594258922	0.0671872299983	0.0910976151681	0.0814454904343	0.151464450201	0.0960778453057	0.162255926127	0.205113050858	0.164646877269	0.184647302905	0.167233843272	0.130718617396	0.191538765562	0.0857112322326	0.10107434328	0.123625147912	0.164865087879	0.185951531554
D_0__Bacteria;D_1__Deinococcus-Thermus	2.69472776513e-05	5.65397663023e-05	0.0	4.10340582684e-05	2.68853340503e-05	0.0	0.000118729593351	0.0	1.555669638e-05	5.84351078128e-05	1.98227843083e-05	4.7372036287e-05	4.39831104856e-05	0.0	2.20794418317e-05	1.8467902785e-05	7.0540102048e-05	4.66962409526e-05	4.95080141098e-05	6.50840397663e-05	1.45507457257e-05	4.21736288299e-05	0.0	0.0	8.05866709646e-05	4.20123936561e-05	0.0	2.96788745771e-05	1.246976083e-05	1.08000691204e-05	4.44378610576e-05	0.0	0.0	1.66052273256e-05	3.86907064923e-05	6.06170818937e-05	0.0	5.92768227623e-05	0.0	1.71794739645e-05	0.0	4.58022259882e-05	3.18796225453e-05	5.81947973851e-05	2.75050196661e-05	7.38098167056e-05
