	Feb10-r1-a_SPA	Feb10-r2-a_SPA	Feb10-r3-a_SPA	Feb10-r4-a_SPA	Feb10-r5-a_SPA	Feb10-r6-a_SPA	Feb10-r7-a_SPA	Feb7-1_SPA	Feb7-12_SPA	Feb7-15_SPA	Feb7-20_SPA	Feb7-3_SPA	Feb7-6_SPA	Feb7-9_SPA	Feb8-12_SPA	Feb8-15_SPA	Feb8-19_SPA	Feb8-2_SPA	Feb8-23_SPA	Feb8-27_SPA	Feb8-32_SPA	Feb8-33_SPA	Feb8-35_SPA	Feb8-37_SPA	Feb8-39_SPA	Feb8-41_SPA	Feb8-43_SPA	Feb8-45_SPA	Feb8-47_SPA	Feb8-49_SPA	Feb8-5_SPA	Feb8-51_SPA	Feb8-53_SPA	Feb8-55_SPA	Feb8-61_SPA	Feb8-65_SPA	Feb8-7_SPA	Feb8-9_SPA	Feb9-1-a_SPA	Feb9-1-b_SPA	Feb9-2-a_SPA	Feb9-2-b_SPA	Feb9-3-a_SPA	Feb9-3-b_SPA	Feb9-4-11_SPA	Feb9-4-14_SPA	Feb9-4-17_SPA	Feb9-4-2_SPA	Feb9-4-20_SPA	Feb9-4-22_SPA	Feb9-4-24_SPA	Feb9-4-26_SPA	Feb9-4-28_SPA	Feb9-4-30-a_SPA	Feb9-4-4_SPA	Feb9-4-6_SPA	Feb9-4-8_SPA	Feb9-4-a_SPA	Feb9-4-b_SPA	Feb9-5-a_SPA	Feb9-5-b_SPA	Feb9-6-a_SPA	Feb9-6-b_SPA	Feb9-7-a_SPA	Feb9-7-b_SPA	Feb9-8-a_SPA	Feb9-8-b_SPA	SG1-E-mid_SPA
Feb10-r1-a_SPA	0.0	0.26578679146769235	0.17897224843153847	0.13742270314461538	0.16336321581923077	0.17344790884384614	0.14269745756000002	0.23894942622384616	0.2988142796792308	0.15706941421692305	0.1536957649423077	0.16202691756692306	0.21478457936999995	0.12103291377615383	0.27640828657	0.16386256155846152	0.17987308410923075	0.27256687881384617	0.20079811285384613	0.18749207535307694	0.1833129615023077	0.1789054267623077	0.22070415497692306	0.18183709011230767	0.16847750189692307	0.16418960575	0.19316046016769228	0.21180924513307695	0.17961734695846154	0.12929687195230768	0.13347656002615382	0.14203954338461539	0.20359360930846154	0.19980579550692307	0.21550325142846155	0.18036456343846155	0.19382412234923074	0.19758230487076922	0.14959301076384618	0.26028705067923075	0.5314243630261539	0.3563021002476924	0.32784797237076924	0.23156078677769235	0.2831270749246154	0.29881005814846157	0.23341028324769236	0.25977225615307686	0.24086075267846152	0.3059966665461539	0.3545692127176924	0.6117451671446154	0.3200721299953847	0.5078923435084616	0.21123893694076928	0.7283444934061538	0.5328322375323076	0.3866025046107692	0.3035328996961538	0.21523309200846155	0.3848425813630769	0.25570172027923077	0.1672808471376923	0.47374308346769234	0.20480319109153847	0.18602856042	0.14818840228307695	0.17640881770153846
Feb10-r2-a_SPA	0.26578679146769235	0.0	0.1576006424792308	0.18655427285384618	0.28108088977769236	0.28994707676538467	0.1716470676	0.18985798980076923	0.0926122003976923	0.14820108007230776	0.13302910513307692	0.16753711764692308	0.18281891903	0.21141179053769235	0.28724016567769234	0.19739743945692306	0.18468215991076925	0.07724814200615385	0.23495300038615388	0.26856129667	0.12585516166384617	0.15229811840384616	0.11743886491230773	0.15942146104923077	0.18061791510615388	0.1384212088346154	0.15855208083076927	0.1234270505623077	0.1328517815415385	0.1915162526615385	0.18696083029846153	0.23217806012153847	0.3509652525776924	0.21213366479615386	0.16441461418230768	0.1349592806353846	0.12892543971538467	0.1903890830215385	0.3335133245623077	0.23314296484846156	0.6099613352569232	0.41229128322461545	0.48873605408153853	0.36675790231000005	0.19873456296	0.45775309110384627	0.4104950086169231	0.19780163227000003	0.31900941833076923	0.3568428542815385	0.396906629573077	0.7363903024384615	0.4456300159692308	0.5391119364038461	0.33026681343307696	0.8119786086353848	0.5745092694138462	0.4926626535984616	0.47507724297000004	0.3968530159146154	0.5002766091061538	0.36983682357153846	0.2505599540115385	0.5721539049384616	0.2809918989192307	0.2712479682861539	0.21035522654307698	0.18190590507076926
Feb10-r3-a_SPA	0.17897224843153847	0.1576006424792308	0.0	0.11287687083923079	0.16321830738615384	0.18069539423076925	0.09973844512846154	0.20455630359538463	0.20666945858923075	0.11086602627923076	0.08265163023538463	0.12949104196461536	0.20105533194153843	0.13470803803076922	0.23142214564615388	0.15529313588538463	0.13319812983615387	0.17507450528230772	0.20957362936846152	0.19821135692461536	0.12833193336307694	0.11196251393076925	0.12711794218999997	0.07597651271307695	0.11479871430692311	0.0939829055353846	0.13117572400384614	0.10452021426461541	0.0929552616146154	0.1261463791346154	0.12310829857923075	0.17194268094538462	0.26259319108	0.1616110861446154	0.16607735160615386	0.15701281382076926	0.09753797039461543	0.17185359912846154	0.2547584031553846	0.17064037520307693	0.5198409860315385	0.32269236135	0.37737488060692304	0.30091108582000003	0.21483999331000003	0.38774898918769235	0.32419340316384615	0.20592081069538462	0.2399645121146154	0.27435189680538474	0.3113817044538462	0.6381212615146155	0.3538752507176923	0.4700023260492308	0.2589011295907693	0.7286821171823079	0.5086680276392308	0.4082270497207693	0.35841833513076926	0.3222531808276924	0.40590802211923077	0.26223712669692306	0.16520588410923076	0.4994767271515386	0.21581101844153847	0.15528750734076924	0.1274334502346154	0.1565899696823077
Feb10-r4-a_SPA	0.13742270314461538	0.18655427285384618	0.11287687083923079	0.0	0.15402612094846155	0.1530540757176923	0.13199375115538464	0.24163433150230768	0.2320084492069231	0.14984897566769229	0.10551956875307693	0.1656619069453846	0.24187454074538464	0.16095058506538462	0.19912954768846153	0.0748107029507692	0.11429599280923075	0.2103628533123077	0.13277923273384615	0.13019526985153845	0.1216943916546154	0.1024325211746154	0.15024747955076923	0.10959675708153843	0.09548694797538461	0.11380879061769231	0.15153160200307692	0.1556338073146154	0.09794184352461537	0.09222066519692307	0.120301338	0.09362995665846154	0.20097827743461538	0.10220398038230769	0.16627046917923077	0.1703766686615385	0.09700600867230766	0.12107102213384616	0.18339491588846152	0.18182679427307694	0.49029711488000005	0.29536422904461546	0.3531860454523077	0.2242448149423077	0.24050417673846156	0.3151365358346154	0.2837164773369231	0.22713749007153844	0.17066065482769227	0.22590559284307699	0.2777409851546154	0.6151951534200001	0.30778284371538467	0.43986434188384615	0.1875541471376923	0.7042725271846154	0.4647796241476923	0.3522226347553846	0.3472628785023077	0.2484507414576923	0.37257369286307696	0.24602951293153846	0.12632079011	0.4530721453015385	0.16600034493307692	0.1344288705276923	0.08060132397538461	0.15532045041384618
Feb10-r5-a_SPA	0.16336321581923077	0.28108088977769236	0.16321830738615384	0.15402612094846155	0.0	0.07791587025076924	0.17106192016538463	0.2870182795692308	0.3191566439830769	0.18877173494230767	0.17496204842153845	0.20306594349076923	0.26431640657692307	0.1993319747046154	0.17575708037999996	0.17786415329153848	0.22077003324692307	0.30034965882538467	0.21207028176384618	0.13838136402461537	0.22899054514461542	0.2167370957215385	0.2195551459576923	0.17915998879153844	0.1897619504053846	0.19826273830153845	0.22044319254846154	0.20444386332923078	0.19643700878692305	0.19188681750076925	0.1844849512330769	0.1697600891423077	0.16096463858153845	0.16486514011384618	0.2550834882661539	0.24015727876538467	0.20606368981153844	0.2030057993469231	0.1455701375230769	0.22461550414769232	0.43706893298692306	0.23653927294384616	0.27978938295153843	0.20396739769076921	0.31772176525307694	0.2910787822461538	0.24016909432384614	0.3000577301476923	0.16533767416384612	0.20308322559307695	0.24636871816923078	0.5411514442976922	0.25289735166846156	0.4018616282815385	0.1605982653353846	0.6360275153007693	0.4308730006653846	0.29862372784846153	0.2547168953907692	0.2141384835630769	0.2877037557238461	0.15883232197384617	0.10257706930615387	0.41443437576384623	0.21956863472461538	0.1326681355315385	0.12912584985923076	0.23395474332846156
Feb10-r6-a_SPA	0.17344790884384614	0.28994707676538467	0.18069539423076925	0.1530540757176923	0.07791587025076924	0.0	0.20087643429000002	0.3104831330292308	0.3342674061461539	0.20872396891307693	0.18418255560000002	0.2263293162138461	0.28577643723692303	0.2043338598553846	0.15739551588153844	0.17762870686076926	0.22517339327307692	0.3117465213653846	0.20554047247769233	0.11748968320615386	0.23553519368153847	0.2168940349246154	0.2422925730161538	0.1857285533623077	0.1868688818284615	0.2009309267369231	0.22858498640846153	0.23070874790307694	0.20134705704230768	0.1936457210946154	0.18962420671923078	0.17006680300846155	0.13794931107076924	0.15381008524615386	0.2571544872307692	0.2550116032115385	0.21480759010384615	0.20998867629153847	0.1154138842953846	0.25358383549846153	0.4374251932853846	0.23242994429000002	0.2598615740992307	0.16227985562923078	0.3341029801269231	0.2616120027923077	0.21297206027769233	0.3237540711046154	0.16282975219461535	0.18945830536692315	0.23969014129846156	0.5197130246253847	0.2151575984592308	0.3928999568984616	0.14850016934769228	0.6263117839853847	0.417674117186923	0.27240345822384615	0.2389138646507692	0.18847578980000002	0.27848074778538456	0.14336026166153845	0.11631979958000002	0.39756924120846154	0.22318989128923075	0.14149995104846155	0.14323893594999998	0.2340219436992308
Feb10-r7-a_SPA	0.14269745756000002	0.1716470676	0.09973844512846154	0.13199375115538464	0.17106192016538463	0.20087643429000002	0.0	0.1538463557423077	0.20782249373307693	0.07958210909538463	0.09773192888076923	0.09310869428999997	0.15867017369923075	0.11149423652846156	0.27531445839615387	0.17202878568	0.13996890027538464	0.18799674034769231	0.22141148194461538	0.2001586420484615	0.11545408992384618	0.12840362252538465	0.11068606012307691	0.1107699907523077	0.1224868998246154	0.08189697167923077	0.10952151956923076	0.10742011474384616	0.1034865731323077	0.1129145161646154	0.11378427210461538	0.15555281946461538	0.24488347278999997	0.19612066404538459	0.14186575013923078	0.11053434301846156	0.11999766186461543	0.20038803938461539	0.2198876501684615	0.22126836326538463	0.5365829770599999	0.3396864256815385	0.3722191311292308	0.2823292029561538	0.20072954129692308	0.3723889478730769	0.30607871794769237	0.16073997824692307	0.23301470485230769	0.3085668799092308	0.3520224102376924	0.6560345284323077	0.36103831792461544	0.5052513592561538	0.24320553205615383	0.7459188613492308	0.5426202212769231	0.43184970682461543	0.36661967550076924	0.28789379697769235	0.4127227632523078	0.27865386582230767	0.15563562466076922	0.5051905472015386	0.22475409992384615	0.17929036554769232	0.14418212229384617	0.10940557864307693
Feb7-1_SPA	0.23894942622384616	0.18985798980076923	0.20455630359538463	0.24163433150230768	0.2870182795692308	0.3104831330292308	0.1538463557423077	0.0	0.1698701777076923	0.15330281237769233	0.19127720914153845	0.13274623182769232	0.09530251972923079	0.18518859847846153	0.3952168192923077	0.2511227117961538	0.20444210402846158	0.14392649459923076	0.2856354127253846	0.31363486282461533	0.19646356363384615	0.1996716188553846	0.1741503402761539	0.22590556217153848	0.22842790691000003	0.14862892447538462	0.17863219651769235	0.17347183151230772	0.20236348239307694	0.2065443240915385	0.2177899452161538	0.2586408876207692	0.35410370698307697	0.30771479594615386	0.15366891852769232	0.13292111585461536	0.2200839161484616	0.2929911359253846	0.31497011739692304	0.3216700536476923	0.6448345626884615	0.4475054230315385	0.4867011761023077	0.34218020457846154	0.14631312939615385	0.43244353705692307	0.3651288155715385	0.12909409672615385	0.3501824713392307	0.427037762953077	0.4620797277261539	0.7677250084484615	0.4699416561069232	0.6144769660246154	0.3290518310461538	0.85682174837	0.6506498854715385	0.5377510103853846	0.47467814170000006	0.3793714555861539	0.5283882714161539	0.38479349870923074	0.26095325834153843	0.6112325523669231	0.3045769704769231	0.29445405548230774	0.25730552945307694	0.14994457479461537
Feb7-12_SPA	0.2988142796792308	0.0926122003976923	0.20666945858923075	0.2320084492069231	0.3191566439830769	0.3342674061461539	0.20782249373307693	0.1698701777076923	0.0	0.16788979389615388	0.18425987591846155	0.19987998667230772	0.1908811631723077	0.24720100662307698	0.32414978821076923	0.22641310256076924	0.21000032620538467	0.09102621512846154	0.2661701042069231	0.30397214875384615	0.16395559073076924	0.18498970521076924	0.13656400539615388	0.20251144790846154	0.21681414162076929	0.17237698194769235	0.18249779977769234	0.14637515125538464	0.1686486594638462	0.21142995851461538	0.23312315933461533	0.25782748642230774	0.3841179787246154	0.2645153268476923	0.17989759403846156	0.1533498293684616	0.17778193097461542	0.24771783131769232	0.36323281475692315	0.2705682203846154	0.6495912424346155	0.44745853886230774	0.5245778017807692	0.40498144132461544	0.18385701129615384	0.4920770523907692	0.44172963403153853	0.20026651359384617	0.35833060066538464	0.4027210798346154	0.4436292614892309	0.776964795553077	0.4869087917007693	0.5928769788476923	0.36426045888461545	0.8540067594453845	0.6189504208392307	0.53315480937	0.5139782823892308	0.4307441233200001	0.5415818571053845	0.4004167523292307	0.27745979377076924	0.620411995436154	0.3106963607738462	0.31069264929769236	0.25609348984384617	0.20656205093615387
Feb7-15_SPA	0.15706941421692305	0.14820108007230776	0.11086602627923076	0.14984897566769229	0.18877173494230767	0.20872396891307693	0.07958210909538463	0.15330281237769233	0.16788979389615388	0.0	0.08712424572538459	0.09286122476230771	0.15059952640076923	0.11079297715615383	0.2920376192207692	0.16928138099692303	0.1483040959246154	0.16030098231538464	0.23028476987076918	0.21586624277769229	0.12085537031307694	0.12079504168999997	0.1171062706953846	0.12408152285230768	0.13730193555692308	0.09299774148384618	0.12868051463384617	0.11140655000230772	0.10860414243230768	0.12858576763846152	0.12219369503076918	0.1780059968153846	0.2617425714761538	0.20481405445307688	0.15040990602999998	0.12717095452000005	0.11706332448461537	0.19786862158461538	0.2338784845207692	0.22762360749461535	0.5604959507661538	0.35491515977692306	0.3935808919184615	0.28602690856076923	0.19973026037538463	0.3755547753038462	0.3079398465569231	0.1836395350238462	0.2589151575553845	0.33195170700307697	0.3618415283361539	0.6585896322830769	0.3700005502000001	0.5168485625684616	0.24870958867461537	0.7524811216307693	0.5595722844969231	0.4347230101784615	0.3730123508007692	0.30450057252076923	0.42823621350461527	0.27793293554538456	0.16410223447923072	0.51994615936	0.22764810146538458	0.2059329547953846	0.16414097467692307	0.11562975649538464
