#SampleID	Rock	Slice	Position	Sample	D2Top	D2Bottom	D2Surface
#q2:types	categorical	categorical	categorical	categorical	numeric	numeric	numeric
H2-A-B_ASD	Halite1	Halite1-A	Bottom	H2-A-B	6.3	1.9	1.9
H2-A-M_ASD	Halite1	Halite1-A	Middle	H2-A-M	4.2	4	4
H2-A-T_ASD	Halite1	Halite1-A	Top	H2-A-T	1.3	6.9	1.3
H2-B-B_ASD	Halite1	Halite1-B	Bottom	H2-B-B	6.6	2.4	2.4
H2-B-M_ASD	Halite1	Halite1-B	Middle	H2-B-M	4.3	4.7	4.3
H2-B-T_ASD	Halite1	Halite1-B	Top	H2-B-T	1.5	7.5	1.5
H2-C-B_ASD	Halite1	Halite1-C	Bottom	H2-C-B	5.1	1.2	1.2
H2-C-M_ASD	Halite1	Halite1-C	Middle	H2-C-M	3.2	3.1	3.1
H2-C-T_ASD	Halite1	Halite1-C	Top	H2-C-T	1	5.3	1
H3-A-B_ASD	Halite2	Halite2-A	Bottom	H3-A-B	6.8	1.4	1.4
H3-A-M_ASD	Halite2	Halite2-A	Middle	H3-A-M	4.2	4	4
H3-A-T_ASD	Halite2	Halite2-A	Top	H3-A-T	1.6	6.6	1.6
H3-B-B_ASD	Halite2	Halite2-B	Bottom	H3-B-B	4.9	1.3	1.3
H3-B-M_ASD	Halite2	Halite2-B	Middle	H3-B-M	3.4	2.8	2.8
H3-B-T_ASD	Halite2	Halite2-B	Top	H3-B-T	1.6	4.6	1.6
H3-C-B_ASD	Halite2	Halite2-C	Bottom	H3-C-B	4.4	1.3	1.3
H3-C-M_ASD	Halite2	Halite2-C	Middle	H3-C-M	2.5	3.2	2.5
H3-C-T_ASD	Halite2	Halite2-C	Top	H3-C-T	0.9	4.8	0.9
H4-A-B_ASD	Halite3	Halite3-A	Bottom	H4-A-B	3.8	1.3	1.3
H4-A-M_ASD	Halite3	Halite3-A	Middle	H4-A-M	2.2	2.9	2.2
H4-A-T_ASD	Halite3	Halite3-A	Top	H4-A-T	0.7	4.4	0.7
H4-B-B_ASD	Halite3	Halite3-B	Bottom	H4-B-B	5.3	1.8	1.8
H4-B-M_ASD	Halite3	Halite3-B	Middle	H4-B-M	3.2	3.9	3.2
H4-B-T_ASD	Halite3	Halite3-B	Top	H4-B-T	1.3	5.8	1.3
H4-C-B_ASD	Halite3	Halite3-C	Bottom	H4-C-B	5.3	1.5	1.5
H4-C-M_ASD	Halite3	Halite3-C	Middle	H4-C-M	3.1	3.7	3.1
H4-C-T_ASD	Halite3	Halite3-C	Top	H4-C-T	1.1	5.7	1.1
H5-A-M_ASD	Halite4	Halite4-A	Middle	H5-A-M	4.3	4.1	4.1
H5-B-B_ASD	Halite4	Halite4-B	Bottom	H5-B-B	6.4	1.8	1.8
H5-B-M_ASD	Halite4	Halite4-B	Middle	H5-B-M	4.1	4.1	4.1
H5-B-T_ASD	Halite4	Halite4-B	Top	H5-B-T	1.5	6.7	1.5
H5-C-B_ASD	Halite4	Halite4-C	Bottom	H5-C-B	4.5	1.4	1.4
H5-C-T_ASD	Halite4	Halite4-C	Top	H5-C-T	0.9	5	0.9
H6-A-B_ASD	Halite5	Halite5-A	Bottom	H6-A-B	5.6	2.3	2.3
H6-A-M_ASD	Halite5	Halite5-A	Middle	H6-A-M	3.7	4.2	3.7
H6-A-T_ASD	Halite5	Halite5-A	Top	H6-A-T	1.2	6.7	1.2
H6-B-B_ASD	Halite5	Halite5-B	Bottom	H6-B-B	6.1	1.9	1.9
H6-B-M_ASD	Halite5	Halite5-B	Middle	H6-B-M	4.2	3.8	3.8
H6-C-B_ASD	Halite5	Halite5-C	Bottom	H6-C-B	7.3	1.3	1.3
H6-C-M_ASD	Halite5	Halite5-C	Middle	H6-C-M	4.4	4.2	4.2
H6-C-T_ASD	Halite5	Halite5-C	Top	H6-C-T	2	6.6	2
H7-B-B_ASD	Halite6	Halite6-B	Bottom	H7-B-B	7.5	2.5	2.5
H7-B-M_ASD	Halite6	Halite6-B	Middle	H7-B-M	4.6	5.4	4.6
H7-B-T_ASD	Halite6	Halite6-B	Top	H7-B-T	2	8	2
H7-C-M_ASD	Halite6	Halite6-C	Middle	H7-C-M	5.5	5	5
H7-C-T_ASD	Halite6	Halite6-C	Top	H7-C-T	2.5	8	2.5
