	shannon
H2-A-B_ASD	6.518174762343872
H2-A-M_ASD	6.3977277970198525
H2-A-T_ASD	6.341967134146575
H2-B-B_ASD	6.502454025740948
H2-B-M_ASD	6.256950434188756
H2-B-T_ASD	5.961404313974824
H2-C-B_ASD	5.701619679226996
H2-C-M_ASD	6.33439281899187
H2-C-T_ASD	6.55271131600396
H3-A-B_ASD	6.038512560190581
H3-A-M_ASD	6.295687865268601
H3-A-T_ASD	6.31554146448345
H3-B-B_ASD	6.321842202274138
H3-B-M_ASD	6.491013549315651
H3-B-T_ASD	6.2083895308157695
H3-C-B_ASD	6.125181899226708
H3-C-M_ASD	6.320379085060856
H3-C-T_ASD	6.127085914082385
H4-A-B_ASD	6.718777886367291
H4-A-M_ASD	6.411490452504744
H4-A-T_ASD	6.433900097255907
H4-B-B_ASD	6.301892100965842
H4-B-M_ASD	6.671740026890124
H4-B-T_ASD	6.214822162352946
H4-C-B_ASD	6.075532805094832
H4-C-M_ASD	6.3303177314064065
H4-C-T_ASD	5.903264370495482
H5-A-M_ASD	6.331766074186
H5-B-B_ASD	6.7209177879337245
H5-B-M_ASD	6.659175847614838
H5-B-T_ASD	6.757549938249242
H5-C-B_ASD	6.486540132956274
H5-C-T_ASD	6.883371111313212
H6-A-B_ASD	7.1425761723811005
H6-A-M_ASD	7.063355859649505
H6-A-T_ASD	6.736418888364191
H6-B-B_ASD	6.836796313410984
H6-B-M_ASD	6.945495272719822
H6-C-B_ASD	6.927475950341466
H6-C-M_ASD	6.854026740543442
H6-C-T_ASD	6.660961998122358
H7-B-B_ASD	6.839767218690084
H7-B-M_ASD	6.631913743907861
H7-B-T_ASD	6.405566750902423
H7-C-M_ASD	6.750323539446298
H7-C-T_ASD	6.127507613918219
