	simpson
H2-A-B_ASD	0.9831985653547441
H2-A-M_ASD	0.9829485923888225
H2-A-T_ASD	0.9808477958951479
H2-B-B_ASD	0.982611717838619
H2-B-M_ASD	0.9728024323266581
H2-B-T_ASD	0.9713253050349299
H2-C-B_ASD	0.9728943669318991
H2-C-M_ASD	0.9827520878126741
H2-C-T_ASD	0.983743791762251
H3-A-B_ASD	0.9765658847665047
H3-A-M_ASD	0.9801991911653798
H3-A-T_ASD	0.9820068963815647
H3-B-B_ASD	0.9811334433798437
H3-B-M_ASD	0.9828529616951337
H3-B-T_ASD	0.9792318330482007
H3-C-B_ASD	0.9719630173103542
H3-C-M_ASD	0.9808700614775996
H3-C-T_ASD	0.9749356841671092
H4-A-B_ASD	0.985564352019562
H4-A-M_ASD	0.9823701495797847
H4-A-T_ASD	0.9787545726279853
H4-B-B_ASD	0.9785120810165244
H4-B-M_ASD	0.9830753342295682
H4-B-T_ASD	0.9787915405150823
H4-C-B_ASD	0.981470096343628
H4-C-M_ASD	0.9806986949222977
H4-C-T_ASD	0.9730821868584554
H5-A-M_ASD	0.9795691125461483
H5-B-B_ASD	0.9799511650708688
H5-B-M_ASD	0.9802571858143142
H5-B-T_ASD	0.9844381651165491
H5-C-B_ASD	0.9845010577979353
H5-C-T_ASD	0.9874088052848464
H6-A-B_ASD	0.989203232179059
H6-A-M_ASD	0.9884669619181655
H6-A-T_ASD	0.9855616046742057
H6-B-B_ASD	0.987890372652881
H6-B-M_ASD	0.987805526987719
H6-C-B_ASD	0.9872727406871846
H6-C-M_ASD	0.9843294690561374
H6-C-T_ASD	0.9840266902117443
H7-B-B_ASD	0.9848077807381312
H7-B-M_ASD	0.9841220701228177
H7-B-T_ASD	0.9821731895919552
H7-C-M_ASD	0.9847719771320234
H7-C-T_ASD	0.978081289938265
