index,D_0__Archaea,D_0__Bacteria,Unassigned,EW,NS,Altitude,Location,Transect
Feb10-r1-a_SPA,2250.0,1427.0,0.0,-70.01418000000001,-20.932281,690.34,SG1,RIDGE
Feb10-r2-a_SPA,2972.0,1139.0,0.0,-70.015464,-20.934286,696.85,SG1,RIDGE
Feb10-r3-a_SPA,3248.0,1605.0,0.0,-70.016625,-20.936038,699.25,SG1,RIDGE
Feb10-r4-a_SPA,3345.0,2101.0,0.0,-70.01744599999999,-20.938626,698.67,SG1,RIDGE
Feb10-r5-a_SPA,2243.0,1849.0,0.0,-70.019068,-20.943479999999997,698.71,SG1,RIDGE
Feb10-r6-a_SPA,2928.0,2717.0,0.0,-70.019196,-20.949547,702.93,SG1,RIDGE
Feb10-r7-a_SPA,2703.0,1295.0,0.0,-70.01965200000001,-20.95046,702.5,SG1,RIDGE
Feb7-1_SPA,3223.0,953.0,0.0,-70.019951,-20.95319,678.81,SG1,SG1_hill
Feb7-12_SPA,1929.0,595.0,0.0,-70.018724,-20.953770000000002,658.01,SG1,SG1_hill
Feb7-15_SPA,1134.0,551.0,0.0,-70.018436,-20.953859,654.32,SG1,SG1_hill
Feb7-20_SPA,2094.0,1213.0,0.0,-70.01665,-20.954375,651.06,SG1,SG1_hill
Feb7-3_SPA,2655.0,1071.0,0.0,-70.019562,-20.953324,680.95,SG1,SG1_hill
Feb7-6_SPA,2603.0,829.0,0.0,-70.019202,-20.953471,671.96,SG1,SG1_hill
Feb7-9_SPA,1921.0,959.0,0.0,-70.019003,-20.953622,662.59,SG1,SG1_hill
Feb8-12_SPA,1185.0,1118.0,0.0,-70.012715,-20.930939000000002,655.79,SG1,SG1-N_hill
Feb8-15_SPA,1690.0,1211.0,0.0,-70.012341,-20.93136,652.13,SG1,SG1-N_hill
Feb8-19_SPA,1597.0,883.0,0.0,-70.011177,-20.932620999999997,651.24,SG1,SG1-N_hill
Feb8-2_SPA,981.0,327.0,0.0,-70.013349,-20.930313,662.52,SG1,SG1-N_hill
Feb8-23_SPA,1555.0,1115.0,0.0,-70.009465,-20.934492000000002,648.06,SG1,SG1-N_hill
Feb8-27_SPA,2085.0,1632.0,0.0,-70.007632,-20.936442,647.26,SG1,SG1-N_hill-flat
Feb8-32_SPA,1079.0,483.0,0.0,-70.006412,-20.937964,643.75,SG1,SG1-N_hill-flat
Feb8-33_SPA,2422.0,1370.0,0.0,-70.006401,-20.938223,644.27,SG1,PLAIN
Feb8-35_SPA,2383.0,1100.0,0.0,-70.006619,-20.939229,644.7,SG1,PLAIN
Feb8-37_SPA,2103.0,1166.0,0.0,-70.006895,-20.941285999999998,644.0,SG1,PLAIN
Feb8-39_SPA,2876.0,1498.0,0.0,-70.00713499999999,-20.943448999999998,643.36,SG1,PLAIN
Feb8-41_SPA,3077.0,1429.0,0.0,-70.007264,-20.945467999999998,641.97,SG1,PLAIN
Feb8-43_SPA,2335.0,1001.0,0.0,-70.007832,-20.947195,643.67,SG1,PLAIN
Feb8-45_SPA,2606.0,1143.0,0.0,-70.008064,-20.948477,645.02,SG1,PLAIN
Feb8-47_SPA,3339.0,1638.0,0.0,-70.00841,-20.949647,645.64,SG1,PLAIN
Feb8-49_SPA,2233.0,1298.0,0.0,-70.008628,-20.950634,646.46,SG1,PLAIN
Feb8-5_SPA,1234.0,734.0,12.0,-70.01321800000001,-20.930557,661.77,SG1,SG1-N_hill
Feb8-51_SPA,2831.0,1860.0,0.0,-70.008875,-20.952092,646.79,SG1,PLAIN
Feb8-53_SPA,2421.0,2561.0,0.0,-70.008862,-20.953301,647.87,SG1,PLAIN
Feb8-55_SPA,2780.0,2154.0,0.0,-70.00888499999999,-20.954514,647.05,SG1,PLAIN
Feb8-61_SPA,1380.0,508.0,0.0,-70.011569,-20.955563,649.24,SG1,SG1_hill-flat
Feb8-65_SPA,2452.0,975.0,0.0,-70.014077,-20.955154,646.94,SG1,SG1_hill-flat
Feb8-7_SPA,1369.0,725.0,0.0,-70.013062,-20.93065,660.74,SG1,SG1-N_hill
Feb8-9_SPA,976.0,651.0,0.0,-70.012966,-20.930765,658.93,SG1,SG1-N_hill
Feb9-1-a_SPA,2169.0,1914.0,0.0,-70.004644,-21.15292,687.69,SG2,SG2-flat
Feb9-1-b_SPA,1584.0,992.0,0.0,-70.004644,-21.15292,687.69,SG2,SG2-flat
Feb9-2-a_SPA,1127.0,4408.0,0.0,-70.006674,-21.15279,686.93,SG2,SG2-flat
Feb9-2-b_SPA,1808.0,1915.0,26.0,-70.006674,-21.15279,686.93,SG2,SG2-flat
Feb9-3-a_SPA,928.0,1286.0,39.0,-70.008659,-21.152838,684.22,SG2,SG2-flat
Feb9-3-b_SPA,2321.0,2599.0,3.0,-70.008659,-21.152838,684.22,SG2,SG2-flat
Feb9-4-11_SPA,1871.0,560.0,0.0,-70.009947,-21.150701,682.52,SG2,SG2-hill
Feb9-4-14_SPA,1568.0,2040.0,0.0,-70.009738,-21.150370000000002,685.12,SG2,SG2-hill
Feb9-4-17_SPA,1734.0,1526.0,0.0,-70.009589,-21.150066,687.21,SG2,SG2-hill
Feb9-4-2_SPA,2700.0,722.0,0.0,-70.01054,-21.152331,680.46,SG2,SG2-hill
Feb9-4-20_SPA,1572.0,1271.0,19.0,-70.009504,-21.149804,690.27,SG2,SG2-hill
Feb9-4-22_SPA,1679.0,1696.0,59.0,-70.00943000000001,-21.149611,692.7,SG2,SG2-hill
Feb9-4-24_SPA,1422.0,1389.0,31.0,-70.009336,-21.149383,697.5,SG2,SG2-hill
Feb9-4-26_SPA,855.0,3154.0,61.0,-70.00921600000001,-21.149110999999998,698.83,SG2,SG2-hill
Feb9-4-28_SPA,1184.0,1550.0,37.0,-70.00912,-21.148864,702.99,SG2,SG2-hill
Feb9-4-30-a_SPA,1509.0,2192.0,100.0,-70.00891899999999,-21.148512,705.66,SG2,SG2-hill
