index,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group II,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;__,D_0__Archaea;D_1__Nanohaloarchaeota;Ambiguous_taxa;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__hypersaline lake metagenome;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured haloarchaeon;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;__;__;__,D_0__Archaea;__;__;__;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Euzebyales;D_4__Euzebyaceae,D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales;D_4__Rubrobacteriaceae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order III;D_4__Unknown Family,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__uncultured,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;__;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII;D_4__FamilyI,D_0__Bacteria;D_1__Cyanobacteria;__;__;__,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Thermoanaerobacterales;D_4__Family III,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;__;__,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales;D_4__uncultured bacterium,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Ectothiorhodospiraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Salinisphaerales;D_4__Salinisphaeraceae,D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium;D_3__;D_4__,D_0__Bacteria;__;__;__;__,Unassigned;__;__;__;__,EW,NS,Altitude,Location,Transect
Feb10-r1-a_SPA,2209.0,10.0,0.0,0.0,0.0,31.0,0.0,0.0,25.0,0.0,811.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,44.0,0.0,26.0,0.0,0.0,337.0,0.0,-70.01418000000001,-20.932281,690.34,SG1,RIDGE
Feb10-r2-a_SPA,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,17.0,29.0,0.0,0.0,0.0,378.0,0.0,-70.015464,-20.934286,696.85,SG1,RIDGE
Feb10-r3-a_SPA,3185.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,529.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,47.0,0.0,35.0,0.0,0.0,700.0,0.0,-70.016625,-20.936038,699.25,SG1,RIDGE
Feb10-r4-a_SPA,3263.0,14.0,0.0,0.0,0.0,68.0,0.0,0.0,16.0,0.0,630.0,0.0,0.0,0.0,0.0,778.0,45.0,0.0,0.0,60.0,0.0,43.0,0.0,0.0,529.0,0.0,-70.01744599999999,-20.938626,698.67,SG1,RIDGE
Feb10-r5-a_SPA,2203.0,0.0,0.0,13.0,0.0,27.0,0.0,0.0,28.0,0.0,591.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,85.0,50.0,39.0,0.0,20.0,731.0,0.0,-70.019068,-20.943479999999997,698.71,SG1,RIDGE
Feb10-r6-a_SPA,2828.0,0.0,0.0,19.0,0.0,81.0,0.0,0.0,25.0,0.0,1077.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,144.0,42.0,84.0,0.0,0.0,822.0,0.0,-70.019196,-20.949547,702.93,SG1,RIDGE
Feb10-r7-a_SPA,2562.0,0.0,20.0,0.0,0.0,69.0,0.0,52.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,14.0,0.0,48.0,0.0,0.0,435.0,0.0,-70.01965200000001,-20.95046,702.5,SG1,RIDGE
Feb7-1_SPA,3180.0,0.0,0.0,36.0,7.0,0.0,0.0,0.0,35.0,0.0,621.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,80.0,0.0,-70.019951,-20.95319,678.81,SG1,SG1_hill
Feb7-12_SPA,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,204.0,0.0,-70.018724,-20.953770000000002,658.01,SG1,SG1_hill
Feb7-15_SPA,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,160.0,0.0,-70.018436,-20.953859,654.32,SG1,SG1_hill
