#SampleID	EW	NS	Altitude	Location	Transect
#q2:types	numeric	numeric	numeric	categorical	categorical
Feb10-r1-a_SPA	-70.01418	-20.932281	690.34	SG1	RIDGE
Feb10-r2-a_SPA	-70.015464	-20.934286	696.85	SG1	RIDGE
Feb10-r3-a_SPA	-70.016625	-20.936038	699.25	SG1	RIDGE
Feb10-r4-a_SPA	-70.017446	-20.938626	698.67	SG1	RIDGE
Feb10-r5-a_SPA	-70.019068	-20.94348	698.71	SG1	RIDGE
Feb10-r6-a_SPA	-70.019196	-20.949547	702.93	SG1	RIDGE
Feb10-r7-a_SPA	-70.019652	-20.95046	702.5	SG1	RIDGE
Feb7-1_SPA	-70.019951	-20.95319	678.81	SG1	SG1_hill
Feb7-12_SPA	-70.018724	-20.95377	658.01	SG1	SG1_hill
Feb7-15_SPA	-70.018436	-20.953859	654.32	SG1	SG1_hill
Feb7-20_SPA	-70.01665	-20.954375	651.06	SG1	SG1_hill
Feb7-3_SPA	-70.019562	-20.953324	680.95	SG1	SG1_hill
Feb7-6_SPA	-70.019202	-20.953471	671.96	SG1	SG1_hill
Feb7-9_SPA	-70.019003	-20.953622	662.59	SG1	SG1_hill
Feb8-12_SPA	-70.012715	-20.930939	655.79	SG1	SG1-N_hill
Feb8-15_SPA	-70.012341	-20.93136	652.13	SG1	SG1-N_hill
Feb8-19_SPA	-70.011177	-20.932621	651.24	SG1	SG1-N_hill
Feb8-2_SPA	-70.013349	-20.930313	662.52	SG1	SG1-N_hill
Feb8-23_SPA	-70.009465	-20.934492	648.06	SG1	SG1-N_hill
Feb8-27_SPA	-70.007632	-20.936442	647.26	SG1	SG1-N_hill-flat
Feb8-32_SPA	-70.006412	-20.937964	643.75	SG1	SG1-N_hill-flat
Feb8-33_SPA	-70.006401	-20.938223	644.27	SG1	PLAIN
Feb8-35_SPA	-70.006619	-20.939229	644.7	SG1	PLAIN
Feb8-37_SPA	-70.006895	-20.941286	644	SG1	PLAIN
Feb8-39_SPA	-70.007135	-20.943449	643.36	SG1	PLAIN
Feb8-41_SPA	-70.007264	-20.945468	641.97	SG1	PLAIN
Feb8-43_SPA	-70.007832	-20.947195	643.67	SG1	PLAIN
Feb8-45_SPA	-70.008064	-20.948477	645.02	SG1	PLAIN
Feb8-47_SPA	-70.00841	-20.949647	645.64	SG1	PLAIN
Feb8-49_SPA	-70.008628	-20.950634	646.46	SG1	PLAIN
Feb8-5_SPA	-70.013218	-20.930557	661.77	SG1	SG1-N_hill
Feb8-51_SPA	-70.008875	-20.952092	646.79	SG1	PLAIN
Feb8-53_SPA	-70.008862	-20.953301	647.87	SG1	PLAIN
Feb8-55_SPA	-70.008885	-20.954514	647.05	SG1	PLAIN
Feb8-61_SPA	-70.011569	-20.955563	649.24	SG1	SG1_hill-flat
Feb8-65_SPA	-70.014077	-20.955154	646.94	SG1	SG1_hill-flat
Feb8-7_SPA	-70.013062	-20.93065	660.74	SG1	SG1-N_hill
Feb8-9_SPA	-70.012966	-20.930765	658.93	SG1	SG1-N_hill
Feb9-1-a_SPA	-70.004644	-21.15292	687.69	SG2	SG2-flat
Feb9-1-b_SPA	-70.004644	-21.15292	687.69	SG2	SG2-flat
Feb9-2-a_SPA	-70.006674	-21.15279	686.93	SG2	SG2-flat
Feb9-2-b_SPA	-70.006674	-21.15279	686.93	SG2	SG2-flat
Feb9-3-a_SPA	-70.008659	-21.152838	684.22	SG2	SG2-flat
Feb9-3-b_SPA	-70.008659	-21.152838	684.22	SG2	SG2-flat
Feb9-4-1_SPA	-70.010594	-21.152546	681.64	SG2	SG2-hill
Feb9-4-10_SPA	-70.010036	-21.150825	682.67	SG2	SG2-hill
Feb9-4-11_SPA	-70.009947	-21.150701	682.52	SG2	SG2-hill
