index,D_0__Archaea,D_0__Bacteria,Unassigned,Location
SG1-BOT-2016-02-8-1,1102.0,960.0,0.0,Bottom
SG1-BOT-2016-02-8-2,1069.0,953.0,0.0,Bottom
SG1-BOT-2016-02-8-3,1682.0,1220.0,20.0,Bottom
SG1-BOT-2016-02-9-1,1219.0,1324.0,0.0,Bottom
SG1-BOT-2016-02-9-2,1543.0,1650.0,0.0,Bottom
SG1-BOT-2016-02-9-3,2502.0,1533.0,40.0,Bottom
SG1-BOT-2016-02mt-1,2581.0,2340.0,14.0,Bottom
SG1-TOP-2016-02mt-1-2,4241.0,2014.0,0.0,Top
SG1-TOP-2016-02mt-10-1,5319.0,3195.0,0.0,Top
SG1-TOP-2016-02mt-13a,3529.0,1775.0,0.0,Top
SG1-TOP-2016-02mt-13b,7785.0,4219.0,0.0,Top
SG1-TOP-2016-02mt-17a,5531.0,2932.0,0.0,Top
SG1-TOP-2016-02mt-17b,3173.0,1767.0,0.0,Top
SG1-TOP-2016-02mt-1a,5191.0,2573.0,0.0,Top
SG1-TOP-2016-02mt-1b,3765.0,2241.0,0.0,Top
SG1-TOP-2016-02mt-2-2,4572.0,1967.0,0.0,Top
SG1-TOP-2016-02mt-3-1,5156.0,2529.0,0.0,Top
SG1-TOP-2016-02mt-9b,5726.0,3164.0,0.0,Top
