index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanohaloarchaeota,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6),D_0__Archaea;__,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__TM6 (Dependentiae),D_0__Bacteria;__,Unassigned;__,Location
SG1-BOT-2016-02-8-1,1102.0,0.0,0.0,0.0,0.0,455.0,391.0,0.0,0.0,0.0,114.0,0.0,Bottom
SG1-BOT-2016-02-8-2,1069.0,0.0,0.0,0.0,0.0,231.0,308.0,0.0,0.0,0.0,414.0,0.0,Bottom
SG1-BOT-2016-02-8-3,1682.0,0.0,0.0,0.0,0.0,396.0,544.0,0.0,21.0,0.0,259.0,20.0,Bottom
SG1-BOT-2016-02-9-1,1202.0,17.0,0.0,0.0,0.0,409.0,575.0,0.0,0.0,0.0,340.0,0.0,Bottom
SG1-BOT-2016-02-9-2,1525.0,0.0,18.0,0.0,0.0,530.0,865.0,0.0,4.0,0.0,251.0,0.0,Bottom
SG1-BOT-2016-02-9-3,2502.0,0.0,0.0,0.0,0.0,510.0,871.0,0.0,0.0,0.0,152.0,40.0,Bottom
SG1-BOT-2016-02mt-1,2557.0,24.0,0.0,0.0,0.0,638.0,1051.0,15.0,13.0,0.0,623.0,14.0,Bottom
SG1-TOP-2016-02mt-1-2,4061.0,169.0,0.0,11.0,70.0,1022.0,283.0,16.0,207.0,32.0,384.0,0.0,Top
SG1-TOP-2016-02mt-10-1,5214.0,85.0,0.0,20.0,86.0,1524.0,511.0,40.0,166.0,0.0,868.0,0.0,Top
SG1-TOP-2016-02mt-13a,3489.0,31.0,0.0,9.0,45.0,878.0,314.0,8.0,75.0,0.0,455.0,0.0,Top
SG1-TOP-2016-02mt-13b,7275.0,510.0,0.0,0.0,72.0,2121.0,857.0,54.0,306.0,39.0,770.0,0.0,Top
SG1-TOP-2016-02mt-17a,5247.0,251.0,0.0,33.0,24.0,1538.0,213.0,38.0,173.0,0.0,946.0,0.0,Top
SG1-TOP-2016-02mt-17b,3135.0,38.0,0.0,0.0,28.0,609.0,670.0,0.0,107.0,0.0,353.0,0.0,Top
SG1-TOP-2016-02mt-1a,5157.0,34.0,0.0,0.0,37.0,1429.0,475.0,0.0,82.0,18.0,532.0,0.0,Top
SG1-TOP-2016-02mt-1b,3735.0,13.0,0.0,17.0,31.0,920.0,716.0,34.0,103.0,0.0,437.0,0.0,Top
SG1-TOP-2016-02mt-2-2,4559.0,13.0,0.0,0.0,30.0,1184.0,308.0,44.0,166.0,0.0,235.0,0.0,Top
SG1-TOP-2016-02mt-3-1,4962.0,162.0,32.0,0.0,35.0,1279.0,185.0,69.0,311.0,0.0,650.0,0.0,Top
SG1-TOP-2016-02mt-9b,5662.0,64.0,0.0,0.0,37.0,1569.0,399.0,7.0,287.0,31.0,834.0,0.0,Top
