index,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales,D_0__Archaea;D_1__Nanohaloarchaeota;Ambiguous_taxa;D_3__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__hypersaline lake metagenome;D_3__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured haloarchaeon;D_3__,D_0__Archaea;D_1__Nanohaloarchaeota;__;__,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6);D_2__uncultured euryarchaeote;D_3__,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6);__;__,D_0__Archaea;__;__;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Euzebyales,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales,D_0__Bacteria;D_1__Bacteroidetes;__;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured Chlorophyta,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionII,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales,D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium;D_3__,D_0__Bacteria;__;__;__,Unassigned;__;__;__,Location
SG1-BOT-2016-02-8-1,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,21.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,Bottom
SG1-BOT-2016-02-8-2,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,Bottom
SG1-BOT-2016-02-8-3,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,190.0,0.0,354.0,0.0,0.0,0.0,21.0,0.0,0.0,259.0,20.0,Bottom
SG1-BOT-2016-02-9-1,1202.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,396.0,13.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,Bottom
SG1-BOT-2016-02-9-2,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,530.0,0.0,0.0,0.0,394.0,0.0,471.0,0.0,0.0,0.0,0.0,4.0,0.0,251.0,0.0,Bottom
SG1-BOT-2016-02-9-3,2502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,537.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,40.0,Bottom
SG1-BOT-2016-02mt-1,2557.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,0.0,0.0,22.0,0.0,0.0,1029.0,15.0,0.0,0.0,13.0,0.0,0.0,623.0,14.0,Bottom
SG1-TOP-2016-02mt-1-2,3981.0,80.0,89.0,37.0,43.0,0.0,0.0,0.0,11.0,70.0,1022.0,0.0,0.0,0.0,0.0,0.0,283.0,16.0,0.0,147.0,60.0,0.0,32.0,384.0,0.0,Top
SG1-TOP-2016-02mt-10-1,5182.0,32.0,45.0,0.0,40.0,0.0,0.0,0.0,20.0,86.0,1480.0,44.0,0.0,0.0,0.0,0.0,511.0,40.0,0.0,50.0,116.0,0.0,0.0,868.0,0.0,Top
SG1-TOP-2016-02mt-13a,3390.0,99.0,0.0,0.0,0.0,31.0,0.0,0.0,9.0,45.0,849.0,29.0,0.0,0.0,0.0,0.0,314.0,8.0,11.0,0.0,64.0,0.0,0.0,455.0,0.0,Top
