index,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;Ambiguous_taxa,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halapricum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Haloarcula,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halobacterium,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halobaculum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halobellus,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halococcus,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halolamina,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halomarina,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halomicrobium,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Haloparvum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Haloplanus,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halorientalis,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halorubellus,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halorubrum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halosimplex,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halostella,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Halovenus,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Natronoarchaeum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Natronomonas,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__Salinarchaeum,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;D_5__uncultured,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae;__,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group II;D_5__uncultured archaeon,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;__;__,D_0__Archaea;D_1__Nanohaloarchaeota;Ambiguous_taxa;D_3__;D_4__;D_5__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__hypersaline lake metagenome;D_3__;D_4__;D_5__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured haloarchaeon;D_3__;D_4__;D_5__,D_0__Archaea;D_1__Nanohaloarchaeota;__;__;__;__,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6);D_2__uncultured euryarchaeote;D_3__;D_4__;D_5__,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6);__;__;__;__,D_0__Archaea;__;__;__;__;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Euzebyales;D_4__Euzebyaceae;D_5__Egibacter,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae;D_5__Longimonas,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae;D_5__Salinibacter,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae;__,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__Chitinophagaceae;D_5__Segetibacter,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__uncultured;D_5__uncultured bacterium,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__uncultured;__,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;__;__,D_0__Bacteria;D_1__Bacteroidetes;__;__;__;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured Chlorophyta;D_4__;D_5__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;__;__;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionII;D_4__FamilyII;D_5__Chroococcidiopsis,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII;D_4__FamilyI;__,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__uncultured,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Methylobacteriaceae;D_5__Methylobacterium,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales;D_4__uncultured bacterium;D_5__,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Ectothiorhodospiraceae;D_5__Arhodomonas,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Ectothiorhodospiraceae;D_5__uncultured,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales;D_4__Coxiellaceae;D_5__Coxiella,D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium;D_3__;D_4__;D_5__,D_0__Bacteria;__;__;__;__;__,Unassigned;__;__;__;__;__,Location
SG1-BOT-2016-02-8-1,0.0,205.0,25.0,0.0,0.0,0.0,81.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,296.0,0.0,104.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,Bottom
SG1-BOT-2016-02-8-2,0.0,106.0,0.0,0.0,0.0,0.0,54.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,29.0,0.0,0.0,325.0,23.0,123.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,Bottom
SG1-BOT-2016-02-8-3,0.0,203.0,0.0,0.0,0.0,0.0,179.0,0.0,381.0,0.0,0.0,0.0,0.0,48.0,0.0,65.0,97.0,0.0,0.0,342.0,0.0,152.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,354.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,259.0,20.0,Bottom
SG1-BOT-2016-02-9-1,0.0,266.0,16.0,0.0,0.0,0.0,71.0,0.0,119.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,206.0,0.0,110.0,339.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,38.0,358.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,Bottom
SG1-BOT-2016-02-9-2,0.0,233.0,56.0,0.0,0.0,0.0,171.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,68.0,0.0,0.0,195.0,0.0,147.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,251.0,0.0,Bottom
SG1-BOT-2016-02-9-3,0.0,145.0,66.0,119.0,0.0,0.0,370.0,22.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,105.0,0.0,0.0,65.0,0.0,134.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,40.0,Bottom
SG1-BOT-2016-02mt-1,0.0,299.0,23.0,0.0,0.0,0.0,125.0,0.0,245.0,11.0,0.0,15.0,0.0,0.0,0.0,62.0,161.0,0.0,0.0,500.0,56.0,369.0,691.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1029.0,15.0,0.0,0.0,0.0,13.0,0.0,0.0,623.0,14.0,Bottom
SG1-TOP-2016-02mt-1-2,0.0,1153.0,32.0,0.0,0.0,0.0,154.0,0.0,38.0,0.0,0.0,109.0,36.0,0.0,62.0,0.0,0.0,156.0,0.0,1190.0,0.0,282.0,769.0,80.0,0.0,89.0,37.0,43.0,0.0,0.0,0.0,11.0,70.0,0.0,995.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,16.0,0.0,147.0,30.0,30.0,0.0,32.0,384.0,0.0,Top
SG1-TOP-2016-02mt-10-1,0.0,1380.0,0.0,0.0,0.0,0.0,160.0,0.0,43.0,0.0,33.0,0.0,0.0,0.0,43.0,36.0,60.0,0.0,0.0,1194.0,0.0,416.0,1817.0,32.0,0.0,45.0,0.0,40.0,0.0,0.0,0.0,20.0,86.0,15.0,1358.0,107.0,0.0,20.0,0.0,24.0,0.0,0.0,0.0,0.0,511.0,40.0,0.0,50.0,23.0,93.0,0.0,0.0,868.0,0.0,Top
SG1-TOP-2016-02mt-13a,0.0,858.0,0.0,0.0,0.0,0.0,79.0,0.0,40.0,130.0,0.0,94.0,46.0,38.0,175.0,38.0,0.0,0.0,0.0,1044.0,0.0,264.0,584.0,0.0,99.0,0.0,0.0,0.0,31.0,0.0,0.0,9.0,45.0,0.0,818.0,31.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,314.0,8.0,11.0,0.0,7.0,57.0,0.0,0.0,455.0,0.0,Top
SG1-TOP-2016-02mt-13b,0.0,1876.0,86.0,0.0,56.0,0.0,88.0,0.0,57.0,0.0,0.0,325.0,131.0,0.0,101.0,89.0,0.0,10.0,0.0,1670.0,0.0,1048.0,1653.0,42.0,43.0,109.0,256.0,59.0,86.0,0.0,0.0,0.0,72.0,111.0,1990.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,857.0,54.0,0.0,94.0,104.0,108.0,0.0,39.0,770.0,0.0,Top
SG1-TOP-2016-02mt-17a,86.0,1223.0,90.0,0.0,0.0,0.0,165.0,0.0,63.0,0.0,0.0,142.0,136.0,0.0,314.0,0.0,0.0,0.0,18.0,1324.0,0.0,729.0,957.0,0.0,0.0,103.0,91.0,0.0,57.0,0.0,0.0,33.0,24.0,0.0,1426.0,55.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,38.0,0.0,43.0,64.0,66.0,0.0,0.0,946.0,0.0,Top
SG1-TOP-2016-02mt-17b,0.0,596.0,0.0,0.0,0.0,0.0,75.0,0.0,135.0,0.0,0.0,57.0,39.0,0.0,0.0,51.0,0.0,0.0,14.0,1161.0,0.0,307.0,637.0,63.0,0.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,67.0,495.0,0.0,2.0,0.0,41.0,0.0,4.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,15.0,92.0,0.0,0.0,353.0,0.0,Top
SG1-TOP-2016-02mt-1a,0.0,1650.0,73.0,94.0,0.0,0.0,206.0,57.0,0.0,91.0,0.0,196.0,86.0,46.0,0.0,103.0,0.0,0.0,43.0,588.0,62.0,618.0,1235.0,0.0,9.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,92.0,1321.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,473.0,0.0,0.0,35.0,0.0,47.0,0.0,18.0,532.0,0.0,Top
