"Plot Title: Sensor3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20298842, SEN S/N: 20298842, LBL: Temp)","RH, % (LGR S/N: 20298842, SEN S/N: 20298842, LBL: RH)"
1,02/22/18 05:15:05 PM,33.469,24.333
2,02/22/18 05:20:05 PM,32.639,25.185
3,02/22/18 05:25:05 PM,30.343,29.409
4,02/22/18 05:30:05 PM,29.040,32.269
5,02/22/18 05:35:05 PM,31.996,27.850
6,02/22/18 05:40:05 PM,31.893,27.945
7,02/22/18 05:45:05 PM,31.663,27.790
8,02/22/18 05:50:05 PM,30.773,26.581
9,02/22/18 05:55:05 PM,30.192,26.676
10,02/22/18 06:00:05 PM,29.565,27.285
11,02/22/18 06:05:05 PM,29.365,27.511
12,02/22/18 06:10:05 PM,28.965,27.412
13,02/22/18 06:15:05 PM,28.568,27.656
14,02/22/18 06:20:05 PM,28.295,27.910
15,02/22/18 06:25:05 PM,27.850,28.081
16,02/22/18 06:30:05 PM,27.308,28.483
17,02/22/18 06:35:05 PM,27.063,28.839
18,02/22/18 06:40:05 PM,26.598,29.210
19,02/22/18 06:45:05 PM,26.036,29.878
20,02/22/18 06:50:05 PM,25.793,30.095
21,02/22/18 06:55:05 PM,25.355,30.667
22,02/22/18 07:00:05 PM,25.137,31.087
23,02/22/18 07:05:05 PM,24.774,31.594
24,02/22/18 07:10:05 PM,24.532,31.809
25,02/22/18 07:15:05 PM,24.291,32.291
26,02/22/18 07:20:05 PM,24.026,32.435
27,02/22/18 07:25:05 PM,24.267,35.525
28,02/22/18 07:30:05 PM,24.315,36.657
29,02/22/18 07:35:05 PM,24.122,37.893
30,02/22/18 07:40:05 PM,23.737,38.873
31,02/22/18 07:45:05 PM,23.448,39.564
32,02/22/18 07:50:05 PM,23.088,40.375
33,02/22/18 07:55:05 PM,22.896,40.583
34,02/22/18 08:00:05 PM,22.537,41.876
35,02/22/18 08:05:05 PM,22.345,42.470
36,02/22/18 08:10:05 PM,22.058,43.664
37,02/22/18 08:15:05 PM,21.604,45.440
38,02/22/18 08:20:05 PM,21.413,46.183
39,02/22/18 08:25:05 PM,21.056,47.571
40,02/22/18 08:30:05 PM,20.913,48.186
41,02/22/18 08:35:05 PM,20.865,48.085
42,02/22/18 08:40:05 PM,20.531,49.400
43,02/22/18 08:45:05 PM,20.269,51.217
44,02/22/18 08:50:05 PM,20.031,52.184
45,02/22/18 08:55:05 PM,19.793,53.518
46,02/22/18 09:00:05 PM,19.627,53.990
47,02/22/18 09:05:05 PM,19.508,55.115
48,02/22/18 09:10:05 PM,19.413,55.502
49,02/22/18 09:15:05 PM,19.365,55.464
50,02/22/18 09:20:05 PM,19.365,54.570
51,02/22/18 09:25:05 PM,19.270,54.618
52,02/22/18 09:30:05 PM,19.222,54.272
53,02/22/18 09:35:05 PM,19.175,54.172
54,02/22/18 09:40:05 PM,19.103,53.946
55,02/22/18 09:45:05 PM,19.103,53.420
56,02/22/18 09:50:05 PM,19.151,52.559
57,02/22/18 09:55:05 PM,19.127,51.965
58,02/22/18 10:00:05 PM,19.080,51.554
59,02/22/18 10:05:05 PM,19.032,51.236
60,02/22/18 10:10:05 PM,19.008,51.077
61,02/22/18 10:15:05 PM,18.985,51.011
62,02/22/18 10:20:05 PM,18.961,51.132
63,02/22/18 10:25:05 PM,18.937,51.254
64,02/22/18 10:30:05 PM,18.913,51.438
65,02/22/18 10:35:05 PM,18.889,51.559
66,02/22/18 10:40:05 PM,18.842,51.801
67,02/22/18 10:45:05 PM,18.794,52.167
68,02/22/18 10:50:05 PM,18.723,52.499
69,02/22/18 10:55:05 PM,18.652,52.768
70,02/22/18 11:00:05 PM,18.604,53.102
71,02/22/18 11:05:05 PM,18.557,53.373
72,02/22/18 11:10:05 PM,18.485,53.641
73,02/22/18 11:15:05 PM,18.414,53.662
74,02/22/18 11:20:05 PM,18.366,53.624
75,02/22/18 11:25:05 PM,18.319,53.648
76,02/22/18 11:30:05 PM,18.271,53.826
77,02/22/18 11:35:05 PM,18.200,53.939
78,02/22/18 11:40:05 PM,18.129,54.114
79,02/22/18 11:45:05 PM,18.057,54.288
80,02/22/18 11:50:05 PM,17.962,54.520
81,02/22/18 11:55:05 PM,17.891,55.001
82,02/23/18 12:00:05 AM,17.819,55.420
83,02/23/18 12:05:05 AM,17.796,55.845
84,02/23/18 12:10:05 AM,17.772,56.147
85,02/23/18 12:15:05 AM,17.748,56.509
86,02/23/18 12:20:05 AM,17.724,56.780
87,02/23/18 12:25:05 AM,17.701,56.990
88,02/23/18 12:30:05 AM,17.677,57.017
89,02/23/18 12:35:05 AM,17.653,57.104
90,02/23/18 12:40:05 AM,17.582,57.215
91,02/23/18 12:45:05 AM,17.534,57.329
92,02/23/18 12:50:05 AM,17.534,57.421
93,02/23/18 12:55:05 AM,17.534,57.573
94,02/23/18 01:00:05 AM,17.510,57.812
95,02/23/18 01:05:05 AM,17.463,58.047
96,02/23/18 01:10:05 AM,17.391,58.430
97,02/23/18 01:15:05 AM,17.320,58.782
98,02/23/18 01:20:05 AM,17.225,59.099
99,02/23/18 01:25:05 AM,17.201,59.336
100,02/23/18 01:30:05 AM,17.130,59.717
101,02/23/18 01:35:05 AM,17.082,59.950
102,02/23/18 01:40:05 AM,17.106,60.134
103,02/23/18 01:45:05 AM,17.082,60.461
104,02/23/18 01:50:05 AM,17.011,60.449
105,02/23/18 01:55:05 AM,17.011,61.109
106,02/23/18 02:00:05 AM,16.939,61.247
107,02/23/18 02:05:05 AM,16.868,61.205
108,02/23/18 02:10:05 AM,16.844,61.171
109,02/23/18 02:15:05 AM,16.725,61.271
110,02/23/18 02:20:05 AM,16.654,61.379
111,02/23/18 02:25:05 AM,16.558,61.483
112,02/23/18 02:30:05 AM,16.463,61.647
113,02/23/18 02:35:05 AM,16.415,61.758
114,02/23/18 02:40:05 AM,16.368,61.869
115,02/23/18 02:45:05 AM,16.272,62.092
116,02/23/18 02:50:05 AM,16.201,62.288
117,02/23/18 02:55:05 AM,16.106,62.451
118,02/23/18 03:00:05 AM,16.082,62.536
119,02/23/18 03:05:05 AM,16.034,62.825
120,02/23/18 03:10:05 AM,15.963,63.109
121,02/23/18 03:15:05 AM,15.915,63.427
122,02/23/18 03:20:05 AM,15.891,63.659
123,02/23/18 03:25:05 AM,15.867,63.921
124,02/23/18 03:30:05 AM,15.867,64.334
125,02/23/18 03:35:05 AM,15.867,64.865
126,02/23/18 03:40:05 AM,15.843,65.448
127,02/23/18 03:45:05 AM,15.796,65.528
128,02/23/18 03:50:05 AM,15.772,65.524
129,02/23/18 03:55:05 AM,15.748,65.490
130,02/23/18 04:00:05 AM,15.700,65.511
131,02/23/18 04:05:05 AM,15.652,65.532
132,02/23/18 04:10:05 AM,15.557,65.603
133,02/23/18 04:15:05 AM,15.533,65.629
134,02/23/18 04:20:05 AM,15.509,65.654
135,02/23/18 04:25:05 AM,15.485,65.708
136,02/23/18 04:30:05 AM,15.461,65.762
137,02/23/18 04:35:05 AM,15.438,65.905
138,02/23/18 04:40:05 AM,15.414,66.047
139,02/23/18 04:45:05 AM,15.390,66.247
140,02/23/18 04:50:05 AM,15.366,66.477
141,02/23/18 04:55:05 AM,15.366,66.710
142,02/23/18 05:00:05 AM,15.390,66.948
143,02/23/18 05:05:05 AM,15.414,67.185
144,02/23/18 05:10:05 AM,15.414,67.360
145,02/23/18 05:15:05 AM,15.438,67.539
146,02/23/18 05:20:05 AM,15.509,67.756
147,02/23/18 05:25:05 AM,15.509,67.959
148,02/23/18 05:30:05 AM,15.461,68.154
149,02/23/18 05:35:05 AM,15.461,68.328
150,02/23/18 05:40:05 AM,15.414,68.464
151,02/23/18 05:45:05 AM,15.390,68.605
152,02/23/18 05:50:05 AM,15.390,68.749
153,02/23/18 05:55:05 AM,15.318,68.881
154,02/23/18 06:00:05 AM,15.318,68.968
155,02/23/18 06:05:05 AM,15.318,69.026
156,02/23/18 06:10:05 AM,15.318,69.083
157,02/23/18 06:15:05 AM,15.247,69.157
158,02/23/18 06:20:05 AM,15.175,69.288
159,02/23/18 06:25:05 AM,15.127,69.366
160,02/23/18 06:30:05 AM,15.079,69.472
161,02/23/18 06:35:05 AM,15.031,69.636
162,02/23/18 06:40:05 AM,14.984,69.800
163,02/23/18 06:45:05 AM,14.912,69.931
164,02/23/18 06:50:05 AM,14.888,70.012
165,02/23/18 06:55:05 AM,14.864,70.123
166,02/23/18 07:00:05 AM,14.840,70.291
167,02/23/18 07:05:05 AM,14.792,70.397
168,02/23/18 07:10:05 AM,14.792,70.483
169,02/23/18 07:15:05 AM,14.745,70.589
170,02/23/18 07:20:05 AM,14.697,70.694
171,02/23/18 07:25:05 AM,14.697,70.809
172,02/23/18 07:30:05 AM,14.673,70.890
173,02/23/18 07:35:05 AM,14.649,71.000
174,02/23/18 07:40:05 AM,14.625,71.110
175,02/23/18 07:45:05 AM,14.649,71.258
176,02/23/18 07:50:05 AM,14.697,71.353
177,02/23/18 07:55:05 AM,14.840,71.523
178,02/23/18 08:00:05 AM,14.984,71.580
179,02/23/18 08:05:05 AM,15.223,71.626
180,02/23/18 08:10:05 AM,15.461,71.815
181,02/23/18 08:15:05 AM,15.724,71.980
182,02/23/18 08:20:05 AM,16.106,72.083
183,02/23/18 08:25:05 AM,16.439,72.434
184,02/23/18 08:30:05 AM,16.796,72.848
185,02/23/18 08:35:05 AM,17.082,73.305
186,02/23/18 08:40:05 AM,17.439,73.604
187,02/23/18 08:45:05 AM,17.843,73.798
188,02/23/18 08:50:05 AM,18.200,74.041
189,02/23/18 08:55:05 AM,18.652,74.073
190,02/23/18 09:00:05 AM,19.008,74.201
191,02/23/18 09:05:05 AM,19.365,74.271
192,02/23/18 09:10:05 AM,19.841,74.337
193,02/23/18 09:15:05 AM,20.317,74.316
194,02/23/18 09:20:05 AM,20.650,74.382
195,02/23/18 09:25:05 AM,21.175,74.543
196,02/23/18 09:30:05 AM,21.628,74.575
197,02/23/18 09:35:05 AM,22.082,74.664
198,02/23/18 09:40:05 AM,22.585,74.677
199,02/23/18 09:45:05 AM,22.992,74.699
200,02/23/18 09:50:05 AM,23.448,74.760
201,02/23/18 09:55:05 AM,23.713,74.695
202,02/23/18 10:00:05 AM,24.171,74.581
203,02/23/18 10:05:05 AM,24.484,74.321
204,02/23/18 10:10:05 AM,24.726,73.664
205,02/23/18 10:15:05 AM,24.968,73.505
206,02/23/18 10:20:05 AM,25.258,73.532
207,02/23/18 10:25:05 AM,25.841,73.821
208,02/23/18 10:30:05 AM,26.231,73.631
209,02/23/18 10:35:05 AM,26.402,73.280
210,02/23/18 10:40:05 AM,26.940,73.561
211,02/23/18 10:45:05 AM,27.161,73.307
212,02/23/18 10:50:05 AM,27.505,73.135
213,02/23/18 10:55:05 AM,28.048,73.000
214,02/23/18 11:00:05 AM,28.345,72.878
215,02/23/18 11:05:05 AM,28.593,72.387
216,02/23/18 11:10:05 AM,28.866,71.660
217,02/23/18 11:15:05 AM,29.290,71.889
218,02/23/18 11:20:05 AM,29.690,72.054
219,02/23/18 11:25:05 AM,29.916,71.675
220,02/23/18 11:30:05 AM,30.217,72.182
221,02/23/18 11:35:05 AM,30.621,72.348
222,02/23/18 11:40:05 AM,30.925,71.530
223,02/23/18 11:45:05 AM,31.331,71.635
224,02/23/18 11:50:05 AM,31.637,71.661
225,02/23/18 11:55:05 AM,31.612,70.048
226,02/23/18 12:00:05 PM,32.073,71.347
227,02/23/18 12:05:05 PM,32.355,70.182
228,02/23/18 12:10:05 PM,32.536,68.010
229,02/23/18 12:15:05 PM,32.846,67.725
230,02/23/18 12:20:05 PM,32.949,65.827
231,02/23/18 12:25:05 PM,32.924,64.829
232,02/23/18 12:30:05 PM,32.924,64.144
233,02/23/18 12:35:05 PM,32.742,62.896
234,02/23/18 12:40:05 PM,32.587,62.496
235,02/23/18 12:45:05 PM,32.278,61.883
236,02/23/18 12:50:05 PM,32.381,62.118
237,02/23/18 12:55:05 PM,32.381,62.087
238,02/23/18 01:00:05 PM,32.355,61.110
239,02/23/18 01:05:05 PM,32.150,61.172
240,02/23/18 01:10:05 PM,32.278,61.161
241,02/23/18 01:15:05 PM,32.047,60.747
242,02/23/18 01:20:05 PM,32.330,60.634
243,02/23/18 01:25:05 PM,32.278,60.563
244,02/23/18 01:30:05 PM,32.330,60.540
245,02/23/18 01:35:05 PM,32.433,60.430
246,02/23/18 01:40:05 PM,32.433,60.083
247,02/23/18 01:45:05 PM,32.458,59.961
248,02/23/18 01:50:05 PM,32.355,59.598
249,02/23/18 01:55:05 PM,32.278,59.333
250,02/23/18 02:00:05 PM,32.381,59.349
251,02/23/18 02:05:05 PM,32.510,59.463
252,02/23/18 02:10:05 PM,32.407,58.973
253,02/23/18 02:15:05 PM,32.355,58.997
254,02/23/18 02:20:05 PM,32.330,58.867
255,02/23/18 02:25:05 PM,32.330,58.740
256,02/23/18 02:30:05 PM,32.175,58.717
257,02/23/18 02:35:05 PM,32.073,58.670
258,02/23/18 02:40:05 PM,31.893,58.801
259,02/23/18 02:45:05 PM,31.816,58.821
260,02/23/18 02:50:05 PM,31.740,58.777
261,02/23/18 02:55:05 PM,31.535,58.683
262,02/23/18 03:00:05 PM,31.510,58.711
263,02/23/18 03:05:05 PM,31.382,58.787
264,02/23/18 03:10:05 PM,31.408,58.854
265,02/23/18 03:15:05 PM,31.230,58.921
266,02/23/18 03:20:05 PM,31.204,58.917
267,02/23/18 03:25:05 PM,31.179,58.787
268,02/23/18 03:30:05 PM,31.103,58.839
269,02/23/18 03:35:05 PM,31.128,58.969
270,02/23/18 03:40:05 PM,30.950,59.666
271,02/23/18 03:45:05 PM,29.966,59.546
272,02/23/18 03:50:05 PM,29.815,59.773
273,02/23/18 03:55:05 PM,29.815,59.930
274,02/23/18 04:00:05 PM,29.840,60.059
275,02/23/18 04:05:05 PM,29.740,60.262
276,02/23/18 04:10:05 PM,29.715,60.352
277,02/23/18 04:15:05 PM,29.740,60.419
278,02/23/18 04:20:05 PM,29.865,60.219
279,02/23/18 04:25:05 PM,29.590,60.208
280,02/23/18 04:30:05 PM,29.464,60.157
281,02/23/18 04:35:05 PM,29.340,60.200
282,02/23/18 04:40:05 PM,29.340,60.325
283,02/23/18 04:45:05 PM,29.165,60.235
284,02/23/18 04:50:05 PM,29.065,60.344
285,02/23/18 04:55:05 PM,28.742,60.419
286,02/23/18 05:00:05 PM,28.593,60.582
287,02/23/18 05:05:05 PM,28.394,60.675
288,02/23/18 05:10:05 PM,28.270,60.718
289,02/23/18 05:15:05 PM,28.122,60.881
290,02/23/18 05:20:05 PM,28.048,61.024
291,02/23/18 05:25:05 PM,27.875,61.121
292,02/23/18 05:30:05 PM,27.875,61.245
293,02/23/18 05:35:05 PM,27.751,61.225
294,02/23/18 05:40:05 PM,27.554,61.751
295,02/23/18 05:45:05 PM,27.333,62.055
296,02/23/18 05:50:05 PM,27.161,62.243
297,02/23/18 05:55:05 PM,26.965,62.488
298,02/23/18 06:00:05 PM,26.867,62.718
299,02/23/18 06:05:05 PM,26.549,63.004
300,02/23/18 06:10:05 PM,26.378,63.282
301,02/23/18 06:15:05 PM,26.304,63.545
302,02/23/18 06:20:05 PM,26.231,63.686
303,02/23/18 06:25:05 PM,26.109,63.910
304,02/23/18 06:30:05 PM,25.866,64.144
305,02/23/18 06:35:05 PM,25.720,64.303
306,02/23/18 06:40:05 PM,25.671,64.538
307,02/23/18 06:45:05 PM,25.477,64.688
308,02/23/18 06:50:05 PM,25.234,65.011
309,02/23/18 06:55:05 PM,24.992,65.303
310,02/23/18 07:00:05 PM,24.798,65.542
311,02/23/18 07:05:05 PM,24.677,65.854
312,02/23/18 07:10:05 PM,24.436,66.144
313,02/23/18 07:15:05 PM,24.171,66.459
314,02/23/18 07:20:05 PM,24.002,66.790
315,02/23/18 07:25:05 PM,23.713,67.189
316,02/23/18 07:30:05 PM,23.424,67.587
317,02/23/18 07:35:05 PM,23.160,67.988
318,02/23/18 07:40:05 PM,22.729,68.535
319,02/23/18 07:45:05 PM,22.226,69.245
320,02/23/18 07:50:05 PM,21.795,70.022
321,02/23/18 07:55:05 PM,21.485,70.611
322,02/23/18 08:00:05 PM,21.246,71.270
323,02/23/18 08:05:05 PM,20.984,71.951
324,02/23/18 08:10:05 PM,20.746,72.546
325,02/23/18 08:15:05 PM,20.484,73.047
326,02/23/18 08:20:05 PM,20.293,73.329
327,02/23/18 08:25:05 PM,20.126,73.787
328,02/23/18 08:30:05 PM,19.984,74.279
329,02/23/18 08:35:05 PM,19.770,74.725
330,02/23/18 08:40:05 PM,19.627,75.127
331,02/23/18 08:45:05 PM,19.508,75.304
332,02/23/18 08:50:05 PM,19.389,75.567
333,02/23/18 08:55:05 PM,19.294,75.805
334,02/23/18 09:00:05 PM,19.222,76.161
335,02/23/18 09:05:05 PM,19.151,76.403
336,02/23/18 09:10:05 PM,19.127,76.399
337,02/23/18 09:15:05 PM,19.056,76.726
338,02/23/18 09:20:05 PM,19.008,76.943
339,02/23/18 09:25:05 PM,18.985,77.109
340,02/23/18 09:30:05 PM,18.961,77.303
341,02/23/18 09:35:05 PM,18.866,77.566
342,02/23/18 09:40:05 PM,18.937,77.864
343,02/23/18 09:45:05 PM,18.842,77.929
344,02/23/18 09:50:05 PM,18.842,78.212
345,02/23/18 09:55:05 PM,18.866,78.076
346,02/23/18 10:00:05 PM,18.842,78.156
347,02/23/18 10:05:05 PM,18.747,78.221
348,02/23/18 10:10:05 PM,18.747,77.966
349,02/23/18 10:15:05 PM,18.675,77.753
350,02/23/18 10:20:05 PM,18.628,77.602
351,02/23/18 10:25:05 PM,18.604,77.286
352,02/23/18 10:30:05 PM,18.533,76.959
353,02/23/18 10:35:05 PM,18.390,77.015
354,02/23/18 10:40:05 PM,18.319,77.283
355,02/23/18 10:45:05 PM,18.271,77.613
356,02/23/18 10:50:05 PM,18.224,77.829
357,02/23/18 10:55:05 PM,18.200,78.078
358,02/23/18 11:00:05 PM,18.129,78.288
359,02/23/18 11:05:05 PM,18.105,78.480
360,02/23/18 11:10:05 PM,18.081,78.447
361,02/23/18 11:15:05 PM,18.057,78.470
362,02/23/18 11:20:05 PM,18.010,78.348
363,02/23/18 11:25:05 PM,17.938,78.108
364,02/23/18 11:30:05 PM,17.891,77.872
365,02/23/18 11:35:05 PM,17.867,77.698
366,02/23/18 11:40:05 PM,17.819,77.603
367,02/23/18 11:45:05 PM,17.772,77.678
368,02/23/18 11:50:05 PM,17.701,77.550
369,02/23/18 11:55:05 PM,17.629,77.648
370,02/24/18 12:00:05 AM,17.605,77.643
371,02/24/18 12:05:05 AM,17.605,77.615
372,02/24/18 12:10:05 AM,17.510,77.539
373,02/24/18 12:15:05 AM,17.439,77.496
374,02/24/18 12:20:05 AM,17.368,77.566
375,02/24/18 12:25:05 AM,17.368,77.594
376,02/24/18 12:30:05 AM,17.296,77.579
377,02/24/18 12:35:05 AM,17.201,77.503
378,02/24/18 12:40:05 AM,17.177,77.413
379,02/24/18 12:45:05 AM,17.106,77.370
380,02/24/18 12:50:05 AM,17.034,77.355
381,02/24/18 12:55:05 AM,16.987,77.289
382,02/24/18 01:00:05 AM,16.939,77.223
383,02/24/18 01:05:05 AM,16.868,77.236
384,02/24/18 01:10:05 AM,16.844,77.316
385,02/24/18 01:15:05 AM,16.796,77.390
386,02/24/18 01:20:05 AM,16.749,77.324
387,02/24/18 01:25:05 AM,16.701,77.230
388,02/24/18 01:30:05 AM,16.654,77.164
389,02/24/18 01:35:05 AM,16.558,77.144
390,02/24/18 01:40:05 AM,16.511,77.134
391,02/24/18 01:45:05 AM,16.463,77.152
392,02/24/18 01:50:05 AM,16.415,77.142
393,02/24/18 01:55:05 AM,16.320,77.122
394,02/24/18 02:00:05 AM,16.296,77.146
395,02/24/18 02:05:05 AM,16.272,77.169
396,02/24/18 02:10:05 AM,16.225,77.187
397,02/24/18 02:15:05 AM,16.153,77.228
398,02/24/18 02:20:05 AM,16.082,77.242
399,02/24/18 02:25:05 AM,16.058,77.237
400,02/24/18 02:30:05 AM,16.010,77.227
401,02/24/18 02:35:05 AM,15.963,77.245
402,02/24/18 02:40:05 AM,15.891,77.230
403,02/24/18 02:45:05 AM,15.867,77.281
404,02/24/18 02:50:05 AM,15.843,77.360
405,02/24/18 02:55:05 AM,15.796,77.378
406,02/24/18 03:00:05 AM,15.796,77.378
407,02/24/18 03:05:05 AM,15.748,77.480
408,02/24/18 03:10:05 AM,15.724,77.447
409,02/24/18 03:15:05 AM,15.700,77.498
