"Plot Title: Sensor2"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20298844, SEN S/N: 20298844, LBL: Temp)","RH, % (LGR S/N: 20298844, SEN S/N: 20298844, LBL: RH)"
1,02/22/18 05:14:03 PM,33.574,27.483
2,02/22/18 05:19:03 PM,34.150,24.098
3,02/22/18 05:24:03 PM,30.268,29.025
4,02/22/18 05:29:03 PM,29.140,31.462
5,02/22/18 05:34:03 PM,28.667,31.897
6,02/22/18 05:39:03 PM,28.468,32.558
7,02/22/18 05:44:03 PM,27.899,33.993
8,02/22/18 05:49:03 PM,30.697,32.141
9,02/22/18 05:54:03 PM,31.459,30.495
10,02/22/18 05:59:03 PM,30.798,30.715
11,02/22/18 06:04:03 PM,30.394,30.989
12,02/22/18 06:09:03 PM,30.041,31.198
13,02/22/18 06:14:03 PM,29.640,31.369
14,02/22/18 06:19:03 PM,29.240,31.539
15,02/22/18 06:24:03 PM,28.866,31.643
16,02/22/18 06:29:03 PM,28.444,31.742
17,02/22/18 06:34:03 PM,27.998,31.772
18,02/22/18 06:39:03 PM,27.604,31.805
19,02/22/18 06:44:03 PM,27.161,31.801
20,02/22/18 06:49:03 PM,26.671,31.792
21,02/22/18 06:54:03 PM,26.329,31.830
22,02/22/18 06:59:03 PM,25.987,31.801
23,02/22/18 07:04:03 PM,25.671,31.807
24,02/22/18 07:09:03 PM,25.355,31.813
25,02/22/18 07:14:03 PM,25.113,31.792
26,02/22/18 07:19:03 PM,24.823,31.800
27,02/22/18 07:24:03 PM,24.750,31.828
28,02/22/18 07:29:03 PM,24.750,31.760
29,02/22/18 07:34:03 PM,24.629,31.716
30,02/22/18 07:39:03 PM,24.339,31.691
31,02/22/18 07:44:03 PM,24.026,31.630
32,02/22/18 07:49:03 PM,23.713,31.670
33,02/22/18 07:54:03 PM,23.424,31.645
34,02/22/18 07:59:03 PM,23.088,31.649
35,02/22/18 08:04:03 PM,22.800,31.658
36,02/22/18 08:09:03 PM,22.513,31.699
37,02/22/18 08:14:03 PM,22.154,31.735
38,02/22/18 08:19:03 PM,21.819,31.706
39,02/22/18 08:24:03 PM,21.533,31.747
40,02/22/18 08:29:03 PM,21.270,31.724
41,02/22/18 08:34:03 PM,21.056,31.772
42,02/22/18 08:39:03 PM,20.841,31.820
43,02/22/18 08:44:03 PM,20.603,31.832
44,02/22/18 08:49:03 PM,20.365,31.844
45,02/22/18 08:54:03 PM,20.103,31.888
46,02/22/18 08:59:03 PM,19.912,31.937
47,02/22/18 09:04:03 PM,19.698,31.984
48,02/22/18 09:09:03 PM,19.555,32.038
49,02/22/18 09:14:03 PM,19.413,32.092
50,02/22/18 09:19:03 PM,19.341,32.118
51,02/22/18 09:24:03 PM,19.246,32.209
52,02/22/18 09:29:03 PM,19.175,32.269
53,02/22/18 09:34:03 PM,19.103,32.296
54,02/22/18 09:39:03 PM,19.032,32.355
55,02/22/18 09:44:03 PM,18.961,32.448
56,02/22/18 09:49:03 PM,18.937,32.479
57,02/22/18 09:54:03 PM,18.889,32.508
58,02/22/18 09:59:03 PM,18.842,32.569
59,02/22/18 10:04:03 PM,18.818,32.699
60,02/22/18 10:09:03 PM,18.794,32.763
61,02/22/18 10:14:03 PM,18.794,32.895
62,02/22/18 10:19:03 PM,18.794,32.994
63,02/22/18 10:24:03 PM,18.771,33.091
64,02/22/18 10:29:03 PM,18.771,33.157
65,02/22/18 10:34:03 PM,18.747,33.253
66,02/22/18 10:39:03 PM,18.723,33.350
67,02/22/18 10:44:03 PM,18.675,33.411
68,02/22/18 10:49:03 PM,18.604,33.503
69,02/22/18 10:54:03 PM,18.557,33.598
70,02/22/18 10:59:03 PM,18.485,33.657
71,02/22/18 11:04:03 PM,18.414,33.716
72,02/22/18 11:09:03 PM,18.343,33.775
73,02/22/18 11:14:03 PM,18.271,33.834
74,02/22/18 11:19:03 PM,18.224,33.895
75,02/22/18 11:24:03 PM,18.176,34.022
76,02/22/18 11:29:03 PM,18.129,34.018
77,02/22/18 11:34:03 PM,18.081,34.144
78,02/22/18 11:39:03 PM,18.010,34.203
79,02/22/18 11:44:03 PM,17.915,34.260
80,02/22/18 11:49:03 PM,17.843,34.351
81,02/22/18 11:54:03 PM,17.772,34.443
82,02/22/18 11:59:03 PM,17.701,34.534
83,02/23/18 12:04:03 AM,17.653,34.562
84,02/23/18 12:09:03 AM,17.605,34.689
85,02/23/18 12:14:03 AM,17.582,34.752
86,02/23/18 12:19:03 AM,17.558,34.847
87,02/23/18 12:24:03 AM,17.510,34.941
88,02/23/18 12:29:03 AM,17.486,35.004
89,02/23/18 12:34:03 AM,17.463,35.067
90,02/23/18 12:39:03 AM,17.415,35.193
91,02/23/18 12:44:03 AM,17.368,35.253
92,02/23/18 12:49:03 AM,17.344,35.316
93,02/23/18 12:54:03 AM,17.344,35.382
94,02/23/18 12:59:03 AM,17.344,35.479
95,02/23/18 01:04:03 AM,17.320,35.575
96,02/23/18 01:09:03 AM,17.249,35.666
97,02/23/18 01:14:03 AM,17.177,35.789
98,02/23/18 01:19:03 AM,17.130,35.849
99,02/23/18 01:24:03 AM,17.058,35.940
100,02/23/18 01:29:03 AM,16.987,35.998
101,02/23/18 01:34:03 AM,16.915,36.056
102,02/23/18 01:39:03 AM,16.868,36.116
103,02/23/18 01:44:03 AM,16.844,36.243
104,02/23/18 01:49:03 AM,16.796,36.304
105,02/23/18 01:54:03 AM,16.749,36.364
106,02/23/18 01:59:03 AM,16.701,36.456
107,02/23/18 02:04:03 AM,16.654,36.549
108,02/23/18 02:09:03 AM,16.606,36.609
109,02/23/18 02:14:03 AM,16.511,36.664
110,02/23/18 02:19:03 AM,16.439,36.787
111,02/23/18 02:24:03 AM,16.368,36.844
112,02/23/18 02:29:03 AM,16.272,36.899
113,02/23/18 02:34:03 AM,16.201,36.989
114,02/23/18 02:39:03 AM,16.129,37.046
115,02/23/18 02:44:03 AM,16.034,37.134
116,02/23/18 02:49:03 AM,15.963,37.223
117,02/23/18 02:54:03 AM,15.891,37.313
118,02/23/18 02:59:03 AM,15.843,37.372
119,02/23/18 03:04:03 AM,15.796,37.464
120,02/23/18 03:09:03 AM,15.724,37.554
121,02/23/18 03:14:03 AM,15.700,37.616
122,02/23/18 03:19:03 AM,15.652,37.740
123,02/23/18 03:24:03 AM,15.605,37.799
124,02/23/18 03:29:03 AM,15.581,37.893
125,02/23/18 03:34:03 AM,15.557,37.987
126,02/23/18 03:39:03 AM,15.557,38.116
127,02/23/18 03:44:03 AM,15.557,38.180
128,02/23/18 03:49:03 AM,15.533,38.274
129,02/23/18 03:54:03 AM,15.509,38.336
130,02/23/18 03:59:03 AM,15.461,38.395
131,02/23/18 04:04:03 AM,15.414,38.487
132,02/23/18 04:09:03 AM,15.342,38.544
133,02/23/18 04:14:03 AM,15.318,38.605
134,02/23/18 04:19:03 AM,15.247,38.694
135,02/23/18 04:24:03 AM,15.223,38.788
136,02/23/18 04:29:03 AM,15.223,38.852
137,02/23/18 04:34:03 AM,15.223,38.980
138,02/23/18 04:39:03 AM,15.223,39.044
139,02/23/18 04:44:03 AM,15.199,39.138
140,02/23/18 04:49:03 AM,15.175,39.263
141,02/23/18 04:54:03 AM,15.175,39.359
142,02/23/18 04:59:03 AM,15.175,39.455
143,02/23/18 05:04:03 AM,15.199,39.554
144,02/23/18 05:09:03 AM,15.199,39.682
145,02/23/18 05:14:03 AM,15.223,39.748
146,02/23/18 05:19:03 AM,15.270,39.850
147,02/23/18 05:24:03 AM,15.318,39.951
148,02/23/18 05:29:03 AM,15.318,40.047
149,02/23/18 05:34:03 AM,15.318,40.142
150,02/23/18 05:39:03 AM,15.294,40.204
151,02/23/18 05:44:03 AM,15.270,40.297
152,02/23/18 05:49:03 AM,15.223,40.387
153,02/23/18 05:54:03 AM,15.199,40.449
154,02/23/18 05:59:03 AM,15.175,40.574
155,02/23/18 06:04:03 AM,15.151,40.635
156,02/23/18 06:09:03 AM,15.151,40.730
157,02/23/18 06:14:03 AM,15.127,40.791
158,02/23/18 06:19:03 AM,15.055,40.879
159,02/23/18 06:24:03 AM,14.984,40.935
160,02/23/18 06:29:03 AM,14.936,41.057
161,02/23/18 06:34:03 AM,14.864,41.144
162,02/23/18 06:39:03 AM,14.816,41.234
163,02/23/18 06:44:03 AM,14.768,41.324
164,02/23/18 06:49:03 AM,14.721,41.414
165,02/23/18 06:54:03 AM,14.697,41.475
166,02/23/18 06:59:03 AM,14.673,41.599
167,02/23/18 07:04:03 AM,14.649,41.692
168,02/23/18 07:09:03 AM,14.625,41.784
