"Plot Title: SG1_out_Feb22"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20057777, SEN S/N: 20057777, LBL: Temp)","RH, % (LGR S/N: 20057777, SEN S/N: 20057777, LBL: RH)"
1,02/22/18 04:22:00 PM,38.700,21.197
2,02/22/18 05:22:00 PM,28.965,33.888
3,02/22/18 06:22:00 PM,27.653,35.448
4,02/22/18 07:22:00 PM,24.363,45.516
5,02/22/18 08:22:00 PM,20.555,59.442
6,02/22/18 09:22:00 PM,19.460,65.400
7,02/22/18 10:22:00 PM,19.841,58.049
8,02/22/18 11:22:00 PM,19.080,62.798
9,02/23/18 12:22:00 AM,18.390,66.457
10,02/23/18 01:22:00 AM,18.152,64.995
11,02/23/18 02:22:00 AM,17.510,67.944
12,02/23/18 03:22:00 AM,16.630,67.288
13,02/23/18 04:22:00 AM,17.034,69.518
14,02/23/18 05:22:00 AM,16.868,71.050
15,02/23/18 06:22:00 AM,16.487,73.216
16,02/23/18 07:22:00 AM,15.748,76.385
17,02/23/18 08:22:00 AM,19.222,62.042
18,02/23/18 09:22:00 AM,23.521,48.616
19,02/23/18 10:22:00 AM,28.196,41.522
20,02/23/18 11:22:00 AM,29.790,34.707
21,02/23/18 12:22:00 PM,31.561,33.410
22,02/23/18 01:22:00 PM,29.515,35.490
23,02/23/18 02:22:00 PM,30.192,34.203
24,02/23/18 03:22:00 PM,29.040,36.990
25,02/23/18 04:22:00 PM,28.468,38.934
26,02/23/18 05:22:00 PM,27.308,39.940
27,02/23/18 06:22:00 PM,25.695,45.871
28,02/23/18 07:22:00 PM,23.545,51.758
29,02/23/18 08:22:00 PM,19.888,64.789
30,02/23/18 09:22:00 PM,19.389,66.515
31,02/23/18 10:22:00 PM,18.961,66.824
32,02/23/18 11:22:00 PM,18.295,69.695
33,02/24/18 12:22:00 AM,17.891,71.679
34,02/24/18 01:22:00 AM,17.225,70.569
35,02/24/18 02:22:00 AM,17.177,72.606
36,02/24/18 03:22:00 AM,16.844,73.057
37,02/24/18 04:22:00 AM,16.987,72.426
38,02/24/18 05:22:00 AM,15.986,75.503
39,02/24/18 06:22:00 AM,16.272,75.165
40,02/24/18 07:22:00 AM,15.915,75.630
41,02/24/18 08:22:00 AM,19.318,64.929
42,02/24/18 09:22:00 AM,24.388,49.907
43,02/24/18 10:22:00 AM,29.240,40.809
44,02/24/18 11:22:00 AM,31.357,35.327
45,02/24/18 12:22:00 PM,32.175,32.338
46,02/24/18 01:22:00 PM,29.690,35.945
47,02/24/18 02:22:00 PM,30.621,33.258
48,02/24/18 03:22:00 PM,29.290,35.402
49,02/24/18 04:22:00 PM,29.040,36.554
50,02/24/18 05:22:00 PM,27.407,40.677
51,02/24/18 06:22:00 PM,25.550,45.530
52,02/24/18 07:22:00 PM,22.968,52.591
53,02/24/18 08:22:00 PM,19.651,62.623
54,02/24/18 09:22:00 PM,18.723,65.983
55,02/24/18 10:22:00 PM,18.271,68.346
56,02/24/18 11:22:00 PM,17.962,68.231
57,02/25/18 12:22:00 AM,17.605,69.654
58,02/25/18 01:22:00 AM,16.392,70.844
59,02/25/18 02:22:00 AM,16.606,69.873
60,02/25/18 03:22:00 AM,16.177,70.890
61,02/25/18 04:22:00 AM,15.461,74.038
62,02/25/18 05:22:00 AM,15.175,73.868
63,02/25/18 06:22:00 AM,15.199,75.878
64,02/25/18 07:22:00 AM,14.314,76.789
65,02/25/18 08:22:00 AM,19.436,65.426
66,02/25/18 09:22:00 AM,22.657,51.479
67,02/25/18 10:22:00 AM,25.963,44.704
68,02/25/18 11:22:00 AM,30.243,36.133
