"Plot Title: sensor1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20057777, SEN S/N: 20057777, LBL: Temp)","RH, % (LGR S/N: 20057777, SEN S/N: 20057777, LBL: RH)"
1,02/06/17 11:41:29 PM,27.505,54.140
2,02/07/17 12:41:29 AM,26.036,51.812
3,02/07/17 01:41:29 AM,25.793,52.730
4,02/07/17 02:41:29 AM,25.720,53.320
5,02/07/17 03:41:29 AM,25.598,53.745
6,02/07/17 04:41:29 AM,25.428,54.099
7,02/07/17 05:41:29 AM,25.307,53.925
8,02/07/17 06:41:29 AM,25.283,53.638
9,02/07/17 07:41:29 AM,25.307,53.200
10,02/07/17 08:41:29 AM,25.283,52.343
11,02/07/17 09:41:29 AM,25.113,51.401
12,02/07/17 10:41:29 AM,24.895,51.118
13,02/07/17 11:41:29 AM,25.040,51.391
14,02/07/17 12:41:29 PM,25.137,51.373
15,02/07/17 01:41:29 PM,25.550,51.777
16,02/07/17 02:41:29 PM,25.866,51.662
17,02/07/17 03:41:29 PM,26.231,51.870
18,02/07/17 04:41:29 PM,27.063,52.110
19,02/07/17 05:41:29 PM,27.727,49.704
20,02/07/17 06:41:29 PM,27.776,48.228
21,02/07/17 07:41:29 PM,25.939,45.091
22,02/07/17 08:41:29 PM,23.352,45.941
23,02/07/17 09:41:29 PM,22.106,47.608
24,02/07/17 10:41:29 PM,21.748,48.198
25,02/07/17 11:41:29 PM,21.223,48.606
26,02/08/17 12:41:29 AM,20.555,49.403
27,02/08/17 01:41:29 AM,20.317,50.440
28,02/08/17 02:41:29 AM,20.007,51.150
29,02/08/17 03:41:29 AM,19.651,51.726
30,02/08/17 04:41:29 AM,19.318,52.302
31,02/08/17 05:41:29 AM,19.008,52.942
32,02/08/17 06:41:29 AM,19.080,53.509
33,02/08/17 07:41:29 AM,18.842,53.537
34,02/08/17 08:41:29 AM,16.558,74.001
35,02/08/17 09:41:29 AM,20.055,65.146
36,02/08/17 10:41:29 AM,25.695,48.126
37,02/08/17 11:41:29 AM,30.900,29.557
38,02/08/17 12:41:29 PM,33.783,22.808
39,02/08/17 01:41:29 PM,35.022,17.015
40,02/08/17 02:41:29 PM,35.049,21.190
41,02/08/17 03:41:29 PM,33.313,26.280
42,02/08/17 04:41:29 PM,30.748,30.710
43,02/08/17 05:41:29 PM,29.265,33.475
44,02/08/17 06:41:29 PM,26.304,40.986
45,02/08/17 07:41:29 PM,23.304,50.018
46,02/08/17 08:41:29 PM,20.770,58.192
47,02/08/17 09:41:29 PM,19.460,62.682
48,02/08/17 10:41:29 PM,18.557,62.921
49,02/08/17 11:41:29 PM,17.772,67.611
50,02/09/17 12:41:29 AM,17.486,69.341
51,02/09/17 01:41:29 AM,16.773,72.413
52,02/09/17 02:41:29 AM,16.415,74.001
53,02/09/17 03:41:29 AM,16.463,75.260
54,02/09/17 04:41:29 AM,15.724,74.147
55,02/09/17 05:41:29 AM,15.079,75.601
56,02/09/17 06:41:29 AM,14.625,76.294
57,02/09/17 07:41:29 AM,14.912,77.054
58,02/09/17 08:41:29 AM,17.558,72.335
59,02/09/17 09:41:29 AM,21.843,54.899
60,02/09/17 10:41:29 AM,24.823,45.862
61,02/09/17 11:41:29 AM,28.667,35.746
62,02/09/17 12:41:29 PM,31.103,31.082
63,02/09/17 01:41:29 PM,30.167,33.455
64,02/09/17 02:41:29 PM,30.748,32.452
65,02/09/17 03:41:29 PM,31.637,30.510
66,02/09/17 04:41:29 PM,29.115,35.284
67,02/09/17 05:41:29 PM,27.751,38.196
68,02/09/17 06:41:29 PM,25.186,44.871
69,02/09/17 07:41:29 PM,22.154,54.944
70,02/09/17 08:41:29 PM,20.103,62.668
71,02/09/17 09:41:29 PM,19.817,64.299
72,02/09/17 10:41:29 PM,19.651,62.263
73,02/09/17 11:41:29 PM,18.842,66.802
74,02/10/17 12:41:29 AM,17.748,73.407
75,02/10/17 01:41:29 AM,17.986,71.784
76,02/10/17 02:41:29 AM,17.296,69.800
77,02/10/17 03:41:29 AM,17.058,73.472
78,02/10/17 04:41:29 AM,16.773,74.385
79,02/10/17 05:41:29 AM,16.415,73.145
80,02/10/17 06:41:29 AM,16.511,71.241
81,02/10/17 07:41:29 AM,16.249,71.623
82,02/10/17 08:41:29 AM,17.272,75.680
83,02/10/17 09:41:29 AM,20.126,63.573
84,02/10/17 10:41:29 AM,23.857,48.883
85,02/10/17 11:41:29 AM,27.850,38.904
86,02/10/17 12:41:29 PM,30.495,33.348
87,02/10/17 01:41:29 PM,31.484,31.389
88,02/10/17 02:41:29 PM,31.382,31.517
89,02/10/17 03:41:29 PM,29.690,34.596
90,02/10/17 04:41:29 PM,28.122,38.766
91,02/10/17 05:41:29 PM,26.549,41.538
92,02/10/17 06:41:29 PM,25.331,44.110
93,02/10/17 07:41:29 PM,22.776,51.527
94,02/10/17 08:41:29 PM,20.222,60.483
95,02/10/17 09:41:29 PM,19.627,63.639
96,02/10/17 10:41:29 PM,19.793,61.744
