"Plot Title: sensor2_dayFeb22"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20057778, SEN S/N: 20057778, LBL: Temp)","RH, % (LGR S/N: 20057778, SEN S/N: 20057778, LBL: RH)"
1,02/21/18 04:02:33 PM,29.040,35.916
2,02/21/18 04:07:33 PM,26.818,40.152
3,02/21/18 04:12:33 PM,25.355,44.892
4,02/21/18 04:17:33 PM,24.774,46.404
5,02/21/18 04:22:33 PM,24.605,46.994
6,02/21/18 04:27:33 PM,24.026,48.904
7,02/21/18 04:32:33 PM,23.905,48.698
8,02/21/18 04:37:33 PM,23.737,49.345
9,02/21/18 04:42:33 PM,23.593,49.358
10,02/21/18 04:47:33 PM,23.472,49.501
11,02/21/18 04:52:33 PM,23.593,49.421
12,02/21/18 04:57:33 PM,23.376,50.028
13,02/21/18 05:02:33 PM,22.944,51.644
14,02/21/18 05:07:33 PM,22.848,51.946
15,02/21/18 05:12:33 PM,22.561,52.472
16,02/21/18 05:17:33 PM,22.298,53.531
17,02/21/18 05:22:33 PM,21.963,54.667
18,02/21/18 05:27:33 PM,21.795,55.233
19,02/21/18 05:32:33 PM,21.652,56.018
20,02/21/18 05:37:33 PM,21.366,56.747
21,02/21/18 05:42:33 PM,20.555,59.015
22,02/21/18 05:47:33 PM,19.936,61.043
23,02/21/18 05:52:33 PM,19.674,61.785
24,02/21/18 05:57:33 PM,19.436,62.948
25,02/21/18 06:02:33 PM,19.246,63.694
26,02/21/18 06:07:33 PM,19.080,64.084
27,02/21/18 06:12:33 PM,18.889,64.141
28,02/21/18 06:17:33 PM,18.723,64.470
29,02/21/18 06:22:33 PM,18.557,65.184
30,02/21/18 06:27:33 PM,18.366,65.418
31,02/21/18 06:32:33 PM,18.176,65.503
32,02/21/18 06:37:33 PM,18.176,65.946
33,02/21/18 06:42:33 PM,17.986,65.943
34,02/21/18 06:47:33 PM,17.915,66.343
35,02/21/18 06:52:33 PM,17.867,66.629
36,02/21/18 06:57:33 PM,17.796,67.028
37,02/21/18 07:02:33 PM,17.701,67.422
38,02/21/18 07:07:33 PM,17.677,67.447
39,02/21/18 07:12:33 PM,17.605,67.727
40,02/21/18 07:17:33 PM,17.558,68.041
41,02/21/18 07:22:33 PM,17.653,68.526
42,02/21/18 07:27:33 PM,17.677,68.559
43,02/21/18 07:32:33 PM,17.558,68.129
44,02/21/18 07:37:33 PM,17.558,68.158
45,02/21/18 07:42:33 PM,17.653,68.964
46,02/21/18 07:47:33 PM,17.558,69.004
47,02/21/18 07:52:33 PM,17.629,69.076
48,02/21/18 07:57:33 PM,17.558,69.354
49,02/21/18 08:02:33 PM,17.558,69.208
50,02/21/18 08:07:33 PM,17.534,69.204
51,02/21/18 08:12:33 PM,17.486,70.415
52,02/21/18 08:17:33 PM,17.486,70.154
53,02/21/18 08:22:33 PM,17.439,71.534
54,02/21/18 08:27:33 PM,17.510,71.346
55,02/21/18 08:32:33 PM,17.415,72.336
56,02/21/18 08:37:33 PM,17.320,71.915
57,02/21/18 08:42:33 PM,17.082,73.104
58,02/21/18 08:47:33 PM,16.987,72.598
59,02/21/18 08:52:33 PM,16.844,73.000
60,02/21/18 08:57:33 PM,16.558,73.344
61,02/21/18 09:02:33 PM,16.249,74.990
62,02/21/18 09:07:33 PM,16.106,72.713
63,02/21/18 09:12:33 PM,15.939,72.709
