"Plot Title: sensor2"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20057778, SEN S/N: 20057778, LBL: Temp)","RH, % (LGR S/N: 20057778, SEN S/N: 20057778, LBL: RH)"
1,02/06/17 11:43:58 PM,26.353,55.144
2,02/07/17 12:43:58 AM,26.109,53.058
3,02/07/17 01:43:58 AM,25.720,52.878
4,02/07/17 02:43:58 AM,25.574,53.300
5,02/07/17 03:43:58 AM,25.404,53.781
6,02/07/17 04:43:58 AM,25.258,54.201
7,02/07/17 05:43:58 AM,25.137,54.184
8,02/07/17 06:43:58 AM,25.162,53.999
9,02/07/17 07:43:58 AM,25.186,53.561
10,02/07/17 08:43:58 AM,25.258,51.611
11,02/07/17 09:43:58 AM,25.113,51.084
12,02/07/17 10:43:58 AM,24.992,51.067
13,02/07/17 11:43:58 AM,25.040,51.391
14,02/07/17 12:43:58 PM,25.113,51.623
15,02/07/17 01:43:58 PM,25.380,52.293
16,02/07/17 02:43:58 PM,25.671,52.618
17,02/07/17 03:43:58 PM,25.987,52.978
18,02/07/17 04:43:58 PM,26.622,51.987
19,02/07/17 05:43:58 PM,27.407,48.987
20,02/07/17 06:43:58 PM,27.456,46.376
21,02/07/17 07:43:58 PM,25.477,44.127
22,02/07/17 08:43:58 PM,23.280,48.044
23,02/07/17 09:43:58 PM,22.250,49.847
24,02/07/17 10:43:58 PM,21.843,50.456
25,02/07/17 11:43:58 PM,21.318,50.700
26,02/08/17 12:43:58 AM,20.746,50.623
27,02/08/17 01:43:58 AM,20.412,51.456
28,02/08/17 02:43:58 AM,20.079,51.285
29,02/08/17 03:43:58 AM,19.770,51.680
30,02/08/17 04:43:58 AM,19.484,52.014
31,02/08/17 05:43:58 AM,19.151,52.900
32,02/08/17 06:43:58 AM,19.175,53.399
33,02/08/17 07:43:58 AM,18.961,53.307
34,02/08/17 08:43:58 AM,21.413,56.908
35,02/08/17 09:43:58 AM,29.215,51.217
36,02/08/17 10:43:58 AM,32.407,37.490
37,02/08/17 11:43:58 AM,32.562,36.491
38,02/08/17 12:43:58 PM,31.919,36.801
39,02/08/17 01:43:58 PM,32.227,35.510
40,02/08/17 02:43:58 PM,32.949,35.952
41,02/08/17 03:43:58 PM,35.689,33.538
42,02/08/17 04:43:58 PM,35.288,29.702
43,02/08/17 05:43:58 PM,33.079,28.556
44,02/08/17 06:43:58 PM,31.433,27.807
45,02/08/17 07:43:58 PM,29.540,27.455
46,02/08/17 08:43:58 PM,27.235,28.511
47,02/08/17 09:43:58 PM,25.331,30.225
48,02/08/17 10:43:58 PM,24.026,31.227
49,02/08/17 11:43:58 PM,22.848,31.662
50,02/09/17 12:43:58 AM,21.963,32.118
51,02/09/17 01:43:58 AM,21.294,32.691
52,02/09/17 02:43:58 AM,21.008,33.560
53,02/09/17 03:43:58 AM,20.936,34.215
54,02/09/17 04:43:58 AM,20.746,34.329
55,02/09/17 05:43:58 AM,20.150,34.504
56,02/09/17 06:43:58 AM,19.841,35.034
57,02/09/17 07:43:58 AM,19.413,35.386
58,02/09/17 08:43:58 AM,19.508,36.149
59,02/09/17 09:43:58 AM,20.936,40.597
60,02/09/17 10:43:58 AM,23.208,42.698
61,02/09/17 11:43:58 AM,24.677,42.735
62,02/09/17 12:43:58 PM,25.793,43.253
63,02/09/17 01:43:58 PM,26.842,43.340
64,02/09/17 02:43:58 PM,26.940,41.680
65,02/09/17 03:43:58 PM,27.014,41.787
66,02/09/17 04:43:58 PM,27.382,41.827
67,02/09/17 05:43:58 PM,28.742,35.988
68,02/09/17 06:43:58 PM,26.965,39.507
69,02/09/17 07:43:58 PM,24.339,48.498
70,02/09/17 08:43:58 PM,22.681,54.802
71,02/09/17 09:43:58 PM,22.154,53.604
72,02/09/17 10:43:58 PM,21.413,52.031
73,02/09/17 11:43:58 PM,19.912,61.613
74,02/10/17 12:43:58 AM,19.199,65.978
75,02/10/17 01:43:58 AM,19.056,63.722
76,02/10/17 02:43:58 AM,18.461,64.752
77,02/10/17 03:43:58 AM,18.366,62.889
78,02/10/17 04:43:58 AM,17.701,62.240
79,02/10/17 05:43:58 AM,17.320,63.933
80,02/10/17 06:43:58 AM,17.011,65.034
81,02/10/17 07:43:58 AM,17.605,61.805
82,02/10/17 08:43:58 AM,17.915,64.658
83,02/10/17 09:43:58 AM,21.318,57.355
84,02/10/17 10:43:58 AM,28.866,39.840
85,02/10/17 11:43:58 AM,30.469,36.525
86,02/10/17 12:43:58 PM,31.052,36.447
87,02/10/17 01:43:58 PM,30.091,36.354
88,02/10/17 02:43:58 PM,29.665,35.505
89,02/10/17 03:43:58 PM,28.766,36.158
90,02/10/17 04:43:58 PM,28.270,36.646
91,02/10/17 05:43:58 PM,27.974,37.252
92,02/10/17 06:43:58 PM,27.087,38.560
93,02/10/17 07:43:58 PM,25.162,42.333
