"Plot Title: Sensor3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20298842, SEN S/N: 20298842, LBL: Temp)","RH, % (LGR S/N: 20298842, SEN S/N: 20298842, LBL: RH)"
1,02/22/18 05:15:05 PM,92.244,24.333
2,02/22/18 05:20:05 PM,90.750,25.185
3,02/22/18 05:25:05 PM,86.617,29.409
4,02/22/18 05:30:05 PM,84.272,32.269
5,02/22/18 05:35:05 PM,89.593,27.850
6,02/22/18 05:40:05 PM,89.407,27.945
7,02/22/18 05:45:05 PM,88.993,27.790
8,02/22/18 05:50:05 PM,87.391,26.581
9,02/22/18 05:55:05 PM,86.346,26.676
10,02/22/18 06:00:05 PM,85.217,27.285
11,02/22/18 06:05:05 PM,84.857,27.511
12,02/22/18 06:10:05 PM,84.137,27.412
13,02/22/18 06:15:05 PM,83.422,27.656
14,02/22/18 06:20:05 PM,82.931,27.910
15,02/22/18 06:25:05 PM,82.130,28.081
16,02/22/18 06:30:05 PM,81.154,28.483
17,02/22/18 06:35:05 PM,80.713,28.839
18,02/22/18 06:40:05 PM,79.876,29.210
19,02/22/18 06:45:05 PM,78.865,29.878
20,02/22/18 06:50:05 PM,78.427,30.095
21,02/22/18 06:55:05 PM,77.639,30.667
22,02/22/18 07:00:05 PM,77.247,31.087
23,02/22/18 07:05:05 PM,76.593,31.594
24,02/22/18 07:10:05 PM,76.158,31.809
25,02/22/18 07:15:05 PM,75.724,32.291
26,02/22/18 07:20:05 PM,75.247,32.435
27,02/22/18 07:25:05 PM,75.681,35.525
28,02/22/18 07:30:05 PM,75.767,36.657
29,02/22/18 07:35:05 PM,75.420,37.893
30,02/22/18 07:40:05 PM,74.727,38.873
31,02/22/18 07:45:05 PM,74.206,39.564
32,02/22/18 07:50:05 PM,73.558,40.375
33,02/22/18 07:55:05 PM,73.213,40.583
34,02/22/18 08:00:05 PM,72.567,41.876
35,02/22/18 08:05:05 PM,72.221,42.470
36,02/22/18 08:10:05 PM,71.704,43.664
37,02/22/18 08:15:05 PM,70.887,45.440
38,02/22/18 08:20:05 PM,70.543,46.183
39,02/22/18 08:25:05 PM,69.901,47.571
40,02/22/18 08:30:05 PM,69.643,48.186
