"Plot Title: Sensor2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20298844, SEN S/N: 20298844, LBL: Temp)","RH, % (LGR S/N: 20298844, SEN S/N: 20298844, LBL: RH)"
1,02/22/18 05:14:03 PM,92.433,27.483
2,02/22/18 05:19:03 PM,93.470,24.098
3,02/22/18 05:24:03 PM,86.482,29.025
4,02/22/18 05:29:03 PM,84.452,31.462
5,02/22/18 05:34:03 PM,83.601,31.897
6,02/22/18 05:39:03 PM,83.242,32.558
7,02/22/18 05:44:03 PM,82.218,33.993
8,02/22/18 05:49:03 PM,87.255,32.141
9,02/22/18 05:54:03 PM,88.626,30.495
10,02/22/18 05:59:03 PM,87.436,30.715
11,02/22/18 06:04:03 PM,86.709,30.989
12,02/22/18 06:09:03 PM,86.074,31.198
13,02/22/18 06:14:03 PM,85.352,31.369
14,02/22/18 06:19:03 PM,84.632,31.539
15,02/22/18 06:24:03 PM,83.959,31.643
16,02/22/18 06:29:03 PM,83.199,31.742
17,02/22/18 06:34:03 PM,82.396,31.772
18,02/22/18 06:39:03 PM,81.687,31.805
19,02/22/18 06:44:03 PM,80.890,31.801
20,02/22/18 06:49:03 PM,80.008,31.792
21,02/22/18 06:54:03 PM,79.392,31.830
22,02/22/18 06:59:03 PM,78.777,31.801
23,02/22/18 07:04:03 PM,78.208,31.807
24,02/22/18 07:09:03 PM,77.639,31.813
25,02/22/18 07:14:03 PM,77.203,31.792
26,02/22/18 07:19:03 PM,76.681,31.800
27,02/22/18 07:24:03 PM,76.550,31.828
28,02/22/18 07:29:03 PM,76.550,31.760
29,02/22/18 07:34:03 PM,76.332,31.716
30,02/22/18 07:39:03 PM,75.810,31.691
31,02/22/18 07:44:03 PM,75.247,31.630
32,02/22/18 07:49:03 PM,74.683,31.670
33,02/22/18 07:54:03 PM,74.163,31.645
34,02/22/18 07:59:03 PM,73.558,31.649
35,02/22/18 08:04:03 PM,73.040,31.658
36,02/22/18 08:09:03 PM,72.523,31.699
37,02/22/18 08:14:03 PM,71.877,31.735
38,02/22/18 08:19:03 PM,71.274,31.706
39,02/22/18 08:24:03 PM,70.759,31.747
40,02/22/18 08:29:03 PM,70.286,31.724
41,02/22/18 08:34:03 PM,69.901,31.772
42,02/22/18 08:39:03 PM,69.514,31.820
43,02/22/18 08:44:03 PM,69.085,31.832
44,02/22/18 08:49:03 PM,68.657,31.844
45,02/22/18 08:54:03 PM,68.185,31.888
46,02/22/18 08:59:03 PM,67.842,31.937
47,02/22/18 09:04:03 PM,67.456,31.984
48,02/22/18 09:09:03 PM,67.199,32.038
49,02/22/18 09:14:03 PM,66.943,32.092
50,02/22/18 09:19:03 PM,66.814,32.118
51,02/22/18 09:24:03 PM,66.643,32.209
52,02/22/18 09:29:03 PM,66.515,32.269
53,02/22/18 09:34:03 PM,66.385,32.296
54,02/22/18 09:39:03 PM,66.258,32.355
55,02/22/18 09:44:03 PM,66.130,32.448
56,02/22/18 09:49:03 PM,66.087,32.479
57,02/22/18 09:54:03 PM,66.000,32.508
58,02/22/18 09:59:03 PM,65.916,32.569
59,02/22/18 10:04:03 PM,65.872,32.699
60,02/22/18 10:09:03 PM,65.829,32.763
61,02/22/18 10:14:03 PM,65.829,32.895
62,02/22/18 10:19:03 PM,65.829,32.994
63,02/22/18 10:24:03 PM,65.788,33.091
64,02/22/18 10:29:03 PM,65.788,33.157
65,02/22/18 10:34:03 PM,65.745,33.253
66,02/22/18 10:39:03 PM,65.701,33.350
67,02/22/18 10:44:03 PM,65.615,33.411
68,02/22/18 10:49:03 PM,65.487,33.503
69,02/22/18 10:54:03 PM,65.403,33.598
70,02/22/18 10:59:03 PM,65.273,33.657
71,02/22/18 11:04:03 PM,65.145,33.716
72,02/22/18 11:09:03 PM,65.017,33.775
73,02/22/18 11:14:03 PM,64.888,33.834
74,02/22/18 11:19:03 PM,64.803,33.895
75,02/22/18 11:24:03 PM,64.717,34.022
76,02/22/18 11:29:03 PM,64.632,34.018
77,02/22/18 11:34:03 PM,64.546,34.144
78,02/22/18 11:39:03 PM,64.418,34.203
79,02/22/18 11:44:03 PM,64.247,34.260
80,02/22/18 11:49:03 PM,64.117,34.351
81,02/22/18 11:54:03 PM,63.990,34.443
82,02/22/18 11:59:03 PM,63.862,34.534
83,02/23/18 12:04:03 AM,63.775,34.562
84,02/23/18 12:09:03 AM,63.689,34.689
85,02/23/18 12:14:03 AM,63.648,34.752
86,02/23/18 12:19:03 AM,63.604,34.847
87,02/23/18 12:24:03 AM,63.518,34.941
88,02/23/18 12:29:03 AM,63.475,35.004
89,02/23/18 12:34:03 AM,63.433,35.067
90,02/23/18 12:39:03 AM,63.347,35.193
91,02/23/18 12:44:03 AM,63.262,35.253
92,02/23/18 12:49:03 AM,63.219,35.316
93,02/23/18 12:54:03 AM,63.219,35.382
94,02/23/18 12:59:03 AM,63.219,35.479
95,02/23/18 01:04:03 AM,63.176,35.575
96,02/23/18 01:09:03 AM,63.048,35.666
97,02/23/18 01:14:03 AM,62.919,35.789
98,02/23/18 01:19:03 AM,62.834,35.849
99,02/23/18 01:24:03 AM,62.704,35.940
100,02/23/18 01:29:03 AM,62.577,35.998
101,02/23/18 01:34:03 AM,62.447,36.056
102,02/23/18 01:39:03 AM,62.362,36.116
103,02/23/18 01:44:03 AM,62.319,36.243
104,02/23/18 01:49:03 AM,62.233,36.304
105,02/23/18 01:54:03 AM,62.148,36.364
106,02/23/18 01:59:03 AM,62.062,36.456
107,02/23/18 02:04:03 AM,61.977,36.549
108,02/23/18 02:09:03 AM,61.891,36.609
109,02/23/18 02:14:03 AM,61.720,36.664
110,02/23/18 02:19:03 AM,61.590,36.787
111,02/23/18 02:24:03 AM,61.462,36.844
112,02/23/18 02:29:03 AM,61.290,36.899
113,02/23/18 02:34:03 AM,61.162,36.989
114,02/23/18 02:39:03 AM,61.032,37.046
115,02/23/18 02:44:03 AM,60.861,37.134
116,02/23/18 02:49:03 AM,60.733,37.223
117,02/23/18 02:54:03 AM,60.604,37.313
118,02/23/18 02:59:03 AM,60.517,37.372
119,02/23/18 03:04:03 AM,60.433,37.464
120,02/23/18 03:09:03 AM,60.303,37.554
121,02/23/18 03:14:03 AM,60.260,37.616
122,02/23/18 03:19:03 AM,60.174,37.740
123,02/23/18 03:24:03 AM,60.089,37.799
124,02/23/18 03:29:03 AM,60.046,37.893
125,02/23/18 03:34:03 AM,60.003,37.987
126,02/23/18 03:39:03 AM,60.003,38.116
127,02/23/18 03:44:03 AM,60.003,38.180
128,02/23/18 03:49:03 AM,59.959,38.274
129,02/23/18 03:54:03 AM,59.916,38.336
130,02/23/18 03:59:03 AM,59.830,38.395
131,02/23/18 04:04:03 AM,59.745,38.487
132,02/23/18 04:09:03 AM,59.616,38.544
133,02/23/18 04:14:03 AM,59.572,38.605
134,02/23/18 04:19:03 AM,59.445,38.694
135,02/23/18 04:24:03 AM,59.401,38.788
