"Plot Title: sensor2_Feb22_out"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20057778, SEN S/N: 20057778, LBL: Temp)","RH, % (LGR S/N: 20057778, SEN S/N: 20057778, LBL: RH)"
1,02/22/18 01:02:38 PM,82.218,37.778
2,02/22/18 01:07:38 PM,83.199,36.998
3,02/22/18 01:12:38 PM,83.914,35.561
4,02/22/18 01:17:38 PM,85.352,39.455
5,02/22/18 01:22:38 PM,84.362,35.080
6,02/22/18 01:27:38 PM,84.900,35.479
7,02/22/18 01:32:38 PM,85.262,34.823
8,02/22/18 01:37:38 PM,85.577,34.671
9,02/22/18 01:42:38 PM,85.352,35.098
10,02/22/18 01:47:38 PM,85.217,35.360
11,02/22/18 01:52:38 PM,85.035,35.890
12,02/22/18 01:57:38 PM,84.990,35.887
13,02/22/18 02:02:38 PM,84.900,35.916
14,02/22/18 02:07:38 PM,84.094,36.946
15,02/22/18 02:12:38 PM,84.182,36.985
16,02/22/18 02:17:38 PM,84.317,36.791
17,02/22/18 02:22:38 PM,84.452,36.832
18,02/22/18 02:27:38 PM,83.959,37.307
19,02/22/18 02:32:38 PM,84.362,37.061
20,02/22/18 02:37:38 PM,84.182,37.018
21,02/22/18 02:42:38 PM,84.407,36.729
22,02/22/18 02:47:38 PM,83.914,37.438
23,02/22/18 02:52:38 PM,83.824,37.567
24,02/22/18 02:57:38 PM,83.959,37.441
25,02/22/18 03:02:38 PM,83.914,37.371
26,02/22/18 03:07:38 PM,83.377,37.909
27,02/22/18 03:12:38 PM,83.332,37.740
28,02/22/18 03:17:38 PM,83.556,37.151
29,02/22/18 03:22:38 PM,83.556,37.853
30,02/22/18 03:27:38 PM,83.691,37.225
31,02/22/18 03:32:38 PM,83.736,37.763
32,02/22/18 03:37:38 PM,83.869,37.503
33,02/22/18 03:42:38 PM,84.497,37.136
34,02/22/18 03:47:38 PM,83.646,37.724
35,02/22/18 03:52:38 PM,83.467,38.015
36,02/22/18 03:57:38 PM,82.886,38.448
37,02/22/18 04:02:38 PM,82.753,38.640
38,02/22/18 04:07:38 PM,82.575,39.162
39,02/22/18 04:12:38 PM,81.909,39.819
40,02/22/18 04:17:38 PM,81.819,39.913
41,02/22/18 04:22:38 PM,81.199,40.537
42,02/22/18 04:27:38 PM,81.333,40.578
43,02/22/18 04:32:38 PM,81.509,40.490
44,02/22/18 04:37:38 PM,80.978,41.216
45,02/22/18 04:42:38 PM,80.845,41.077
46,02/22/18 04:47:38 PM,81.023,40.659
47,02/22/18 04:52:38 PM,80.580,41.817
48,02/22/18 04:57:38 PM,80.449,41.283
49,02/22/18 05:02:38 PM,79.876,42.855
50,02/22/18 05:07:38 PM,80.316,41.866
51,02/22/18 05:12:38 PM,79.831,42.754
52,02/22/18 05:17:38 PM,80.404,42.003
53,02/22/18 05:22:38 PM,79.876,42.789
54,02/22/18 05:27:38 PM,79.655,42.775
55,02/22/18 05:32:38 PM,79.216,43.662
56,02/22/18 05:37:38 PM,79.084,43.946
57,02/22/18 05:42:38 PM,78.996,44.429
58,02/22/18 05:47:38 PM,78.382,44.616
59,02/22/18 05:52:38 PM,77.902,45.298
60,02/22/18 05:57:38 PM,77.596,45.762
61,02/22/18 06:02:38 PM,77.160,46.604
62,02/22/18 06:07:38 PM,77.117,46.922
63,02/22/18 06:12:38 PM,76.419,47.741
64,02/22/18 06:17:38 PM,76.158,48.299
65,02/22/18 06:22:38 PM,75.898,48.536
66,02/22/18 06:27:38 PM,75.594,49.439
67,02/22/18 06:32:38 PM,75.420,50.158
68,02/22/18 06:37:38 PM,75.376,49.932
69,02/22/18 06:42:38 PM,75.508,50.323
70,02/22/18 06:47:38 PM,75.290,50.624
71,02/22/18 06:52:38 PM,74.770,51.408
72,02/22/18 06:57:38 PM,74.597,51.995
73,02/22/18 07:02:38 PM,73.990,53.269
74,02/22/18 07:07:38 PM,73.904,53.482
75,02/22/18 07:12:38 PM,73.774,54.035
76,02/22/18 07:17:38 PM,73.472,55.010
77,02/22/18 07:22:38 PM,73.040,55.877
78,02/22/18 07:27:38 PM,72.783,55.980
79,02/22/18 07:32:38 PM,72.307,57.086
80,02/22/18 07:37:38 PM,72.007,58.201
81,02/22/18 07:42:38 PM,71.060,57.136
82,02/22/18 07:47:38 PM,70.459,58.989
83,02/22/18 07:52:38 PM,70.115,59.875
84,02/22/18 07:57:38 PM,69.427,63.776
85,02/22/18 08:02:38 PM,68.614,66.594
86,02/22/18 08:07:38 PM,67.714,69.924
87,02/22/18 08:12:38 PM,67.158,71.296
88,02/22/18 08:17:38 PM,66.729,72.411
89,02/22/18 08:22:38 PM,66.385,76.194
90,02/22/18 08:27:38 PM,65.916,78.240
91,02/22/18 08:32:38 PM,65.530,80.388
92,02/22/18 08:37:38 PM,65.359,81.094
93,02/22/18 08:42:38 PM,65.230,80.324
94,02/22/18 08:47:38 PM,65.188,80.766
95,02/22/18 08:52:38 PM,65.059,80.332
96,02/22/18 08:57:38 PM,64.888,80.842
97,02/22/18 09:02:38 PM,64.888,80.171
98,02/22/18 09:07:38 PM,64.845,79.017
99,02/22/18 09:12:38 PM,64.760,79.736
100,02/22/18 09:17:38 PM,64.632,80.225
101,02/22/18 09:22:38 PM,64.546,79.739
102,02/22/18 09:27:38 PM,64.418,80.227
103,02/22/18 09:32:38 PM,64.247,80.681
104,02/22/18 09:37:38 PM,64.117,81.000
105,02/22/18 09:42:38 PM,63.990,81.207
106,02/22/18 09:47:38 PM,63.990,80.984
107,02/22/18 09:52:38 PM,63.946,80.923
108,02/22/18 09:57:38 PM,63.903,80.751
109,02/22/18 10:02:38 PM,63.775,80.903
110,02/22/18 10:07:38 PM,63.689,80.836
111,02/22/18 10:12:38 PM,63.775,80.234
112,02/22/18 10:17:38 PM,63.648,80.553
113,02/22/18 10:22:38 PM,63.604,79.990
114,02/22/18 10:27:38 PM,63.604,79.459
115,02/22/18 10:32:38 PM,63.604,79.095
116,02/22/18 10:37:38 PM,63.561,79.314
117,02/22/18 10:42:38 PM,63.475,79.807
118,02/22/18 10:47:38 PM,63.390,80.188
119,02/22/18 10:52:38 PM,63.390,80.243
120,02/22/18 10:57:38 PM,63.347,80.238
121,02/22/18 11:02:38 PM,63.347,79.792
122,02/22/18 11:07:38 PM,63.262,78.494
123,02/22/18 11:12:38 PM,63.347,77.124
124,02/22/18 11:17:38 PM,63.433,74.894
125,02/22/18 11:22:38 PM,63.518,74.076
126,02/22/18 11:27:38 PM,63.433,73.694
127,02/22/18 11:32:38 PM,63.304,73.021
128,02/22/18 11:37:38 PM,63.090,72.682
129,02/22/18 11:42:38 PM,62.834,73.486
130,02/22/18 11:47:38 PM,62.704,73.729
131,02/22/18 11:52:38 PM,62.620,73.519
132,02/22/18 11:57:38 PM,62.577,73.114
133,02/23/18 12:02:38 AM,62.362,73.434
134,02/23/18 12:07:38 AM,62.062,74.314
135,02/23/18 12:12:38 AM,62.191,73.729
136,02/23/18 12:17:38 AM,62.148,74.067
137,02/23/18 12:22:38 AM,62.062,74.655
138,02/23/18 12:27:38 AM,61.977,74.731
139,02/23/18 12:32:38 AM,61.848,74.774
140,02/23/18 12:37:38 AM,61.720,75.327
141,02/23/18 12:42:38 AM,61.506,75.869
142,02/23/18 12:47:38 AM,61.506,76.602
143,02/23/18 12:52:38 AM,61.547,75.704
144,02/23/18 12:57:38 AM,61.633,74.721
145,02/23/18 01:02:38 AM,61.677,74.982
146,02/23/18 01:07:38 AM,61.462,75.553
147,02/23/18 01:12:38 AM,61.376,76.221
148,02/23/18 01:17:38 AM,61.633,74.323
149,02/23/18 01:22:38 AM,61.376,75.515
150,02/23/18 01:27:38 AM,61.333,74.034
151,02/23/18 01:32:38 AM,61.205,73.820
152,02/23/18 01:37:38 AM,61.761,75.161
153,02/23/18 01:42:38 AM,61.720,73.449
154,02/23/18 01:47:38 AM,61.590,74.915
155,02/23/18 01:52:38 AM,61.333,74.148
156,02/23/18 01:57:38 AM,60.991,75.443
157,02/23/18 02:02:38 AM,60.861,76.191
158,02/23/18 02:07:38 AM,60.818,76.017
159,02/23/18 02:12:38 AM,60.948,75.636
160,02/23/18 02:17:38 AM,60.775,76.012
161,02/23/18 02:22:38 AM,60.647,77.431
162,02/23/18 02:27:38 AM,60.604,77.594
163,02/23/18 02:32:38 AM,60.390,76.980
164,02/23/18 02:37:38 AM,60.346,76.863
165,02/23/18 02:42:38 AM,60.260,76.713
166,02/23/18 02:47:38 AM,60.132,77.035
167,02/23/18 02:52:38 AM,59.873,77.817
168,02/23/18 02:57:38 AM,59.788,77.807
169,02/23/18 03:02:38 AM,59.659,77.960
170,02/23/18 03:07:38 AM,59.659,77.820
171,02/23/18 03:12:38 AM,59.572,78.145
172,02/23/18 03:17:38 AM,59.486,78.414
173,02/23/18 03:22:38 AM,59.315,78.477
174,02/23/18 03:27:38 AM,59.099,78.841
175,02/23/18 03:32:38 AM,59.142,79.096
176,02/23/18 03:37:38 AM,59.401,78.292
177,02/23/18 03:42:38 AM,59.616,78.206
178,02/23/18 03:47:38 AM,59.830,78.259
179,02/23/18 03:52:38 AM,59.830,78.147
180,02/23/18 03:57:38 AM,59.830,78.593
181,02/23/18 04:02:38 AM,59.788,79.034
182,02/23/18 04:07:38 AM,59.916,79.216
183,02/23/18 04:12:38 AM,60.132,78.378
184,02/23/18 04:17:38 AM,60.089,77.506
185,02/23/18 04:22:38 AM,59.916,77.234
186,02/23/18 04:27:38 AM,59.529,77.889
187,02/23/18 04:32:38 AM,59.272,78.583
188,02/23/18 04:37:38 AM,59.142,79.151
189,02/23/18 04:42:38 AM,58.885,79.952
190,02/23/18 04:47:38 AM,58.712,80.014
191,02/23/18 04:52:38 AM,58.498,80.815
192,02/23/18 04:57:38 AM,58.368,80.524
193,02/23/18 05:02:38 AM,58.282,81.201
194,02/23/18 05:07:38 AM,58.455,81.030
195,02/23/18 05:12:38 AM,58.712,80.731
196,02/23/18 05:17:38 AM,58.798,79.499
197,02/23/18 05:22:38 AM,58.842,80.085
198,02/23/18 05:27:38 AM,58.971,78.770
199,02/23/18 05:32:38 AM,58.712,79.377
200,02/23/18 05:37:38 AM,58.669,80.588
201,02/23/18 05:42:38 AM,59.014,78.803
202,02/23/18 05:47:38 AM,58.971,78.548
203,02/23/18 05:52:38 AM,59.142,77.983
204,02/23/18 05:57:38 AM,58.971,77.432
205,02/23/18 06:02:38 AM,58.541,78.719
206,02/23/18 06:07:38 AM,58.152,79.587
207,02/23/18 06:12:38 AM,57.765,81.001
208,02/23/18 06:17:38 AM,57.420,81.726
209,02/23/18 06:22:38 AM,57.247,83.394
210,02/23/18 06:27:38 AM,57.893,81.456
211,02/23/18 06:32:38 AM,57.722,82.474
212,02/23/18 06:37:38 AM,58.109,81.125
213,02/23/18 06:42:38 AM,58.109,80.988
214,02/23/18 06:47:38 AM,57.765,80.313
215,02/23/18 06:52:38 AM,57.592,80.540
216,02/23/18 06:57:38 AM,57.376,80.596
217,02/23/18 07:02:38 AM,57.074,81.492
218,02/23/18 07:07:38 AM,56.901,82.180
219,02/23/18 07:12:38 AM,57.160,82.594
220,02/23/18 07:17:38 AM,57.420,81.698
