"Plot Title: SG1_Feb25"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9733611, SEN S/N: 9733611, LBL: Temp)","RH, % (LGR S/N: 9733611, SEN S/N: 9733611, LBL: RH)"
1,02/25/18 10:17:07 AM,74.338,50.490
2,02/25/18 10:22:07 AM,75.160,48.579
3,02/25/18 10:27:07 AM,75.594,47.683
4,02/25/18 10:32:07 AM,76.332,46.611
5,02/25/18 10:37:07 AM,76.593,46.372
6,02/25/18 10:42:07 AM,76.986,45.786
7,02/25/18 10:47:07 AM,77.596,45.245
8,02/25/18 10:52:07 AM,77.378,45.230
9,02/25/18 10:57:07 AM,79.084,43.751
10,02/25/18 11:02:07 AM,79.084,43.164
11,02/25/18 11:07:07 AM,79.920,43.152
12,02/25/18 11:12:07 AM,80.361,42.197
13,02/25/18 11:17:07 AM,79.920,41.678
14,02/25/18 11:22:07 AM,81.909,40.514
15,02/25/18 11:27:07 AM,84.004,38.212
16,02/25/18 11:32:07 AM,82.308,39.014
17,02/25/18 11:37:07 AM,81.333,39.488
18,02/25/18 11:42:07 AM,81.333,39.024
19,02/25/18 11:47:07 AM,81.154,39.742
20,02/25/18 11:52:07 AM,82.175,38.773
21,02/25/18 11:57:07 AM,83.914,36.501
22,02/25/18 12:02:07 PM,83.779,35.991
23,02/25/18 12:07:07 PM,84.812,35.777
24,02/25/18 12:12:07 PM,83.556,36.348
25,02/25/18 12:17:07 PM,85.262,35.093
26,02/25/18 12:22:07 PM,86.346,33.932
27,02/25/18 12:27:07 PM,85.712,33.866
28,02/25/18 12:32:07 PM,86.164,34.058
29,02/25/18 12:37:07 PM,85.577,35.042
30,02/25/18 12:42:07 PM,84.497,35.995
31,02/25/18 12:47:07 PM,84.004,36.740
32,02/25/18 12:52:07 PM,83.601,37.220
33,02/25/18 12:57:07 PM,83.869,36.700
34,02/25/18 01:02:07 PM,83.422,37.277
35,02/25/18 01:07:07 PM,82.620,37.967
36,02/25/18 01:12:07 PM,83.064,37.525
37,02/25/18 01:17:07 PM,81.952,38.927
38,02/25/18 01:22:07 PM,82.931,37.918
39,02/25/18 01:27:07 PM,81.642,38.909
40,02/25/18 01:32:07 PM,82.308,38.482
41,02/25/18 01:37:07 PM,81.597,39.139
42,02/25/18 01:42:07 PM,81.333,39.421
43,02/25/18 01:47:07 PM,82.085,38.503
44,02/25/18 01:52:07 PM,82.665,37.636
45,02/25/18 01:57:07 PM,82.753,37.641
46,02/25/18 02:02:07 PM,83.199,37.332
47,02/25/18 02:07:07 PM,83.467,37.781
48,02/25/18 02:12:07 PM,83.736,37.161
49,02/25/18 02:17:07 PM,83.914,37.305
50,02/25/18 02:22:07 PM,83.914,35.863
51,02/25/18 02:27:07 PM,82.976,38.020
52,02/25/18 02:32:07 PM,83.377,38.110
53,02/25/18 02:37:07 PM,83.021,36.252
54,02/25/18 02:42:07 PM,83.199,36.261
55,02/25/18 02:47:07 PM,83.287,37.337
56,02/25/18 02:52:07 PM,83.377,38.276
57,02/25/18 02:57:07 PM,83.021,37.656
58,02/25/18 03:02:07 PM,83.287,37.871
59,02/25/18 03:07:07 PM,82.396,37.755
60,02/25/18 03:12:07 PM,81.909,37.994
61,02/25/18 03:17:07 PM,82.353,39.547
62,02/25/18 03:22:07 PM,81.952,39.954
63,02/25/18 03:27:07 PM,82.353,38.750
64,02/25/18 03:32:07 PM,82.175,40.000
65,02/25/18 03:37:07 PM,82.085,39.333
66,02/25/18 03:42:07 PM,82.085,40.293
67,02/25/18 03:47:07 PM,81.023,41.647
68,02/25/18 03:52:07 PM,81.199,40.768
69,02/25/18 03:57:07 PM,81.066,40.431
70,02/25/18 04:02:07 PM,81.111,40.202
71,02/25/18 04:07:07 PM,81.333,40.611
72,02/25/18 04:12:07 PM,81.244,40.936
73,02/25/18 04:17:07 PM,80.757,40.346
74,02/25/18 04:22:07 PM,80.449,41.349
75,02/25/18 04:27:07 PM,79.876,42.331
