"Plot Title: SG north_sensor_1meter"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 9733611, SEN S/N: 9733611, LBL: Temp)","RH, % (LGR S/N: 9733611, SEN S/N: 9733611, LBL: RH)"
1,03/25/19 09:05:04 AM,66.600,77.640
2,03/25/19 09:35:04 AM,67.671,69.392
3,03/25/19 10:05:04 AM,70.243,63.461
4,03/25/19 10:35:04 AM,73.645,56.486
5,03/25/19 11:05:04 AM,77.117,49.709
6,03/25/19 11:35:04 AM,78.251,45.774
7,03/25/19 12:05:04 PM,81.687,40.302
8,03/25/19 12:35:04 PM,83.646,37.624
9,03/25/19 01:05:04 PM,82.886,37.415
10,03/25/19 01:35:04 PM,81.597,39.238
11,03/25/19 02:05:04 PM,80.625,40.635
12,03/25/19 02:35:04 PM,80.139,40.837
13,03/25/19 03:05:04 PM,83.109,37.594
14,03/25/19 03:35:04 PM,85.894,33.977
15,03/25/19 04:05:04 PM,85.849,34.719
16,03/25/19 04:35:04 PM,86.346,34.474
17,03/25/19 05:05:04 PM,79.173,44.050
18,03/25/19 05:35:04 PM,78.251,45.839
19,03/25/19 06:05:04 PM,76.854,49.020
20,03/25/19 06:35:04 PM,74.338,53.076
21,03/25/19 07:05:04 PM,72.351,57.923
22,03/25/19 07:35:04 PM,66.258,69.861
23,03/25/19 08:05:04 PM,64.888,72.906
24,03/25/19 08:35:04 PM,63.561,76.414
25,03/25/19 09:05:04 PM,62.577,78.806
26,03/25/19 09:35:04 PM,62.105,80.978
27,03/25/19 10:05:04 PM,62.875,78.420
28,03/25/19 10:35:04 PM,62.319,79.613
29,03/25/19 11:05:04 PM,61.677,80.454
30,03/25/19 11:35:04 PM,60.948,82.134
31,03/26/19 12:05:04 AM,61.547,80.189
32,03/26/19 12:35:04 AM,61.205,81.753
33,03/26/19 01:05:04 AM,59.401,83.584
34,03/26/19 01:35:04 AM,58.712,84.204
35,03/26/19 02:05:04 AM,57.420,88.093
36,03/26/19 02:35:04 AM,57.333,85.675
37,03/26/19 03:05:04 AM,57.074,86.740
38,03/26/19 03:35:04 AM,56.988,87.556
39,03/26/19 04:05:04 AM,56.512,89.058
40,03/26/19 04:35:04 AM,56.079,90.080
41,03/26/19 05:05:04 AM,55.776,91.582
42,03/26/19 05:35:04 AM,55.863,89.734
43,03/26/19 06:05:04 AM,55.081,87.992
44,03/26/19 06:35:04 AM,54.387,87.157
45,03/26/19 07:05:04 AM,54.126,88.391
46,03/26/19 07:35:04 AM,53.209,89.318
47,03/26/19 08:05:04 AM,55.081,84.362
48,03/26/19 08:35:04 AM,63.390,72.255
49,03/26/19 09:05:04 AM,67.285,63.395
50,03/26/19 09:35:04 AM,71.533,54.978
51,03/26/19 10:05:04 AM,74.250,49.850
52,03/26/19 10:35:04 AM,76.986,44.816
53,03/26/19 11:05:04 AM,79.084,41.790
54,03/26/19 11:35:04 AM,82.530,37.429
55,03/26/19 12:05:04 PM,84.094,34.426
56,03/26/19 12:35:04 PM,88.671,30.291
57,03/26/19 01:05:04 PM,84.900,34.197
58,03/26/19 01:35:04 PM,82.931,35.912
59,03/26/19 02:05:04 PM,83.154,36.326
60,03/26/19 02:35:04 PM,87.528,30.308
61,03/26/19 03:05:04 PM,89.593,24.722
62,03/26/19 03:35:04 PM,87.436,32.013
63,03/26/19 04:05:04 PM,81.997,37.532
64,03/26/19 04:35:04 PM,79.304,42.459
65,03/26/19 05:05:04 PM,77.990,43.941
66,03/26/19 05:35:04 PM,79.655,42.939
67,03/26/19 06:05:04 PM,77.990,45.950
68,03/26/19 06:35:04 PM,75.333,50.976
69,03/26/19 07:05:04 PM,70.887,59.087
70,03/26/19 07:35:04 PM,68.571,63.486
71,03/26/19 08:05:04 PM,66.472,68.653
72,03/26/19 08:35:04 PM,63.946,74.894
73,03/26/19 09:05:04 PM,63.005,77.677
74,03/26/19 09:35:04 PM,61.506,82.451
75,03/26/19 10:05:04 PM,61.891,81.395
76,03/26/19 10:35:04 PM,61.977,79.684
77,03/26/19 11:05:04 PM,61.462,80.206
78,03/26/19 11:35:04 PM,60.991,82.332
79,03/27/19 12:05:04 AM,60.174,85.503
80,03/27/19 12:35:04 AM,59.142,86.503
81,03/27/19 01:05:04 AM,58.023,87.106
82,03/27/19 01:35:04 AM,58.626,87.614
83,03/27/19 02:05:04 AM,58.282,87.435
84,03/27/19 02:35:04 AM,56.728,89.114
85,03/27/19 03:05:04 AM,57.722,88.373
86,03/27/19 03:35:04 AM,57.160,89.278
87,03/27/19 04:05:04 AM,56.035,90.913
88,03/27/19 04:35:04 AM,55.081,91.407
89,03/27/19 05:05:04 AM,55.299,90.889
90,03/27/19 05:35:04 AM,55.125,90.394
91,03/27/19 06:05:04 AM,56.165,91.428
92,03/27/19 06:35:04 AM,54.255,89.041
93,03/27/19 07:05:04 AM,54.561,89.030
94,03/27/19 07:35:04 AM,53.776,88.897
95,03/27/19 08:05:04 AM,53.690,89.751
96,03/27/19 08:35:04 AM,56.512,87.360
97,03/27/19 09:05:04 AM,65.359,68.013
98,03/27/19 09:35:04 AM,71.704,55.799
99,03/27/19 10:05:04 AM,72.178,53.284
100,03/27/19 10:35:04 AM,73.342,50.164
101,03/27/19 11:05:04 AM,77.902,40.800
102,03/27/19 11:35:04 AM,81.597,34.634
103,03/27/19 12:05:04 PM,84.542,31.875
104,03/27/19 12:35:04 PM,87.391,27.860
105,03/27/19 01:05:04 PM,84.722,33.105
106,03/27/19 01:35:04 PM,85.082,33.529
107,03/27/19 02:05:04 PM,82.620,36.498
108,03/27/19 02:35:04 PM,83.199,36.462
109,03/27/19 03:05:04 PM,81.288,39.684
110,03/27/19 03:35:04 PM,82.396,38.421
111,03/27/19 04:05:04 PM,80.449,41.480
112,03/27/19 04:35:04 PM,79.041,43.748
113,03/27/19 05:05:04 PM,75.985,49.085
114,03/27/19 05:35:04 PM,74.163,52.497
115,03/27/19 06:05:04 PM,72.307,56.901
116,03/27/19 06:35:04 PM,71.146,60.118
117,03/27/19 07:05:04 PM,67.971,67.420
118,03/27/19 07:35:04 PM,64.717,75.379
119,03/27/19 08:05:04 PM,63.005,80.002
120,03/27/19 08:35:04 PM,61.891,83.241
121,03/27/19 09:05:04 PM,61.462,84.718
122,03/27/19 09:35:04 PM,61.032,86.102
123,03/27/19 10:05:04 PM,60.390,86.774
124,03/27/19 10:35:04 PM,61.462,85.561
125,03/27/19 11:05:04 PM,60.647,88.312
126,03/27/19 11:35:04 PM,59.358,90.399
127,03/28/19 12:05:04 AM,59.272,91.152
128,03/28/19 12:35:04 AM,58.798,91.508
129,03/28/19 01:05:04 AM,58.582,90.477
130,03/28/19 01:35:04 AM,57.722,90.569
131,03/28/19 02:05:04 AM,57.290,91.507
132,03/28/19 02:35:04 AM,56.772,94.267
133,03/28/19 03:05:04 AM,58.282,90.330
134,03/28/19 03:35:04 AM,56.988,91.857
135,03/28/19 04:05:04 AM,55.992,91.743
136,03/28/19 04:35:04 AM,55.863,92.713
137,03/28/19 05:05:04 AM,54.995,93.055
138,03/28/19 05:35:04 AM,55.386,92.178
139,03/28/19 06:05:04 AM,56.295,92.723
140,03/28/19 06:35:04 AM,55.690,91.961
141,03/28/19 07:05:04 AM,55.081,90.440
142,03/28/19 07:35:04 AM,55.125,91.334
143,03/28/19 08:05:04 AM,55.342,90.921
144,03/28/19 08:35:04 AM,61.419,78.446
145,03/28/19 09:05:04 AM,69.256,65.377
146,03/28/19 09:35:04 AM,68.227,64.920
147,03/28/19 10:05:04 AM,71.964,56.625
148,03/28/19 10:35:04 AM,74.120,52.337
149,03/28/19 11:05:04 AM,75.290,48.461
150,03/28/19 11:35:04 AM,77.378,44.810
151,03/28/19 12:05:04 PM,80.537,39.474
152,03/28/19 12:35:04 PM,80.625,40.206
153,03/28/19 01:05:04 PM,81.199,39.347
154,03/28/19 01:35:04 PM,82.530,37.562
155,03/28/19 02:05:04 PM,84.094,35.100
156,03/28/19 02:35:04 PM,84.182,35.575
157,03/28/19 03:05:04 PM,83.601,35.276
158,03/28/19 03:35:04 PM,83.422,34.863
159,03/28/19 04:05:04 PM,84.497,31.736
160,03/28/19 04:35:04 PM,81.466,39.462
161,03/28/19 05:05:04 PM,77.945,44.425
162,03/28/19 05:35:04 PM,76.636,46.246
163,03/28/19 06:05:04 PM,78.690,43.986
164,03/28/19 06:35:04 PM,71.490,56.586
165,03/28/19 07:05:04 PM,67.885,65.661
166,03/28/19 07:35:04 PM,62.661,76.735
167,03/28/19 08:05:04 PM,61.075,79.799
168,03/28/19 08:35:04 PM,60.089,83.043
169,03/28/19 09:05:04 PM,60.132,83.431
170,03/28/19 09:35:04 PM,60.174,83.245
171,03/28/19 10:05:04 PM,59.572,85.615
172,03/28/19 10:35:04 PM,59.616,85.593
173,03/28/19 11:05:04 PM,59.486,85.604
174,03/28/19 11:35:04 PM,58.885,87.274
175,03/29/19 12:05:04 AM,57.979,88.168
176,03/29/19 12:35:04 AM,57.765,87.286
177,03/29/19 01:05:04 AM,58.023,88.174
178,03/29/19 01:35:04 AM,57.420,89.895
179,03/29/19 02:05:04 AM,58.368,87.420
180,03/29/19 02:35:04 AM,57.850,86.923
181,03/29/19 03:05:04 AM,56.035,89.336
182,03/29/19 03:35:04 AM,55.949,89.377
183,03/29/19 04:05:04 AM,57.204,88.808
184,03/29/19 04:35:04 AM,56.858,86.952
185,03/29/19 05:05:04 AM,56.728,87.841
186,03/29/19 05:35:04 AM,56.772,86.353
187,03/29/19 06:05:04 AM,57.463,86.979
188,03/29/19 06:35:04 AM,56.815,89.178
189,03/29/19 07:05:04 AM,57.074,86.124
190,03/29/19 07:35:04 AM,57.247,84.180
191,03/29/19 08:05:04 AM,57.506,84.538
192,03/29/19 08:35:04 AM,59.099,81.109
193,03/29/19 09:05:04 AM,60.904,77.993
194,03/29/19 09:35:04 AM,64.803,68.338
195,03/29/19 10:05:04 AM,67.372,61.751
196,03/29/19 10:35:04 AM,71.190,54.453
197,03/29/19 11:05:04 AM,77.160,45.313
198,03/29/19 11:35:04 AM,79.480,42.535
199,03/29/19 12:05:04 PM,82.665,39.001
200,03/29/19 12:35:04 PM,82.931,36.782
201,03/29/19 01:05:04 PM,85.667,33.898
202,03/29/19 01:35:04 PM,84.362,34.574
203,03/29/19 02:05:04 PM,81.775,37.453
204,03/29/19 02:35:04 PM,80.845,38.764
205,03/29/19 03:05:04 PM,81.554,38.173
206,03/29/19 03:35:04 PM,80.935,39.696
207,03/29/19 04:05:04 PM,81.554,38.970
208,03/29/19 04:35:04 PM,82.530,38.495
209,03/29/19 05:05:04 PM,77.292,46.032
210,03/29/19 05:35:04 PM,73.818,51.557
211,03/29/19 06:05:04 PM,72.523,54.217
212,03/29/19 06:35:04 PM,70.416,58.311
213,03/29/19 07:05:04 PM,70.716,57.876
214,03/29/19 07:35:04 PM,68.142,63.565
215,03/29/19 08:05:04 PM,67.671,64.807
216,03/29/19 08:35:04 PM,65.745,69.662
217,03/29/19 09:05:04 PM,66.558,68.192
218,03/29/19 09:35:04 PM,65.487,69.227
219,03/29/19 10:05:04 PM,63.689,73.436
220,03/29/19 10:35:04 PM,62.148,77.240
221,03/29/19 11:05:04 PM,61.290,79.351
222,03/29/19 11:35:04 PM,60.861,80.910
223,03/30/19 12:05:04 AM,60.433,82.866
224,03/30/19 12:35:04 AM,59.830,85.080
225,03/30/19 01:05:04 AM,58.842,86.086
226,03/30/19 01:35:04 AM,58.325,85.804
