"Plot Title: SG north_Sensor_Middle"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20298844, SEN S/N: 20298844, LBL: Temp)","RH, % (LGR S/N: 20298844, SEN S/N: 20298844, LBL: RH)"
1,03/25/19 09:01:58 AM,63.133,80.602
2,03/25/19 09:31:58 AM,66.344,80.682
3,03/25/19 10:01:58 AM,69.343,80.845
4,03/25/19 10:31:58 AM,72.696,81.077
5,03/25/19 11:01:58 AM,76.419,81.323
6,03/25/19 11:31:58 AM,81.154,81.485
7,03/25/19 12:01:58 PM,84.990,81.506
8,03/25/19 12:31:58 PM,89.454,81.389
9,03/25/19 01:01:58 PM,92.057,81.047
10,03/25/19 01:31:58 PM,92.057,80.723
11,03/25/19 02:01:58 PM,91.216,80.684
12,03/25/19 02:31:58 PM,89.685,80.654
13,03/25/19 03:01:58 PM,89.638,80.708
14,03/25/19 03:31:58 PM,92.433,80.914
15,03/25/19 04:01:58 PM,92.997,80.743
16,03/25/19 04:31:58 PM,92.856,80.549
17,03/25/19 05:01:58 PM,91.123,79.819
18,03/25/19 05:31:58 PM,85.849,79.918
19,03/25/19 06:01:58 PM,82.665,79.899
20,03/25/19 06:31:58 PM,81.244,79.763
21,03/25/19 07:01:58 PM,78.602,79.601
22,03/25/19 07:31:58 PM,73.904,79.256
23,03/25/19 08:01:58 PM,69.771,79.427
24,03/25/19 08:31:58 PM,67.028,79.499
25,03/25/19 09:01:58 PM,64.931,79.701
26,03/25/19 09:31:58 PM,63.732,79.782
27,03/25/19 10:01:58 PM,63.048,79.896
28,03/25/19 10:31:58 PM,62.834,80.009
29,03/25/19 11:01:58 PM,62.406,80.069
30,03/25/19 11:31:58 PM,61.891,80.008
31,03/26/19 12:01:58 AM,61.761,80.215
32,03/26/19 12:31:58 AM,61.633,80.172
33,03/26/19 01:01:58 AM,60.904,80.056
34,03/26/19 01:31:58 AM,59.959,80.109
35,03/26/19 02:01:58 AM,59.185,80.099
36,03/26/19 02:31:58 AM,58.541,80.297
37,03/26/19 03:01:58 AM,57.936,80.279
38,03/26/19 03:31:58 AM,57.549,80.314
39,03/26/19 04:01:58 AM,57.160,80.322
40,03/26/19 04:31:58 AM,56.772,80.330
41,03/26/19 05:01:58 AM,56.251,80.295
42,03/26/19 05:31:58 AM,55.733,80.369
43,03/26/19 06:01:58 AM,55.690,80.391
44,03/26/19 06:31:58 AM,55.168,80.464
45,03/26/19 07:01:58 AM,54.604,80.368
46,03/26/19 07:31:58 AM,54.082,80.414
47,03/26/19 08:01:58 AM,53.865,80.496
48,03/26/19 08:31:58 AM,56.944,80.461
49,03/26/19 09:01:58 AM,61.506,80.461
50,03/26/19 09:31:58 AM,65.872,80.569
51,03/26/19 10:01:58 AM,70.115,80.797
52,03/26/19 10:31:58 AM,74.120,81.049
53,03/26/19 11:01:58 AM,78.382,81.414
54,03/26/19 11:31:58 AM,83.021,81.591
55,03/26/19 12:01:58 PM,87.710,81.535
56,03/26/19 12:31:58 PM,92.903,81.351
57,03/26/19 01:01:58 PM,96.386,80.866
58,03/26/19 01:31:58 PM,95.088,80.391
59,03/26/19 02:01:58 PM,92.950,80.383
60,03/26/19 02:31:58 PM,93.848,80.989
61,03/26/19 03:01:58 PM,97.599,80.827
62,03/26/19 03:31:58 PM,98.724,80.568
63,03/26/19 04:01:58 PM,93.517,79.618
64,03/26/19 04:31:58 PM,89.685,79.890
65,03/26/19 05:01:58 PM,85.577,79.974
66,03/26/19 05:31:58 PM,84.094,80.181
67,03/26/19 06:01:58 PM,83.154,79.840
68,03/26/19 06:31:58 PM,80.890,79.636
69,03/26/19 07:01:58 PM,77.335,79.454
70,03/26/19 07:31:58 PM,73.558,79.244
71,03/26/19 08:01:58 PM,70.587,79.296
72,03/26/19 08:31:58 PM,67.627,79.457
73,03/26/19 09:01:58 PM,65.102,79.665
74,03/26/19 09:31:58 PM,63.775,79.703
75,03/26/19 10:01:58 PM,62.919,79.796
76,03/26/19 10:31:58 PM,62.148,79.927
77,03/26/19 11:01:58 PM,62.191,80.127
78,03/26/19 11:31:58 PM,61.934,80.208
79,03/27/19 12:01:58 AM,61.376,80.113
80,03/27/19 12:31:58 AM,60.818,80.129
81,03/27/19 01:01:58 AM,60.089,80.180
82,03/27/19 01:31:58 AM,59.315,80.252
83,03/27/19 02:01:58 AM,59.142,80.204
84,03/27/19 02:31:58 AM,58.411,80.143
85,03/27/19 03:01:58 AM,57.893,80.301
86,03/27/19 03:31:58 AM,57.722,80.253
87,03/27/19 04:01:58 AM,57.160,80.322
88,03/27/19 04:31:58 AM,56.815,80.418
89,03/27/19 05:01:58 AM,56.469,80.458
90,03/27/19 05:31:58 AM,56.295,80.492
91,03/27/19 06:01:58 AM,56.122,80.498
92,03/27/19 06:31:58 AM,56.251,80.514
93,03/27/19 07:01:58 AM,55.386,80.409
94,03/27/19 07:31:58 AM,54.734,80.384
95,03/27/19 08:01:58 AM,54.212,80.430
96,03/27/19 08:31:58 AM,54.734,80.521
97,03/27/19 09:01:58 AM,59.401,80.649
98,03/27/19 09:31:58 AM,64.375,80.696
99,03/27/19 10:01:58 AM,68.828,80.840
100,03/27/19 10:31:58 AM,72.351,81.036
101,03/27/19 11:01:58 AM,76.725,81.359
102,03/27/19 11:31:58 AM,81.642,81.514
103,03/27/19 12:01:58 PM,87.255,81.365
104,03/27/19 12:31:58 PM,91.542,81.281
105,03/27/19 01:01:58 PM,94.849,80.690
106,03/27/19 01:31:58 PM,94.609,80.455
107,03/27/19 02:01:58 PM,93.659,80.287
108,03/27/19 02:31:58 PM,91.589,80.374
109,03/27/19 03:01:58 PM,90.565,80.256
110,03/27/19 03:31:58 PM,89.638,80.296
111,03/27/19 04:01:58 PM,88.810,80.260
112,03/27/19 04:31:58 PM,87.028,80.054
113,03/27/19 05:01:58 PM,84.362,79.979
114,03/27/19 05:31:58 PM,81.244,79.966
115,03/27/19 06:01:58 PM,78.471,79.932
116,03/27/19 06:31:58 PM,75.853,79.913
117,03/27/19 07:01:58 PM,72.869,79.791
118,03/27/19 07:31:58 PM,69.600,79.718
119,03/27/19 08:01:58 PM,66.214,79.769
120,03/27/19 08:31:58 PM,64.247,80.095
121,03/27/19 09:01:58 PM,63.433,80.221
