"Plot Title: SG north_sensor_Top"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20298843, SEN S/N: 20298843, LBL: Temp)","RH, % (LGR S/N: 20298843, SEN S/N: 20298843, LBL: RH)"
1,03/25/19 09:00:40 AM,61.720,79.904
2,03/25/19 09:30:40 AM,65.188,79.871
3,03/25/19 10:00:40 AM,68.400,79.831
4,03/25/19 10:30:40 AM,71.920,79.822
5,03/25/19 11:00:40 AM,76.071,80.396
6,03/25/19 11:30:40 AM,81.819,80.698
7,03/25/19 12:00:40 PM,86.617,80.766
8,03/25/19 12:30:40 PM,91.402,80.264
9,03/25/19 01:00:40 PM,93.992,79.731
10,03/25/19 01:30:40 PM,93.801,79.145
11,03/25/19 02:00:40 PM,93.186,78.957
12,03/25/19 02:30:40 PM,91.495,79.241
13,03/25/19 03:00:40 PM,91.402,79.880
14,03/25/19 03:30:40 PM,94.896,80.873
15,03/25/19 04:00:40 PM,97.014,79.807
16,03/25/19 04:30:40 PM,96.435,79.621
17,03/25/19 05:00:40 PM,93.375,77.577
18,03/25/19 05:30:40 PM,87.028,78.440
19,03/25/19 06:00:40 PM,83.601,78.433
20,03/25/19 06:30:40 PM,81.952,78.071
21,03/25/19 07:00:40 PM,78.865,77.867
22,03/25/19 07:30:40 PM,73.342,77.010
23,03/25/19 08:00:40 PM,68.913,77.651
24,03/25/19 08:30:40 PM,66.043,77.973
25,03/25/19 09:00:40 PM,64.033,78.415
26,03/25/19 09:30:40 PM,62.704,78.541
27,03/25/19 10:00:40 PM,62.062,78.801
28,03/25/19 10:30:40 PM,61.934,78.898
29,03/25/19 11:00:40 PM,61.590,78.885
30,03/25/19 11:30:40 PM,60.991,78.898
31,03/26/19 12:00:40 AM,61.032,79.209
32,03/26/19 12:30:40 AM,60.818,78.989
33,03/26/19 01:00:40 AM,59.959,78.887
34,03/26/19 01:30:40 AM,59.056,79.002
35,03/26/19 02:00:40 AM,58.195,78.956
36,03/26/19 02:30:40 AM,57.807,79.186
37,03/26/19 03:00:40 AM,57.160,79.275
38,03/26/19 03:30:40 AM,56.772,79.284
39,03/26/19 04:00:40 AM,56.340,79.259
40,03/26/19 04:30:40 AM,55.949,79.350
41,03/26/19 05:00:40 AM,55.342,79.278
42,03/26/19 05:30:40 AM,54.909,79.445
43,03/26/19 06:00:40 AM,54.865,79.358
44,03/26/19 06:30:40 AM,54.430,79.470
45,03/26/19 07:00:40 AM,53.690,79.381
46,03/26/19 07:30:40 AM,53.209,79.378
47,03/26/19 08:00:40 AM,52.817,79.659
48,03/26/19 08:30:40 AM,54.865,79.879
49,03/26/19 09:00:40 AM,59.185,80.043
50,03/26/19 09:30:40 AM,63.732,79.949
51,03/26/19 10:00:40 AM,68.443,79.892
52,03/26/19 10:30:40 AM,73.126,80.191
53,03/26/19 11:00:40 AM,78.382,80.611
54,03/26/19 11:30:40 AM,84.004,80.810
55,03/26/19 12:00:40 PM,89.454,80.803
56,03/26/19 12:30:40 PM,95.184,80.580
57,03/26/19 01:00:40 PM,98.920,78.883
58,03/26/19 01:30:40 PM,97.014,78.670
59,03/26/19 02:00:40 PM,94.800,78.841
60,03/26/19 02:30:40 PM,96.481,80.848
61,03/26/19 03:00:40 PM,101.408,80.244
62,03/26/19 03:30:40 PM,102.672,79.724
63,03/26/19 04:00:40 PM,95.374,77.468
64,03/26/19 04:30:40 PM,91.308,78.003
65,03/26/19 05:00:40 PM,86.891,78.454
66,03/26/19 05:30:40 PM,85.487,79.058
67,03/26/19 06:00:40 PM,84.137,78.494
68,03/26/19 06:30:40 PM,81.333,78.088
69,03/26/19 07:00:40 PM,77.378,77.408
70,03/26/19 07:30:40 PM,72.783,77.435
71,03/26/19 08:00:40 PM,69.685,77.654
72,03/26/19 08:30:40 PM,66.772,77.830
73,03/26/19 09:00:40 PM,64.204,78.267
74,03/26/19 09:30:40 PM,62.748,78.433
75,03/26/19 10:00:40 PM,61.848,78.664
76,03/26/19 10:30:40 PM,61.162,78.974
77,03/26/19 11:00:40 PM,61.376,79.167
78,03/26/19 11:30:40 PM,61.248,79.179
79,03/27/19 12:00:40 AM,60.517,78.981
80,03/27/19 12:30:40 AM,59.959,78.998
81,03/27/19 01:00:40 AM,59.315,79.005
82,03/27/19 01:30:40 AM,58.541,79.301
83,03/27/19 02:00:40 AM,58.239,79.127
84,03/27/19 02:30:40 AM,57.463,79.117
85,03/27/19 03:00:40 AM,57.031,79.342
86,03/27/19 03:30:40 AM,56.772,79.201
87,03/27/19 04:00:40 AM,56.340,79.342
