"Plot Title: SG2-Middle"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580752, SEN S/N: 20580752)","RH, % (LGR S/N: 20580752, SEN S/N: 20580752)"
1,03/25/19 05:54:55 PM,89.499,77.000
2,03/25/19 06:24:55 PM,83.824,78.546
3,03/25/19 06:54:55 PM,80.757,78.750
4,03/25/19 07:24:55 PM,75.898,79.345
5,03/25/19 07:54:55 PM,70.372,79.724
6,03/25/19 08:24:55 PM,67.285,79.980
7,03/25/19 08:54:55 PM,65.102,80.169
8,03/25/19 09:24:55 PM,63.518,80.370
9,03/25/19 09:54:55 PM,62.748,80.333
10,03/25/19 10:24:55 PM,62.447,80.297
11,03/25/19 10:54:55 PM,61.934,80.347
12,03/25/19 11:24:55 PM,61.205,80.481
13,03/25/19 11:54:55 PM,61.290,80.269
14,03/26/19 12:24:55 AM,60.948,80.366
15,03/26/19 12:54:55 AM,60.303,80.482
16,03/26/19 01:24:55 AM,59.229,80.601
17,03/26/19 01:54:55 AM,58.195,80.778
18,03/26/19 02:24:55 AM,57.722,80.776
19,03/26/19 02:54:55 AM,57.074,80.861
20,03/26/19 03:24:55 AM,56.469,80.897
21,03/26/19 03:54:55 AM,55.949,80.943
22,03/26/19 04:24:55 AM,55.558,80.950
23,03/26/19 04:54:55 AM,55.038,81.050
24,03/26/19 05:24:55 AM,54.734,81.012
25,03/26/19 05:54:55 AM,54.648,81.002
26,03/26/19 06:24:55 AM,54.169,81.025
27,03/26/19 06:54:55 AM,53.602,81.064
28,03/26/19 07:24:55 AM,53.166,81.146
29,03/26/19 07:54:55 AM,52.509,81.146
30,03/26/19 08:24:55 AM,52.817,80.967
31,03/26/19 08:54:55 AM,54.300,80.741
32,03/26/19 09:24:55 AM,55.863,80.439
33,03/26/19 09:54:55 AM,57.333,80.206
34,03/26/19 10:24:55 AM,60.003,79.670
35,03/26/19 10:54:55 AM,62.919,79.294
36,03/26/19 11:24:55 AM,65.615,78.911
37,03/26/19 11:54:55 AM,76.203,77.651
38,03/26/19 12:24:55 PM,86.301,80.554
39,03/26/19 12:54:55 PM,94.800,80.210
40,03/26/19 01:24:55 PM,95.040,79.851
41,03/26/19 01:54:55 PM,93.139,79.753
42,03/26/19 02:24:55 PM,93.706,79.640
43,03/26/19 02:54:55 PM,98.380,78.912
44,03/26/19 03:24:55 PM,100.557,78.281
45,03/26/19 03:54:55 PM,94.658,78.407
46,03/26/19 04:24:55 PM,89.915,78.618
47,03/26/19 04:54:55 PM,85.352,78.691
48,03/26/19 05:24:55 PM,83.467,78.593
49,03/26/19 05:54:55 PM,82.753,78.337
50,03/26/19 06:24:55 PM,80.184,78.278
51,03/26/19 06:54:55 PM,76.550,78.413
52,03/26/19 07:24:55 PM,72.869,78.420
53,03/26/19 07:54:55 PM,70.201,78.426
54,03/26/19 08:24:55 PM,67.372,78.636
55,03/26/19 08:54:55 PM,64.674,78.884
56,03/26/19 09:24:55 PM,63.133,78.927
57,03/26/19 09:54:55 PM,62.019,79.075
58,03/26/19 10:24:55 PM,61.333,79.134
59,03/26/19 10:54:55 PM,61.547,79.354
60,03/26/19 11:24:55 PM,61.419,79.395
61,03/26/19 11:54:55 PM,60.948,79.283
62,03/27/19 12:24:55 AM,60.303,79.317
63,03/27/19 12:54:55 AM,59.659,79.380
64,03/27/19 01:24:55 AM,58.798,79.415
65,03/27/19 01:54:55 AM,58.798,79.388
66,03/27/19 02:24:55 AM,58.109,79.388
67,03/27/19 02:54:55 AM,57.506,79.510
68,03/27/19 03:24:55 AM,57.463,79.504
69,03/27/19 03:54:55 AM,56.901,79.520
70,03/27/19 04:24:55 AM,56.469,79.551
71,03/27/19 04:54:55 AM,56.035,79.581
72,03/27/19 05:24:55 AM,55.819,79.610
73,03/27/19 05:54:55 AM,55.733,79.545
74,03/27/19 06:24:55 AM,55.949,79.516
75,03/27/19 06:54:55 AM,54.995,79.511
76,03/27/19 07:24:55 AM,54.300,79.537
77,03/27/19 07:54:55 AM,53.559,79.612
78,03/27/19 08:24:55 AM,53.298,79.826
79,03/27/19 08:54:55 AM,56.512,80.957
80,03/27/19 09:24:55 AM,62.233,81.326
81,03/27/19 09:54:55 AM,67.456,81.795
82,03/27/19 10:24:55 AM,72.610,81.887
83,03/27/19 10:54:55 AM,78.514,81.944
84,03/27/19 11:24:55 AM,84.812,81.542
85,03/27/19 11:54:55 AM,90.565,81.285
86,03/27/19 12:24:55 PM,94.705,80.762
87,03/27/19 12:54:55 PM,97.599,80.380
88,03/27/19 01:24:55 PM,95.760,80.349
89,03/27/19 01:54:55 PM,94.181,80.139
90,03/27/19 02:24:55 PM,91.402,80.146
91,03/27/19 02:54:55 PM,90.379,79.999
92,03/27/19 03:24:55 PM,89.224,79.749
93,03/27/19 03:54:55 PM,88.351,79.531
94,03/27/19 04:24:55 PM,86.664,79.251
95,03/27/19 04:54:55 PM,84.317,79.012
96,03/27/19 05:24:55 PM,80.978,78.950
97,03/27/19 05:54:55 PM,78.165,78.771
98,03/27/19 06:24:55 PM,75.463,78.662
99,03/27/19 06:54:55 PM,72.480,78.633
100,03/27/19 07:24:55 PM,69.300,78.776
101,03/27/19 07:54:55 PM,66.130,78.745
102,03/27/19 08:24:55 PM,63.862,78.957
103,03/27/19 08:54:55 PM,63.005,79.024
104,03/27/19 09:24:55 PM,62.577,79.001
105,03/27/19 09:54:55 PM,62.148,79.007
106,03/27/19 10:24:55 PM,61.934,79.149
107,03/27/19 10:54:55 PM,62.319,79.139
108,03/27/19 11:24:55 PM,61.977,79.070
109,03/27/19 11:54:55 PM,61.032,79.042
110,03/28/19 12:24:55 AM,60.604,79.158
111,03/28/19 12:54:55 AM,60.390,79.216
112,03/28/19 01:24:55 AM,60.003,79.226
113,03/28/19 01:54:55 AM,59.358,79.205
114,03/28/19 02:24:55 AM,58.411,79.120
115,03/28/19 02:54:55 AM,58.195,79.288
116,03/28/19 03:24:55 AM,58.066,79.217
117,03/28/19 03:54:55 AM,57.592,79.216
118,03/28/19 04:24:55 AM,56.988,79.199
119,03/28/19 04:54:55 AM,56.295,79.282
120,03/28/19 05:24:55 AM,55.949,79.295
121,03/28/19 05:54:55 AM,55.819,79.335
122,03/28/19 06:24:55 AM,56.122,79.289
123,03/28/19 06:54:55 AM,55.602,79.309
124,03/28/19 07:24:55 AM,55.256,79.322
125,03/28/19 07:54:55 AM,54.734,79.370
126,03/28/19 08:24:55 AM,55.386,80.107
127,03/28/19 08:54:55 AM,59.014,81.043
128,03/28/19 09:24:55 AM,64.546,81.163
129,03/28/19 09:54:55 AM,68.657,81.409
130,03/28/19 10:24:55 AM,73.386,81.726
131,03/28/19 10:54:55 AM,78.076,81.806
132,03/28/19 11:24:55 AM,82.218,81.525
133,03/28/19 11:54:55 AM,86.891,81.177
134,03/28/19 12:24:55 PM,91.636,80.910
135,03/28/19 12:54:55 PM,92.104,80.993
136,03/28/19 01:24:55 PM,92.433,80.501
137,03/28/19 01:54:55 PM,94.276,79.764
138,03/28/19 02:24:55 PM,95.711,79.301
139,03/28/19 02:54:55 PM,95.230,78.979
140,03/28/19 03:24:55 PM,94.849,78.816
141,03/28/19 03:54:55 PM,95.135,78.460
142,03/28/19 04:24:55 PM,94.230,78.150
143,03/28/19 04:54:55 PM,91.216,77.934
144,03/28/19 05:24:55 PM,85.802,78.213
145,03/28/19 05:54:55 PM,83.242,77.983
146,03/28/19 06:24:55 PM,80.537,77.852
147,03/28/19 06:54:55 PM,75.290,78.182
148,03/28/19 07:24:55 PM,70.029,78.406
149,03/28/19 07:54:55 PM,65.359,78.542
150,03/28/19 08:24:55 PM,62.362,78.780
151,03/28/19 08:54:55 PM,61.333,78.910
152,03/28/19 09:24:55 PM,61.032,78.903
153,03/28/19 09:54:55 PM,60.861,78.910
154,03/28/19 10:24:55 PM,60.604,78.936
155,03/28/19 10:54:55 PM,60.433,78.943
156,03/28/19 11:24:55 PM,60.390,78.994
157,03/28/19 11:54:55 PM,59.830,78.900
158,03/29/19 12:24:55 AM,58.885,78.954
159,03/29/19 12:54:55 AM,58.368,78.976
160,03/29/19 01:24:55 AM,57.807,78.965
161,03/29/19 01:54:55 AM,57.636,79.138
162,03/29/19 02:24:55 AM,57.979,79.124
163,03/29/19 02:54:55 AM,57.506,79.040
164,03/29/19 03:24:55 AM,56.556,79.120
165,03/29/19 03:54:55 AM,56.383,79.237
166,03/29/19 04:24:55 AM,56.772,79.311
167,03/29/19 04:54:55 AM,56.728,79.223
168,03/29/19 05:24:55 AM,56.988,79.227
169,03/29/19 05:54:55 AM,57.074,79.375
170,03/29/19 06:24:55 AM,57.247,79.313
171,03/29/19 06:54:55 AM,57.074,79.209
172,03/29/19 07:24:55 AM,57.247,79.230
173,03/29/19 07:54:55 AM,57.031,79.204
174,03/29/19 08:24:55 AM,57.160,79.496
175,03/29/19 08:54:55 AM,58.541,79.661
176,03/29/19 09:24:55 AM,60.260,79.840
177,03/29/19 09:54:55 AM,65.615,81.125
178,03/29/19 10:24:55 AM,67.885,80.333
179,03/29/19 10:54:55 AM,71.748,81.020
180,03/29/19 11:24:55 AM,79.041,81.864
181,03/29/19 11:54:55 AM,85.984,81.245
182,03/29/19 12:24:55 PM,91.355,80.671
183,03/29/19 12:54:55 PM,94.944,80.226
184,03/29/19 01:24:55 PM,97.452,80.244
185,03/29/19 01:54:55 PM,95.518,80.262
186,03/29/19 02:24:55 PM,92.151,80.173
187,03/29/19 02:54:55 PM,89.823,79.906
188,03/29/19 03:24:55 PM,89.132,79.650
189,03/29/19 03:54:55 PM,86.936,79.487
190,03/29/19 04:24:55 PM,87.163,79.043
191,03/29/19 04:54:55 PM,86.981,78.758
192,03/29/19 05:24:55 PM,82.530,78.749
193,03/29/19 05:54:55 PM,77.727,78.577
194,03/29/19 06:24:55 PM,74.640,78.567
195,03/29/19 06:54:55 PM,72.653,78.481
196,03/29/19 07:24:55 PM,71.447,78.171
197,03/29/19 07:54:55 PM,69.557,78.095
198,03/29/19 08:24:55 PM,67.842,78.153
199,03/29/19 08:54:55 PM,66.000,78.194
200,03/29/19 09:24:55 PM,64.803,78.336
201,03/29/19 09:54:55 PM,63.990,78.551
202,03/29/19 10:24:55 PM,62.919,78.678
203,03/29/19 10:54:55 PM,61.720,78.900
204,03/29/19 11:24:55 PM,61.290,78.989
205,03/29/19 11:54:55 PM,60.904,78.971
206,03/30/19 12:24:55 AM,60.346,78.905
207,03/30/19 12:54:55 AM,59.788,78.978
208,03/30/19 01:24:55 AM,59.401,79.043
209,03/30/19 01:54:55 AM,58.798,79.027
210,03/30/19 02:24:55 AM,58.195,79.150
211,03/30/19 02:54:55 AM,57.850,79.108
212,03/30/19 03:24:55 AM,57.549,79.211
213,03/30/19 03:54:55 AM,57.333,79.185
214,03/30/19 04:24:55 AM,57.463,79.228
215,03/30/19 04:54:55 AM,56.728,79.196
216,03/30/19 05:24:55 AM,56.122,79.261
217,03/30/19 05:54:55 AM,56.079,79.311
218,03/30/19 06:24:55 AM,56.383,79.265
219,03/30/19 06:54:55 AM,56.512,79.225
220,03/30/19 07:24:55 AM,56.295,79.227
221,03/30/19 07:54:55 AM,56.035,79.251
222,03/30/19 08:24:55 AM,56.642,79.874
223,03/30/19 08:54:55 AM,60.260,80.533
224,03/30/19 09:24:55 AM,64.888,80.926
225,03/30/19 09:54:55 AM,68.956,81.389
226,03/30/19 10:24:55 AM,73.472,81.623
227,03/30/19 10:54:55 AM,78.339,81.666
228,03/30/19 11:24:55 AM,83.199,81.641
229,03/30/19 11:54:55 AM,88.351,81.231
230,03/30/19 12:24:55 PM,91.776,80.838
231,03/30/19 12:54:55 PM,94.419,80.729
232,03/30/19 01:24:55 PM,92.856,80.815
233,03/30/19 01:54:55 PM,89.776,80.724
234,03/30/19 02:24:55 PM,88.306,80.612
235,03/30/19 02:54:55 PM,86.301,80.467
236,03/30/19 03:24:55 PM,84.900,80.188
237,03/30/19 03:54:55 PM,85.262,79.792
238,03/30/19 04:24:55 PM,84.004,79.414
