"Plot Title: SG3_Bottom"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20580740, SEN S/N: 20580740)","RH, % (LGR S/N: 20580740, SEN S/N: 20580740)"
1,03/25/19 05:49:27 PM,80.227,86.184
2,03/25/19 06:19:27 PM,82.575,84.891
3,03/25/19 06:49:27 PM,79.435,86.112
4,03/25/19 07:19:27 PM,71.490,88.257
5,03/25/19 07:49:27 PM,67.798,87.637
6,03/25/19 08:19:27 PM,65.444,87.219
7,03/25/19 08:49:27 PM,63.518,86.995
8,03/25/19 09:19:27 PM,62.704,86.780
9,03/25/19 09:49:27 PM,62.748,86.162
10,03/25/19 10:19:27 PM,61.891,86.132
11,03/25/19 10:49:27 PM,61.761,85.980
12,03/25/19 11:19:27 PM,60.346,86.229
13,03/25/19 11:49:27 PM,61.462,85.887
14,03/26/19 12:19:27 AM,60.733,86.198
15,03/26/19 12:49:27 AM,59.529,86.284
16,03/26/19 01:19:27 AM,58.541,86.397
17,03/26/19 01:49:27 AM,56.556,86.859
18,03/26/19 02:19:27 AM,57.247,86.468
19,03/26/19 02:49:27 AM,55.558,86.834
20,03/26/19 03:19:27 AM,55.863,86.500
21,03/26/19 03:49:27 AM,54.909,86.668
22,03/26/19 04:19:27 AM,54.037,86.739
23,03/26/19 04:49:27 AM,53.865,86.609
24,03/26/19 05:19:27 AM,54.648,86.367
25,03/26/19 05:49:27 AM,53.908,86.296
26,03/26/19 06:19:27 AM,53.602,86.282
27,03/26/19 06:49:27 AM,52.903,86.164
28,03/26/19 07:19:27 AM,52.203,86.204
29,03/26/19 07:49:27 AM,52.115,86.219
30,03/26/19 08:19:27 AM,54.126,85.258
31,03/26/19 08:49:27 AM,56.988,84.390
32,03/26/19 09:19:27 AM,58.109,84.371
33,03/26/19 09:49:27 AM,60.690,83.774
34,03/26/19 10:19:27 AM,64.632,82.340
35,03/26/19 10:49:27 AM,69.427,81.671
36,03/26/19 11:19:27 AM,80.361,77.191
37,03/26/19 11:49:27 AM,84.049,80.147
38,03/26/19 12:19:27 PM,88.993,81.569
39,03/26/19 12:49:27 PM,94.181,82.883
40,03/26/19 01:19:27 PM,92.527,84.264
41,03/26/19 01:49:27 PM,91.355,84.355
42,03/26/19 02:19:27 PM,92.997,83.358
43,03/26/19 02:49:27 PM,94.563,83.369
44,03/26/19 03:19:27 PM,94.467,83.738
45,03/26/19 03:49:27 PM,90.612,84.584
46,03/26/19 04:19:27 PM,88.214,83.801
47,03/26/19 04:49:27 PM,86.437,83.298
48,03/26/19 05:19:27 PM,87.665,81.908
49,03/26/19 05:49:27 PM,88.488,81.335
50,03/26/19 06:19:27 PM,82.976,82.852
51,03/26/19 06:49:27 PM,79.831,82.931
52,03/26/19 07:19:27 PM,74.467,83.354
53,03/26/19 07:49:27 PM,72.394,82.565
54,03/26/19 08:19:27 PM,68.484,82.870
55,03/26/19 08:49:27 PM,65.745,82.893
56,03/26/19 09:19:27 PM,64.974,82.382
57,03/26/19 09:49:27 PM,64.117,82.110
58,03/26/19 10:19:27 PM,62.834,82.174
59,03/26/19 10:49:27 PM,62.620,82.230
60,03/26/19 11:19:27 PM,62.062,82.465
61,03/26/19 11:49:27 PM,61.633,82.467
62,03/27/19 12:19:27 AM,61.419,82.275
63,03/27/19 12:49:27 AM,60.346,82.527
64,03/27/19 01:19:27 AM,59.616,82.518
65,03/27/19 01:49:27 AM,60.089,82.303
66,03/27/19 02:19:27 AM,59.486,82.283
67,03/27/19 02:49:27 AM,58.755,82.329
68,03/27/19 03:19:27 AM,58.798,82.170
69,03/27/19 03:49:27 AM,58.109,82.249
70,03/27/19 04:19:27 AM,57.420,82.327
71,03/27/19 04:49:27 AM,57.247,82.251
72,03/27/19 05:19:27 AM,56.815,82.251
73,03/27/19 05:49:27 AM,57.074,82.065
74,03/27/19 06:19:27 AM,56.642,82.012
75,03/27/19 06:49:27 AM,56.208,81.958
76,03/27/19 07:19:27 AM,55.690,81.839
77,03/27/19 07:49:27 AM,55.038,81.867
78,03/27/19 08:19:27 AM,54.995,81.671
79,03/27/19 08:49:27 AM,58.885,81.358
80,03/27/19 09:19:27 AM,64.033,81.462
81,03/27/19 09:49:27 AM,69.256,81.509
82,03/27/19 10:19:27 AM,73.731,81.314
83,03/27/19 10:49:27 AM,78.296,81.060
84,03/27/19 11:19:27 AM,84.767,80.928
85,03/27/19 11:49:27 AM,89.546,80.579
86,03/27/19 12:19:27 PM,93.706,80.765
87,03/27/19 12:49:27 PM,92.574,82.400
88,03/27/19 01:19:27 PM,92.997,82.626
89,03/27/19 01:49:27 PM,91.776,82.657
90,03/27/19 02:19:27 PM,89.177,82.611
91,03/27/19 02:49:27 PM,87.073,82.448
92,03/27/19 03:19:27 PM,86.256,81.945
93,03/27/19 03:49:27 PM,86.754,81.248
94,03/27/19 04:19:27 PM,84.362,81.344
95,03/27/19 04:49:27 PM,81.909,81.257
96,03/27/19 05:19:27 PM,79.480,81.085
97,03/27/19 05:49:27 PM,77.945,81.047
98,03/27/19 06:19:27 PM,75.767,80.988
99,03/27/19 06:49:27 PM,73.126,81.157
100,03/27/19 07:19:27 PM,69.427,81.502
101,03/27/19 07:49:27 PM,65.959,81.278
102,03/27/19 08:19:27 PM,64.204,80.843
103,03/27/19 08:49:27 PM,63.390,80.522
104,03/27/19 09:19:27 PM,63.304,80.345
105,03/27/19 09:49:27 PM,62.704,80.272
106,03/27/19 10:19:27 PM,62.791,80.144
107,03/27/19 10:49:27 PM,62.533,80.363
108,03/27/19 11:19:27 PM,62.148,80.511
109,03/27/19 11:49:27 PM,61.677,80.454
110,03/28/19 12:19:27 AM,61.032,80.460
111,03/28/19 12:49:27 AM,60.775,80.540
112,03/28/19 01:19:27 AM,60.132,80.711
113,03/28/19 01:49:27 AM,59.616,80.703
114,03/28/19 02:19:27 AM,59.529,80.334
115,03/28/19 02:49:27 AM,59.445,80.074
116,03/28/19 03:19:27 AM,59.099,80.143
117,03/28/19 03:49:27 AM,58.368,80.248
118,03/28/19 04:19:27 AM,58.023,80.096
119,03/28/19 04:49:27 AM,57.290,80.145
120,03/28/19 05:19:27 AM,57.204,80.135
121,03/28/19 05:49:27 AM,56.944,80.186
122,03/28/19 06:19:27 AM,57.420,80.078
123,03/28/19 06:49:27 AM,56.901,80.016
124,03/28/19 07:19:27 AM,56.512,79.886
125,03/28/19 07:49:27 AM,55.690,80.007
126,03/28/19 08:19:27 AM,56.295,80.135
127,03/28/19 08:49:27 AM,60.046,80.341
128,03/28/19 09:19:27 AM,65.615,80.034
129,03/28/19 09:49:27 AM,68.657,80.425
130,03/28/19 10:19:27 AM,72.610,80.443
131,03/28/19 10:49:27 AM,77.945,79.870
132,03/28/19 11:19:27 AM,84.004,79.589
133,03/28/19 11:49:27 AM,84.767,80.434
134,03/28/19 12:19:27 PM,87.118,80.766
135,03/28/19 12:49:27 PM,88.306,82.042
136,03/28/19 01:19:27 PM,91.263,81.835
137,03/28/19 01:49:27 PM,91.123,81.115
138,03/28/19 02:19:27 PM,91.683,81.062
139,03/28/19 02:49:27 PM,91.123,80.791
140,03/28/19 03:19:27 PM,90.286,80.401
141,03/28/19 03:49:27 PM,90.657,81.178
142,03/28/19 04:19:27 PM,89.132,80.531
143,03/28/19 04:49:27 PM,87.300,80.845
144,03/28/19 05:19:27 PM,83.736,80.778
145,03/28/19 05:49:27 PM,82.665,79.609
146,03/28/19 06:19:27 PM,79.435,80.476
147,03/28/19 06:49:27 PM,74.077,81.043
148,03/28/19 07:19:27 PM,69.685,81.168
149,03/28/19 07:49:27 PM,65.230,80.967
150,03/28/19 08:19:27 PM,63.219,80.251
